Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0,18.19125,18.47151,15.74265,16.94832,23.2432,20.14816,29.5815,9.99481
1,18.44997,18.98063,16.76345,18.23472,24.5168,20.65824,30.60486,10.24905
2,20.26101,21.52623,18.29465,19.26384,24.77152,20.65824,29.5815,12.02873
3,23.62437,24.07183,19.06025,18.492,22.98848,17.8528,26.25558,12.79145
4,22.58949,22.79903,17.27385,15.66192,19.93184,14.28224,22.92966,9.74057
5,16.89765,16.68959,12.42505,10.7736,14.58272,9.94656,18.0687,5.92697
6,11.46453,11.85295,7.83145,5.88528,9.74304,5.1008,12.9519,2.11337
7,9.65349,10.32559,6.04505,3.82704,7.70528,3.06048,11.16102,0.07945
8,7.06629,7.01631,2.72745,0.99696,4.39392,1.53024,9.37014,-3.22567
9,1.37445,1.67055,-2.88695,-3.3768,0.3184,-2.04032,5.02086,-7.80199
10,-2.50635,-2.14785,-6.45975,-5.9496,-0.70048,-4.33568,1.95078,-10.09015
11,-3.02379,-2.65697,-6.71495,-6.97872,-1.46464,-5.86592,0.67158,-10.59863
12,-3.79995,-3.42065,-6.71495,-7.49328,-3.5024,-7.90624,0.1599,-12.88679
13,-3.02379,-2.65697,-4.67335,-4.92048,-2.99296,-6.88608,1.95078,-11.61559
14,3.18549,4.47071,1.70665,1.51152,2.10144,-1.02016,8.34678,-2.71719
15,9.39477,10.32559,6.55545,5.88528,6.17696,2.04032,10.13766,3.38457
16,8.10117,8.28911,4.76905,3.82704,4.64864,0.51008,9.1143,1.09641
17,6.03141,6.50719,3.23785,2.28336,5.15808,2.80544,12.44022,-1.95447
18,5.77269,6.50719,2.72745,3.31248,7.70528,7.90624,17.30118,-2.20871
19,4.47909,5.23439,3.23785,4.3416,8.72416,10.71168,18.0687,-2.97143
20,0.59829,0.90687,1.19625,2.02608,6.94112,9.43648,14.2311,-6.02231
21,-3.28251,-2.65697,-2.12135,-1.31856,3.88448,6.376,11.16102,-7.54775
22,-3.54123,-2.91153,-3.65255,-2.60496,3.12032,5.35584,11.41686,-6.53079
23,-1.47147,-0.62049,-2.12135,-1.83312,4.39392,6.12096,12.44022,-5.00535
24,-0.17787,0.65231,-1.35575,-1.57584,3.62976,4.84576,11.92854,-6.02231
25,2.15061,2.94335,0.43065,0.22512,3.88448,3.8256,10.90518,-4.49687
26,7.06629,8.03455,6.04505,6.39984,9.2336,7.90624,14.48694,0.58793
