Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
722520.0800895691,4257.2124,4203.6367,4185.0913,4393.727,4187.667,4515.303,4379.8184,4298.9395,4478.2124,3754.9397,4435.455,4270.0913,4306.667,4172.7275
722527.0433425903,4265.4546,4209.3027,4189.7275,4403.515,4188.6973,4512.727,4377.758,4288.636,4478.7275,3756.4849,4454.5156,4281.4243,4312.8486,4177.364
722535.0775718689,4269.5757,4220.121,4201.576,4413.8184,4189.2124,4509.6367,4377.758,4281.9395,4475.1216,3758.5454,4467.909,4293.273,4323.1514,4188.1816
722543.0665016174,4276.273,4222.1816,4208.273,4417.9395,4188.1816,4509.6367,4375.6973,4284.0,4466.8794,3751.8489,4465.8486,4301.0,4329.8486,4193.3335
722551.013469696,4285.5454,4219.606,4209.3027,4421.546,4189.2124,4508.606,4374.1514,4282.4546,4460.182,3744.1213,4463.273,4303.576,4327.2725,4191.273
722559.0138435364,4285.031,4222.6973,4216.0,4430.303,4190.242,4508.0913,4374.1514,4278.3335,4456.576,3741.0305,4467.394,4299.9697,4325.212,4190.242
722567.0900344849,4281.9395,4226.303,4215.485,4433.394,4191.273,4511.1816,4376.727,4279.879,4455.5454,3742.0608,4467.394,4299.9697,4328.303,4190.758
722575.1235485077,4283.485,4225.273,4206.2124,4428.2427,4193.8486,4511.1816,4378.7876,4283.485,4464.819,3749.7883,4463.788,4301.0,4329.8486,4192.3027
722583.080291748,4284.0,4222.6973,4204.6665,4423.0913,4193.8486,4511.1816,4379.8184,4288.636,4473.061,3755.4546,4459.1514,4292.2427,4324.182,4190.758
722591.1316871643,4280.9097,4219.091,4202.606,4415.879,4195.909,4520.455,4383.94,4295.8486,4469.9697,3748.2424,4446.7876,4283.485,4315.425,4185.0913
722598.1292724609,4273.697,4220.121,4192.8184,4405.0605,4202.0913,4529.7275,4389.091,4297.394,4467.909,3741.5457,4433.9097,4278.3335,4309.758,4185.6064
722606.1060428619,4268.546,4218.576,4186.6367,4398.3643,4201.576,4529.2124,4390.1216,4298.9395,4472.0303,3746.697,4432.879,4274.2124,4309.758,4187.152
722623.0840682983,4270.0913,4208.273,4180.4546,4391.6665,4193.3335,4527.667,4386.515,4298.4243,4469.4546,3749.273,4430.303,4264.9395,4306.1514,4180.9697
722624.1431236267,4261.3335,4201.0605,4170.1514,4383.94,4189.7275,4529.2124,4385.485,4288.636,4462.7583,3741.0305,4412.788,4253.6064,4294.303,4167.5757
722629.9798488617,4248.4546,4200.031,4167.5757,4382.394,4188.6973,4528.182,4386.515,4280.394,4462.7583,3735.8792,4403.0,4247.9395,4288.636,4160.8794
722638.072013855,4256.697,4200.5454,4170.667,4386.0005,4186.121,4525.606,4382.394,4282.4546,4465.3335,3742.0608,4411.758,4250.0,4292.758,4166.0303
722646.0092067719,4265.4546,4202.606,4171.6973,4389.091,4188.6973,4525.091,4377.758,4284.0,4464.303,3748.2424,4418.4546,4254.121,4299.4546,4170.667
722654.1318893433,4255.152,4206.2124,4170.667,4388.061,4191.788,4526.1216,4381.364,4281.4243,4463.788,3746.182,4414.8486,4252.5757,4298.4243,4169.636
722662.0290279388,4254.121,4203.121,4170.667,4384.4546,4188.6973,4529.7275,4388.5757,4284.0,4464.303,3747.7273,4414.3335,4250.0,4296.364,4168.606
722669.065952301,4268.031,4202.606,4170.1514,4386.515,4185.0913,4525.091,4385.485,4293.273,4467.909,3756.4849,4419.485,4258.2427,4300.485,4170.1514
722686.0768795013,4267.515,4212.909,4172.7275,4394.758,4188.1816,4515.303,4378.2725,4294.303,4472.0303,3760.091,4424.1216,4266.485,4304.091,4174.788
722687.0448589325,4254.121,4215.485,4174.788,4393.727,4184.576,4510.152,4375.6973,4284.0,4464.303,3752.8792,4424.1216,4259.273,4302.546,4173.2427
722694.0500736237,4248.9697,4202.0913,4166.0303,4379.303,4174.273,4510.6665,4376.727,4277.8184,4446.7876,3745.1516,4412.788,4247.4243,4293.788,4160.8794
722701.0655403137,4251.546,4200.031,4159.3335,4376.727,4175.303,4510.152,4376.727,4283.485,4442.6665,3745.1516,4406.091,4251.546,4290.6973,4156.758
722709.0718746185,4254.121,4212.3945,4166.5454,4389.091,4184.576,4510.6665,4374.1514,4286.0605,4459.1514,3747.2122,4413.8184,4257.7275,4297.909,4168.606
722726.016998291,4252.5757,4210.334,4171.6973,4387.0303,4190.758,4514.2734,4377.758,4283.485,4464.303,3743.6062,4412.788,4251.031,4294.8184,4173.2427
722727.1227836609,4252.0605,4205.1816,4169.1216,4378.7876,4202.0913,4513.2427,4378.2725,4282.97,4450.3945,3739.485,4404.546,4252.5757,4287.0913,4167.061
722733.083486557,4261.3335,4217.0303,4171.6973,4388.5757,4223.2124,4508.606,4371.061,4284.0,4448.334,3737.9397,4412.273,4268.031,4294.303,4169.1216
722741.0900592804,4267.0,4225.273,4175.303,4396.3037,4235.0605,4508.606,4372.091,4286.0605,4457.606,3742.0608,4418.9697,4273.1816,4303.061,4175.303
722748.9910125732,4258.2427,4218.576,4172.2124,4389.091,4238.667,4511.1816,4374.6665,4283.485,4452.455,3747.2122,4412.273,4264.9395,4297.909,4173.2427
722755.969285965,4252.0605,4215.485,4171.182,4389.606,4246.394,4510.152,4371.576,4279.879,4445.758,3742.576,4406.6064,4263.9097,4289.667,4169.636
722763.9608383179,4257.2124,4220.121,4172.7275,4396.3037,4253.0913,4508.606,4373.6367,4278.3335,4448.8486,3735.3638,4402.4854,4265.97,4284.515,4170.1514
722772.027015686,4264.9395,4221.6665,4174.273,4394.2427,4256.1816,4509.121,4378.7876,4279.364,4449.364,3740.5154,4404.0303,4262.364,4288.636,4172.7275
722787.1341705322,4268.031,4220.121,4175.8184,4392.182,4254.636,4510.152,4374.1514,4278.849,4448.8486,3747.7273,4414.8486,4264.4243,4301.0,4174.273
722792.6912307739,4260.303,4218.576,4173.2427,4392.182,4254.121,4510.152,4368.485,4272.667,4449.364,3742.0608,4413.303,4265.97,4299.4546,4171.182
722796.0567474365,4250.0,4216.5156,4170.667,4386.515,4260.303,4508.0913,4369.5156,4268.031,4448.334,3737.9397,4399.394,4259.273,4285.5454,4168.606
722803.9615154266,4255.152,4217.5454,4173.2427,4383.4243,4268.031,4508.0913,4370.0303,4268.546,4449.364,3744.1213,4403.515,4259.788,4287.0913,4170.1514
