Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,34.50879,31.05465,26.2104,25.53568,30.6048,33.67494,26.15604,29.03648
1,37.30895,33.60665,28.7832,27.31872,33.1552,34.44246,26.66516,28.77952
2,31.96319,27.99225,23.12304,20.95072,27.54432,28.04646,21.82852,22.09856
3,32.21775,27.22665,22.09392,20.95072,28.30944,28.04646,23.865,23.1264
4,39.34543,33.86185,27.75408,28.08288,35.7056,34.6983,31.5018,31.34912
5,46.21855,40.24185,34.18608,33.94144,41.57152,39.30342,35.82932,37.51616
6,37.05439,31.30985,25.43856,23.49792,30.09472,27.79062,24.11956,26.9808
7,17.19871,11.91465,5.628,3.12032,8.41632,6.5559,4.26388,6.93792
8,13.12575,6.55545,0.4824,-0.70048,3.8256,-0.09594,1.46372,3.59744
9,24.32639,18.80505,13.08912,12.79968,17.34272,9.88182,13.93716,15.67456
10,23.81727,20.84665,15.40464,13.81856,18.10784,7.06758,12.66436,14.38976
11,15.92591,13.95625,9.74448,6.94112,10.71168,-1.63098,6.80948,9.50752
12,23.81727,18.80505,15.9192,13.56384,18.10784,6.30006,13.6826,17.47328
13,27.38111,20.33625,17.2056,15.09216,20.91328,8.85846,12.4098,17.21632
14,11.59839,4.00345,0.73968,-0.19104,5.86592,-6.2361,-3.11836,2.82656
15,11.34383,4.25865,-0.804,-0.44576,6.376,-4.18938,0.19092,4.88224
16,19.74431,13.19065,6.9144,5.92224,13.77216,4.50918,7.06404,10.53536
17,12.10751,6.04505,1.7688,-1.46464,6.376,-2.65434,-2.60924,2.31264
18,7.27087,0.43065,-2.0904,-5.79488,2.29536,-6.49194,-5.91852,0.51392
19,26.36287,18.29465,16.43376,13.81856,20.65824,12.69606,14.9554,19.78592
20,40.10911,32.33065,29.81232,27.82816,33.41024,25.99974,27.17428,29.80736
21,35.01791,28.50265,25.18128,22.98848,29.58464,23.95302,21.06484,22.09856
22,24.07183,18.29465,13.86096,11.01664,19.63808,16.53366,11.137,11.5632
23,23.30815,17.78425,13.08912,9.74304,19.63808,19.09206,13.42804,14.1328
24,32.98143,27.73705,23.12304,20.95072,31.11488,31.62822,21.82852,26.20992
25,37.81807,33.86185,30.32688,29.10176,38.256,37.51254,23.35588,31.34912
26,29.67215,27.48185,24.15216,24.5168,32.39008,30.09318,14.9554,24.4112
27,19.99887,18.54985,15.9192,16.62048,23.71872,21.65046,7.57316,15.93152
28,12.61663,11.40425,8.71536,8.72416,15.81248,14.2311,0.19092,7.45184
29,-7.49361,-7.73575,-10.58064,-11.39872,-4.33568,-6.49194,-21.19212,-13.87584
30,-29.64033,-30.19335,-32.964,-34.57824,-26.7792,-28.75002,-41.55692,-33.91872
31,-25.31281,-26.87575,-29.87664,-32.54048,-22.9536,-25.16826,-35.19292,-27.49472
32,-15.13041,-16.92295,-19.58544,-24.13472,-14.28224,-16.72554,-27.30156,-19.272
33,-23.78545,-25.08935,-26.78928,-31.77632,-23.20864,-24.91242,-36.97484,-28.52256
34,-38.54993,-38.61495,-41.19696,-45.02176,-36.72576,-38.2161,-52.75756,-43.6832
35,-48.22321,-48.82295,-51.48816,-54.4464,-45.39712,-46.40298,-62.43084,-53.70464
