Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,11.59839,7.32105,7.17168,8.46944,9.18144,3.9975,7.82772,11.04928
1,8.54367,5.27945,6.14256,7.70528,8.67136,6.04422,5.28212,9.76448
2,3.96159,1.19625,3.31248,5.66752,5.35584,4.50918,3.75476,7.45184
3,4.72527,1.19625,3.56976,6.17696,3.8256,1.4391,5.28212,9.50752
4,6.25263,3.23785,4.59888,7.96,4.33568,0.1599,6.0458,10.2784
5,4.21615,1.19625,2.02608,6.6864,3.31552,-0.35178,2.48196,6.16704
6,1.41599,-1.86615,-1.83312,3.62976,1.02016,-0.60762,-0.06364,2.31264
7,4.72527,-0.07975,-1.57584,3.62976,1.78528,2.7183,3.5002,4.62528
8,10.07103,3.74825,0.99696,5.66752,4.33568,5.53254,7.06404,6.93792
9,4.47071,0.68585,-3.3768,2.35616,2.29536,2.97414,2.2274,2.05568
10,-2.65697,-5.69415,-11.0952,-3.5024,-2.04032,-1.1193,-5.66396,-4.62528
11,-1.38417,-6.20455,-13.15344,-4.776,-2.5504,-1.88682,-6.17308,-5.39616
12,-0.11137,-4.16295,-11.60976,-2.99296,-0.51008,-1.63098,-2.60924,-2.31264
13,-1.89329,-4.92855,-12.12432,-4.26656,-2.5504,-4.44522,-4.64572,-3.8544
14,-9.53009,-10.03255,-16.75536,-9.36096,-8.41632,-9.81786,-12.53708,-9.50752
15,-12.58481,-11.05335,-18.29904,-10.63456,-10.45664,-11.3529,-14.82812,-10.02144
16,-9.02097,-9.01175,-16.49808,-8.85152,-8.9264,-9.81786,-12.28252,-8.47968
17,-10.03921,-11.30855,-18.55632,-11.39872,-10.96672,-11.3529,-15.5918,-12.07712
18,-13.85761,-15.39175,-22.15824,-14.71008,-14.0272,-14.16714,-20.93756,-16.18848
19,-14.62129,-14.88135,-21.3864,-13.43648,-12.752,-15.1905,-20.683,-14.64672
20,-10.80289,-11.05335,-17.26992,-9.36096,-9.69152,-14.67882,-15.84636,-9.76448
21,-6.98449,-9.52215,-15.21168,-9.36096,-9.18144,-14.67882,-12.53708,-8.9936
22,-5.71169,-9.52215,-14.43984,-10.88928,-9.94656,-13.65546,-12.28252,-11.04928
23,-8.76641,-10.03255,-13.668,-10.63456,-8.67136,-11.09706,-13.80988,-10.79232
24,-7.74817,-7.99095,-11.35248,-7.06848,-5.35584,-6.74778,-12.53708,-7.96576
25,-5.45713,-6.71495,-10.32336,-5.28544,-4.59072,-5.21274,-11.00972,-7.19488
26,-2.14785,-6.20455,-11.0952,-6.55904,-7.14112,-7.5153,-9.99148,-8.9936
27,-6.47537,-7.99095,-11.60976,-7.06848,-7.6512,-7.00362,-11.00972,-9.50752
28,-9.78465,-8.75655,-9.8088,-5.79488,-4.84576,-2.3985,-9.73692,-7.19488
29,-5.45713,-6.97015,-7.75056,-4.776,-3.31552,-1.37514,-5.91852,-3.8544
30,-3.42065,-6.97015,-7.236,-5.03072,-3.31552,-3.6777,-4.64572,-1.79872
31,-1.89329,-5.18375,-5.43504,-3.75712,-1.53024,-2.14266,-3.37292,1.02784
32,0.90687,-0.07975,0.73968,0.82784,3.8256,2.20662,0.44548,4.62528
33,2.68879,2.47225,4.59888,3.12032,5.35584,3.9975,2.2274,4.62528
