Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,-0.11137,-9.01175,-11.60976,-1.20992,-16.5776,19.85958,1.97284,0.77088
1,-4.18433,-11.05335,-15.98352,-6.55904,-23.97376,30.60486,-1.591,-3.59744
2,-6.98449,-12.58455,-18.29904,-8.5968,-28.30944,37.00086,0.19092,-3.34048
3,2.17967,-6.97015,-13.41072,-3.24768,-21.16832,35.20998,5.53668,-0.51392
4,6.25263,-5.43895,-13.15344,-3.24768,-18.61792,33.16326,5.28212,-3.08352
5,-1.63873,-9.77735,-14.18256,-0.9552,-13.00704,27.79062,0.44548,-2.82656
6,-16.65777,-18.70935,-15.21168,1.84672,-8.67136,20.37126,-4.90028,-0.77088
7,-13.60305,-16.92295,-14.18256,1.592,-14.0272,26.76726,0.70004,2.82656
8,-8.00273,-13.60535,-16.49808,-3.75712,-23.71872,37.76838,0.44548,-1.02784
9,-13.09393,-16.41255,-21.90096,-8.5968,-29.3296,32.39574,-4.39116,-5.65312
10,-6.47537,-11.81895,-17.78448,-2.73824,-21.6784,26.25558,3.24564,-0.51392
11,-2.14785,-9.26695,-13.668,0.82784,-18.36288,22.67382,6.55492,3.34048
12,0.39775,-6.20455,-9.8088,5.4128,-13.77216,20.88294,7.57316,7.7088
13,7.01631,-0.59015,-6.20688,11.27136,-8.67136,22.41798,13.93716,10.02144
14,-4.43889,-7.99095,-11.60976,8.46944,-12.24192,15.5103,6.0458,3.34048
15,-7.23905,-9.77735,-11.86704,8.21472,-16.5776,14.99862,3.75476,4.11136
16,5.23439,-1.86615,-6.72144,11.27136,-16.5776,25.7439,10.62788,9.50752
17,7.52543,0.43065,-5.9496,7.70528,-22.69856,32.1399,13.17348,8.47968
18,-3.42065,-6.45975,-12.3816,-1.20992,-31.88,22.41798,5.28212,-0.51392
19,-13.34849,-12.07415,-14.43984,-2.48352,-26.7792,20.37126,-2.10012,-5.1392
