Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,-5.20257,-9.01175,-12.3816,-18.53088,-18.61792,3.9975,-8.46412,-18.75808
1,1.92511,-1.86615,-5.43504,-8.85152,-5.35584,16.53366,-4.1366,-12.848
2,-4.18433,-6.45975,-9.03696,-13.43648,-14.28224,12.69606,-8.46412,-16.18848
3,-8.00273,-12.07415,-13.41072,-17.00256,-17.8528,14.2311,-10.75516,-17.21632
4,-3.16609,-7.73575,-9.03696,-8.08736,-3.06048,36.23334,-6.42764,-10.79232
5,-1.12961,-5.43895,-8.5224,-10.12512,-9.69152,18.83622,-5.15484,-10.79232
6,-0.11137,-6.20455,-11.86704,-18.7856,-22.44352,-0.60762,-6.17308,-15.4176
7,2.68879,-5.94935,-12.63888,-20.82336,-20.65824,4.76502,-5.4094,-16.18848
8,5.74351,-1.61095,-7.236,-11.65344,-5.61088,22.67382,-0.3182,-10.02144
9,5.23439,-0.59015,-4.6632,-7.57792,-3.06048,25.48806,-0.82732,-7.96576
10,3.19791,-1.35575,-4.92048,-8.85152,-9.18144,15.5103,-3.62748,-7.96576
11,0.39775,-2.88695,-5.17776,-8.34208,-9.43648,14.99862,-4.39116,-8.22272
12,0.90687,0.43065,0.22512,-0.70048,1.53024,25.48806,0.19092,-3.08352
13,5.99807,5.27945,4.85616,3.12032,6.12096,27.27894,4.51844,-0.25696
14,0.14319,0.17545,-1.06128,-2.99296,0.51008,24.20886,-3.37292,-8.22272
15,-8.25729,-6.71495,-8.5224,-10.63456,-8.16128,20.37126,-11.00972,-16.18848
16,-8.00273,-6.45975,-8.00784,-10.88928,-12.24192,15.25446,-10.5006,-15.93152
17,-1.12961,-0.84535,-2.0904,-5.03072,-7.6512,16.02198,-4.1366,-10.2784
18,1.67055,-0.59015,-2.60496,-6.55904,-9.43648,12.44022,-2.60924,-10.79232
19,-2.40241,-6.71495,-9.03696,-13.94592,-16.32256,7.32342,-8.46412,-15.93152
20,-5.71169,-6.45975,-5.69232,-8.08736,-4.33568,21.13878,-7.70044,-11.04928
21,1.16143,0.68585,3.0552,1.08256,7.6512,27.79062,0.9546,-1.79872
22,0.90687,-2.12135,-1.06128,-4.776,-1.02016,25.23222,-2.8638,-8.73664
23,-7.74817,-12.07415,-13.15344,-17.512,-15.3024,21.39462,-14.319,-22.86944
24,-13.09393,-16.41255,-17.5272,-20.82336,-18.61792,11.92854,-17.62828,-27.23776
