Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,0.14319,-1.86615,4.59888,-7.06848,-0.51008,6.81174,5.79124,5.39616
1,-0.11137,-2.12135,4.85616,-7.83264,-0.51008,3.9975,4.51844,4.88224
2,3.96159,1.45145,7.68624,-5.03072,3.06048,7.57926,6.30036,7.7088
3,8.54367,6.30025,11.54544,0.06368,7.14112,13.97526,8.5914,11.30624
4,10.83471,8.08665,13.08912,1.84672,7.14112,15.25446,10.11876,12.07712
5,11.59839,8.85225,13.60368,2.35616,6.88608,13.20774,12.66436,12.848
6,17.45327,15.23225,19.7784,8.46944,12.49696,16.02198,20.0466,18.75808
7,25.09007,22.88825,26.46768,15.6016,18.87296,20.88294,26.15604,25.43904
8,24.83551,21.61225,24.15216,13.30912,15.3024,19.09206,25.1378,22.61248
9,18.21695,14.21145,15.40464,4.64864,7.14112,13.71942,18.7738,14.38976
10,13.12575,9.61785,10.51632,0.82784,4.33568,11.6727,13.42804,7.7088
11,8.03455,5.78985,7.17168,-3.5024,2.04032,9.1143,6.30036,1.02784
12,0.65231,-1.35575,-0.28944,-12.16288,-5.61088,2.20662,-3.11836,-6.68096
13,-3.42065,-6.71495,-6.46416,-17.76672,-10.45664,-1.37514,-6.93676,-9.76448
14,0.90687,-2.63175,-3.11952,-13.43648,-5.61088,3.48582,-2.10012,-4.11136
15,5.99807,4.00345,3.0552,-6.55904,1.78528,9.62598,1.71828,1.79872
16,4.47071,3.49305,3.82704,-5.28544,3.57056,11.16102,-0.82732,1.2848
17,-1.12961,-2.63175,-0.804,-9.36096,1.2752,9.1143,-5.4094,-2.31264
18,-1.38417,-4.41815,-1.31856,-9.8704,2.80544,11.16102,-4.1366,-0.77088
19,1.41599,-2.88695,2.02608,-7.57792,5.1008,14.2311,-1.08188,1.54176
20,0.90687,-4.41815,2.54064,-7.83264,2.80544,13.46358,-1.84556,-1.2848
21,-2.65697,-8.75655,-0.03216,-11.90816,-1.02016,9.1143,-5.15484,-4.62528
22,-2.91153,-9.26695,0.22512,-12.4176,0.0,8.09094,-5.15484,-3.34048
23,-1.63873,-7.99095,1.25424,-10.63456,2.04032,9.1143,-2.8638,-0.25696
24,-3.16609,-9.52215,-0.54672,-11.144,0.76512,7.57926,-2.35468,0.51392
25,-4.43889,-10.28775,-1.57584,-12.4176,-0.76512,6.5559,-2.8638,0.25696
26,-1.63873,-7.48055,2.02608,-10.63456,2.04032,8.09094,-1.33644,3.34048
27,2.17967,-3.90775,4.85616,-7.57792,6.376,11.16102,1.46372,7.19488
28,0.65231,-5.94935,1.51152,-9.8704,5.1008,11.16102,-1.33644,5.1392
29,-1.63873,-9.26695,-2.0904,-12.92704,1.78528,10.64934,-3.62748,2.05568
30,-1.38417,-8.75655,-1.06128,-12.16288,1.78528,11.6727,-2.10012,2.05568
31,0.14319,-5.43895,2.79792,-8.08736,4.08064,13.20774,0.9546,4.36832
32,0.65231,-3.65255,4.85616,-5.79488,4.84576,12.18438,1.97284,6.424
33,1.41599,-2.12135,5.88528,-5.79488,5.35584,11.16102,2.48196,8.9936
34,2.68879,-1.10055,6.39984,-5.28544,6.63104,11.92854,3.5002,10.53536
35,3.96159,-0.84535,6.65712,-4.52128,7.14112,12.44022,3.24564,9.76448
36,1.16143,-4.92855,3.0552,-8.5968,2.5504,7.32342,-1.08188,4.88224
37,-2.91153,-9.01175,-0.804,-12.4176,-1.53024,2.46246,-5.4094,0.77088
38,-1.89329,-7.22535,-1.06128,-11.39872,0.0,3.22998,-5.66396,1.54176
39,1.16143,-4.41815,-0.28944,-10.37984,2.29536,4.76502,-4.64572,1.79872
40,-1.38417,-8.24615,-3.89136,-13.43648,0.25504,3.74166,-7.70044,-1.79872
41,-4.18433,-11.81895,-6.72144,-15.47424,-0.25504,2.46246,-10.75516,-3.8544
42,-1.38417,-8.75655,-3.63408,-11.39872,3.8256,4.50918,-7.955,-0.77088
43,4.97983,-1.86615,2.54064,-5.54016,7.39616,7.06758,-2.60924,3.8544
44,5.23439,-1.10055,4.08432,-5.54016,5.61088,6.30006,-3.11836,3.34048
45,2.68879,-3.90775,2.79792,-7.06848,2.80544,3.74166,-4.39116,1.54176
46,4.97983,-1.86615,5.628,-4.01184,5.86592,5.78838,-1.08188,4.36832
47,8.79823,1.96185,9.22992,0.06368,9.43648,11.16102,1.97284,7.7088
48,7.01631,0.68585,8.2008,-1.46464,7.14112,10.90518,-0.06364,4.88224
49,1.41599,-4.92855,2.28336,-8.34208,1.53024,6.5559,-4.90028,-0.51392
50,2.17967,-4.67335,1.51152,-9.61568,1.78528,7.57926,-3.88204,0.25696
51,4.97983,-1.61095,2.79792,-7.57792,4.08064,10.90518,-3.37292,1.2848
52,1.92511,-3.14215,0.4824,-9.10624,2.29536,9.62598,-6.17308,-2.05568
53,-1.38417,-4.92855,-1.57584,-10.37984,0.25504,6.81174,-7.19132,-4.36832
54,0.39775,-2.37655,0.22512,-8.34208,2.5504,7.57926,-3.62748,-2.05568
