Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,-17.16689,-7.48055,0.4824,-7.83264,-7.39616,-5.21274,-0.57276,-6.68096
1,-13.60305,-3.90775,1.51152,-5.54016,-2.04032,-0.09594,1.71828,-5.91008
2,-14.11217,-5.94935,-2.0904,-11.39872,-9.43648,-3.42186,-2.8638,-13.61888
3,-18.94881,-10.03255,-4.14864,-14.20064,-11.22176,-3.93354,-5.15484,-16.7024
4,-17.93057,-7.48055,0.22512,-9.36096,-4.59072,0.67158,-0.06364,-12.33408
5,-10.80289,-1.86615,3.82704,-7.06848,-4.59072,-3.93354,3.5002,-12.07712
6,-11.05745,-3.14215,0.22512,-12.67232,-13.77216,-8.53866,-2.60924,-19.272
7,-23.02177,-10.54295,-5.17776,-16.74784,-16.83264,-9.05034,-9.48236,-22.09856
8,-23.02177,-9.52215,-3.3768,-12.4176,-9.18144,-5.98026,-4.90028,-16.7024
9,-11.31201,-0.59015,3.82704,-4.52128,0.76512,1.4391,4.51844,-9.25056
10,9.56191,9.36265,9.22992,0.3184,4.59072,2.97414,11.90068,-5.39616
11,-2.91153,2.72745,5.11344,-2.48352,3.57056,1.95078,1.46372,-10.2784
12,-33.45873,-14.11575,-6.72144,-13.18176,-9.94656,-1.1193,-14.82812,-20.81376
13,-33.45873,-16.15735,-11.0952,-18.53088,-20.65824,-8.7945,-14.82812,-23.1264
14,-18.69425,-7.99095,-6.46416,-14.45536,-16.06752,-8.53866,-7.44588,-18.24416
15,-14.11217,-3.90775,-3.11952,-11.144,-8.16128,1.4391,-3.62748,-15.16064
16,-17.42145,-4.41815,-1.57584,-9.8704,-5.1008,5.78838,-1.84556,-13.61888
17,-14.62129,-2.37655,2.54064,-6.55904,-5.35584,-9.81786,1.71828,-10.2784
18,-11.56657,-1.61095,4.08432,-4.52128,-3.31552,-8.53866,0.70004,-11.5632
19,-12.58481,-3.90775,1.51152,-4.26656,0.76512,3.9975,-2.60924,-12.848
20,-12.58481,-5.69415,-0.804,-6.30432,-1.2752,7.8351,-5.15484,-14.90368
21,-9.53009,-5.69415,-2.0904,-10.37984,-8.16128,0.92742,-3.37292,-17.47328
22,-0.62049,-0.84535,1.7688,-6.55904,-2.80544,-0.35178,2.73652,-12.33408
23,-1.12961,-0.84535,2.02608,-5.03072,2.04032,-2.91018,3.5002,-6.93792
24,-13.34849,-7.48055,-2.0904,-10.63456,-6.88608,-1.63098,-3.11836,-10.53536
25,-21.49441,-12.32935,-5.69232,-16.74784,-18.36288,-0.35178,-7.955,-17.47328
26,-17.93057,-9.52215,-3.89136,-13.94592,-14.28224,-0.09594,-5.4094,-16.95936
27,-7.49361,-2.88695,0.22512,-7.3232,-4.59072,-1.1193,-0.06364,-12.59104
28,-5.45713,-2.12135,0.99696,-5.79488,-2.29536,7.06758,-0.57276,-11.30624
29,-10.54833,-5.18375,0.22512,-7.3232,-5.1008,10.13766,-4.39116,-11.82016
30,-9.02097,-5.18375,0.22512,-8.5968,-8.9264,0.67158,-3.88204,-12.07712
31,-3.92977,-3.90775,0.99696,-8.5968,-8.41632,-4.9569,-0.82732,-11.04928
32,-6.47537,-4.16295,3.31248,-5.28544,-1.53024,1.69494,-0.06364,-8.73664
33,-13.09393,-5.18375,5.628,-2.99296,0.51008,6.5559,-1.33644,-8.47968
34,-13.09393,-3.39735,6.9144,-2.2288,-1.02016,3.22998,-1.08188,-8.22272
35,-7.74817,-0.33495,8.2008,0.82784,3.06048,2.46246,1.97284,-5.65312
36,3.96159,6.04505,11.28816,4.90336,5.35584,4.76502,9.60964,-2.5696
