Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,0.14319,-1.35575,-3.63408,2.10144,4.08064,-4.9569,6.0458,-4.88224
1,3.45247,1.19625,0.73968,5.92224,7.39616,-2.14266,8.84596,-2.31264
2,5.74351,3.23785,2.28336,7.19584,8.67136,0.1599,10.62788,-1.02784
3,3.70703,0.43065,-1.06128,4.39392,5.86592,-1.37514,9.8642,-3.59744
4,4.47071,1.45145,-1.57584,4.39392,6.376,-2.3985,11.137,-2.31264
5,10.32559,8.08665,3.56976,8.97888,10.96672,-0.35178,15.20996,4.11136
6,12.61663,11.14905,6.39984,10.5072,11.98688,1.4391,16.48276,7.19488
7,9.81647,8.85225,4.59888,7.19584,7.90624,-0.35178,13.42804,5.39616
8,9.56191,8.34185,3.0552,5.66752,5.86592,-1.37514,11.64612,4.62528
9,11.08927,10.12825,4.3416,7.45056,6.376,0.67158,11.90068,5.39616
10,9.05279,8.08665,2.02608,6.17696,4.84576,0.41574,9.35508,2.82656
11,1.16143,-0.07975,-5.9496,0.06368,-1.02016,-3.6777,2.2274,-4.62528
12,-3.16609,-4.41815,-10.58064,-2.48352,-2.04032,-4.70106,-0.82732,-8.73664
13,0.14319,-0.59015,-7.236,1.592,2.5504,-0.60762,1.97284,-6.68096
14,3.19791,2.72745,-3.11952,4.39392,4.84576,1.95078,4.26388,-5.91008
15,1.41599,0.43065,-4.92048,1.33728,1.2752,1.18326,1.97284,-9.25056
16,0.14319,-2.12135,-8.00784,-1.20992,-1.02016,0.1599,-0.06364,-10.53536
17,4.47071,0.68585,-5.69232,1.592,2.04032,1.95078,3.75476,-5.1392
18,8.79823,4.25865,-3.3768,3.88448,4.08064,2.7183,7.06404,-1.2848
19,6.50719,2.21705,-5.9496,0.82784,0.0,-0.86346,5.02756,-3.34048
20,2.94335,-0.07975,-6.97872,-1.46464,-3.31552,-3.42186,4.26388,-4.11136
21,3.19791,1.96185,-4.92048,0.3184,-1.53024,-2.65434,7.06404,-1.2848
22,4.21615,4.25865,-4.14864,2.35616,-0.25504,-2.91018,8.84596,-1.02784
23,2.94335,1.96185,-6.72144,-0.19104,-3.57056,-5.98026,6.80948,-4.62528
24,1.41599,-0.84535,-10.06608,-2.73824,-6.63104,-7.77114,3.75476,-5.91008
25,2.17967,-0.07975,-9.29424,-0.9552,-4.59072,-5.98026,2.99108,-4.11136
26,2.94335,0.17545,-7.75056,1.84672,-0.51008,-3.93354,2.2274,-4.62528
27,0.39775,-2.63175,-9.55152,1.33728,1.2752,-4.18938,0.44548,-7.45184
28,-1.12961,-3.90775,-10.32336,0.82784,3.57056,-4.70106,1.71828,-6.93792
29,2.17967,0.43065,-5.69232,4.1392,7.90624,-2.65434,6.30036,-2.05568
30,3.70703,2.21705,-3.11952,4.90336,8.41632,-2.3985,6.0458,-2.31264
31,0.14319,-1.35575,-5.17776,1.84672,5.61088,-4.70106,0.9546,-5.91008
32,-2.14785,-4.16295,-6.72144,0.82784,5.1008,-5.21274,-1.84556,-6.68096
33,-0.11137,-2.88695,-5.17776,3.62976,6.376,-4.18938,-0.82732,-3.8544
34,2.68879,-0.59015,-3.3768,5.15808,6.88608,-3.42186,1.20916,-1.2848
35,0.90687,-1.10055,-4.40592,2.8656,4.59072,-5.72442,-0.57276,-2.5696
36,-0.36593,-1.10055,-3.89136,2.35616,4.59072,-6.49194,-0.3182,-2.31264
37,2.94335,3.23785,0.4824,5.92224,9.18144,-3.16602,3.75476,1.54176
38,4.72527,5.53465,2.79792,7.96,11.4768,-0.60762,4.773,3.8544
39,0.65231,1.45145,-0.28944,5.15808,8.41632,-2.14266,-0.3182,0.51392
40,-3.16609,-2.63175,-4.40592,0.82784,3.8256,-4.44522,-6.6822,-4.36832
41,-0.87505,-0.59015,-1.83312,2.10144,5.86592,-2.14266,-6.6822,-3.34048
42,1.67055,1.45145,0.22512,4.39392,7.90624,-0.09594,-5.91852,-3.08352
43,-0.36593,-0.59015,-1.57584,2.61088,6.63104,-2.3985,-7.70044,-6.93792
44,-0.62049,-0.07975,-1.57584,1.33728,5.1008,-4.44522,-7.70044,-7.45184
45,3.70703,3.74825,0.4824,2.8656,6.12096,-2.3985,-4.1366,-3.34048
46,6.76175,6.30025,1.51152,4.39392,7.6512,-0.09594,-0.3182,-1.2848
47,2.43423,2.21705,-2.34768,1.08256,3.31552,-3.16602,-2.8638,-6.16704
48,-0.87505,-0.84535,-5.17776,-0.44576,-0.51008,-6.2361,-4.39116,-9.25056
49,3.70703,4.25865,-0.54672,4.90336,2.04032,-3.93354,1.71828,-4.11136
50,8.79823,9.87305,4.59888,8.72416,4.33568,-1.88682,6.80948,1.54176
51,8.54367,9.61785,5.11344,6.6864,2.5504,-3.6777,6.80948,2.82656
52,8.28911,10.12825,6.65712,6.6864,2.04032,-4.18938,9.10052,4.36832
53,10.58015,12.93545,9.22992,9.48832,4.84576,-0.86346,13.17348,7.19488
