Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,-1.63873,-1.61095,-5.17776,-8.08736,-19.38304,-22.35402,-8.71868,5.1392
1,3.45247,2.21705,-2.60496,-6.30432,-18.10784,-21.5865,-5.66396,6.93792
2,1.92511,0.68585,-5.17776,-8.85152,-23.20864,-27.9825,-5.66396,4.88224
3,-1.12961,-1.10055,-6.72144,-10.88928,-24.73888,-33.61098,-4.1366,4.88224
4,-0.62049,-0.07975,-4.92048,-10.88928,-24.48384,-33.86682,-3.11836,5.65312
5,-4.18433,-3.39735,-6.72144,-11.90816,-26.01408,-30.02922,-9.48236,2.31264
6,-7.49361,-6.71495,-9.29424,-11.90816,-26.01408,-25.93578,-12.53708,2.05568
7,0.39775,0.17545,-4.40592,-7.3232,-21.6784,-24.65658,-4.1366,9.25056
8,6.50719,8.85225,3.82704,-0.44576,-15.55744,-23.12154,3.75476,16.18848
9,-2.65697,2.98265,2.28336,-2.73824,-17.08768,-25.4241,-3.37292,11.82016
10,-4.94801,-2.37655,-2.34768,-7.3232,-20.65824,-28.23834,-6.42764,7.19488
11,7.01631,4.76905,1.51152,-3.24768,-15.3024,-23.88906,1.97284,12.33408
12,4.72527,5.27945,3.31248,-0.19104,-11.4768,-19.79562,-0.57276,12.848
13,-5.20257,-0.59015,-0.54672,-1.46464,-15.3024,-25.16826,-7.70044,8.73664
14,-0.87505,1.70665,0.4824,0.3184,-15.04736,-27.9825,-4.1366,11.5632
15,7.77999,8.34185,6.39984,5.4128,-9.69152,-24.40074,1.97284,17.73024
16,13.12575,14.97705,12.06,9.74304,-5.1008,-19.28394,6.0458,20.5568
17,9.30735,12.42505,8.97264,5.4128,-9.18144,-22.09818,1.20916,14.38976
18,7.01631,6.81065,3.56976,-1.71936,-16.5776,-27.9825,-3.37292,8.73664
19,10.07103,7.83145,6.39984,-0.44576,-15.04736,-25.16826,-0.3182,11.30624
20,11.08927,11.91465,12.31728,7.19584,-7.39616,-17.49306,4.26388,17.47328
21,13.63487,13.19065,14.11824,10.76192,-4.33568,-14.67882,7.06404,19.272
