Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,17.70783,9.61785,3.0552,2.61088,0.0,-1.63098,6.55492,6.93792
1,1.92511,5.53465,3.82704,5.92224,6.376,2.20662,2.48196,8.47968
2,1.67055,9.10745,8.97264,11.01664,11.4768,8.60262,6.55492,12.848
3,10.32559,12.16985,9.74448,10.25248,9.43648,8.34678,10.37332,11.5632
4,3.96159,6.30025,4.3416,4.39392,4.84576,-0.86346,6.55492,5.39616
5,2.68879,8.34185,6.39984,5.4128,6.63104,-3.6777,8.08228,8.22272
6,19.23519,23.14345,20.03568,16.8752,19.38304,5.78838,20.55572,20.5568
7,30.43583,31.82025,28.01136,22.98848,26.7792,16.02198,27.17428,24.92512
8,23.05359,24.67465,22.3512,17.63936,22.9536,22.41798,21.82852,18.24416
9,21.78079,19.82585,15.66192,9.99776,13.00704,11.6727,18.7738,12.848
10,22.79903,20.08105,14.37552,8.21472,9.18144,-5.21274,18.26468,14.90368
11,12.10751,16.76345,14.37552,10.25248,11.98688,-4.70106,14.9554,17.21632
12,5.23439,13.70105,12.83184,9.74304,13.26208,4.50918,11.137,15.67456
13,14.65311,19.57065,17.2056,16.8752,22.44352,11.92854,16.2282,21.07072
14,30.18127,29.26825,22.3512,21.20544,22.9536,22.41798,24.62868,25.95296
15,34.25423,30.03385,20.29296,15.85632,11.22176,14.99862,25.1378,22.86944
16,24.83551,22.88825,14.6328,9.48832,4.33568,2.7183,17.75556,18.75808
17,18.47151,21.10185,16.94832,15.34688,15.3024,9.88182,15.46452,23.38336
18,16.94415,21.61225,19.7784,18.91296,19.38304,15.76614,16.48276,25.43904
19,22.03535,22.63305,17.97744,15.85632,13.77216,8.60262,17.501,21.32768
20,25.85375,19.82585,13.60368,11.27136,7.90624,0.92742,15.97364,15.93152
21,19.99887,12.93545,7.94352,5.92224,1.2752,-3.93354,9.60964,10.02144
22,14.65311,10.89385,6.9144,5.92224,1.02016,-1.37514,8.08228,9.50752
23,12.10751,9.61785,5.37072,6.17696,2.80544,5.02086,6.30036,6.68096
24,14.14399,7.32105,1.25424,3.12032,1.2752,0.41574,6.30036,3.08352
25,22.28991,10.89385,2.54064,5.4128,4.33568,-8.28282,10.88244,5.39616
26,7.77999,5.02425,-0.28944,2.8656,0.51008,-10.84122,2.2274,1.54176
27,-2.65697,-1.35575,-5.9496,-4.52128,-9.18144,-2.91018,-5.66396,-6.16704
28,1.67055,-0.84535,-7.49328,-6.81376,-10.45664,6.30006,-4.39116,-7.7088
29,10.32559,6.81065,-1.06128,2.10144,0.51008,3.48582,3.24564,0.77088
30,9.81647,6.81065,-1.57584,2.35616,1.2752,0.67158,0.19092,-2.82656
31,-1.63873,-4.67335,-13.15344,-10.63456,-12.49696,-2.65434,-14.57356,-17.73024
32,-7.74817,-11.05335,-17.78448,-13.94592,-14.0272,-1.1193,-18.64652,-19.78592
33,-1.12961,-4.92855,-9.29424,-4.01184,-4.33568,-3.42186,-7.955,-6.93792
34,11.08927,3.49305,-0.54672,3.62976,1.53024,-3.93354,1.71828,1.02784
