Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,29.67215,11.91465,4.3416,5.92224,9.94656,-8.53866,8.5914,7.19488
1,28.90847,12.42505,4.08432,5.15808,9.43648,-9.56202,9.10052,5.65312
2,27.63567,11.40425,3.56976,4.1392,8.41632,-10.58538,7.06404,4.36832
3,22.03535,6.81065,-0.03216,1.08256,5.61088,-11.86458,3.5002,2.31264
4,18.21695,4.25865,-3.11952,0.3184,5.86592,-11.3529,2.2274,1.2848
5,19.48975,6.81065,-1.83312,3.88448,9.69152,-8.02698,3.75476,3.34048
6,23.81727,13.44585,3.31248,10.25248,16.32256,-2.91018,9.10052,9.50752
7,25.85375,17.01865,4.3416,12.79968,18.87296,-1.63098,11.64612,13.87584
8,24.07183,14.46665,1.7688,9.99776,15.55744,-6.2361,9.10052,13.10496
9,21.78079,9.36265,-0.28944,6.6864,11.4768,-9.81786,7.3186,8.9936
10,22.54447,8.34185,-0.54672,5.92224,10.96672,-9.30618,9.10052,5.39616
11,23.30815,8.85225,-0.03216,6.17696,11.73184,-8.53866,10.37332,5.65312
12,20.25343,8.08665,-2.0904,5.15808,10.71168,-9.30618,8.33684,6.93792
13,18.72607,6.81065,-3.63408,5.66752,10.71168,-9.30618,6.80948,7.7088
14,23.05359,9.87305,-0.804,9.74304,14.53728,-6.2361,9.60964,8.73664
15,26.10831,12.42505,2.28336,12.54496,17.08768,-3.6777,10.37332,8.73664
16,21.78079,9.36265,-0.03216,9.48832,15.3024,-4.9569,6.30036,5.1392
17,19.48975,8.85225,0.22512,9.2336,15.81248,-4.9569,6.80948,6.16704
18,22.79903,12.68025,5.11344,13.30912,19.63808,-2.65434,11.39156,10.2784
19,21.52623,11.40425,5.37072,13.56384,19.128,-4.18938,11.137,8.73664
20,17.19871,8.08665,2.79792,12.03552,17.59776,-5.98026,9.8642,6.424
21,18.21695,9.36265,5.11344,14.07328,20.14816,-3.42186,11.90068,8.47968
22,22.03535,12.93545,9.22992,16.36576,22.18848,-0.86346,16.2282,10.79232
23,22.54447,14.21145,9.74448,15.6016,20.4032,-1.37514,17.24644,10.2784
24,22.28991,14.46665,8.45808,15.34688,18.61792,-2.14266,17.75556,10.53536
25,27.12655,17.52905,11.28816,19.16768,21.16832,1.18326,20.55572,14.90368
26,31.96319,21.35705,13.60368,22.47904,23.20864,3.48582,22.33764,17.9872
27,31.96319,21.35705,12.06,20.95072,22.44352,2.46246,20.81028,16.44544
28,28.65391,18.03945,9.4872,17.89408,21.42336,1.4391,18.26468,13.36192
29,26.36287,15.74265,8.97264,16.8752,21.42336,1.69494,16.48276,11.82016
30,28.39935,15.99785,12.57456,18.1488,22.9536,3.48582,17.501,11.82016
31,29.41759,14.72185,12.57456,16.36576,21.6784,3.74166,18.01012,11.5632
32,29.41759,13.70105,10.51632,13.56384,19.128,1.95078,19.28292,11.82016
33,31.96319,14.72185,10.7736,12.79968,17.34272,1.18326,22.5922,12.59104
34,34.25423,15.48745,11.28816,12.79968,15.55744,-0.09594,24.11956,14.1328
35,30.69039,13.19065,7.94352,9.74304,10.71168,-4.44522,20.0466,13.36192
36,22.03535,7.57625,1.51152,5.4128,6.88608,-6.2361,13.17348,9.25056
37,18.47151,7.06585,1.25424,6.17696,8.67136,-3.42186,12.4098,9.25056
38,22.28991,11.40425,6.65712,10.76192,13.51712,0.1599,16.48276,12.33408
39,21.52623,10.89385,7.42896,10.76192,12.49696,-2.3985,14.9554,10.53536
40,18.47151,7.57625,5.88528,8.97888,10.71168,-5.46858,13.17348,9.25056
41,18.47151,7.83145,5.88528,10.5072,10.71168,-4.70106,14.44628,12.59104
42,19.48975,9.36265,6.65712,11.01664,9.94656,-2.91018,15.46452,14.90368
43,21.01711,10.89385,7.42896,10.76192,9.94656,-1.63098,15.20996,15.4176
44,20.25343,10.38345,6.65712,9.2336,9.94656,-2.65434,13.17348,12.33408
45,18.21695,7.83145,6.14256,8.72416,10.96672,-3.42186,11.137,9.76448
46,19.74431,7.32105,7.17168,10.76192,13.51712,-0.35178,10.88244,10.02144
47,19.48975,5.02425,5.88528,11.27136,13.51712,1.18326,7.82772,8.9936
48,16.68959,-0.33495,2.79792,8.46944,10.45664,-0.86346,4.26388,8.22272
49,18.47151,-0.07975,4.85616,8.72416,10.96672,-2.14266,6.30036,10.53536
50,19.23519,0.43065,7.17168,7.19584,8.9264,-3.6777,6.30036,10.02144
51,15.41679,-3.39735,4.3416,2.61088,3.06048,-7.77114,1.71828,5.1392
52,14.39855,-4.41815,2.79792,0.82784,1.2752,-10.0737,-0.06364,4.11136
53,18.47151,0.17545,6.39984,4.1392,5.61088,-7.00362,3.5002,8.73664
54,20.76255,5.02425,10.00176,8.21472,8.9264,-4.70106,7.3186,13.36192
55,17.70783,3.74825,8.45808,6.6864,7.6512,-5.46858,6.0458,13.10496
56,11.85295,-2.88695,3.31248,1.592,3.8256,-8.53866,0.9546,7.96576
57,9.56191,-6.71495,0.99696,1.33728,3.8256,-8.7945,-0.57276,4.36832
58,12.36207,-4.41815,4.3416,4.90336,8.41632,-5.46858,3.24564,4.62528
59,13.38031,-1.61095,7.17168,6.94112,11.22176,-4.44522,5.79124,6.424
60,12.61663,-0.84535,6.9144,6.17696,10.71168,-7.00362,6.0458,7.7088
61,11.08927,-1.86615,4.85616,5.4128,8.9264,-9.30618,5.53668,8.73664
62,10.58015,-1.86615,5.628,6.94112,8.9264,-9.30618,6.0458,10.02144
63,9.30735,-3.90775,3.82704,5.15808,6.63104,-11.86458,3.5002,8.73664
64,7.27087,-4.92855,0.22512,2.61088,3.31552,-15.1905,0.44548,5.91008
65,5.99807,-4.16295,-1.83312,0.82784,1.78528,-16.4697,-0.3182,3.59744
66,4.97983,-3.39735,-2.0904,-0.19104,1.2752,-16.72554,-1.33644,1.2848
67,2.94335,-5.18375,-3.3768,-1.71936,0.51008,-17.23722,-3.88204,-0.25696
68,3.96159,-5.69415,-3.3768,-0.44576,1.2752,-16.72554,-2.8638,1.02784
69,7.77999,-2.88695,-0.54672,2.8656,4.08064,-14.67882,1.20916,5.65312
70,13.12575,2.21705,6.14256,8.72416,9.69152,-9.81786,7.3186,11.82016
71,12.87119,4.00345,9.74448,10.5072,11.73184,-8.02698,8.84596,12.848
72,11.08927,3.49305,9.4872,10.76192,11.73184,-9.05034,8.08228,12.33408
73,10.32559,1.70665,7.17168,9.74304,10.2016,-11.09706,5.53668,10.53536
74,5.74351,-3.90775,1.7688,5.15808,4.84576,-15.1905,-0.57276,6.93792
75,-1.63873,-11.05335,-4.92048,-1.97408,-1.53024,-20.05146,-8.97324,2.05568
76,-9.27553,-17.68855,-12.63888,-8.08736,-6.88608,-23.63322,-15.33724,-2.5696
77,-11.31201,-18.70935,-15.72624,-9.61568,-7.90624,-23.88906,-16.35548,-5.91008
78,-9.02097,-15.90215,-14.43984,-7.83264,-7.14112,-23.12154,-15.08268,-7.45184
79,-5.71169,-12.83975,-11.35248,-6.0496,-5.61088,-21.33066,-14.06444,-7.45184
80,-3.92977,-12.32935,-11.60976,-6.81376,-6.376,-19.79562,-17.11916,-7.96576
81,-5.71169,-14.11575,-15.21168,-8.34208,-8.16128,-18.51642,-20.683,-8.47968
82,-4.69345,-13.60535,-15.46896,-7.3232,-7.6512,-17.23722,-19.66476,-6.16704
83,-2.91153,-12.32935,-12.89616,-6.30432,-6.376,-16.4697,-17.37372,-3.08352
84,-4.43889,-13.60535,-11.86704,-6.55904,-6.12096,-17.49306,-16.10092,-2.31264
85,-2.65697,-11.30855,-8.00784,-2.99296,-2.80544,-15.70218,-12.79164,0.77088
86,0.65231,-6.71495,-3.63408,1.08256,0.25504,-12.88794,-9.48236,1.79872
87,-1.63873,-7.73575,-5.9496,-0.70048,-2.29536,-14.93466,-11.51884,-2.5696
88,-3.92977,-9.77735,-10.32336,-2.99296,-4.84576,-17.49306,-13.55532,-5.1392
89,-0.36593,-8.50135,-9.55152,-1.20992,-3.31552,-15.44634,-12.02796,-2.5696
90,3.45247,-5.43895,-5.43504,2.10144,-1.02016,-12.37626,-8.97324,1.54176
91,2.68879,-6.45975,-4.92048,1.33728,-2.29536,-13.39962,-9.48236,3.34048
92,-0.62049,-9.26695,-7.49328,-1.20992,-4.59072,-16.21386,-11.7734,2.05568
93,-3.42065,-12.32935,-11.35248,-4.52128,-7.14112,-18.77226,-15.08268,-2.5696
94,-4.69345,-13.60535,-13.15344,-6.30432,-8.16128,-19.0281,-16.35548,-5.39616
95,-3.42065,-13.35015,-13.15344,-5.79488,-6.63104,-16.72554,-15.33724,-5.39616
96,-4.18433,-14.11575,-14.18256,-6.0496,-7.39616,-16.4697,-15.84636,-6.68096
97,-3.92977,-13.35015,-14.18256,-5.54016,-6.88608,-15.95802,-16.35548,-6.68096
98,-2.65697,-11.56375,-13.15344,-4.776,-5.35584,-13.9113,-17.11916,-4.88224
99,-3.16609,-12.32935,-14.9544,-6.30432,-7.39616,-15.70218,-19.15564,-5.39616
100,-2.91153,-12.83975,-14.9544,-6.30432,-8.16128,-18.26058,-17.62828,-4.62528
101,0.90687,-9.26695,-10.83792,-2.48352,-4.59072,-16.98138,-12.28252,-0.77088
102,3.96159,-3.65255,-6.72144,1.33728,-0.76512,-14.16714,-6.93676,4.11136
103,0.39775,-4.92855,-9.03696,-0.70048,-2.5504,-14.42298,-8.20956,2.5696
104,-6.22081,-10.54295,-15.98352,-6.30432,-7.14112,-17.23722,-13.55532,-1.79872
105,-6.47537,-11.05335,-18.55632,-7.3232,-7.90624,-16.72554,-14.06444,-2.31264
106,-2.14785,-7.99095,-15.98352,-4.52128,-5.86592,-14.16714,-12.53708,-1.79872
