Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,-16.14865,-15.90215,-30.13392,-19.04032,-16.32256,-10.58538,-12.28252,-15.16064
1,-11.05745,-9.26695,-23.18736,-13.18176,-11.22176,-5.21274,-8.46412,-10.79232
2,-11.82113,-7.99095,-20.87184,-11.39872,-9.43648,-3.93354,-8.46412,-10.79232
3,-12.07569,-7.99095,-20.35728,-10.88928,-7.90624,-2.91018,-7.44588,-9.25056
4,-7.74817,-4.41815,-16.49808,-7.83264,-4.33568,0.1599,-3.88204,-4.36832
5,-4.43889,-2.12135,-14.18256,-7.83264,-4.59072,-0.35178,-3.37292,-3.59744
6,-5.20257,-4.67335,-16.75536,-11.65344,-9.43648,-6.2361,-5.91852,-7.19488
7,-6.22081,-6.97015,-19.32816,-14.45536,-12.24192,-10.84122,-6.17308,-9.25056
8,-3.92977,-3.14215,-14.9544,-10.12512,-8.41632,-9.81786,-1.33644,-4.36832
9,-1.63873,1.45145,-9.8088,-6.0496,-4.33568,-8.28282,2.2274,0.51392
10,-5.20257,-1.35575,-12.3816,-8.08736,-6.376,-11.86458,-1.84556,-2.5696
11,-7.74817,-4.41815,-15.46896,-10.37984,-7.14112,-13.39962,-3.62748,-6.93792
12,-4.94801,-1.10055,-12.12432,-6.30432,-2.04032,-8.7945,0.70004,-4.62528
13,-1.63873,2.21705,-7.49328,-1.71936,0.76512,-4.70106,3.5002,-2.05568
14,-3.16609,0.17545,-8.5224,-2.73824,-2.04032,-6.49194,0.9546,-3.8544
15,-5.45713,-0.84535,-9.55152,-4.26656,-4.59072,-8.02698,-0.82732,-5.91008
16,-4.18433,-0.07975,-8.5224,-4.01184,-4.33568,-7.25946,0.19092,-6.424
17,-2.40241,-0.07975,-7.49328,-2.99296,-3.8256,-7.00362,-0.06364,-6.93792
18,-4.43889,-3.65255,-9.29424,-4.26656,-5.1008,-10.0737,-3.11836,-8.47968
19,-6.47537,-6.20455,-10.83792,-6.0496,-6.376,-11.86458,-5.15484,-9.76448
20,-4.69345,-4.16295,-9.8088,-5.28544,-5.61088,-9.81786,-2.8638,-9.50752
21,-2.40241,-1.10055,-8.5224,-4.01184,-4.84576,-8.53866,-0.57276,-8.47968
22,-2.91153,-2.12135,-9.29424,-5.03072,-6.88608,-10.32954,-1.591,-9.25056
23,-4.43889,-3.90775,-10.83792,-6.81376,-8.67136,-12.88794,-3.88204,-9.50752
24,-5.45713,-3.90775,-11.35248,-7.06848,-9.43648,-12.37626,-5.15484,-9.76448
25,-6.47537,-4.67335,-12.3816,-8.5968,-11.22176,-11.86458,-6.17308,-12.59104
26,-10.54833,-9.52215,-17.01264,-14.20064,-15.81248,-16.21386,-9.2278,-17.9872
27,-10.80289,-10.79815,-17.5272,-15.47424,-16.5776,-18.00474,-7.70044,-18.75808
28,-4.94801,-5.94935,-11.60976,-10.12512,-11.22176,-13.39962,-2.10012,-13.36192
29,-2.40241,-3.39735,-8.5224,-6.55904,-7.6512,-11.3529,0.9546,-10.02144
30,-4.43889,-4.67335,-10.58064,-7.06848,-8.16128,-12.12042,0.9546,-9.25056
31,-4.43889,-4.16295,-10.58064,-7.3232,-7.39616,-11.3529,2.2274,-6.16704
32,-1.89329,-1.10055,-8.26512,-6.30432,-5.35584,-8.53866,4.773,-2.05568
33,-0.36593,0.43065,-6.97872,-6.0496,-5.35584,-8.02698,5.79124,-2.31264
34,-3.42065,-3.14215,-9.55152,-8.34208,-8.16128,-10.32954,1.71828,-7.19488
35,-5.71169,-5.43895,-11.60976,-9.8704,-8.67136,-10.32954,-1.84556,-9.25056
