Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,3.19791,8.85225,13.60368,13.81856,15.55744,10.64934,8.08228,7.19488
1,7.52543,11.91465,16.69104,19.4224,20.4032,15.5103,12.66436,12.59104
2,8.79823,11.65945,15.66192,18.40352,14.79232,12.9519,10.11876,11.82016
3,7.77999,7.83145,10.7736,12.54496,7.6512,7.32342,5.53668,7.96576
4,11.34383,8.08665,10.25904,11.7808,9.69152,10.3935,8.5914,9.50752
5,18.98063,16.25305,17.97744,20.696,21.16832,24.20886,16.73732,18.24416
6,20.50799,19.82585,20.55024,20.95072,19.128,16.27782,17.501,18.24416
7,12.87119,12.42505,11.54544,9.99776,4.33568,-0.86346,7.57316,7.45184
8,5.99807,8.08665,8.2008,8.97888,4.33568,-0.09594,3.24564,5.65312
9,9.81647,12.68025,13.08912,14.83744,9.43648,9.88182,7.06404,10.2784
10,14.90767,16.76345,17.2056,18.40352,11.73184,13.71942,9.8642,12.33408
11,16.43503,17.52905,17.72016,18.65824,12.752,14.48694,10.88244,11.04928
12,17.45327,18.03945,18.492,20.44128,15.55744,18.32454,11.64612,12.07712
13,19.48975,20.59145,21.57936,24.77152,18.36288,22.16214,14.9554,15.4176
14,19.48975,21.10185,22.3512,26.29984,17.59776,23.69718,17.75556,16.44544
15,20.25343,21.10185,22.09392,26.80928,18.10784,25.7439,19.79204,16.7024
16,21.01711,21.61225,22.60848,27.57344,18.61792,20.88294,19.53748,16.95936
17,22.03535,23.90905,25.69584,30.8848,23.46368,24.72054,21.82852,19.78592
18,21.52623,24.41945,25.95312,31.90368,25.504,24.97638,21.82852,19.78592
19,16.18047,19.31545,20.55024,25.7904,20.65824,16.27782,17.75556,15.67456
20,12.87119,17.27385,19.52112,22.98848,19.38304,13.97526,17.501,16.44544
21,15.16223,19.31545,22.3512,22.98848,19.89312,16.7895,19.28292,19.01504
22,13.12575,17.27385,21.83664,20.696,17.08768,15.5103,16.2282,16.44544
23,10.32559,13.70105,18.74928,17.89408,15.55744,15.76614,13.17348,13.36192
24,9.05279,13.19065,16.43376,15.85632,15.3024,18.83622,14.44628,12.33408
25,12.61663,17.27385,18.74928,18.1488,19.128,22.92966,19.79204,15.16064
26,11.08927,16.76345,19.00656,19.4224,19.38304,21.9063,19.79204,15.4176
27,7.27087,12.42505,15.9192,16.11104,13.26208,15.5103,15.97364,12.07712
28,7.52543,11.91465,15.66192,15.6016,13.77216,18.0687,17.75556,13.36192
29,13.88943,15.99785,18.492,18.40352,19.89312,29.32566,21.82852,16.95936
30,5.74351,9.10745,10.00176,7.96,6.63104,14.99862,11.39156,7.7088
31,-5.96625,0.43065,2.54064,0.57312,-3.06048,-1.1193,1.71828,-0.51392
32,-4.43889,4.51385,8.71536,10.5072,6.88608,1.95078,4.773,4.88224
33,2.43423,9.61785,14.11824,16.62048,10.71168,8.60262,8.5914,8.22272
34,5.99807,8.85225,12.06,13.56384,6.63104,11.6727,8.5914,4.88224
35,5.48895,6.30025,8.97264,11.01664,3.57056,9.62598,8.84596,3.34048
36,12.10751,13.70105,15.40464,20.44128,12.752,16.7895,16.73732,12.07712
37,13.12575,17.01865,18.492,24.26208,14.53728,16.27782,18.26468,13.36192
38,11.08927,14.21145,14.37552,18.91296,5.86592,2.46246,14.70084,7.7088
39,7.27087,9.61785,9.22992,15.09216,3.06048,-1.37514,11.39156,3.8544
40,4.47071,7.83145,7.94352,16.62048,7.39616,8.60262,11.137,5.1392
41,9.56191,12.42505,12.06,20.696,13.00704,16.7895,14.9554,8.9936
42,10.58015,13.44585,12.57456,19.93184,12.24192,12.9519,14.44628,8.9936
43,4.47071,10.12825,9.74448,18.1488,9.43648,5.78838,11.137,8.73664
44,4.21615,8.85225,8.45808,17.63936,8.67136,4.25334,11.137,8.47968
45,8.28911,10.38345,9.22992,16.62048,6.376,5.78838,12.15524,7.45184
46,6.25263,9.61785,8.71536,16.11104,8.16128,13.46358,7.3186,4.62528
47,-3.92977,1.96185,2.28336,11.27136,4.59072,7.57926,-1.33644,-0.25696
