Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,-0.87505,-1.35575,-16.49808,0.57312,0.76512,2.20662,-6.93676,-7.96576
1,-1.12961,-2.37655,-17.5272,-1.71936,-1.02016,0.1599,-8.97324,-8.73664
2,-0.11137,-1.86615,-17.78448,-3.24768,-1.78528,-0.86346,-8.71868,-8.73664
3,-0.36593,-3.65255,-20.61456,-5.79488,-3.57056,-3.42186,-9.73692,-10.2784
4,-2.40241,-7.22535,-23.9592,-8.85152,-6.12096,-4.44522,-11.26428,-12.33408
5,-4.43889,-10.28775,-26.27472,-11.90816,-7.6512,-3.93354,-12.79164,-13.36192
6,-5.45713,-13.35015,-27.8184,-14.20064,-8.67136,-4.18938,-14.319,-14.1328
7,-8.00273,-16.41255,-29.1048,-16.2384,-10.2016,-4.9569,-17.37372,-15.4176
8,-10.03921,-16.92295,-28.33296,-15.72896,-8.67136,-3.93354,-19.4102,-15.4176
9,-10.80289,-15.90215,-27.30384,-14.20064,-7.6512,-1.88682,-20.17388,-14.1328
10,-10.29377,-14.62615,-26.27472,-14.71008,-8.67136,-2.14266,-19.66476,-12.59104
11,-9.53009,-13.60535,-25.50288,-15.98368,-9.43648,-2.91018,-18.39196,-13.10496
12,-8.51185,-12.58455,-24.47376,-15.98368,-9.69152,-3.6777,-16.10092,-14.38976
13,-4.69345,-8.75655,-20.61456,-11.39872,-6.63104,-1.37514,-11.7734,-11.30624
14,-2.40241,-5.94935,-15.72624,-7.83264,-3.31552,1.69494,-9.2278,-8.73664
15,-3.92977,-6.97015,-13.92528,-8.34208,-2.5504,2.7183,-9.73692,-8.22272
16,-2.40241,-5.69415,-10.06608,-6.0496,-0.51008,3.9975,-7.70044,-6.68096
17,3.96159,1.19625,-1.83312,1.33728,5.35584,7.32342,-2.10012,-1.2848
18,7.01631,6.30025,3.0552,5.66752,8.67136,8.85846,-1.33644,1.2848
19,2.94335,4.51385,-0.54672,2.35616,5.1008,5.78838,-6.17308,-3.34048
20,-1.89329,-0.59015,-6.97872,-2.48352,-0.51008,0.67158,-9.73692,-7.96576
21,0.39775,-0.33495,-8.5224,-1.20992,-0.25504,1.18326,-7.19132,-6.16704
22,5.99807,4.51385,-5.9496,2.10144,3.31552,4.76502,-1.84556,-2.05568
23,8.03455,6.55545,-4.92048,2.61088,4.59072,5.02086,1.71828,-1.2848
24,5.48895,3.23785,-7.75056,0.06368,2.29536,3.74166,0.9546,-4.62528
25,3.70703,0.17545,-10.83792,-1.46464,0.25504,4.50918,-0.57276,-6.16704
26,5.48895,0.43065,-11.35248,-0.9552,0.51008,6.30006,-1.33644,-5.39616
27,2.94335,-1.86615,-14.18256,-2.99296,-1.78528,4.25334,-5.15484,-6.93792
28,-3.42065,-6.97015,-17.5272,-7.3232,-6.12096,0.41574,-9.73692,-9.50752
29,-3.42065,-6.20455,-15.46896,-5.54016,-4.59072,1.4391,-8.20956,-7.19488
30,-0.87505,-2.88695,-12.63888,-2.48352,-2.04032,2.97414,-5.91852,-5.91008
31,-1.38417,-3.14215,-14.18256,-2.48352,-2.29536,1.69494,-7.44588,-6.424
32,-0.62049,-4.16295,-15.72624,-2.99296,-2.80544,0.92742,-8.97324,-5.65312
33,3.70703,-1.10055,-13.15344,-1.20992,-1.53024,2.46246,-6.6822,-1.79872
34,7.27087,2.21705,-9.03696,0.57312,0.25504,3.74166,-4.39116,1.54176
35,6.50719,1.45145,-8.5224,-0.44576,-1.2752,1.4391,-5.66396,1.02784
36,5.74351,0.68585,-9.29424,-1.20992,-2.29536,0.1599,-6.42764,0.51392
37,5.99807,2.72745,-8.5224,0.57312,-0.51008,1.69494,-6.17308,2.5696
38,4.72527,2.98265,-9.29424,0.82784,-0.76512,2.20662,-6.93676,2.31264
39,2.43423,0.94105,-10.83792,-0.44576,-2.29536,0.67158,-7.70044,0.77088
40,0.39775,-0.84535,-11.60976,-1.46464,-3.31552,-0.09594,-7.19132,-1.2848
41,0.14319,-0.84535,-11.60976,-0.9552,-3.31552,0.92742,-6.6822,-2.31264
42,-1.38417,-2.63175,-14.69712,-2.48352,-4.84576,0.67158,-9.48236,-4.36832
43,-1.89329,-1.61095,-17.01264,-2.48352,-4.84576,1.4391,-8.46412,-2.31264
44,1.16143,4.25865,-13.668,1.592,-0.76512,4.76502,-4.1366,3.59744
45,3.70703,8.59705,-9.29424,5.4128,2.5504,7.32342,-1.591,5.91008
46,3.96159,7.83145,-9.29424,4.90336,1.78528,7.06758,-3.62748,2.5696
47,0.39775,4.00345,-13.15344,1.08256,-1.53024,5.2767,-6.42764,-0.77088
48,-0.87505,4.51385,-12.89616,1.33728,-1.02016,6.30006,-5.15484,0.77088
49,1.41599,8.85225,-8.77968,4.90336,2.5504,7.8351,-2.60924,3.59744
50,2.94335,10.38345,-6.46416,6.43168,3.57056,6.81174,-2.8638,4.11136
51,2.43423,8.34185,-8.00784,4.39392,1.78528,5.2767,-5.15484,1.2848
52,2.94335,8.34185,-9.8088,4.90336,2.5504,6.5559,-4.1366,1.2848
53,4.47071,9.61785,-9.8088,6.17696,4.08064,7.32342,-3.11836,2.82656
54,3.19791,7.83145,-11.60976,3.37504,1.53024,5.02086,-6.6822,1.79872
55,2.17967,5.27945,-13.92528,-0.19104,-1.02016,3.74166,-9.73692,-2.5696
56,2.68879,4.25865,-14.18256,-0.9552,-0.51008,4.25334,-9.2278,-5.65312
57,3.45247,6.04505,-12.12432,1.08256,0.76512,5.02086,-6.93676,-4.88224
