Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,2.43423,3.23785,11.28816,9.48832,6.88608,17.55702,2.73652,-0.25696
1,5.99807,7.06585,15.40464,14.07328,12.49696,22.16214,8.08228,5.65312
2,6.50719,8.59705,17.2056,16.11104,15.55744,22.67382,10.37332,7.7088
3,2.68879,5.53465,15.66192,15.34688,14.53728,22.16214,8.33684,5.91008
4,3.19791,7.32105,18.492,17.89408,16.83264,25.48806,11.137,8.73664
5,8.03455,12.42505,24.40944,23.2432,21.42336,27.27894,16.73732,14.64672
6,6.50719,10.89385,23.38032,23.2432,20.91328,22.41798,15.20996,12.848
7,0.14319,4.00345,16.69104,17.63936,14.79232,16.02198,10.11876,6.68096
8,0.65231,4.00345,17.46288,17.89408,15.04736,16.53366,11.137,8.73664
9,6.76175,10.38345,24.66672,22.98848,20.14816,20.88294,15.97364,15.16064
10,7.27087,10.89385,27.23952,23.2432,20.4032,18.83622,15.71908,15.93152
11,1.92511,5.02425,22.60848,18.40352,15.81248,11.92854,11.39156,12.07712
12,3.19791,5.27945,22.86576,18.1488,17.34272,11.6727,13.6826,14.1328
13,12.36207,12.93545,29.29776,23.75264,21.42336,16.27782,19.28292,19.01504
14,14.90767,15.23225,30.84144,25.7904,19.128,18.0687,18.26468,17.47328
15,11.59839,11.65945,27.4968,23.49792,13.51712,16.02198,13.6826,13.36192
16,11.34383,11.91465,27.75408,23.2432,11.73184,15.25446,13.93716,14.38976
17,14.14399,15.99785,31.09872,26.80928,13.51712,19.3479,17.75556,17.9872
18,13.12575,14.97705,30.0696,26.04512,12.24192,21.13878,16.73732,16.44544
19,7.27087,7.57625,23.6376,19.4224,7.6512,17.30118,11.137,10.2784
20,3.45247,2.72745,20.55024,15.85632,5.86592,16.02198,8.84596,7.45184
21,5.74351,5.53465,24.66672,17.89408,8.41632,20.88294,12.15524,10.2784
22,7.27087,8.34185,28.26864,17.63936,8.16128,22.92966,14.44628,11.82016
23,4.47071,7.06585,26.2104,12.79968,5.35584,18.32454,11.64612,8.47968
24,4.72527,6.81065,25.43856,11.52608,6.88608,16.53366,12.66436,8.22272
25,9.81647,11.40425,29.55504,14.58272,11.98688,19.85958,18.26468,14.38976
26,11.85295,14.72185,32.6424,16.8752,13.26208,21.39462,22.08308,19.01504
27,10.83471,15.23225,32.89968,16.8752,12.752,19.60374,23.35588,21.32768
28,13.38031,17.52905,34.18608,18.1488,14.28224,19.60374,26.15604,24.4112
29,16.43503,21.35705,37.788,21.20544,16.32256,20.88294,29.46532,27.75168
30,16.43503,21.61225,38.81712,20.95072,15.3024,17.55702,30.48356,27.49472
31,15.16223,19.82585,36.75888,18.1488,13.51712,13.20774,29.46532,25.696
32,14.65311,19.06025,35.47248,17.12992,12.752,11.41686,29.21076,27.23776
33,17.45327,22.37785,38.55984,20.696,15.3024,13.20774,33.02916,33.14784
34,18.72607,24.92985,41.6472,22.98848,16.06752,12.69606,34.30196,35.71744
35,14.14399,20.59145,38.04528,18.65824,11.73184,7.32342,29.46532,30.06432
36,10.58015,16.76345,34.18608,13.81856,8.41632,1.18326,25.64692,24.66816
37,8.03455,14.46665,31.356,11.7808,6.376,-0.86346,24.11956,19.78592
38,3.19791,10.12825,25.95312,8.46944,3.06048,-1.88682,19.79204,15.16064
39,1.41599,8.59705,22.86576,7.96,1.78528,-2.91018,17.501,14.1328
40,3.70703,10.63865,23.38032,9.48832,3.31552,-2.65434,19.53748,16.95936
41,6.76175,13.70105,24.924,9.99776,5.1008,0.1599,21.3194,19.78592
42,5.48895,11.65945,23.6376,6.6864,2.29536,-2.14266,18.26468,15.93152
43,-0.62049,4.25865,16.69104,-0.44576,-4.84576,-11.3529,9.8642,7.19488
44,-3.92977,1.70665,13.08912,-4.01184,-7.39616,-14.42298,6.30036,4.36832
45,-0.87505,6.30025,16.69104,-0.44576,-2.5504,-6.74778,10.37332,7.7088
46,-0.62049,7.57625,18.492,0.82784,0.0,-2.14266,11.64612,8.47968
47,-2.40241,4.51385,17.97744,-0.44576,-1.53024,-4.44522,10.62788,7.19488
48,-0.62049,5.53465,20.29296,1.08256,-1.53024,-4.18938,13.42804,8.73664
49,3.70703,11.14905,25.43856,4.39392,2.29536,0.1599,18.7738,13.36192
50,5.23439,13.95625,26.98224,4.39392,2.29536,1.69494,18.7738,14.1328
51,0.65231,8.34185,21.32208,-0.44576,-3.57056,-1.63098,12.15524,9.76448
52,-1.89329,2.72745,16.43376,-3.24768,-7.39616,-2.65434,8.33684,8.73664
53,-2.40241,1.45145,15.40464,-3.24768,-8.16128,-0.60762,7.3186,8.47968
54,-3.42065,1.96185,14.37552,-3.24768,-10.2016,0.1599,5.79124,6.68096
55,-4.18433,0.94105,11.28816,-5.28544,-12.752,0.1599,3.5002,4.11136
56,-0.62049,2.72745,11.54544,-4.776,-11.22176,2.46246,5.53668,6.16704
57,3.96159,6.30025,14.6328,-1.71936,-7.39616,6.81174,9.10052,8.9936
58,0.65231,5.02425,12.31728,-2.73824,-8.41632,7.57926,5.28212,5.39616
59,-6.47537,0.43065,8.71536,-6.55904,-11.22176,3.9975,-0.06364,1.54176
60,-6.22081,0.43065,11.03088,-5.28544,-9.43648,0.41574,1.71828,3.34048
61,0.65231,4.51385,16.43376,-1.20992,-5.35584,1.69494,6.30036,6.68096
62,4.47071,7.32105,17.97744,0.3184,-5.1008,3.48582,7.3186,7.45184
63,1.67055,5.78985,15.14736,-2.48352,-8.41632,0.67158,2.2274,3.34048
64,-0.11137,4.51385,14.6328,-3.24768,-9.18144,-1.63098,1.20916,2.05568
65,6.25263,9.87305,20.80752,1.592,-3.8256,0.1599,7.82772,7.19488
66,13.38031,16.25305,26.72496,6.17696,0.76512,0.92742,13.17348,11.5632
67,13.12575,16.76345,26.2104,6.17696,0.51008,-0.09594,12.15524,10.53536
68,10.58015,15.74265,24.66672,6.43168,0.25504,1.95078,11.64612,11.04928
69,14.65311,20.33625,28.7832,12.03552,5.1008,8.60262,17.501,17.9872
70,15.67135,22.12265,30.84144,14.83744,6.88608,9.1143,19.02836,20.29984
71,9.56191,17.01865,27.23952,10.76192,2.29536,2.46246,13.17348,14.1328
72,0.90687,8.85225,19.52112,2.8656,-5.1008,-3.6777,3.24564,4.11136
73,-3.67521,3.49305,12.06,-3.24768,-10.2016,-4.18938,-2.8638,-1.79872
74,-4.18433,1.70665,7.17168,-6.30432,-11.98688,-4.44522,-5.15484,-4.36832
75,-8.00273,-3.39735,1.7688,-9.36096,-15.55744,-9.81786,-7.955,-8.47968
76,-9.27553,-5.94935,-0.54672,-9.10624,-16.5776,-11.86458,-8.71868,-9.50752
