Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,8.54367,2.21705,-14.43984,5.4128,9.94656,-9.05034,1.71828,-14.1328
1,4.97983,0.43065,-16.49808,3.62976,11.4768,-4.70106,0.44548,-15.16064
2,5.74351,0.43065,-17.26992,2.61088,11.73184,-7.25946,-0.06364,-15.16064
3,-2.40241,-3.39735,-19.32816,0.82784,9.94656,-10.32954,-3.62748,-19.01504
4,0.90687,-3.39735,-20.35728,-0.44576,8.16128,-11.09706,-1.84556,-22.61248
5,3.96159,-4.16295,-24.73104,-4.52128,3.31552,-12.88794,-2.35468,-27.49472
6,-11.05745,-13.86055,-32.964,-12.16288,-3.06048,-16.72554,-12.53708,-34.43264
7,-10.03921,-13.35015,-32.19216,-11.65344,-0.76512,-16.21386,-12.02796,-33.4048
8,-9.53009,-12.58455,-30.13392,-12.16288,-0.51008,-14.67882,-12.53708,-34.17568
9,-9.53009,-13.86055,-30.64848,-14.45536,-3.57056,-15.70218,-13.0462,-35.20352
10,-0.36593,-9.52215,-28.59024,-13.6912,-1.78528,-14.93466,-7.19132,-33.4048
11,-4.94801,-9.52215,-25.50288,-10.12512,3.06048,-15.1905,-7.955,-32.12
12,-1.12961,-7.99095,-22.93008,-9.10624,1.78528,-19.28394,-7.955,-31.34912
13,-0.11137,-7.48055,-22.41552,-7.3232,6.12096,-15.70218,-6.6822,-29.29344
14,-4.18433,-7.48055,-21.64368,-3.75712,12.24192,-11.3529,-5.66396,-26.72384
15,0.14319,-6.20455,-22.93008,-6.0496,2.80544,-15.44634,-5.4094,-25.95296
16,18.98063,5.02425,-15.72624,-1.20992,2.5504,-12.6321,5.79124,-16.95936
17,45.70943,22.63305,-1.83312,10.25248,16.06752,1.4391,25.90148,-3.59744
18,32.47231,17.52905,-0.28944,10.5072,19.63808,0.1599,16.99188,-6.93792
19,-7.23905,-3.39735,-9.8088,2.10144,10.71168,-15.95802,-1.08188,-15.16064
20,-10.29377,-5.69415,-11.60976,0.57312,9.43648,-18.26058,-0.57276,-13.87584
21,2.94335,-0.33495,-10.83792,-0.9552,7.90624,-16.72554,3.75476,-13.36192
22,22.54447,9.61785,-5.69232,0.82784,9.69152,-13.9113,13.6826,-8.9936
23,23.30815,11.14905,-2.60496,3.37504,14.53728,-8.53866,11.39156,-8.47968
24,3.96159,0.94105,-5.9496,2.35616,15.04736,-8.28282,-0.57276,-13.10496
25,-11.05745,-6.97015,-9.55152,1.08256,13.26208,-9.56202,-5.4094,-15.67456
26,-6.98449,-6.71495,-10.06608,1.08256,13.51712,-8.7945,-2.35468,-14.1328
27,3.19791,-0.59015,-7.236,2.35616,14.53728,-9.05034,0.44548,-12.33408
28,8.03455,1.96185,-6.46416,2.35616,13.77216,-10.84122,-0.06364,-13.61888
29,14.65311,4.25865,-7.75056,1.33728,12.49696,-9.81786,4.773,-14.1328
30,12.61663,2.21705,-10.83792,0.06368,9.43648,-13.39962,2.73652,-15.4176
31,-5.20257,-4.92855,-12.89616,-0.19104,9.69152,-12.88794,-4.39116,-16.95936
32,2.43423,0.43065,-8.5224,2.61088,11.4768,-11.60874,3.5002,-14.38976
33,10.58015,2.47225,-7.49328,1.84672,10.2016,-11.3529,4.773,-15.16064
34,-1.12961,-7.22535,-15.46896,-4.776,6.376,-11.86458,-6.93676,-21.58464
35,-18.69425,-17.17815,-23.44464,-11.144,0.76512,-17.7489,-14.319,-26.46688
36,-13.85761,-14.37095,-23.18736,-11.144,-0.76512,-23.37738,-8.46412,-23.38336
37,8.03455,-3.14215,-20.35728,-8.34208,0.76512,-22.35402,2.99108,-17.9872
38,20.50799,3.74825,-18.04176,-4.26656,6.88608,-13.65546,7.57316,-14.1328
39,-6.47537,-8.75655,-23.70192,-6.55904,8.41632,-7.00362,-5.4094,-19.272
40,-27.60385,-22.53735,-33.73584,-16.74784,-5.35584,-24.91242,-17.11916,-29.03648
41,-20.47617,-20.75095,-33.73584,-18.27616,-9.69152,-32.58762,-13.80988,-28.52256
42,-5.71169,-11.05335,-27.56112,-12.92704,-5.35584,-24.91242,-4.39116,-22.61248
43,2.17967,-3.39735,-20.87184,-5.28544,3.31552,-14.67882,3.5002,-15.67456
44,6.50719,0.17545,-14.43984,-0.70048,9.43648,-12.6321,5.79124,-12.848
45,-14.36673,-11.56375,-16.49808,-4.776,8.16128,-13.14378,-6.17308,-20.04288
46,-26.84017,-18.45415,-19.58544,-7.06848,6.376,-12.37626,-9.73692,-23.38336
47,4.21615,0.17545,-10.32336,2.10144,12.24192,-10.32954,10.11876,-11.82016
48,-0.62049,2.47225,-8.77968,2.8656,12.752,-13.14378,7.57316,-10.53536
49,-25.56737,-10.03255,-14.43984,-1.97408,8.9264,-16.72554,-6.17308,-16.7024
50,-16.40321,-7.48055,-13.668,-2.2288,6.63104,-18.26058,-1.84556,-14.1328
51,2.43423,4.00345,-6.20688,5.15808,10.71168,-13.14378,11.137,-4.11136
52,2.68879,7.06585,-2.86224,9.2336,15.04736,-8.02698,14.19172,-0.77088
53,-2.40241,4.76905,-3.11952,10.25248,19.38304,1.95078,13.42804,-1.02784
54,3.96159,8.08665,-2.0904,11.01664,21.16832,1.69494,15.97364,-0.51392
55,11.08927,10.38345,-3.89136,8.46944,14.28224,-12.88794,17.24644,-2.05568
56,9.30735,9.87305,-5.17776,7.70528,12.24192,-15.1905,19.02836,-2.05568
57,11.08927,10.12825,-5.17776,8.46944,12.752,-12.12042,20.81028,-2.31264
58,-9.78465,1.96185,-6.97872,7.96,14.53728,-4.9569,14.70084,-4.11136
59,-7.74817,6.81065,2.02608,15.34688,24.2288,4.76502,17.24644,0.77088
60,-1.89329,10.38345,4.85616,15.09216,21.16832,-1.1193,14.70084,-2.05568
61,9.05279,14.97705,3.31248,12.29024,15.55744,-5.72442,15.71908,-3.8544
62,7.77999,17.52905,4.3416,17.12992,24.73888,4.25334,18.7738,-0.51392
63,-2.14785,12.93545,0.4824,15.34688,22.9536,3.48582,12.66436,-6.16704
64,2.68879,13.19065,-2.34768,12.03552,14.53728,-0.09594,15.20996,-6.424
65,10.07103,18.29465,0.73968,14.58272,15.81248,3.22998,22.33764,0.25696
66,5.23439,16.25305,0.99696,15.09216,18.87296,6.04422,18.26468,1.54176
67,5.74351,17.27385,2.02608,15.6016,20.91328,6.5559,17.501,1.54176
68,7.77999,21.35705,6.65712,17.63936,23.46368,6.5559,22.5922,3.59744
69,8.03455,21.86745,7.94352,17.38464,25.24896,5.02086,23.10132,4.36832
70,15.67135,24.16425,8.97264,18.40352,28.0544,4.76502,25.64692,7.19488
71,11.59839,22.37785,7.17168,15.85632,24.2288,6.81174,23.10132,4.11136
72,-1.89329,17.01865,4.3416,11.52608,18.10784,8.60262,18.7738,0.77088
73,-8.51185,15.23225,5.11344,10.76192,15.55744,5.78838,17.501,2.5696
74,2.94335,19.57065,10.25904,14.83744,18.10784,4.50918,23.10132,5.91008
75,3.70703,14.46665,7.17168,12.54496,16.5776,2.20662,16.99188,0.25696
76,3.70703,11.14905,4.08432,9.48832,14.53728,2.46246,14.9554,-3.08352
77,0.39775,10.63865,4.08432,8.97888,15.3024,3.48582,13.6826,-2.31264
78,-8.76641,5.27945,1.25424,5.4128,11.4768,-2.3985,10.88244,-4.88224
79,-10.54833,2.72745,-1.06128,3.12032,9.69152,-2.91018,10.11876,-8.9936
80,-9.78465,1.96185,-0.54672,3.88448,14.53728,9.37014,10.11876,-10.02144
81,4.47071,8.85225,4.59888,8.21472,18.87296,12.44022,15.97364,-2.31264
82,8.03455,11.91465,5.628,8.46944,14.0272,-0.86346,18.7738,3.34048
83,6.25263,13.44585,5.628,10.5072,13.51712,-4.18938,21.57396,6.68096
84,-1.89329,10.12825,2.79792,9.99776,14.28224,-0.35178,14.70084,3.08352
85,-9.02097,6.04505,0.73968,9.2336,16.32256,4.50918,8.5914,-0.25696
86,-9.27553,6.55545,0.99696,9.99776,17.59776,7.8351,10.88244,0.25696
87,-2.40241,10.38345,3.82704,12.79968,19.38304,10.13766,17.75556,2.31264
88,0.39775,13.44585,7.68624,16.8752,24.48384,12.9519,22.84676,4.36832
89,4.97983,17.27385,12.83184,21.46016,31.62496,15.5103,29.97444,9.25056
90,17.45327,23.65385,17.2056,22.73376,30.85984,16.53366,36.33844,11.82016
91,28.39935,29.01305,18.492,21.20544,23.71872,15.76614,39.39316,10.53536
92,-2.91153,11.40425,7.94352,12.79968,16.83264,9.37014,16.2282,-1.2848
93,-25.05825,-1.35575,1.51152,9.2336,18.61792,8.34678,3.24564,-5.65312
94,-9.27553,7.32105,6.65712,13.81856,23.46368,13.20774,15.71908,1.54176
95,10.32559,18.80505,13.08912,18.40352,27.03424,18.83622,26.15604,7.19488
96,12.36207,18.54985,11.80272,16.62048,25.504,14.48694,22.08308,3.8544
97,8.28911,13.95625,5.37072,10.5072,17.8528,9.88182,16.99188,-1.2848
98,-5.96625,5.53465,-0.804,6.94112,15.3024,14.74278,10.88244,-4.36832
99,-13.60305,1.19625,-3.11952,6.17696,16.32256,16.27782,9.35508,-4.88224
100,-3.16609,4.25865,-2.34768,4.90336,10.96672,2.20662,14.44628,-3.59744
101,10.32559,10.63865,-0.54672,4.39392,8.41632,-5.21274,23.35588,-0.25696
102,-4.69345,4.00345,-2.34768,2.61088,9.69152,-1.88682,15.46452,-1.79872
103,-11.82113,2.98265,0.4824,6.17696,14.53728,4.50918,13.6826,-0.51392
104,0.39775,9.10745,4.59888,8.46944,17.08768,1.95078,20.81028,0.0
105,-7.74817,0.17545,-2.0904,0.57312,9.18144,-2.91018,11.64612,-11.04928
106,-12.83937,-4.16295,-3.89136,-1.46464,6.88608,-1.37514,9.60964,-12.33408
107,-4.94801,4.25865,2.28336,4.39392,10.96672,-1.88682,18.7738,-5.1392
108,-3.42065,8.08665,4.3416,5.15808,11.22176,-3.93354,20.0466,-4.36832
109,-14.36673,0.17545,-1.83312,-1.46464,5.35584,-7.25946,10.11876,-10.2784
110,-14.11217,-4.16295,-5.69232,-4.26656,2.80544,-7.5153,7.57316,-10.2784
111,-5.71169,0.68585,-2.60496,0.82784,7.90624,-2.91018,13.93716,-2.31264
112,-8.00273,4.25865,2.54064,5.66752,13.00704,1.18326,15.97364,2.31264
113,-18.94881,-1.61095,0.4824,2.35616,11.4768,0.92742,6.0458,-5.1392
114,-18.18513,-5.43895,-4.6632,-2.99296,4.84576,-2.14266,2.99108,-11.82016
115,5.23439,6.30025,0.22512,0.82784,4.33568,-4.9569,18.01012,-4.62528
116,5.99807,12.42505,7.94352,7.70528,11.4768,-1.1193,20.81028,2.82656
117,-17.42145,2.21705,5.88528,5.92224,11.22176,-2.14266,7.82772,1.54176
