Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,4.21615,-7.22535,-0.03216,10.5072,5.35584,-3.6777,-3.88204,4.88224
1,5.74351,-6.20455,0.4824,11.27136,4.08064,-5.46858,-1.08188,5.91008
2,10.58015,-3.65255,-0.804,10.76192,3.31552,-5.98026,1.71828,6.16704
3,9.56191,-3.90775,-2.60496,11.27136,5.1008,-2.65434,0.19092,4.11136
4,6.50719,-6.71495,-5.43504,10.25248,4.59072,-2.65434,-3.62748,0.51392
5,1.67055,-10.54295,-10.06608,6.6864,0.51008,-6.49194,-7.70044,-4.88224
6,3.45247,-9.01175,-10.58064,5.4128,-1.2752,-6.74778,-5.15484,-5.39616
7,13.63487,-1.10055,-3.89136,10.76192,4.08064,-2.3985,1.20916,1.2848
8,8.79823,-2.12135,-1.57584,13.0544,6.88608,-0.35178,-5.4094,2.5696
9,5.23439,-4.16295,-1.57584,13.30912,4.59072,-1.63098,-7.44588,3.34048
10,15.16223,1.96185,2.54064,16.11104,5.35584,0.41574,0.19092,7.7088
11,17.19871,4.00345,3.31248,16.36576,6.88608,1.4391,1.71828,8.73664
12,9.56191,-1.86615,-1.06128,12.03552,5.1008,-0.86346,-2.10012,6.16704
13,0.90687,-10.03255,-6.97872,6.17696,2.04032,-3.93354,-6.6822,2.05568
14,2.94335,-10.28775,-8.00784,5.15808,2.29536,-2.91018,-6.42764,0.25696
15,8.79823,-6.20455,-5.17776,7.96,5.61088,1.18326,-5.15484,0.77088
16,6.25263,-7.22535,-5.17776,8.46944,5.61088,1.69494,-7.955,0.51392
17,6.25263,-8.50135,-5.69232,6.6864,2.80544,0.1599,-7.19132,1.54176
18,6.25263,-10.28775,-6.97872,5.4128,0.51008,-0.35178,-8.46412,1.2848
19,3.19791,-10.28775,-6.97872,7.19584,2.5504,1.4391,-6.93676,3.34048
20,6.25263,-5.69415,-4.14864,9.99776,5.86592,1.69494,-3.37292,5.65312
21,0.14319,-10.79815,-8.5224,5.92224,4.08064,-1.37514,-11.26428,-0.51392
22,-6.22081,-16.92295,-13.15344,1.08256,1.53024,-3.16602,-17.11916,-4.62528
23,-3.92977,-17.43335,-12.89616,-0.19104,0.0,-3.93354,-14.06444,-4.11136
24,6.25263,-13.09495,-10.58064,2.61088,0.0,-4.18938,-6.93676,-1.79872
25,1.67055,-16.92295,-15.72624,0.3184,-3.31552,-7.77114,-14.06444,-8.22272
26,-9.02097,-23.81335,-21.90096,-4.01184,-4.59072,-10.84122,-23.2286,-15.16064
27,-5.45713,-20.75095,-20.1,-3.5024,-1.2752,-8.7945,-21.19212,-13.61888
28,-1.12961,-16.66775,-18.8136,-3.75712,-0.51008,-7.77114,-19.4102,-13.10496
29,-9.78465,-21.77175,-23.9592,-9.61568,-6.12096,-10.58538,-26.79244,-18.75808
30,-11.82113,-24.83415,-27.30384,-13.18176,-9.69152,-11.3529,-27.81068,-20.5568
31,-9.53009,-23.55815,-26.27472,-11.39872,-7.90624,-9.56202,-25.01052,-19.01504
32,-8.51185,-22.02695,-24.21648,-10.12512,-6.376,-9.30618,-22.21036,-17.9872
33,-6.22081,-21.26135,-23.18736,-10.63456,-7.39616,-10.58538,-19.91932,-17.73024
34,-5.20257,-20.75095,-22.6728,-10.63456,-6.88608,-9.81786,-19.66476,-15.4176
35,-3.16609,-18.19895,-21.3864,-8.08736,-4.08064,-6.49194,-18.64652,-12.848
36,-3.67521,-17.94375,-20.87184,-6.55904,-2.80544,-5.72442,-18.39196,-12.07712
37,-2.65697,-17.94375,-21.12912,-6.30432,-4.33568,-8.02698,-16.8646,-12.59104
38,0.90687,-15.90215,-20.61456,-6.55904,-5.1008,-9.81786,-14.06444,-12.07712
39,7.01631,-11.05335,-17.01264,-5.79488,-4.08064,-8.02698,-7.955,-7.19488
40,6.50719,-10.28775,-14.9544,-5.54016,-4.33568,-7.25946,-10.24604,-6.68096
41,-4.69345,-17.43335,-19.07088,-8.34208,-6.63104,-8.02698,-19.66476,-11.30624
42,-6.98449,-19.47495,-19.58544,-7.3232,-5.86592,-8.02698,-18.1374,-9.25056
43,-2.91153,-17.68855,-17.26992,-4.26656,-3.06048,-7.25946,-13.80988,-5.1392
44,-3.67521,-17.94375,-17.01264,-1.71936,-2.04032,-8.53866,-15.5918,-5.65312
45,-3.92977,-18.19895,-18.55632,-2.2288,-5.1008,-13.9113,-18.64652,-9.50752
46,-3.92977,-19.21975,-20.1,-3.5024,-6.376,-15.70218,-20.683,-12.07712
47,-7.23905,-20.75095,-20.87184,-4.776,-5.1008,-12.37626,-20.93756,-13.10496
48,-7.49361,-20.49575,-20.35728,-4.52128,-4.59072,-10.0737,-15.33724,-11.30624
49,-6.47537,-19.98535,-20.61456,-5.03072,-8.41632,-11.86458,-12.02796,-10.53536
50,-10.54833,-24.83415,-23.70192,-6.0496,-13.26208,-14.42298,-18.64652,-12.59104
51,-14.36673,-27.64135,-23.9592,-4.01184,-12.24192,-12.37626,-23.73772,-12.33408
52,-16.91233,-27.64135,-23.70192,-3.75712,-10.96672,-10.84122,-24.24684,-12.33408
53,-16.14865,-28.15175,-27.30384,-8.34208,-15.3024,-13.65546,-24.24684,-14.90368
54,-6.22081,-24.06855,-26.78928,-8.34208,-17.59776,-13.65546,-19.66476,-11.82016
55,-8.76641,-24.06855,-23.70192,-5.03072,-16.06752,-10.0737,-20.42844,-9.50752
56,-15.63953,-27.13095,-23.44464,-5.28544,-15.04736,-8.28282,-24.5014,-11.30624
57,-18.18513,-30.19335,-27.04656,-8.85152,-16.06752,-9.56202,-28.06524,-15.93152
58,-13.60305,-28.40695,-28.59024,-8.5968,-14.53728,-9.05034,-27.047,-17.73024
59,-9.27553,-25.08935,-25.50288,-5.03072,-8.67136,-4.9569,-25.51964,-16.44544
60,-0.62049,-18.45415,-18.55632,1.08256,-1.78528,-1.37514,-19.4102,-10.79232
61,1.41599,-16.41255,-15.21168,2.8656,-2.5504,-3.42186,-18.64652,-8.9936
62,-9.78465,-23.81335,-18.29904,0.3184,-6.63104,-7.00362,-25.51964,-11.82016
63,-9.27553,-24.32375,-18.04176,0.3184,-5.86592,-5.72442,-24.5014,-10.02144
64,-2.65697,-20.24055,-16.2408,0.82784,-4.59072,-4.44522,-19.91932,-7.96576
65,-3.67521,-21.00615,-18.55632,-1.97408,-7.14112,-5.98026,-19.66476,-9.25056
66,-4.18433,-21.26135,-20.35728,-1.71936,-7.39616,-6.2361,-18.64652,-8.9936
67,-1.63873,-19.21975,-18.04176,1.33728,-3.8256,-3.93354,-17.11916,-7.19488
68,-1.63873,-19.21975,-17.01264,2.10144,-2.5504,-4.44522,-17.88284,-8.22272
69,-5.20257,-20.75095,-18.29904,1.08256,-5.86592,-9.05034,-18.64652,-10.53536
70,3.45247,-12.58455,-14.9544,5.15808,-5.1008,-9.05034,-9.48236,-5.91008
71,14.14399,-2.88695,-10.06608,10.76192,0.0,-5.72442,-3.11836,-1.54176
72,1.16143,-10.28775,-12.3816,8.97888,1.02016,-6.2361,-13.80988,-6.424
73,-7.49361,-16.92295,-14.69712,5.66752,-1.2752,-8.7945,-19.15564,-9.76448
74,-3.16609,-15.13655,-12.89616,6.43168,-0.76512,-8.02698,-14.82812,-6.424
75,3.19791,-10.54295,-9.55152,10.5072,2.80544,-5.21274,-8.71868,-2.5696
76,4.21615,-10.79815,-10.06608,12.54496,2.29536,-7.00362,-8.20956,-2.31264
77,3.45247,-14.62615,-13.668,10.25248,-2.04032,-11.3529,-12.02796,-5.39616
78,9.56191,-11.56375,-10.83792,12.03552,-2.29536,-11.3529,-9.73692,-3.59744
79,16.18047,-2.37655,-1.31856,18.65824,2.29536,-7.25946,-2.35468,2.5696
80,20.25343,3.23785,2.79792,19.4224,2.04032,-9.56202,2.2274,4.36832
81,16.94415,0.17545,-1.31856,14.58272,-2.29536,-13.9113,-1.33644,0.51392
82,6.50719,-6.45975,-6.72144,12.54496,-3.57056,-13.9113,-9.2278,-2.82656
83,5.23439,-6.20455,-6.20688,15.34688,-0.76512,-12.12042,-9.99148,-0.25696
84,10.32559,-1.61095,-2.60496,19.4224,3.06048,-9.81786,-5.4094,4.36832
85,17.70783,1.70665,-1.57584,20.44128,3.31552,-8.53866,-0.82732,5.65312
86,21.52623,1.45145,-2.0904,18.1488,0.76512,-7.25946,-1.08188,3.8544
87,10.32559,-4.41815,-2.0904,16.62048,0.51008,-4.70106,-7.70044,2.5696
