Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,5.48895,11.40425,14.6328,17.12992,5.86592,-3.42186,12.66436,21.58464
1,6.76175,13.19065,15.14736,19.67712,8.67136,-0.09594,14.70084,24.15424
2,7.01631,12.42505,14.89008,18.65824,8.41632,0.41574,14.70084,23.89728
3,0.65231,5.53465,8.97264,12.03552,3.57056,-2.3985,9.35508,18.50112
4,-3.92977,-0.07975,4.08432,7.96,0.25504,-3.42186,6.0458,15.4176
5,-2.14785,0.68585,4.3416,7.45056,1.02016,-0.60762,7.57316,16.44544
6,0.39775,2.47225,5.88528,7.19584,1.2752,1.4391,8.5914,17.21632
7,0.90687,2.21705,4.85616,6.43168,0.51008,0.92742,7.3186,17.9872
8,3.96159,4.25865,7.42896,9.74304,3.06048,2.7183,9.10052,21.07072
9,10.58015,10.89385,13.60368,16.36576,8.9264,7.8351,15.46452,27.49472
10,12.87119,14.21145,15.66192,17.63936,11.73184,10.3935,18.26468,29.80736
11,10.07103,12.42505,13.08912,14.328,9.94656,8.60262,15.97364,28.77952
12,8.28911,11.91465,11.28816,13.30912,8.67136,7.32342,15.71908,29.29344
13,12.36207,16.25305,14.89008,17.12992,11.98688,10.90518,20.55572,33.91872
14,14.14399,18.03945,18.23472,18.65824,14.53728,14.2311,22.08308,35.9744
15,11.08927,14.97705,16.69104,14.58272,11.73184,11.92854,18.26468,32.63392
16,9.81647,13.44585,15.14736,12.03552,10.2016,9.37014,17.24644,31.86304
17,12.36207,16.25305,16.43376,12.79968,11.73184,9.62598,21.06484,34.6896
18,12.10751,15.48745,15.66192,12.03552,10.96672,8.34678,21.06484,33.14784
19,7.01631,9.87305,10.25904,7.19584,5.61088,2.97414,15.71908,27.75168
20,4.47071,6.30025,6.65712,3.62976,2.80544,-0.35178,12.91892,25.696
21,9.05279,10.89385,10.51632,7.45056,6.88608,3.48582,16.48276,30.8352
22,10.58015,13.19065,13.08912,8.97888,8.16128,4.50918,16.48276,31.34912
23,5.74351,8.85225,9.74448,4.90336,3.31552,0.1599,9.60964,24.4112
24,2.43423,6.81065,6.9144,1.592,0.51008,-3.42186,6.0458,19.78592
25,5.23439,9.10745,7.94352,2.8656,2.5504,-1.88682,8.33684,21.32768
26,5.99807,9.36265,8.2008,2.8656,3.06048,-1.37514,7.82772,20.81376
27,0.65231,4.25865,4.59888,-1.46464,-1.02016,-4.70106,1.97284,15.4176
28,-2.14785,1.19625,2.28336,-2.73824,-3.57056,-6.74778,0.70004,12.07712
29,1.67055,4.76905,5.11344,1.592,-0.76512,-3.6777,5.02756,14.1328
30,3.96159,6.81065,5.88528,3.37504,0.51008,-2.14266,6.0458,14.90368
31,-1.12961,2.47225,0.99696,-1.20992,-4.08064,-5.98026,0.9546,11.30624
32,-4.94801,-1.35575,-1.83312,-4.26656,-6.12096,-9.05034,-2.10012,10.02144
33,-2.91153,0.94105,1.25424,-0.70048,-2.80544,-5.98026,-0.3182,13.10496
34,-0.62049,3.49305,4.85616,1.84672,-1.02016,-1.88682,1.71828,15.4176
35,-1.12961,2.72745,5.88528,1.592,-2.5504,-0.60762,1.97284,14.64672
36,1.67055,4.76905,7.68624,4.39392,-1.02016,1.69494,4.26388,15.67456
37,7.52543,9.36265,10.7736,9.99776,3.31552,6.30006,9.35508,18.75808
38,8.28911,9.10745,10.51632,11.01664,4.08064,7.57926,10.88244,19.52896
39,1.41599,1.70665,5.11344,4.64864,-1.02016,3.22998,5.79124,15.93152
40,-2.40241,-2.12135,1.7688,0.3184,-3.8256,0.1599,2.73652,14.1328
41,-0.87505,0.43065,2.28336,1.08256,-2.80544,0.67158,2.2274,15.67456
42,-1.63873,0.68585,1.7688,0.3184,-4.08064,0.41574,0.70004,15.67456
43,-6.47537,-3.65255,-1.57584,-4.01184,-7.90624,-2.65434,-1.84556,14.1328
44,-8.25729,-6.20455,-1.83312,-5.79488,-9.18144,-2.14266,-1.84556,13.61888
45,-4.69345,-2.88695,1.25424,-2.48352,-6.12096,2.7183,-0.06364,14.38976
46,-4.94801,-2.88695,0.22512,-3.75712,-6.376,3.48582,-2.35468,11.5632
47,-9.02097,-6.45975,-4.6632,-8.08736,-9.43648,0.67158,-4.90028,7.7088
48,-9.78465,-7.22535,-5.69232,-6.81376,-9.18144,1.4391,-3.11836,9.76448
49,-5.71169,-3.65255,-1.57584,-0.70048,-3.06048,5.2767,2.73652,15.4176
50,-1.63873,-0.33495,2.79792,3.37504,1.02016,6.30006,7.06404,18.24416
51,-1.89329,0.94105,4.08432,3.88448,0.51008,3.48582,7.82772,17.73024
52,-1.89329,3.74825,6.39984,5.4128,1.53024,4.50918,9.8642,20.29984
53,3.19791,8.59705,11.80272,9.48832,6.376,9.88182,14.70084,26.46688
54,8.28911,12.42505,15.66192,11.01664,9.18144,10.64934,19.53748,29.29344
55,7.77999,10.89385,14.6328,8.46944,6.63104,6.04422,20.81028,26.46688
56,4.21615,7.32105,11.80272,4.90336,4.33568,4.50918,18.51924,20.5568
57,1.67055,5.78985,10.25904,4.1392,5.35584,7.32342,15.20996,16.7024
58,0.65231,6.04505,10.51632,4.39392,6.63104,8.09094,13.42804,16.95936
59,-0.11137,5.78985,10.25904,4.1392,6.12096,5.53254,12.91892,17.9872
