Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
0,-6.72993,-6.20455,-6.97872,2.10144,-5.1008,-18.77226,-9.73692,-2.5696
1,-1.63873,-1.10055,-4.14864,4.64864,-1.02016,-15.95802,-5.15484,-0.25696
2,1.41599,0.94105,-2.86224,5.4128,-0.51008,-16.4697,-4.90028,1.54176
3,0.14319,-1.10055,-5.43504,3.12032,-4.08064,-20.05146,-7.70044,0.25696
4,-0.11137,-0.59015,-4.92048,3.62976,-4.33568,-20.05146,-5.91852,0.0
5,5.48895,5.78985,0.4824,9.74304,1.53024,-15.70218,1.97284,5.1392
6,9.81647,9.10745,3.56976,12.29024,5.1008,-12.37626,5.53668,7.45184
7,9.05279,6.55545,0.4824,7.96,2.29536,-14.42298,2.99108,4.62528
8,8.54367,5.78985,-1.83312,5.66752,0.51008,-14.67882,1.97284,4.36832
9,9.05279,6.81065,-2.0904,6.6864,1.53024,-11.60874,2.99108,6.16704
10,6.76175,3.49305,-4.6632,5.66752,0.25504,-10.58538,0.44548,3.34048
11,1.92511,-2.12135,-9.55152,1.33728,-4.59072,-13.39962,-5.4094,-1.54176
12,1.41599,-2.37655,-10.06608,-0.19104,-5.86592,-14.42298,-5.91852,-2.31264
13,5.74351,2.47225,-6.20688,3.37504,-2.80544,-11.3529,-0.57276,1.79872
14,8.28911,6.04505,-2.34768,7.19584,-0.51008,-9.56202,2.2274,6.16704
15,4.72527,4.76905,-3.3768,5.92224,-1.02016,-12.12042,-0.82732,5.1392
16,1.92511,3.49305,-4.6632,4.64864,-1.02016,-13.9113,-2.35468,3.59744
17,3.45247,5.27945,-3.3768,6.43168,2.04032,-11.09706,0.44548,5.39616
18,2.43423,4.51385,-3.89136,6.43168,2.80544,-10.84122,0.19092,5.91008
19,-2.91153,0.17545,-8.77968,1.84672,-1.78528,-16.4697,-4.39116,3.59744
20,-5.71169,-2.12135,-11.35248,-1.97408,-4.84576,-20.05146,-6.17308,2.82656
21,-3.42065,-0.59015,-9.29424,-0.70048,-2.5504,-17.7489,-3.88204,4.88224
22,-1.12961,0.94105,-7.75056,0.3184,-0.51008,-14.93466,-3.88204,3.59744
23,-1.89329,0.68585,-8.26512,-0.9552,-2.04032,-13.9113,-6.42764,0.77088
24,-1.63873,0.68585,-8.77968,-1.97408,-2.29536,-12.88794,-6.17308,0.51392
25,0.39775,2.21705,-8.00784,0.06368,-0.25504,-10.32954,-3.37292,1.2848
26,-0.11137,1.45145,-9.8088,-0.44576,-1.02016,-9.81786,-3.11836,-0.25696
27,-3.42065,-2.88695,-14.43984,-3.75712,-4.33568,-12.6321,-5.91852,-3.34048
28,-5.20257,-5.18375,-15.98352,-5.28544,-5.61088,-14.42298,-6.93676,-4.88224
29,-2.40241,-2.12135,-12.12432,-1.71936,-2.80544,-12.88794,-4.39116,-2.31264
30,-0.11137,0.17545,-9.29424,0.57312,-1.02016,-11.3529,-4.39116,0.25696
31,-1.63873,-1.35575,-11.60976,-2.2288,-3.57056,-13.9113,-7.955,-1.2848
32,-4.18433,-2.63175,-13.92528,-5.79488,-6.376,-16.72554,-9.99148,-3.08352
33,-3.67521,-0.84535,-12.12432,-5.79488,-6.63104,-14.67882,-7.955,-2.31264
