Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
19844,802.4175967087392,-2535.1781098684,590.5960938315093,-1669.3503682670791,-956.9017564699604,-21.116466459305045,-1737.4582235645044,-86876.52705803417,956.193646323545,-4686.423031851441,-717.7380746272911,-741.3608290135734,865.5910038547505,-147363.91025734623,-41687.344495703626,2084.4120226015652
19845,1351.1810400811453,-8330.377628699192,-365.5437704591516,-2770.7870368157774,-2016.5335677177436,182.42755590897542,-3985.1393371142303,-279093.4841698352,1157.746812180742,-18412.545381280164,-2143.078666265391,-1319.6534909413635,1171.307037823083,-463355.88539628516,-142343.65433295962,1131.5627784861654
19846,1404.2052109526326,-11999.910601763542,-926.2794296122048,-3406.6814782260585,-2724.244749315515,225.63906130775305,-5417.476544723656,-393154.20325553115,1233.5894289262199,-27138.433065160065,-3041.6391011102837,-1637.9043439909758,1220.4804671476468,-648455.6175758215,-203546.17567969425,488.9152833353379
19847,1168.4778195432327,-12591.826090416918,-1009.6180686189864,-3514.179738909849,-2894.4979876636953,128.76652694631542,-5684.681664452308,-405941.1979114334,1206.474775883053,-28523.34961230163,-3183.159388948816,-1661.7590118580647,1143.2412866841291,-667531.627474724,-211436.045655903,351.13517480496535
19848,1056.805938024966,-11136.73182085831,-875.9860946612853,-3405.9137869731426,-2706.0983191944656,-19.94711307077185,-5203.672032475555,-359945.11920515087,1151.6159219661467,-24909.252807599005,-2842.6903372672114,-1578.7827610660456,1147.5514157066193,-593390.402550411,-186455.0296263541,576.0593700578645
19849,976.14264092801,-9806.630028074545,-836.1781877119279,-3387.445448070851,-2582.2550613619787,-221.6315737424654,-4804.729032794205,-318135.52272668655,1066.627950245665,-21498.013072919217,-2573.142302572558,-1576.0935486272383,1131.3499445181776,-526722.7312151364,-163301.78209406935,754.3190754318533
19850,680.1079068291406,-9772.031422491526,-949.7554451711023,-3487.5820699677774,-2721.3519236560396,-467.9573944878913,-4890.84294564459,-309246.1982283677,955.3383364017459,-21240.702653410124,-2633.5500686573077,-1656.2410850932974,948.8590440189347,-510940.1112654385,-159370.72208097167,674.9820486625765
19851,427.895388292659,-10324.772607375624,-1040.4303426083236,-3552.171234418579,-2887.1158340093575,-606.9341970991957,-5128.199061619231,-319569.2507362864,942.1561742468983,-22576.69601114763,-2771.059757704171,-1679.1516537184066,813.3639703848546,-525588.8991499057,-166236.08071110098,570.5297221472271
19852,622.8565278841508,-10376.014370962166,-958.7946938917311,-3477.030858138325,-2794.5477663745987,-497.1571806183208,-5075.923797900761,-327705.8439971732,1143.2017475040834,-22909.635113302036,-2661.3995390206383,-1539.4414796198716,1022.6796716845121,-539663.0676402745,-170157.2935660239,736.4099650037716
19853,1056.2218395591885,-9966.719156119676,-740.4956835959384,-3285.9003404967343,-2514.5987408705814,-237.2559407627245,-4793.262085952832,-328818.4147127123,1466.5875893420764,-22253.536153398956,-2352.8101621543037,-1268.853592982973,1441.9185786762012,-543858.1691011116,-169410.72207697865,1094.5395646977308
19854,1177.7746173910245,-9717.166926456164,-526.8963924042077,-3076.4019841012578,-2318.5281649125,-73.84730669045254,-4603.258585406207,-325805.496087166,1682.087792359725,-21959.818014747238,-2115.0483016347252,-1004.1569626247697,1664.1077833012116,-538654.8494977185,-168090.82923321566,1341.9516558858395
19855,945.3185889901903,-9659.720037737472,-441.1681548644804,-2982.6682417161546,-2309.035759300364,-121.84045098764007,-4594.203344264737,-318232.57953021565,1668.006285003501,-21936.638847625065,-2064.831499512052,-902.2078279047118,1579.2265175963103,-524002.25437037734,-165520.74740018597,1357.3917505100035
19856,751.9599274535337,-9517.145295327207,-550.8460453307553,-3122.0381112478126,-2428.380005301973,-321.5779497438801,-4684.05072482791,-308875.1292436064,1477.1976155400348,-21403.80401373916,-2160.434510822357,-1047.9549501352394,1396.2247748879572,-508609.59126658196,-160587.8752863908,1219.12163183846
19857,651.4043159298858,-9505.563819473777,-829.5148330285778,-3464.44798779236,-2663.1895410831785,-604.2001933376216,-4906.607379338238,-306129.5295297712,1209.7498046030578,-20961.94683453485,-2382.5778598542647,-1367.3954919442035,1202.3670711289888,-506012.5544273171,-157840.14238555788,977.4326365372108
19858,368.2061334471045,-9887.2168187977,-1102.692574664672,-3780.6615100835384,-2967.4387444701697,-904.1433684924805,-5250.934797942202,-310520.21654693224,970.6512401006879,-21521.958128263243,-2655.772657906693,-1630.7926152742739,938.0698235714374,-512937.0153808951,-160100.40876874194,697.4056807996387
