Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
30362,-4012.369632011426,-7706.885940226602,531.5500652272224,605.6274064314844,-1572.8731594846497,-1265.5068971131961,-3713.2276686789237,-60043.35917710615,-769.1368864259622,-16854.75723522248,-1977.8094105648358,-26.59604131590036,-2019.33299831518,-50862.40671785389,-60467.46627031572,-804.7420398852402
30363,-12456.995851714211,-21163.184265322463,74.07991154931197,2316.2422945272674,-4925.031184425233,-3354.5504128916336,-9842.325182311783,-158899.56621959317,-2763.7292440093784,-49693.55800247919,-5235.115005713801,11.639442103325562,-8023.6661127321195,-118953.18395635892,-170473.40056051023,-4645.699557537147
30364,-17293.64430429828,-28664.88765018727,-184.96260011848952,3312.0359763775914,-6808.869014215358,-4551.239636797207,-13271.806050362451,-210411.4148262408,-3893.814589335289,-68017.4602000197,-7036.008789105583,48.768667372590876,-11455.626848382279,-149890.07103148772,-230596.18979163427,-6817.776782595736
30365,-17727.051606809655,-29168.984292059635,-248.0704514500379,3401.4583026133932,-6952.28806465387,-4664.08327914936,-13499.528648398602,-211193.7575133367,-3963.2685006084216,-69276.65424658282,-7115.000319272211,65.11523811310668,-11741.471105080696,-146843.8575909288,-233721.2223665376,-6990.173681366635
30366,-15842.562100098852,-26247.40859284281,-252.26444186630235,2982.525208670211,-6230.849185305708,-4211.517467539208,-12130.330080172222,-191960.49094843527,-3467.3607555951867,-62176.849073529396,-6338.033851278148,58.07010620038967,-10363.363067156206,-136667.0031498992,-210562.92822920613,-6142.1624968922315
30367,-14182.432030643555,-23749.78867576571,-278.278837963896,2606.4408516597223,-5616.843462041529,-3815.6643632271657,-10946.100838277158,-176874.50124977066,-3023.452657736084,-56116.89023630816,-5657.976411254425,61.33685398745553,-9147.1186195477,-130667.6228185807,-191280.9774731734,-5398.658938462839
30368,-13709.87309717832,-22917.061485748,-319.2812725932833,2512.6859443092435,-5437.068455004328,-3706.902441770854,-10548.763013165762,-169312.8163160493,-2883.2733794213964,-54137.72475110762,-5401.502709694996,92.36790869531968,-8810.655974725778,-123774.40176173583,-184128.0410991905,-5164.590138393423
30369,-13976.368632960852,-23186.096659560884,-379.64434974068945,2592.810081559913,-5538.338963788632,-3774.8861894189467,-10666.198543360912,-168042.9558988142,-2954.616246149665,-54863.34311925859,-5442.612320728997,114.22112168791816,-9055.994875900586,-118828.37742075784,-185408.67979053129,-5273.338894436532
30370,-14363.136425373728,-23879.244468620156,-482.25030511859484,2680.116974715955,-5726.744494664146,-3870.8833607358997,-10950.073919130138,-174158.20030111112,-3080.7475931179033,-56621.99813454793,-5606.667708501687,90.24004299618838,-9426.169044024582,-124324.9895409652,-191537.53241378674,-5491.1066332699775
30371,-14570.234152324427,-24398.710151106116,-593.2759315848066,2721.590273306174,-5856.509410188073,-3921.201961365358,-11130.907760363903,-181319.2734272724,-3163.959079035609,-57935.03818191641,-5730.548252950695,44.46266052080003,-9661.737586020405,-133396.0694141198,-196961.29119496242,-5648.493255325626
30372,-14419.346359022127,-24120.62911826557,-652.36789022839,2707.9930582433462,-5796.168708852911,-3884.1636760272477,-10959.456900485085,-178729.57653989317,-3143.7531129512654,-57259.934272702434,-5651.780247347555,20.376268933842393,-9598.903188858605,-130732.99128397768,-194489.48233566148,-5599.796687950429
30373,-13955.527207509955,-23174.181728422234,-684.0638892730688,2618.8717834192794,-5585.767988526068,-3782.677639725101,-10502.154747346332,-168413.16477856823,-3036.106697334648,-54884.644761218064,-5403.842744343399,6.405650919128233,-9268.66560325952,-119279.43453139854,-185452.31143561704,-5379.184178799034
30374,-13618.209634473002,-22596.00873708753,-780.5765930166276,2484.886831728686,-5476.3340812993365,-3737.0687843252144,-10213.545048109154,-164153.95021122714,-2964.499412659424,-53318.20880876083,-5252.146060664124,-43.8989772056813,-9010.006489367894,-116577.20961083469,-180293.1427039184,-5256.374378292543
30375,-13746.747001562524,-22918.5079398129,-960.7866371982699,2381.444393561029,-5606.019346847648,-3827.4147050405513,-10342.417692048435,-169431.6936592934,-3022.5952827223346,-53874.28006025506,-5341.051080864885,-134.17933870778455,-9092.625913587784,-124485.14509338317,-183237.69870685425,-5397.991233445588
30376,-14027.598808696892,-23326.433611611676,-1140.220913408523,2315.6209922325065,-5780.981407701853,-3958.895583508851,-10539.259584642103,-172016.73289710796,-3133.0141152660726,-54617.029668048424,-5471.525649037751,-221.24653274988512,-9306.251969998406,-126461.94054050998,-185666.21814847045,-5607.396805517577
30377,-13934.78471794277,-22977.535780780745,-1259.5508100625852,2223.9543929557744,-5769.909186010441,-3985.6690189992946,-10403.10770297892,-165481.90266485716,-3155.0131322526104,-53553.770741913366,-5413.655849505565,-278.4479099059174,-9268.62120861005,-117576.12946457724,-180772.1535824524,-5620.100152243562
30378,-13560.121987913013,-22353.4978149463,-1348.1736292646433,2113.4990784287547,-5651.295506816477,-3921.986679042859,-10105.977121001679,-159807.6114439571,-3091.1179476743946,-51900.358566617986,-5252.086835590519,-310.8101169198794,-9021.105684426686,-112769.48263219067,-174790.00985094812,-5500.529184962359
30379,-13424.064246620168,-22332.696478246988,-1432.717121803796,2083.120396559566,-5633.479009911152,-3892.204986089698,-10040.571740282787,-162755.87240162934,-3054.5481651664268,-51808.35697722765,-5190.26077283165,-314.6449392045988,-8913.2220380454,-118996.2246383759,-175442.79301227018,-5481.007671044833
30380,-13573.63329548841,-22643.055040725172,-1480.927685100109,2154.6696808058787,-5679.196846362904,-3911.6796535504236,-10125.310588316315,-166179.38909227835,-3064.125681871392,-52591.30434040259,-5182.9886883457075,-279.03669974379676,-8983.275890137811,-122875.10291701491,-178437.04775561386,-5545.307385588385
30381,-13537.09884312911,-22410.80091682809,-1483.7442051292537,2208.7401789598134,-5595.788271184819,-3881.566136650571,-9984.272668025293,-161476.30434049485,-3028.2544440751,-52073.00785717483,-5047.745422589029,-228.9911138736236,-8924.774184252692,-115883.20833474137,-175728.69669622116,-5490.384198370616
30382,-13190.084012073161,-21745.672148806458,-1503.6449606786887,2163.6281922224935,-5405.109832456132,-3791.458209929734,-9641.09207172146,-155082.59861328034,-2931.939894614982,-50482.41009106407,-4824.205546552237,-209.57039135042683,-8672.978512133186,-109761.97031269611,-169902.0020250561,-5324.169469459499
30383,-12974.184438069347,-21507.432981287013,-1579.675451897706,2102.1143017235086,-5315.341324481414,-3752.1937649997003,-9470.040942639467,-156029.17564869276,-2877.0902131311987,-49913.826373136646,-4714.30759836445,-216.16851582384515,-8537.14743295583,-114114.08771176887,-168856.85163905926,-5261.531066899292
30384,-13097.689879762627,-21752.858993133996,-1659.5024266898665,2125.5090859280526,-5355.6785436150585,-3798.0633336807514,-9522.528442954204,-159468.6006229362,-2903.035192670297,-50532.84464273373,-4720.080899658916,-194.89037220926048,-8643.760002532206,-118701.39158680155,-171404.1100196118,-5332.619403026858
30385,-13172.90181694478,-21690.944249558328,-1691.614788198678,2186.290468357014,-5340.243449881001,-3820.577780958319,-9459.066544861606,-156358.89986530127,-2918.526764033705,-50426.40535605338,-4646.90092278826,-128.61201157581488,-8706.761984634555,-113136.1292083011,-170059.80237395354,-5325.479966960424
30386,-12917.609723931526,-21134.4034916576,-1715.8374963179883,2181.793799829999,-5210.6400289495405,-3754.7882709018054,-9176.276503433412,-150262.48757538953,-2868.9463222763934,-49119.99230031251,-4458.946079539184,-68.82840233572625,-8533.633522226752,-106328.89877253638,-164882.01926925743,-5163.582274466118
30387,-12629.62155355273,-20764.32259138015,-1787.76511650194,2130.1012701495183,-5125.403338098871,-3682.506494036324,-8970.159887024698,-149966.47682704288,-2831.5509344898264,-48248.5345111728,-4335.290147029647,-58.06264660884024,-8346.264277484155,-109293.6149830464,-162640.25417883717,-5030.615049356997
30388,-12613.718023265988,-20831.74730071658,-1874.577139272234,2122.115926696282,-5154.14681759892,-3675.9443740204124,-8977.376130680133,-152743.55522337405,-2868.084502864072,-48426.01595485468,-4340.490375251995,-72.12118978024236,-8361.488834514861,-114256.09097327903,-163904.88936405914,-5034.250998412421
30389,-12650.04149209948,-20761.61082551346,-1910.4484572585684,2157.3273922080216,-5154.943240399736,-3673.5448463302864,-8949.906670066,-150022.92408490973,-2907.500992853436,-48277.5235735308,-4320.780303031328,-70.72813655567008,-8418.385232880657,-109594.1709590934,-162618.2515807177,-5033.137761128819
30390,-12439.197933858086,-20299.211880485425,-1907.7905711809171,2161.830763587826,-5044.730749666356,-3602.512876047009,-8739.760247462458,-144109.91257876751,-2868.0542437039876,-47203.86342290942,-4192.863782789106,-57.32478418046575,-8302.196499467482,-102134.82514599289,-158133.1493264701,-4916.543871408527
30391,-12140.4039816628,-19957.157360366517,-1926.149916257486,2132.8095717366186,-4943.446648182988,-3508.405764980058,-8550.808965241418,-143771.0337985284,-2790.6836640126644,-46452.93154825284,-4072.528179981807,-49.10569982916159,-8125.501598936083,-104356.8747854718,-156286.8112128857,-4793.2230820644
30392,-12029.418275837885,-19971.2962857726,-1969.1724158553966,2131.0361044182077,-4939.043228025925,-3462.3294171185707,-8515.408290251373,-147137.19960941636,-2751.7885746557404,-46579.57815426419,-4027.365781789443,-30.29863052660039,-8082.5609445935315,-110523.6927026207,-157754.24632943285,-4759.320599492456
30393,-11991.053071791972,-19845.02678803452,-2003.4647109553441,2148.53636840357,-4937.643603046423,-3439.320756632649,-8447.014831310888,-144896.58348617805,-2735.5210383263466,-46348.259966060876,-3952.2041319948776,16.54318680208792,-8091.1587433543455,-107146.38855006093,-156509.5028431569,-4718.960748848962
