Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
37515,-4244.420701140644,-4988.956432013694,1.108466823625406,-3411.34189051242,-588.7091306769586,-75.61438178152791,-736.4038765346144,19294.329809502266,600.9107632191743,-8776.431937277503,-2274.427743406573,-686.8331658930827,-2770.031228824598,68712.76828945796,-12282.423997515021,333.9638016002857
37516,-10606.846209955675,-9195.66701948372,200.60442881289978,-2948.7153859896925,-1943.1889090762481,-232.35581883796297,-1784.3390561145013,88381.69650284467,-985.0878949636499,-18459.202077324935,-4223.255274642676,-457.80071867712024,-7022.582289642594,239214.9755581101,-9686.194636228016,-684.6831690944797
37517,-14125.718096751698,-11222.980057509514,312.65599802354484,-2764.8426392387814,-2695.322382513268,-390.350442668215,-2301.231815330434,133581.29892839643,-1829.6655090505933,-22987.943137169023,-5223.777395290806,-295.4814160402882,-9314.291261386585,344302.5015870176,-3995.4423291656435,-1188.8152018433748
37518,-14420.563084110083,-11214.689731154827,247.6427754605273,-2975.0739283482762,-2834.3465131986222,-544.4907373664803,-2351.500219191585,141328.62635859786,-1841.674406479905,-22651.942539822645,-5248.048165972262,-255.38250912406122,-9400.920711776798,358406.6936440436,-537.9894594495252,-1168.3850931790248
37519,-13255.00672080135,-10722.430400299512,20.916643044358352,-3443.7247116999824,-2761.9171292493056,-682.4362575200115,-2326.5320820887764,121617.59165230845,-1486.2025718011673,-21104.031183919313,-4927.330110764749,-316.2018365834384,-8508.065330076954,314243.90375721257,-3908.27229019562,-968.0391349341063
37520,-12317.349671725187,-10460.540223000438,-216.81368736613936,-3902.460997504633,-2734.413087822209,-793.2983540232046,-2360.435090162189,102336.52848886503,-1196.5097390498208,-20115.985164955666,-4687.27457596,-373.704548961711,-7779.544233274632,272824.43947045575,-8367.876933501626,-811.0066530964131
37521,-12040.004845459318,-10184.693886326902,-348.0399441488056,-4199.10663330218,-2746.7594521464553,-877.8626255908122,-2353.563116332949,100877.51903873657,-1078.86970658115,-19189.875991640154,-4536.407959484413,-354.3273253973244,-7495.234308058388,266433.56357430597,-6800.860240810316,-694.4511852383656
37522,-12219.738792693686,-10037.366464522518,-425.18060376540427,-4396.279943506583,-2810.8735870682476,-951.7685925542806,-2361.569496140848,108647.06534912673,-1089.1613603084602,-18620.25160953868,-4476.261008854417,-299.50364760160176,-7531.708020801094,279330.0764264419,-2811.4800800973126,-623.7616424482765
37523,-12690.151533510361,-10476.048852682237,-556.9105584387789,-4618.1013583679505,-2999.5163291175904,-1038.4697110340817,-2540.294033720371,110415.32080632096,-1198.0466015479137,-19387.911374977568,-4592.809594178658,-290.7454118124641,-7798.9310283286595,285271.1308054207,-3802.4370124489624,-655.2467121789285
37524,-13148.711574522269,-11129.54933280165,-735.4922829678239,-4890.447168665199,-3235.4391248098455,-1154.960732697703,-2795.430429205705,106778.84674676941,-1325.6527547021751,-20597.59216886072,-4763.9404314323365,-336.65190234201697,-8079.5774677969775,282253.562796529,-7581.0044946215485,-723.6519880658544
37525,-13167.22735465173,-11150.106183359072,-881.7282863007307,-5177.429549692541,-3342.7374858693515,-1299.1317457308114,-2884.6688547731255,106322.55422249172,-1346.1336928233402,-20305.3750510119,-4735.0392129852,-391.46024760457556,-8052.633760827658,280100.22952185344,-6915.150789794978,-685.5333732887707
37526,-12805.921557735863,-10675.66735703317,-993.5225822533203,-5477.908450191393,-3340.182546565067,-1450.489100707889,-2839.6734455112874,107467.65075544706,-1265.3877690658605,-18865.095833652595,-4546.095588433274,-440.0384611954218,-7758.300291536451,276963.6078648012,-3179.636270586224,-562.7991133781768
37527,-12656.571063817311,-10658.001221270892,-1125.672771643386,-5799.81796370042,-3424.8535636072033,-1587.4460244304282,-2918.004003799123,103581.50415427261,-1234.9634843736208,-18508.404797817515,-4500.433808290149,-491.01451046595,-7618.132204169457,267873.4681394085,-3626.684334889089,-525.0706807908302
37528,-12949.560685993893,-11208.989154345994,-1266.297291296947,-6103.856152627039,-3631.969620732329,-1706.5913950664342,-3141.9154369372386,98227.02662424807,-1308.4882715938788,-19509.908576026195,-4651.601712047714,-517.7667229019833,-7781.076291936002,260819.21307018952,-7630.326165863633,-602.2276380277992
37529,-13183.442987073715,-11428.442594150403,-1361.2342092729386,-6360.833413688959,-3775.3941206140494,-1823.8618381393267,-3261.456245963779,99363.07153274269,-1349.3695800666715,-19772.926686177983,-4713.170691414328,-488.21585781733,-7879.363037282968,263859.68083376205,-7785.779991938063,-638.4877897590178
37530,-12986.708381419332,-11040.94094664577,-1436.4545306191094,-6618.82645971722,-3784.6342880344687,-1956.9184418701682,-3212.073570049266,103531.78152342577,-1272.5126786882172,-18622.901565537217,-4572.398956847039,-439.30425627086265,-7667.341822247587,267767.9383623061,-3769.8894792065794,-581.3968083835588
37531,-12743.684540209677,-10865.310094730154,-1569.7769019887153,-6932.151238394661,-3830.908924639015,-2109.585298501931,-3227.8388490937646,101371.2670560989,-1203.1194996699996,-17938.043258700163,-4489.276332892476,-442.88917537015817,-7445.141691278721,260916.46869708897,-2950.3731504050725,-584.2852473157128
37532,-12894.071634713448,-11291.227890862869,-1751.1710363606305,-7266.915875776005,-4017.0043812674135,-2273.770336988242,-3409.698524325868,95104.0189496574,-1264.7956247512616,-18648.26134556235,-4623.327720955065,-500.09038072060025,-7520.028375616806,250979.3200549296,-6623.120532763471,-732.070235703026
37533,-13167.274363402837,-11586.088540887715,-1895.5722052772278,-7561.107770063478,-4199.772482508111,-2441.063034159987,-3551.675652219241,94741.30716567674,-1366.324159812673,-19091.224821794985,-4747.9038560114295,-542.7249407847523,-7669.235512640719,251605.6128285315,-7686.010960787742,-885.9994828394689
37534,-13100.994658593505,-11274.129418849308,-1994.2947436978372,-7836.59897099524,-4261.2944586590165,-2608.200047479493,-3537.857601825439,99291.22719349747,-1358.5391006626269,-18161.2636958436,-4659.34644840853,-539.9771112415044,-7551.625530323721,256932.73237525905,-4056.213593435372,-926.2759935934174
37535,-12866.797231710707,-10996.680425150691,-2125.4072157952896,-8154.821173824547,-4319.4089808519875,-2773.6987333700777,-3560.9003439500175,98219.38811781595,-1273.9567347975637,-17328.143029573483,-4523.694712119734,-527.452499926645,-7304.065155538158,251685.12495088828,-2603.881303893512,-950.4626001038628
