Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
128413,544523,-1034107,-132867,-607411,1919171,-2460112,-2319883,-5169883,-5361292,-3228744,-6187922,-3806696,-3940340,-1686356,-3871234,-5065902
128414,542451,-1029307,-134229,-608309,1919248,-2287670,-2319902,-5174323,-5361306,-3229717,-6191282,-3802770,-3939095,-1690184,-3872168,-4840037
128415,541795,-1029471,-136156,-610641,1913753,-2638222,-2325181,-5171786,-5355073,-3229273,-6186242,-3800996,-3938272,-1685942,-3872568,-5050474
128416,544183,-1034543,-134762,-610006,1913274,-2872862,-2325542,-5166456,-5354124,-3228298,-6182117,-3804722,-3939797,-1681504,-3872097,-5316878
128417,545011,-1034861,-132157,-607007,1918988,-2531979,-2320082,-5168452,-5360671,-3228759,-6186972,-3806855,-3940862,-1685569,-3872017,-5125029
128418,542897,-1030219,-133228,-607444,1920198,-2275654,-2318982,-5173656,-5362322,-3229948,-6191640,-3803532,-3939935,-1690514,-3872981,-4849356
128419,541669,-1029167,-135474,-609890,1914937,-2565431,-2324019,-5172358,-5356352,-3229731,-6187610,-3800894,-3938764,-1687323,-3873437,-4994489
128420,543859,-1033944,-134662,-609834,1913177,-2878141,-2325591,-5166534,-5353714,-3228569,-6182227,-3803900,-3939857,-1681891,-3872867,-5301189
128421,545225,-1035391,-131765,-606751,1918544,-2604602,-2320409,-5167110,-5359687,-3228639,-6185779,-3806764,-3941148,-1684647,-3872501,-5180364
128422,543393,-1031017,-132184,-606532,1921075,-2278838,-2318063,-5172601,-5362906,-3229999,-6191564,-3804192,-3940613,-1690503,-3873501,-4870278
128423,541651,-1028943,-134632,-609111,1916329,-2491204,-2322691,-5172752,-5357812,-3230227,-6189057,-3801002,-3939433,-1688868,-3874317,-4941581
128424,543261,-1033303,-134584,-609866,1913218,-2861427,-2325633,-5167111,-5353900,-3229196,-6183101,-3803273,-3940302,-1683071,-3873987,-5268557
128425,545084,-1035941,-131714,-607008,1917877,-2678454,-2321160,-5166285,-5359009,-3229017,-6185214,-3806814,-3941869,-1684406,-3873534,-5231131
128426,543724,-1032037,-131447,-606044,1921628,-2298761,-2317642,-5171725,-5363421,-3230196,-6191447,-3804870,-3941519,-1690524,-3874219,-4903317
128427,541806,-1028752,-133749,-608281,1917964,-2419716,-2321312,-5173032,-5359255,-3230654,-6190361,-3801071,-3940234,-1690316,-3875116,-4894596
128428,542921,-1032264,-134279,-609603,1913841,-2824575,-2325264,-5167674,-5354225,-3229761,-6184068,-3802396,-3940741,-1684381,-3874974,-5221954
128429,544947,-1036012,-131660,-607275,1917326,-2743507,-2321924,-5165543,-5358136,-3229444,-6184656,-3806437,-3942541,-1684252,-3874504,-5269727
128430,544023,-1032918,-130725,-605697,1921971,-2335710,-2317536,-5170526,-5363543,-3230512,-6191154,-3805430,-3942461,-1690425,-3875048,-4946226
128431,541829,-1028938,-132912,-607746,1919300,-2360283,-2320207,-5173121,-5360532,-3231166,-6191601,-3801363,-3941089,-1691689,-3876066,-4859873
128432,542261,-1031533,-134122,-609671,1914267,-2772844,-2324984,-5168535,-5354786,-3230459,-6185436,-3801767,-3941244,-1686091,-3876223,-5166670
128433,544644,-1035926,-131779,-607822,1916601,-2799329,-2322678,-5165084,-5357237,-3229897,-6184363,-3806021,-3943147,-1684450,-3875718,-5296587
128434,544171,-1033843,-130317,-605761,1921818,-2386485,-2317702,-5169522,-5363556,-3230914,-6190830,-3806172,-3943562,-1690440,-3876092,-4996689
128435,541771,-1029489,-132441,-607632,1920154,-2314216,-2319352,-5173419,-5362153,-3231943,-6192911,-3802225,-3942364,-1693220,-3877223,-4838644
128436,541699,-1030876,-134081,-609916,1914681,-2708366,-2324531,-5169749,-5355875,-3231236,-6187036,-3801485,-3941955,-1688069,-3877426,-5106539
128437,544199,-1035784,-132227,-608742,1915584,-2843454,-2323526,-5165231,-5356684,-3230496,-6184394,-3805717,-3943807,-1685011,-3877016,-5311782
128438,544331,-1034921,-130282,-606312,1921047,-2452034,-2318243,-5168690,-5363397,-3231342,-6190355,-3806954,-3944614,-1690322,-3877302,-5055445
128439,542261,-1030121,-131884,-607466,1920881,-2284488,-2318422,-5173282,-5363530,-3232527,-6193840,-3803194,-3943536,-1694348,-3878445,-4832370
128440,541681,-1030270,-133896,-609931,1915306,-2639179,-2323682,-5170720,-5357242,-3232067,-6188701,-3801455,-3942736,-1690052,-3878806,-5046884
128441,544191,-1035262,-132513,-609295,1914865,-2870833,-2323954,-5165420,-5356310,-3231060,-6184541,-3805239,-3944260,-1685621,-3878237,-5312043
128442,544990,-1035574,-130039,-606436,1920450,-2527043,-2318529,-5167588,-5362956,-3231620,-6189530,-3807454,-3945401,-1689876,-3878248,-5116806
128443,542872,-1030990,-131269,-607072,1921458,-2274642,-2317559,-5172931,-5364654,-3232865,-6194206,-3804159,-3944540,-1694884,-3879328,-4843207
128444,541670,-1030036,-133597,-609649,1916048,-2567576,-2322726,-5171717,-5358824,-3232790,-6190315,-3801734,-3943602,-1691874,-3880009,-4991356
128445,543776,-1034950,-132930,-609696,1914188,-2879714,-2324415,-5166086,-5356419,-3231833,-6185202,-3805019,-3944976,-1686706,-3879667,-5298576
128446,544909,-1036615,-130338,-606852,1919326,-2604232,-2319481,-5166997,-5362559,-3232046,-6188960,-3808041,-3946432,-1689677,-3879461,-5175945
128447,542967,-1032381,-130997,-606772,1921647,-2280986,-2317341,-5172712,-5365883,-3233461,-6194819,-3805552,-3945935,-1695634,-3880547,-4867232
128448,541199,-1030442,-133572,-609404,1916746,-2496658,-2322121,-5172958,-5360804,-3233684,-6192329,-3802439,-3944796,-1694029,-3881412,-4941344
128449,542836,-1035001,-133637,-610263,1913549,-2867967,-2325163,-5167401,-5357122,-3232846,-6186566,-3805011,-3945872,-1688434,-3881341,-5270111
128450,544583,-1037777,-130887,-607441,1918151,-2680899,-2320773,-5166747,-5362333,-3232707,-6188802,-3808627,-3947496,-1689917,-3880974,-5229760
128451,543167,-1033920,-130710,-606477,1921811,-2303411,-2317361,-5172233,-5366782,-3233927,-6195079,-3806734,-3947147,-1696134,-3881741,-4902836
128452,541088,-1030944,-133251,-608926,1917811,-2430566,-2321302,-5173689,-5362769,-3234539,-6194119,-3803199,-3946001,-1696040,-3882792,-4899415
128453,542368,-1034599,-133791,-610202,1913676,-2836534,-2325247,-5168284,-5357822,-3233609,-6187851,-3804706,-3946547,-1690096,-3882687,-5229214
128454,544553,-1038341,-131121,-607733,1917267,-2750520,-2321786,-5166132,-5361755,-3233168,-6188402,-3808792,-3948294,-1689963,-3882222,-5273527
128455,543680,-1035212,-130197,-606051,1921913,-2343455,-2317399,-5171156,-5367256,-3234259,-6194891,-3807817,-3948236,-1696168,-3882806,-4949626
128456,541491,-1031424,-132531,-608174,1919048,-2374283,-2320254,-5173783,-5364396,-3235022,-6195338,-3803922,-3946992,-1697412,-3883907,-4868457
128457,542106,-1034045,-133644,-609935,1914134,-2787694,-2324948,-5169082,-5358595,-3234170,-6189036,-3804342,-3947061,-1691649,-3883964,-5177638
128458,544455,-1038532,-131328,-607994,1916535,-2808869,-2322643,-5165731,-5361133,-3233644,-6188027,-3808651,-3948948,-1690083,-3883505,-5304124
128459,544040,-1036469,-129849,-605857,1921766,-2395354,-2317668,-5170127,-5367483,-3234767,-6194559,-3808789,-3949393,-1696132,-3884012,-5003034
128460,541791,-1032136,-131918,-607583,1920129,-2329036,-2319343,-5173869,-5366032,-3235793,-6196545,-3804881,-3948222,-1698839,-3885167,-4849504
128461,541851,-1033664,-133486,-609688,1914794,-2726060,-2324467,-5170022,-5359828,-3235194,-6190631,-3804272,-3947872,-1693648,-3885361,-5120540
128462,544396,-1038572,-131484,-608223,1915951,-2853665,-2323321,-5165471,-5360695,-3234387,-6187954,-3808424,-3949593,-1690529,-3884734,-5320738
128463,544534,-1037614,-129423,-605541,1921569,-2460462,-2317971,-5168912,-5367319,-3235162,-6193831,-3809513,-3950274,-1695747,-3884855,-5061486
128464,542366,-1032914,-130986,-606577,1921401,-2299789,-2318280,-5173404,-5367270,-3236268,-6197139,-3805714,-3949114,-1699604,-3885939,-4843465
128465,541776,-1033200,-132927,-608911,1915937,-2656552,-2323581,-5170706,-5361003,-3235880,-6192001,-3804122,-3948374,-1695276,-3886307,-5061573
128466,544069,-1038459,-131712,-608349,1915444,-2881442,-2323972,-5165554,-5360370,-3235185,-6188187,-3808180,-3950122,-1691197,-3885967,-5322740
128467,544763,-1038718,-129296,-605444,1921052,-2532567,-2318584,-5167771,-5366963,-3235739,-6193239,-3810271,-3951144,-1695491,-3885899,-5122137
128468,542753,-1033986,-130376,-605881,1922178,-2285719,-2317545,-5172891,-5368437,-3236949,-6197786,-3806842,-3950157,-1700391,-3886862,-4851662
128469,541673,-1033064,-132614,-608346,1916853,-2583325,-2322636,-5171455,-5362509,-3236824,-6193723,-3804365,-3949134,-1697207,-3887351,-5004985
128470,543909,-1037936,-131800,-608285,1915169,-2888726,-2324119,-5165689,-5360077,-3235765,-6188515,-3807522,-3950342,-1691910,-3886775,-5308510
128471,545213,-1039326,-129022,-605235,1920517,-2607546,-2318939,-5166457,-5366146,-3235942,-6192274,-3810379,-3951599,-1694872,-3886442,-5179890
128472,543421,-1034898,-129535,-605027,1922826,-2289524,-2316705,-5171901,-5369179,-3237221,-6197863,-3807653,-3950924,-1700566,-3887377,-4873691
128473,541788,-1032946,-131972,-607580,1917962,-2511686,-2321353,-5171862,-5363937,-3237315,-6195111,-3804486,-3949674,-1698711,-3888136,-4953904
128474,543538,-1037461,-131861,-608289,1914927,-2876480,-2324130,-5166177,-5360197,-3236301,-6189255,-3806989,-3950643,-1692993,-3887843,-5279650
128475,545345,-1039992,-129021,-605411,1919609,-2681093,-2319586,-5165581,-5365454,-3236183,-6191607,-3810578,-3952206,-1694544,-3887453,-5231179
128476,543889,-1036102,-128900,-604564,1923073,-2309979,-2316275,-5171097,-5369809,-3237478,-6197871,-3808694,-3951821,-1700698,-3888288,-4906875
128477,541809,-1033276,-131471,-607126,1918909,-2444289,-2320309,-5172499,-5365688,-3238024,-6196752,-3805206,-3950636,-1700424,-3889319,-4910039
128478,543048,-1036996,-132010,-608415,1914813,-2844764,-2324185,-5167102,-5360934,-3237172,-6190620,-3806866,-3951301,-1694556,-3889277,-5238004
128479,545093,-1040569,-129374,-605917,1918468,-2749445,-2320661,-5165139,-5364992,-3236735,-6191357,-3810882,-3953018,-1694546,-3888777,-5274025
128480,544127,-1037339,-128527,-604296,1923016,-2346052,-2316366,-5170182,-5370307,-3237817,-6197794,-3809802,-3952847,-1700671,-3889307,-4950345
128481,542013,-1033509,-130807,-606373,1920106,-2386121,-2319227,-5172596,-5367197,-3238437,-6197993,-3805816,-3951423,-1701682,-3890288,-4876466
128482,542636,-1036261,-131907,-608144,1915199,-2798894,-2323915,-5167849,-5361529,-3237579,-6191711,-3806344,-3951528,-1695899,-3890321,-5187588
128483,544841,-1040730,-129632,-606232,1917592,-2810332,-2321619,-5164744,-5364281,-3237063,-6190922,-3810701,-3953452,-1694468,-3889899,-5306759
128484,544273,-1038614,-128311,-604190,1922761,-2397926,-2316778,-5169384,-5370597,-3238140,-6197491,-3810797,-3953868,-1700521,-3890391,-5003684
