Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2802288.754224777,4208.273,4158.819,4108.8486,4336.0303,4219.606,4524.576,4389.091,4300.485,4460.6978,3735.3638,4416.909,4188.1816,4205.1816,4074.8486
2802296.749830246,4210.8486,4159.3335,4109.364,4335.0,4215.485,4524.576,4393.212,4300.485,4460.182,3741.5457,4421.031,4186.6367,4207.758,4078.9697
2802304.8000335693,4211.364,4170.667,4112.9697,4348.394,4215.485,4528.182,4391.1514,4302.546,4468.4243,3740.0002,4427.7275,4190.242,4208.273,4081.0303
2802312.847852707,4205.1816,4163.4546,4112.4546,4347.364,4218.0605,4525.091,4383.94,4299.4546,4463.788,3726.0913,4424.1216,4192.3027,4208.7876,4076.3938
2802320.7836151123,4201.576,4152.6367,4101.121,4332.425,4219.606,4519.9395,4387.0303,4295.8486,4446.7876,3714.7578,4416.394,4181.485,4200.5454,4068.1516
2802328.723192215,4200.031,4155.212,4094.9397,4326.7573,4218.0605,4529.7275,4396.3037,4297.394,4445.758,3718.3638,4415.879,4172.7275,4191.788,4064.0305
2802336.803674698,4202.606,4157.788,4103.697,4329.3335,4217.0303,4543.1216,4401.9697,4308.7275,4469.9697,3731.2427,4419.485,4179.4243,4199.0,4069.1821
2802343.990087509,4200.5454,4154.6973,4103.1816,4327.2725,4220.121,4535.909,4400.9395,4315.94,4481.8184,3740.0002,4420.0,4180.9697,4204.152,4069.697
2802351.82595253,4190.242,4155.727,4092.364,4326.7573,4222.1816,4525.606,4394.2427,4313.879,4471.515,3739.485,4418.9697,4170.1514,4193.8486,4061.97
2802359.8721027374,4190.242,4159.3335,4094.9397,4329.8486,4221.1514,4528.6973,4391.6665,4313.364,4474.6064,3738.4548,4418.4546,4170.1514,4190.242,4060.9395
2802367.890357971,4194.879,4160.364,4100.091,4330.879,4222.1816,4530.2427,4393.727,4310.2725,4491.6064,3741.0305,4417.9395,4176.3335,4196.9395,4064.5454
2802375.7133483887,4192.8184,4158.303,4093.9092,4327.788,4222.1816,4527.152,4394.2427,4301.515,4494.6973,3741.5457,4418.4546,4174.788,4194.3633,4062.4849
2802383.784532547,4194.3633,4156.758,4095.4546,4326.7573,4220.6367,4527.152,4389.091,4298.9395,4484.394,3735.8792,4419.485,4172.2124,4188.6973,4060.4243
2802391.7982578278,4202.0913,4159.3335,4102.667,4329.3335,4220.6367,4526.1216,4384.9697,4299.9697,4480.273,3728.6667,4416.909,4174.788,4189.7275,4064.5454
2802399.7395038605,4204.152,4160.364,4101.636,4331.394,4220.121,4528.182,4386.515,4296.879,4480.788,3725.061,4413.8184,4176.8486,4191.273,4068.667
2802407.795190811,4202.0913,4158.303,4099.5757,4330.3643,4219.606,4529.2124,4388.061,4294.8184,4480.788,3722.485,4413.8184,4175.303,4190.242,4067.1216
2802414.772748947,4201.576,4159.8486,4101.636,4327.2725,4222.1816,4526.6367,4391.1514,4297.394,4485.4243,3723.5154,4415.879,4172.7275,4190.242,4064.5454
2802422.7788448334,4200.5454,4161.909,4102.1514,4326.7573,4222.6973,4533.3335,4396.3037,4303.576,4495.2124,3733.818,4416.909,4175.8184,4190.758,4066.6064
2802430.820465088,4200.5454,4159.3335,4101.121,4333.9697,4219.606,4539.0,4394.2427,4307.182,4498.3027,3742.576,4417.4243,4178.394,4192.3027,4070.2122
2802438.7850761414,4203.6367,4161.909,4102.667,4338.091,4218.576,4532.8184,4388.061,4304.091,4495.7275,3739.485,4418.4546,4178.394,4196.424,4070.7275
2802447.8085041046,4199.0,4169.1216,4102.1514,4332.9395,4225.273,4525.606,4386.515,4297.394,4494.1816,3730.2124,4417.4243,4177.364,4192.8184,4068.1516
2802454.907655716,4193.8486,4170.1514,4099.5757,4333.4546,4235.5757,4528.6973,4390.1216,4297.394,4491.6064,3730.2124,4420.0,4179.4243,4186.121,4066.6064
