Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4350794.021368027,4323.667,4307.6973,4219.606,4482.3335,4254.636,4549.818,4406.6064,4332.9395,4515.8184,3815.2124,4483.879,4276.273,4299.9697,4171.182
4350795.994281769,4322.636,4316.4546,4223.2124,4489.031,4256.697,4563.2124,4409.182,4342.7275,4533.3335,3829.6367,4484.909,4277.8184,4306.1514,4176.8486
4350797.202587128,4319.0303,4304.091,4205.1816,4485.4243,4256.1816,4556.0,4403.515,4332.425,4518.3945,3816.2427,4478.7275,4265.4546,4288.121,4157.788
4350804.06332016,4319.0303,4301.515,4202.0913,4478.7275,4254.121,4552.9097,4405.5757,4321.6064,4504.485,3796.1516,4475.6367,4261.3335,4284.515,4154.182
4350812.096118927,4322.636,4316.4546,4218.576,4483.364,4258.7573,4564.7573,4413.8184,4322.1216,4507.576,3804.9092,4482.3335,4275.242,4304.091,4171.6973
4350820.080757141,4324.697,4318.515,4221.6665,4491.6064,4267.515,4556.515,4408.152,4321.6064,4501.3945,3806.97,4484.394,4278.849,4301.515,4168.606
4350828.006505966,4321.091,4310.788,4213.9395,4492.6367,4267.515,4542.6064,4394.2427,4312.8486,4489.546,3789.4548,4477.182,4265.97,4278.3335,4150.576
4350834.993600845,4320.061,4313.879,4217.0303,4495.2124,4259.788,4555.4854,4395.273,4312.333,4494.6973,3800.7878,4478.7275,4271.636,4286.5757,4160.364
4350843.633174896,4322.1216,4316.4546,4222.1816,4492.6367,4252.0605,4566.8184,4406.091,4320.061,4498.8184,3826.5457,4485.9395,4286.5757,4305.1216,4175.8184
4350851.105928421,4319.0303,4312.333,4219.606,4482.8486,4250.515,4554.4546,4405.5757,4316.9697,4485.9395,3814.182,4482.3335,4279.364,4295.3335,4165.515
4350859.024524689,4315.94,4312.333,4214.9697,4484.394,4258.2427,4539.515,4393.727,4302.0303,4471.0005,3774.5151,4477.182,4264.9395,4279.364,4152.6367
4350867.04158783,4316.9697,4313.879,4208.7876,4493.667,4269.5757,4541.5757,4392.697,4299.4546,4471.515,3774.0,4479.2427,4267.515,4279.879,4154.182
4350875.09393692,4317.4854,4314.3936,4208.273,4495.2124,4264.9395,4554.97,4403.0,4319.0303,4486.4546,3809.0305,4482.3335,4269.5757,4292.2427,4157.273
4350883.049726486,4318.515,4314.909,4211.879,4492.6367,4255.152,4565.7886,4410.2124,4334.4854,4499.3335,3823.9697,4482.3335,4267.0,4301.0,4157.788
4350891.004085541,4320.061,4312.333,4207.758,4493.152,4252.0605,4561.667,4408.667,4325.212,4500.879,3818.3035,4477.182,4266.485,4291.7275,4157.273
4350899.079322815,4317.4854,4311.8184,4202.0913,4493.667,4252.0605,4555.4854,4403.0,4312.333,4495.2124,3810.0608,4475.6367,4266.485,4279.364,4154.6973
4350906.307458878,4318.0005,4314.3936,4205.6973,4497.273,4258.7573,4558.0605,4402.4854,4313.364,4494.1816,3800.7878,4480.788,4265.4546,4285.031,4156.2427
4350915.00043869,4318.0005,4308.212,4205.6973,4499.3335,4265.4546,4558.5757,4400.9395,4314.3936,4495.2124,3788.4246,4477.6973,4258.7573,4288.121,4152.1216
4350922.042131424,4314.3936,4299.9697,4199.5156,4495.2124,4258.7573,4554.97,4397.8486,4309.2427,4489.546,3786.879,4471.515,4252.0605,4278.3335,4140.273
4350931.285381317,4315.425,4305.6367,4206.2124,4495.7275,4248.9697,4555.4854,4401.9697,4318.515,4497.788,3801.303,4483.364,4261.8486,4287.0913,4150.576
4350938.063144684,4320.5757,4316.4546,4222.1816,4499.849,4252.0605,4558.5757,4412.788,4335.515,4517.364,3819.3337,4493.667,4273.697,4308.212,4174.273
4350946.082115173,4321.091,4316.4546,4223.7275,4499.3335,4255.152,4560.636,4414.3335,4330.3643,4514.788,3816.2427,4483.364,4271.121,4306.667,4175.303
4350954.017400742,4316.9697,4307.182,4207.758,4494.1816,4250.0,4559.0913,4407.6367,4312.8486,4495.2124,3800.2727,4475.1216,4265.97,4287.0913,4156.758
4350962.085008621,4316.4546,4302.0303,4205.1816,4492.6367,4258.2427,4557.031,4407.121,4308.7275,4489.546,3800.2727,4476.667,4263.9097,4290.6973,4152.6367
4350970.080375671,4319.0303,4308.7275,4220.121,4496.758,4269.0605,4561.152,4411.2427,4320.061,4500.879,3808.0002,4479.2427,4268.031,4307.182,4165.515
4350977.061986923,4321.6064,4317.4854,4225.788,4500.364,4262.879,4563.7275,4415.879,4332.425,4510.152,3811.091,4488.0,4277.303,4306.667,4174.273
4351000.060558319,4321.091,4313.879,4222.6973,4497.788,4251.031,4560.121,4415.879,4331.909,4510.152,3805.9395,4491.6064,4275.242,4301.0,4172.7275
4351001.9998550415,4319.0303,4304.091,4218.576,4492.6367,4250.515,4557.546,4411.758,4319.0303,4505.0,3792.5457,4476.667,4263.394,4294.8184,4165.515
4351009.091615677,4316.4546,4298.9395,4211.879,4491.6064,4254.636,4559.6064,4408.667,4314.3936,4509.121,3794.6062,4464.303,4256.1816,4282.97,4160.364
4351010.0836753845,4314.3936,4296.879,4207.758,4490.576,4252.5757,4557.031,4403.515,4315.94,4510.6665,3806.97,4462.7583,4253.0913,4273.1816,4153.6665
4351018.09835434,4314.3936,4305.1216,4216.5156,4490.576,4252.5757,4555.4854,4404.546,4313.879,4507.0605,3810.0608,4464.303,4255.667,4280.394,4154.182
4351025.09021759,4319.546,4316.4546,4229.909,4502.4243,4261.3335,4564.7573,4416.394,4323.667,4524.0605,3812.1213,4480.273,4273.1816,4302.546,4171.182
4351033.087730408,4326.2427,4318.515,4238.667,4512.727,4267.515,4567.3335,4422.576,4341.1816,4544.667,3819.3337,4497.788,4287.0913,4319.546,4185.6064
4351049.096822739,4325.212,4317.4854,4238.152,4506.031,4258.7573,4559.0913,4416.394,4339.121,4534.364,3819.3337,4489.546,4278.3335,4311.303,4180.4546
4351050.029754639,4318.0005,4312.8486,4225.788,4493.667,4248.9697,4556.0,4408.152,4322.1216,4513.2427,3806.97,4474.0913,4264.4243,4288.121,4165.0005
4351057.101488113,4317.4854,4305.6367,4214.9697,4492.121,4251.031,4555.4854,4403.0,4313.364,4507.0605,3791.5154,4473.576,4263.394,4279.364,4156.758
4351064.043045044,4321.6064,4309.2427,4224.758,4496.758,4253.6064,4554.4546,4400.9395,4313.879,4503.455,3790.485,4478.7275,4267.515,4287.606,4160.364
4351081.240177155,4320.061,4316.9697,4237.636,4499.849,4251.031,4558.5757,4404.0303,4315.94,4501.9097,3801.303,4482.3335,4268.546,4301.515,4172.7275
4351082.956790924,4316.9697,4312.8486,4228.364,4498.8184,4251.031,4552.9097,4401.4546,4313.364,4507.0605,3803.879,4483.364,4267.0,4294.8184,4170.1514
4351087.981939316,4318.0005,4310.2725,4218.0605,4493.667,4250.515,4545.182,4398.3643,4310.788,4508.606,3799.2424,4477.182,4264.9395,4281.4243,4157.788
