Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2987197.736978531,4263.394,4235.5757,4172.2124,4449.364,4246.394,4561.667,4403.0,4333.4546,4524.0605,3790.485,4465.8486,4237.1216,4285.5454,4143.879
2987204.7231197357,4263.9097,4236.091,4168.091,4446.7876,4250.515,4556.0,4396.3037,4329.8486,4515.8184,3785.3333,4463.273,4236.091,4281.4243,4141.8184
2987221.9018936157,4258.7573,4237.636,4162.4243,4442.152,4256.1816,4556.515,4394.758,4324.697,4514.788,3786.879,4464.819,4238.152,4284.0,4140.7876
2987229.730129242,4252.5757,4233.0,4156.758,4437.0005,4252.5757,4558.0605,4397.3335,4316.4546,4513.2427,3789.4548,4464.303,4235.0605,4284.515,4139.758
2987230.8073043823,4251.546,4231.4546,4156.758,4434.4243,4248.9697,4556.515,4400.9395,4314.909,4509.6367,3784.303,4463.273,4231.9697,4283.485,4140.7876
2987236.835002899,4255.667,4232.485,4159.8486,4434.94,4248.9697,4553.425,4403.515,4318.0005,4512.2124,3784.303,4465.8486,4235.5757,4283.485,4141.8184
2987244.8074817657,4256.697,4236.091,4158.303,4433.9097,4246.909,4545.697,4400.9395,4315.94,4510.152,3788.9397,4460.6978,4234.5454,4283.485,4139.758
2987256.83760643,4253.0913,4233.0,4156.2427,4430.303,4250.515,4541.5757,4395.273,4307.6973,4498.3027,3782.2424,4450.3945,4227.3335,4281.4243,4138.2124
2987260.833501816,4250.515,4223.7275,4156.2427,4429.788,4249.4854,4543.636,4391.6665,4299.9697,4492.121,3769.3638,4452.455,4226.303,4277.303,4138.2124
2987268.834590912,4251.031,4228.364,4157.788,4437.0005,4236.6064,4546.2124,4392.182,4299.9697,4497.788,3770.9092,4463.788,4235.0605,4282.4546,4139.2427
2987276.8425941467,4254.636,4234.5454,4159.8486,4441.6367,4236.6064,4547.2427,4395.788,4303.061,4497.788,3777.091,4467.909,4238.152,4284.515,4140.273
2987284.89613533,4247.9395,4223.7275,4155.212,4432.879,4250.515,4544.152,4391.6665,4300.485,4484.909,3772.4546,4454.5156,4225.273,4273.1816,4133.061
