Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3169493.83687973,4279.364,4234.0303,4175.303,4435.455,4252.5757,4594.1216,4394.758,4324.182,4516.334,3784.303,4457.091,4240.7275,4321.6064,4159.3335
3169501.887321472,4286.0605,4235.0605,4175.303,4440.606,4248.9697,4605.455,4393.727,4323.1514,4520.9697,3799.2424,4452.455,4239.697,4323.1514,4159.8486
3169508.8472366333,4280.394,4234.5454,4173.758,4436.485,4250.515,4596.182,4391.1514,4315.425,4512.727,3787.3938,4447.303,4237.1216,4322.1216,4157.788
3169516.86167717,4279.879,4234.0303,4173.2427,4430.8184,4255.152,4602.364,4395.788,4322.1216,4515.303,3776.0608,4450.909,4237.1216,4322.1216,4160.364
3169525.5541801453,4284.0,4235.5757,4175.8184,4431.3335,4250.0,4605.455,4399.394,4334.4854,4528.182,3789.4548,4450.909,4236.091,4323.667,4163.4546
3169537.887096405,4281.9395,4236.091,4174.788,4434.4243,4246.394,4592.061,4394.758,4330.3643,4530.2427,3793.576,4447.819,4236.091,4324.697,4160.8794
3169540.7905578613,4272.667,4234.5454,4171.6973,4435.455,4248.9697,4580.2124,4388.5757,4318.0005,4514.788,3784.8184,4448.8486,4234.0303,4323.667,4155.727
3169548.874616623,4268.031,4232.485,4170.1514,4433.394,4250.0,4573.0,4384.9697,4312.8486,4497.788,3785.8486,4444.727,4226.8184,4321.091,4156.2427
3169556.8182468414,4270.0913,4233.0,4171.182,4432.364,4250.0,4573.0,4383.94,4312.8486,4497.273,3783.788,4441.1216,4222.1816,4316.4546,4156.758
3169564.8305416107,4269.5757,4235.0605,4170.667,4434.4243,4250.515,4583.8184,4388.5757,4318.0005,4511.1816,3776.5762,4444.727,4223.2124,4314.909,4154.6973
3169572.9162693024,4268.031,4235.0605,4165.0005,4432.364,4249.4854,4581.2427,4394.758,4322.1216,4514.2734,3780.6973,4446.273,4221.6665,4315.94,4155.727
3169584.8133563995,4265.97,4231.9697,4157.788,4425.152,4248.4546,4568.364,4391.6665,4317.4854,4502.9395,3780.6973,4438.5454,4219.091,4312.333,4152.1216
3169587.6841545105,4262.879,4230.9395,4157.273,4425.667,4248.4546,4566.8184,4391.6665,4312.8486,4494.1816,3769.879,4433.9097,4218.0605,4309.758,4143.364
3169595.7946777344,4263.9097,4235.5757,4165.0005,4432.879,4247.9395,4572.4854,4399.394,4321.091,4496.242,3772.4546,4442.152,4218.576,4312.8486,4148.0005
3169603.716135025,4269.0605,4238.667,4171.182,4434.4243,4248.9697,4576.6064,4405.5757,4331.909,4508.606,3779.1516,4448.8486,4225.788,4317.4854,4157.788
3169613.1649017334,4270.0913,4235.5757,4171.182,4432.364,4253.6064,4569.9097,4403.0,4331.909,4516.334,3777.6064,4446.7876,4233.515,4315.425,4155.727
3169621.1013793945,4272.667,4236.6064,4171.182,4436.485,4254.121,4559.6064,4397.3335,4327.788,4513.2427,3781.7275,4448.334,4234.5454,4315.425,4152.6367
3169631.8819522858,4278.849,4243.303,4175.303,4440.606,4246.909,4562.697,4398.879,4329.8486,4513.758,3787.3938,4454.5156,4234.0303,4321.6064,4157.273
3169635.741710663,4278.849,4241.7573,4174.788,4438.5454,4247.9395,4566.303,4401.4546,4328.8184,4516.334,3784.8184,4452.9697,4235.0605,4320.061,4157.788
3169644.271850586,4277.303,4237.1216,4171.6973,4434.4243,4254.121,4558.5757,4400.425,4325.212,4511.6973,3788.4246,4446.7876,4236.091,4315.425,4156.2427
3169656.861782074,4280.394,4238.152,4174.273,4432.364,4246.394,4557.031,4399.909,4328.8184,4510.6665,3794.091,4447.303,4235.5757,4318.0005,4159.8486
3169663.1360054016,4282.97,4237.636,4174.273,4429.788,4237.636,4562.697,4400.425,4332.425,4515.8184,3783.2727,4447.819,4236.091,4319.0303,4160.364
3169666.9075489044,4285.5454,4241.7573,4172.2124,4433.394,4245.364,4562.182,4399.394,4328.303,4513.2427,3770.9092,4443.6973,4237.1216,4317.4854,4158.819
3169675.8971214294,4281.4243,4251.031,4172.7275,4444.2124,4262.879,4559.0913,4399.394,4324.182,4502.4243,3774.5151,4436.485,4234.5454,4317.4854,4157.273
3169692.86775589,4272.152,4251.031,4171.6973,4448.334,4267.0,4562.182,4399.909,4325.7275,4497.273,3781.2122,4432.364,4225.273,4314.3936,4156.2427
3169694.86618042,4274.2124,4247.9395,4168.606,4448.334,4258.7573,4571.4546,4401.9697,4325.7275,4499.849,3777.6064,4432.879,4221.1514,4312.8486,4155.212
3169698.854446411,4278.849,4251.546,4171.182,4449.364,4257.7275,4580.7275,4405.0605,4319.546,4499.849,3770.9092,4432.364,4223.7275,4314.3936,4153.1514
3169706.76779747,4271.636,4250.0,4169.636,4448.334,4268.546,4574.031,4401.9697,4313.364,4494.1816,3769.879,4425.152,4222.6973,4305.6367,4151.091
3169714.7994041443,4265.97,4247.9395,4160.8794,4446.7876,4273.1816,4566.303,4399.909,4316.9697,4494.6973,3767.3032,4418.9697,4219.091,4299.9697,4148.5156
3169722.906589508,4269.5757,4249.4854,4157.273,4447.819,4264.4243,4571.97,4401.9697,4321.091,4499.3335,3760.606,4417.4243,4218.0605,4304.6064,4145.94
3169730.8719158173,4268.546,4242.273,4159.3335,4444.2124,4259.788,4569.9097,4398.879,4315.94,4495.7275,3760.606,4416.909,4221.1514,4304.091,4143.879
3169743.927001953,4263.9097,4233.515,4157.273,4434.94,4264.4243,4556.515,4392.182,4311.303,4481.8184,3762.1519,4415.364,4217.5454,4299.4546,4141.8184
3169745.886325836,4264.9395,4234.5454,4152.6367,4432.364,4267.515,4554.4546,4389.606,4312.333,4474.0913,3759.0608,4416.394,4208.273,4301.515,4139.2427
3169756.954908371,4267.0,4235.5757,4154.182,4437.0005,4255.152,4564.7573,4392.697,4315.425,4486.4546,3761.1213,4418.9697,4210.8486,4303.576,4141.303
3169763.0500793457,4265.4546,4234.0303,4155.727,4438.031,4246.909,4560.121,4392.697,4315.425,4493.152,3763.6973,4417.9395,4215.485,4299.4546,4140.7876
3169770.9469795227,4264.4243,4235.5757,4154.182,4431.3335,4254.636,4551.879,4391.6665,4318.0005,4483.364,3761.6362,4414.8486,4209.8184,4298.9395,4141.303
3169777.9426574707,4268.546,4235.0605,4155.727,4427.2124,4255.152,4558.0605,4394.2427,4327.788,4486.4546,3767.3032,4416.394,4210.8486,4307.182,4151.091
3169789.9832725525,4272.667,4235.5757,4158.819,4431.8486,4254.636,4565.273,4396.3037,4335.515,4503.97,3772.4546,4423.0913,4223.7275,4311.303,4155.727
3169794.7692871094,4269.0605,4238.152,4157.788,4433.9097,4265.97,4562.182,4395.273,4332.425,4502.4243,3764.7275,4421.031,4220.6367,4305.6367,4144.3945
3169801.914215088,4263.9097,4235.0605,4153.1514,4430.303,4265.97,4556.0,4391.1514,4324.182,4484.394,3759.5757,4411.2427,4205.1816,4299.9697,4137.182
3169809.853553772,4264.4243,4230.9395,4152.1216,4428.2427,4256.1816,4556.515,4389.091,4316.4546,4480.273,3762.1519,4412.273,4206.2124,4300.485,4140.273
3169816.8284893036,4268.031,4235.0605,4156.758,4432.364,4261.3335,4559.0913,4393.727,4315.94,4490.0605,3764.7275,4421.546,4218.576,4304.091,4142.848
3169824.87988472,4270.6064,4240.2124,4162.4243,4437.5156,4268.031,4563.7275,4402.4854,4324.182,4497.273,3772.4546,4425.152,4223.7275,4310.788,4146.455
3169837.774038315,4271.636,4237.1216,4161.909,4433.9097,4265.97,4564.2427,4400.425,4327.2725,4498.3027,3776.5762,4425.152,4218.576,4311.303,4145.94
3169840.833425522,4270.0913,4234.0303,4157.273,4431.8486,4266.485,4558.0605,4390.1216,4321.091,4497.273,3765.7578,4423.0913,4217.0303,4302.0303,4139.2427
3169848.8371372223,4265.97,4236.091,4154.182,4435.97,4266.485,4556.515,4388.5757,4315.94,4489.546,3752.8792,4417.9395,4218.576,4298.4243,4137.182
3169856.808423996,4266.485,4237.1216,4155.727,4437.5156,4265.4546,4557.031,4390.636,4314.3936,4478.2124,3755.4546,4414.3335,4212.3945,4302.0303,4139.758
3169864.8550510406,4268.546,4237.636,4157.273,4438.031,4266.485,4555.4854,4391.1514,4313.364,4478.7275,3769.879,4415.879,4207.758,4302.0303,4137.6973
3169872.8742599487,4267.0,4236.6064,4155.212,4439.061,4261.8486,4556.0,4390.636,4314.3936,4482.8486,3771.9395,4416.909,4208.7876,4299.9697,4134.0913
3169879.9860477448,4265.97,4235.0605,4154.182,4441.6367,4259.788,4560.121,4393.727,4316.4546,4482.8486,3759.5757,4417.9395,4216.0,4301.0,4139.2427
3169892.9286003113,4270.0913,4238.152,4157.788,4446.273,4266.485,4562.697,4398.3643,4316.9697,4483.879,3750.3032,4420.0,4220.121,4302.546,4143.364
3169895.876646042,4269.0605,4237.636,4155.727,4439.576,4265.97,4560.121,4395.788,4315.425,4483.364,3751.8489,4417.9395,4212.909,4302.546,4135.6367
3169903.9623737335,4259.788,4227.3335,4145.94,4424.6367,4254.121,4548.273,4382.394,4304.6064,4469.9697,3758.0305,4411.2427,4203.6367,4300.485,4126.364
3169921.0197925568,4251.031,4219.606,4138.727,4421.031,4242.273,4526.6367,4362.303,4284.0,4448.334,3750.8186,4403.0,4201.576,4294.8184,4124.303
3169921.87833786,4248.4546,4217.5454,4138.727,4423.6064,4235.5757,4523.5454,4356.1216,4278.849,4440.606,3730.2124,4404.0303,4202.0913,4290.6973,4122.758
3169927.9079437256,4256.1816,4221.6665,4148.0005,4422.061,4232.485,4541.061,4373.1216,4294.8184,4457.606,3728.6667,4413.8184,4204.152,4295.3335,4125.3335
3169935.8689785004,4261.8486,4226.303,4154.6973,4424.6367,4236.6064,4544.667,4384.4546,4302.546,4468.4243,3750.3032,4415.879,4207.242,4299.9697,4129.9697
3169947.902441025,4259.273,4224.758,4151.091,4427.2124,4247.4243,4536.4243,4379.8184,4298.4243,4458.6367,3758.0305,4411.758,4204.6665,4297.394,4127.909
3169951.8966674805,4260.818,4225.273,4151.091,4424.1216,4255.152,4548.273,4386.515,4310.2725,4467.909,3754.4243,4415.364,4205.1816,4296.364,4129.4546
3169958.886384964,4267.515,4232.485,4157.788,4422.576,4254.121,4578.152,4401.4546,4324.697,4495.7275,3757.0002,4421.031,4212.909,4301.0,4137.6973
3169966.851949692,4267.0,4234.5454,4156.2427,4425.152,4253.0913,4599.273,4396.3037,4320.5757,4498.8184,3759.0608,4416.394,4217.5454,4302.546,4139.758
3169975.312948227,4264.9395,4234.0303,4154.6973,4431.8486,4257.2124,4603.909,4386.515,4313.879,4483.879,3759.0608,4414.8486,4218.0605,4300.485,4140.273
3169984.505176544,4267.0,4236.6064,4156.758,4434.94,4254.636,4597.7275,4386.0005,4308.212,4475.6367,3755.97,4417.9395,4210.8486,4298.9395,4137.182
3169995.879650116,4264.9395,4235.0605,4151.606,4431.3335,4252.5757,4588.4546,4381.364,4297.394,4469.9697,3750.8186,4414.8486,4203.6367,4297.394,4128.9395
3169998.971223831,4264.9395,4233.515,4155.212,4433.9097,4255.667,4587.4243,4384.4546,4301.0,4469.9697,3751.8489,4416.909,4211.879,4297.394,4132.031
3170006.875038147,4269.0605,4238.667,4169.636,4440.0913,4254.121,4593.0913,4398.879,4314.909,4486.97,3762.667,4430.303,4224.758,4302.0303,4143.364
3170015.1059627533,4270.0913,4241.2427,4174.273,4444.2124,4251.546,4588.97,4400.9395,4316.4546,4493.667,3771.9395,4437.5156,4224.2427,4306.1514,4143.879
3170022.8567123413,4269.5757,4239.182,4170.1514,4445.2427,4251.546,4577.121,4392.182,4313.364,4484.394,3764.7275,4427.2124,4219.606,4302.0303,4140.7876
3170029.955148697,4270.0913,4236.091,4169.636,4440.0913,4252.5757,4574.031,4392.182,4316.4546,4485.4243,3755.97,4421.546,4227.3335,4299.9697,4144.3945
3170037.9049777985,4271.121,4243.303,4171.182,4436.485,4259.273,4577.121,4397.3335,4318.515,4496.242,3763.1821,4431.3335,4236.6064,4310.2725,4144.909
