Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1959619.678735733,4251.546,4205.6973,4142.848,4387.5454,4242.788,4555.4854,4384.9697,4331.394,4540.546,3730.7273,4428.2427,4218.0605,4298.4243,4139.2427
1959632.649898529,4250.0,4201.0605,4136.152,4382.394,4235.0605,4557.031,4388.061,4328.8184,4520.9697,3733.3032,4420.515,4211.879,4295.8486,4135.6367
1959635.535955429,4253.0913,4200.5454,4143.364,4385.485,4220.121,4563.7275,4395.273,4335.515,4542.6064,3740.5154,4425.667,4215.485,4303.576,4140.273
1959644.3650722504,4252.5757,4203.6367,4144.3945,4390.636,4224.758,4562.182,4393.727,4338.091,4557.031,3741.0305,4433.394,4221.6665,4304.6064,4143.364
1959651.635169983,4252.0605,4206.727,4144.909,4392.182,4235.0605,4559.6064,4385.485,4330.3643,4540.031,3736.3943,4434.4243,4219.091,4296.879,4140.273
1959659.6286296844,4255.667,4206.2124,4150.576,4389.606,4234.5454,4559.6064,4384.4546,4320.5757,4532.303,3733.818,4430.303,4220.6367,4297.394,4141.303
1959667.579650879,4255.152,4203.121,4146.455,4385.485,4234.0303,4558.5757,4384.9697,4315.425,4529.2124,3728.6667,4422.061,4219.606,4298.9395,4140.7876
1959675.651550293,4251.546,4203.6367,4137.6973,4385.485,4237.1216,4558.5757,4380.333,4315.94,4516.8486,3727.6365,4414.3335,4208.273,4291.7275,4132.5454
1959682.6303005219,4252.0605,4207.758,4140.273,4390.1216,4236.6064,4559.6064,4377.2427,4317.4854,4517.879,3730.7273,4420.515,4208.273,4289.152,4126.879
1959695.589542389,4253.0913,4206.2124,4149.0303,4393.727,4236.091,4559.0913,4377.758,4314.3936,4527.667,3725.576,4428.758,4218.0605,4296.364,4134.606
1959698.590517044,4254.121,4204.152,4154.6973,4393.727,4235.0605,4563.7275,4377.758,4310.788,4532.8184,3723.5154,4429.788,4223.2124,4299.9697,4141.8184
1959706.6395282745,4256.1816,4210.334,4157.273,4393.727,4234.5454,4571.4546,4378.2725,4315.94,4551.879,3735.3638,4437.0005,4229.394,4306.667,4141.8184
1959714.7982120514,4254.636,4213.4243,4154.6973,4393.212,4237.1216,4582.788,4378.2725,4320.5757,4569.9097,3745.6667,4441.1216,4230.4243,4312.333,4140.7876
