Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1857977.5075912476,4267.515,4237.1216,4157.788,4423.0913,4235.5757,4590.515,4384.4546,4301.515,4467.394,3770.9092,4452.455,4221.6665,4299.9697,4140.273
1857985.490322113,4269.5757,4244.8486,4168.606,4438.031,4234.5454,4588.4546,4383.94,4305.1216,4491.6064,3768.3335,4464.819,4234.5454,4311.8184,4139.758
1858000.5376338959,4272.667,4249.4854,4172.7275,4438.5454,4249.4854,4587.9395,4384.4546,4314.3936,4515.303,3772.9697,4466.364,4236.6064,4315.425,4143.879
1858001.5687942505,4269.5757,4248.4546,4169.1216,4431.8486,4257.2124,4587.9395,4383.4243,4315.425,4516.334,3785.3333,4463.273,4233.0,4312.333,4146.9697
1858008.579492569,4266.485,4242.788,4169.636,4433.394,4238.152,4591.031,4388.5757,4318.515,4511.6973,3782.7578,4464.819,4235.5757,4314.909,4146.9697
1858060.6744289398,4270.6064,4243.303,4171.6973,4434.94,4236.091,4592.576,4395.788,4327.2725,4517.879,3773.4849,4463.788,4236.6064,4316.9697,4146.9697
1858061.5811347961,4272.667,4247.4243,4170.1514,4432.879,4251.546,4591.5454,4396.3037,4326.7573,4516.8486,3769.879,4461.7275,4233.0,4314.909,4145.4243
1858062.6301765442,4271.121,4247.4243,4171.182,4439.061,4241.7573,4591.031,4390.636,4317.4854,4506.5454,3779.1516,4463.273,4234.0303,4313.879,4144.909
1858065.9725666046,4269.5757,4253.0913,4177.364,4447.303,4253.0913,4590.515,4386.515,4313.879,4513.758,3773.4849,4465.3335,4240.7275,4314.3936,4143.879
1858066.0710334778,4275.242,4251.031,4184.576,4447.303,4251.031,4592.576,4384.4546,4307.6973,4509.6367,3766.273,4469.4546,4248.4546,4313.879,4149.5454
1858072.599887848,4285.031,4255.152,4188.1816,4451.4243,4252.0605,4593.6064,4388.5757,4307.182,4522.5156,3773.4849,4477.6973,4252.5757,4321.091,4156.758
1858080.599784851,4286.0605,4261.8486,4189.2124,4457.606,4253.0913,4593.6064,4392.182,4311.8184,4546.2124,3783.788,4481.8184,4253.0913,4326.7573,4158.303
1858088.6180400848,4284.0,4257.2124,4187.667,4452.9697,4250.515,4595.152,4390.1216,4314.909,4548.273,3780.6973,4478.7275,4254.636,4321.6064,4156.2427
1858104.6514511108,4281.9395,4251.031,4178.909,4443.6973,4248.4546,4595.152,4388.061,4315.425,4530.2427,3775.0305,4471.0005,4250.515,4317.4854,4154.182
1858105.6106090546,4274.2124,4252.0605,4172.7275,4445.2427,4247.4243,4593.6064,4391.6665,4315.94,4523.5454,3778.1213,4465.3335,4240.2124,4318.515,4154.6973
1858111.6824150085,4268.546,4252.5757,4173.758,4448.334,4249.4854,4593.0913,4393.727,4316.4546,4529.7275,3780.182,4466.8794,4235.0605,4318.0005,4153.6665
1858119.5487976074,4270.0913,4251.031,4172.2124,4442.6665,4252.5757,4592.576,4393.212,4313.879,4528.6973,3776.0608,4469.4546,4235.5757,4316.4546,4150.061
1858127.5961399078,4271.636,4252.0605,4168.606,4437.5156,4252.0605,4596.6973,4398.3643,4315.425,4518.3945,3773.4849,4464.819,4233.0,4315.425,4150.576
1858135.5559825897,4270.6064,4252.5757,4170.667,4438.5454,4248.4546,4600.303,4402.4854,4320.5757,4514.2734,3773.4849,4460.6978,4232.485,4314.3936,4152.1216
1858144.7112560272,4271.636,4251.031,4170.667,4440.606,4249.4854,4594.6367,4398.3643,4323.1514,4514.788,3771.9395,4464.819,4234.5454,4314.909,4148.0005
1858151.6478061676,4270.6064,4249.4854,4162.94,4436.485,4250.515,4589.485,4391.6665,4318.515,4498.3027,3761.6362,4463.788,4227.8486,4309.2427,4143.364
1858159.8126888275,4267.515,4247.4243,4156.2427,4432.364,4250.0,4593.0913,4390.1216,4311.8184,4471.515,3748.2424,4452.455,4219.091,4302.546,4140.273
