Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
578557.4007034302,4271.636,4261.3335,4143.364,4440.606,4297.394,4594.6367,4383.94,4328.8184,4525.091,3773.4849,4483.879,4232.485,4217.0303,4100.6064
578565.3128623962,4264.9395,4254.636,4132.5454,4430.303,4294.303,4586.394,4372.606,4316.4546,4511.6973,3763.6973,4468.4243,4219.606,4202.606,4091.3335
578573.6253261566,4264.9395,4248.4546,4127.909,4430.303,4285.5454,4578.152,4368.485,4312.333,4506.5454,3765.2427,4460.6978,4214.9697,4200.5454,4091.3335
578581.2921524048,4274.7275,4260.303,4139.758,4442.152,4289.152,4575.5757,4370.5454,4324.182,4518.3945,3775.546,4474.6064,4229.394,4216.5156,4106.273
578589.3774032593,4277.8184,4270.0913,4147.485,4447.819,4294.8184,4576.0913,4369.0005,4327.2725,4522.5156,3775.546,4479.2427,4239.182,4221.6665,4108.8486
578597.4261760712,4269.0605,4258.2427,4141.303,4436.485,4286.0605,4583.303,4369.0005,4317.4854,4512.727,3767.8184,4466.364,4231.4546,4210.8486,4095.9697
578604.3257713318,4263.394,4247.4243,4135.1216,4426.6973,4279.879,4584.849,4369.0005,4306.667,4508.606,3758.0305,4457.606,4221.6665,4202.0913,4091.8486
578612.3371124268,4267.0,4251.546,4130.485,4431.3335,4284.515,4576.0913,4367.4546,4302.0303,4509.6367,3750.8186,4455.5454,4219.606,4196.9395,4095.9697
578620.4128265381,4260.303,4252.0605,4125.3335,4431.3335,4286.0605,4571.4546,4363.3335,4306.1514,4508.606,3751.8489,4446.273,4219.091,4188.6973,4089.2725
578628.312587738,4251.546,4246.394,4124.303,4427.7275,4282.97,4574.031,4362.303,4312.8486,4509.6367,3759.0608,4444.727,4217.0303,4187.152,4082.576
578641.3185596466,4254.636,4247.4243,4125.8486,4430.303,4282.4546,4578.667,4367.4546,4314.909,4515.8184,3757.5151,4451.94,4218.576,4194.879,4087.212
578644.3021297455,4254.636,4248.9697,4126.364,4430.303,4282.97,4577.636,4364.364,4307.182,4513.758,3748.758,4447.819,4218.576,4190.242,4087.212
578652.3973941803,4251.031,4248.9697,4124.303,4431.8486,4281.4243,4573.515,4355.0913,4299.4546,4507.576,3749.7883,4442.152,4216.0,4181.485,4082.576
578667.3810482025,4253.6064,4249.4854,4125.3335,4429.273,4276.273,4575.0605,4358.6973,4299.4546,4509.121,3757.0002,4446.273,4217.5454,4185.6064,4086.182
578668.3125495911,4257.7275,4250.0,4130.485,4424.6367,4276.273,4580.2124,4365.9087,4302.546,4514.2734,3758.0305,4447.819,4222.6973,4187.667,4090.818
578676.3069629669,4253.0913,4247.9395,4122.2427,4424.1216,4281.9395,4572.4854,4356.1216,4298.4243,4511.6973,3749.7883,4436.485,4216.5156,4177.364,4083.0908
578686.066865921,4248.4546,4244.3335,4111.4243,4419.485,4284.0,4563.7275,4349.4243,4294.8184,4506.5454,3738.97,4428.758,4204.152,4168.606,4074.3333
578693.0010318756,4250.0,4246.394,4118.6367,4419.485,4283.485,4568.364,4356.6367,4297.394,4508.606,3738.4548,4437.5156,4207.758,4174.273,4079.4854
578704.5772075653,4255.152,4252.0605,4130.485,4429.273,4283.485,4580.2124,4363.848,4299.4546,4512.727,3751.3335,4450.3945,4221.6665,4187.152,4087.7275
578707.3619365692,4255.152,4253.0913,4128.9395,4434.94,4282.4546,4577.636,4361.7876,4300.485,4513.2427,3757.0002,4451.94,4222.6973,4189.2124,4089.2725
578715.7111167908,4251.546,4249.4854,4123.788,4429.788,4284.0,4560.636,4352.0,4296.879,4508.606,3745.1516,4441.6367,4215.485,4174.788,4083.0908
578735.0568771362,4252.5757,4248.9697,4124.303,4430.8184,4283.485,4559.6064,4347.879,4293.273,4507.0605,3744.6365,4439.061,4216.0,4169.1216,4081.0303
578735.1398468018,4254.121,4248.9697,4126.879,4432.364,4276.788,4574.546,4355.0913,4301.515,4515.8184,3756.4849,4448.8486,4220.121,4184.576,4090.303
578743.8819408417,4253.6064,4248.4546,4129.4546,4424.1216,4276.273,4578.667,4365.394,4316.4546,4527.152,3759.5757,4453.485,4221.6665,4194.3633,4097.515
578747.2522258759,4256.697,4250.515,4127.394,4422.576,4285.031,4571.97,4369.0005,4319.546,4527.667,3757.0002,4449.364,4221.1514,4188.1816,4094.4246
578755.3431987762,4263.394,4252.0605,4127.909,4432.364,4289.667,4573.515,4371.061,4314.3936,4523.5454,3758.5454,4447.303,4220.121,4189.7275,4093.9092
578767.3518657684,4261.8486,4251.031,4131.0005,4429.273,4281.4243,4572.4854,4373.1216,4315.94,4526.1216,3759.0608,4449.8794,4221.1514,4191.273,4094.9397
578770.3137397766,4252.5757,4248.9697,4125.8486,4414.3335,4274.2124,4559.6064,4366.4243,4315.425,4523.5454,3753.9094,4445.758,4218.576,4178.909,4088.2424
578778.3195972443,4248.9697,4249.4854,4121.7275,4420.515,4275.242,4562.697,4362.303,4305.6367,4514.788,3753.394,4444.727,4216.5156,4177.364,4084.6365
578786.3552570343,4252.0605,4250.0,4124.303,4432.364,4278.849,4574.031,4363.3335,4298.9395,4511.6973,3751.8489,4449.364,4219.091,4184.0605,4088.7576
578794.34466362,4252.0605,4245.879,4123.788,4420.515,4279.364,4567.3335,4356.6367,4295.3335,4508.606,3745.6667,4444.727,4218.576,4173.758,4084.1213
578802.3488521576,4251.031,4243.818,4121.7275,4413.303,4279.364,4556.515,4351.485,4294.8184,4508.0913,3745.6667,4439.061,4216.5156,4168.091,4078.4548
578810.3506565094,4253.6064,4249.4854,4126.364,4428.758,4281.9395,4561.667,4358.6973,4302.0303,4519.9395,3755.97,4447.819,4220.121,4186.121,4087.7275
578818.3314800262,4254.121,4253.0913,4127.909,4435.97,4285.031,4565.273,4360.2427,4308.212,4527.152,3762.667,4450.909,4221.6665,4191.788,4092.8792
578825.2947330475,4256.1816,4250.0,4126.879,4429.788,4284.0,4557.031,4353.5454,4307.182,4523.0303,3763.6973,4447.303,4222.1816,4182.515,4091.8486
578834.018945694,4265.97,4251.546,4137.6973,4434.94,4282.4546,4557.031,4360.2427,4312.8486,4525.606,3767.3032,4458.6367,4230.4243,4191.273,4102.1514
