Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1659616.5466308594,4281.4243,4258.2427,4273.1816,4434.4243,4220.6367,4508.0913,4388.5757,4324.182,4576.6064,3755.4546,4461.2124,4191.273,4300.485,4149.0303
1659624.5613098145,4288.636,4266.485,4279.364,4445.758,4219.091,4516.334,4388.5757,4326.2427,4587.9395,3753.394,4462.7583,4197.455,4306.667,4150.576
1659632.5924396515,4299.4546,4265.97,4291.2124,4449.364,4221.1514,4525.606,4394.2427,4330.879,4616.2725,3757.0002,4474.0913,4208.7876,4314.3936,4157.273
1659641.5722370148,4299.4546,4264.4243,4297.909,4452.9697,4237.1216,4512.2124,4389.606,4330.3643,4641.0,3769.3638,4481.303,4219.606,4323.1514,4167.061
1659648.585319519,4298.9395,4268.546,4298.9395,4457.091,4237.636,4510.6665,4386.515,4335.0,4668.303,3768.3335,4486.97,4226.303,4332.425,4172.7275
1659656.4629077911,4302.546,4269.5757,4300.485,4450.909,4220.121,4525.606,4392.697,4341.6973,4686.3335,3764.2124,4491.6064,4226.303,4335.515,4173.2427
1659664.4854545593,4302.0303,4267.515,4299.4546,4446.7876,4225.273,4520.9697,4390.636,4336.546,4678.606,3776.5762,4485.4243,4223.2124,4332.425,4171.182
1659672.546863556,4297.394,4265.4546,4298.4243,4449.364,4240.2124,4507.576,4385.485,4327.2725,4658.5156,3782.7578,4477.6973,4223.2124,4327.788,4171.6973
1659681.569814682,4297.394,4268.546,4298.4243,4448.8486,4235.5757,4512.2124,4388.061,4327.788,4651.8184,3775.546,4478.7275,4220.6367,4327.2725,4172.2124
1659688.5859966278,4304.6064,4276.788,4299.9697,4452.455,4233.0,4514.2734,4388.5757,4330.3643,4662.1216,3766.788,4480.788,4226.8184,4329.3335,4171.6973
1659696.5596675873,4310.2725,4275.758,4302.0303,4457.091,4230.4243,4508.606,4387.0303,4323.1514,4668.8184,3765.2427,4484.909,4235.0605,4332.425,4174.273
1659703.8135528564,4304.091,4267.515,4298.4243,4450.3945,4214.455,4512.2124,4384.9697,4313.364,4647.182,3769.3638,4488.0,4227.3335,4328.8184,4173.758
1659711.5533351898,4297.909,4265.97,4288.636,4443.6973,4216.5156,4507.576,4378.7876,4312.8486,4616.788,3771.4243,4479.758,4216.0,4320.061,4166.5454
1659719.5603847504,4298.4243,4267.0,4281.9395,4447.819,4240.7275,4496.242,4373.6367,4315.94,4607.5156,3771.4243,4475.1216,4217.0303,4317.4854,4157.788
1659727.540254593,4297.394,4265.97,4285.5454,4451.4243,4240.2124,4502.4243,4379.303,4315.94,4621.94,3770.394,4480.273,4220.121,4322.636,4159.8486
1659735.570192337,4296.879,4268.031,4287.606,4446.7876,4218.0605,4515.8184,4387.5454,4315.425,4628.1216,3767.8184,4481.303,4218.0605,4324.697,4164.485
1659743.7462806702,4298.4243,4269.0605,4284.515,4445.2427,4221.6665,4512.727,4388.061,4314.3936,4614.212,3767.3032,4479.758,4219.091,4316.9697,4158.819
1659756.6480636597,4298.9395,4267.0,4284.0,4447.819,4238.667,4506.5454,4385.485,4314.909,4608.546,3761.1213,4476.667,4220.6367,4314.909,4156.2427
1659758.644580841,4293.273,4263.9097,4283.485,4445.2427,4229.394,4512.727,4390.1216,4316.9697,4600.8184,3749.273,4469.9697,4212.3945,4314.909,4156.758
1659766.550540924,4287.606,4260.303,4279.364,4440.606,4211.364,4516.334,4394.2427,4315.94,4572.4854,3749.273,4463.788,4202.606,4307.182,4150.061
1659779.5162200928,4293.273,4263.9097,4280.9097,4444.727,4225.788,4514.788,4389.606,4313.879,4566.8184,3759.5757,4460.6978,4208.7876,4303.061,4148.5156
