Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3895445.9438323975,4317.4854,4315.425,4178.394,4409.182,4263.9097,4536.4243,4386.515,4311.8184,4483.879,3742.0608,4428.2427,4255.667,4224.758,4087.212
3895453.957557678,4324.697,4320.061,4187.152,4415.879,4266.485,4551.364,4398.3643,4324.697,4496.242,3753.394,4439.576,4262.364,4237.1216,4093.9092
3895461.977958679,4329.3335,4324.182,4190.758,4421.031,4268.031,4563.2124,4403.515,4338.091,4501.9097,3753.394,4443.182,4268.546,4241.2427,4095.9697
3895469.966650009,4323.667,4323.1514,4186.121,4420.515,4265.97,4557.546,4395.788,4330.3643,4496.758,3736.3943,4438.031,4265.4546,4240.2124,4092.364
3895485.991001129,4312.333,4318.0005,4175.8184,4416.394,4265.4546,4543.1216,4388.5757,4312.8486,4484.394,3728.6667,4432.879,4255.667,4229.394,4080.5154
3895486.9265556335,4311.8184,4317.4854,4170.1514,4415.364,4265.4546,4544.667,4388.5757,4307.6973,4481.303,3738.97,4431.3335,4252.0605,4220.121,4074.3333
3895493.011236191,4315.425,4316.9697,4172.7275,4418.4546,4262.879,4557.546,4386.515,4306.667,4483.364,3742.576,4431.3335,4255.152,4222.6973,4075.8787
3895500.9672641754,4307.182,4314.3936,4174.273,4417.9395,4258.2427,4552.394,4379.303,4298.9395,4478.7275,3725.061,4429.788,4254.121,4222.6973,4070.2122
3895509.0050697327,4303.576,4318.515,4168.091,4416.394,4254.636,4536.4243,4373.6367,4297.909,4475.6367,3718.3638,4430.8184,4253.0913,4218.576,4066.6064
3895518.6438560486,4312.8486,4321.091,4174.788,4421.546,4251.546,4541.061,4376.212,4308.7275,4481.303,3736.9094,4434.94,4258.7573,4221.6665,4075.8787
3895528.0072689056,4316.9697,4317.4854,4187.152,4424.6367,4248.4546,4542.0913,4375.6973,4313.364,4481.8184,3740.5154,4435.97,4264.9395,4224.758,4082.0608
3895533.749103546,4313.364,4315.94,4182.515,4421.546,4249.4854,4525.091,4372.606,4308.212,4478.2124,3731.2427,4433.394,4263.9097,4222.6973,4078.4548
3895540.929555893,4309.2427,4315.94,4170.667,4418.4546,4255.152,4527.152,4374.1514,4303.576,4480.273,3738.97,4434.94,4257.2124,4221.6665,4072.2727
3895549.0460395813,4303.061,4313.364,4170.1514,4414.8486,4257.2124,4544.667,4375.182,4302.0303,4480.273,3744.6365,4435.455,4250.0,4220.121,4069.697
3895556.407213211,4298.4243,4311.303,4172.2124,4407.6367,4254.636,4547.7573,4376.727,4300.485,4478.7275,3740.5154,4431.3335,4248.9697,4219.606,4068.667
3895564.411878586,4301.0,4310.788,4170.1514,4409.182,4251.546,4542.0913,4382.909,4299.9697,4479.2427,3737.4246,4431.8486,4252.5757,4220.121,4068.667
3895571.9215869904,4302.0303,4313.879,4171.6973,4416.909,4250.0,4545.697,4388.5757,4301.515,4479.758,3732.7878,4438.5454,4253.6064,4222.1816,4070.2122
3895579.8921585083,4299.9697,4313.879,4167.061,4413.8184,4252.0605,4548.273,4384.9697,4299.9697,4478.2124,3731.2427,4437.5156,4250.0,4222.1816,4066.091
3895587.975502014,4298.4243,4304.091,4156.2427,4401.9697,4255.667,4545.697,4378.2725,4298.9395,4478.2124,3734.8484,4428.758,4245.364,4214.455,4056.8184
3895596.013069153,4297.909,4302.546,4159.8486,4401.4546,4248.9697,4541.061,4375.6973,4299.4546,4478.2124,3729.697,4426.6973,4246.394,4208.7876,4059.3938
3895603.967666626,4305.6367,4312.8486,4171.182,4408.667,4235.5757,4542.6064,4378.2725,4299.9697,4478.2124,3723.5154,4432.879,4251.546,4214.9697,4072.2727
3895611.8819713593,4315.94,4317.4854,4174.788,4410.7275,4237.636,4542.0913,4379.303,4301.0,4480.273,3724.5457,4436.485,4257.2124,4222.1816,4080.5154
3895625.00667572,4317.4854,4314.909,4173.2427,4408.152,4248.9697,4530.758,4373.6367,4302.0303,4480.273,3722.485,4437.0005,4261.8486,4221.6665,4082.0608
3895627.9516220093,4313.364,4313.879,4173.758,4408.152,4244.3335,4526.1216,4369.5156,4298.9395,4477.182,3726.6062,4434.4243,4258.2427,4220.121,4079.4854
3895634.924888611,4313.879,4312.333,4171.6973,4409.182,4233.515,4529.7275,4369.5156,4292.758,4475.6367,3733.818,4432.364,4252.0605,4218.0605,4076.9092
3895644.2036628723,4312.8486,4312.333,4171.6973,4408.152,4234.5454,4528.182,4366.4243,4294.303,4477.6973,3733.3032,4435.97,4254.121,4218.0605,4075.8787
3895650.981903076,4304.6064,4310.788,4174.788,4405.0605,4235.5757,4534.879,4361.7876,4298.4243,4480.788,3729.697,4441.1216,4257.2124,4222.1816,4073.3032
3895659.9230766296,4301.0,4303.576,4168.606,4400.9395,4231.4546,4542.0913,4363.848,4290.6973,4474.0913,3722.485,4437.0005,4253.0913,4218.0605,4068.667
