Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
677784.3894958496,4254.636,4270.0913,4193.8486,4432.879,4287.0913,4536.9395,4369.5156,4324.697,4498.8184,3778.1213,4450.909,4278.849,4315.94,4096.4854
677787.7702713013,4258.7573,4267.515,4187.667,4430.8184,4281.9395,4541.061,4371.576,4320.5757,4486.97,3765.2427,4448.8486,4271.121,4309.758,4090.818
677795.3367233276,4265.97,4269.0605,4188.6973,4425.152,4285.031,4530.758,4371.576,4314.909,4478.2124,3759.5757,4447.819,4269.5757,4303.061,4085.1514
677803.3480644226,4262.879,4279.364,4189.2124,4429.273,4285.5454,4526.1216,4369.5156,4304.091,4474.0913,3754.9397,4447.819,4269.5757,4298.4243,4085.667
677811.3975524902,4256.697,4284.515,4184.576,4432.879,4281.4243,4535.394,4369.5156,4304.091,4474.6064,3748.758,4442.152,4267.0,4292.2427,4086.182
677819.3793296814,4253.6064,4275.758,4181.485,4424.1216,4284.0,4542.6064,4369.5156,4307.182,4475.1216,3747.2122,4430.8184,4264.9395,4280.9097,4081.0303
677827.3000717163,4250.515,4267.515,4184.0605,4421.031,4286.5757,4540.031,4369.5156,4301.515,4468.4243,3746.182,4431.3335,4266.485,4275.758,4079.4854
677835.36028862,4255.667,4268.546,4188.6973,4431.3335,4283.485,4530.758,4369.0005,4303.061,4461.7275,3747.2122,4449.8794,4272.667,4290.6973,4087.212
677842.3342704773,4264.9395,4272.152,4189.7275,4435.97,4284.515,4524.0605,4367.4546,4313.879,4465.8486,3753.9094,4460.6978,4282.97,4306.667,4095.9697
677850.3785133362,4269.5757,4274.2124,4190.758,4434.4243,4287.0913,4532.303,4369.0005,4315.94,4476.667,3760.606,4453.485,4285.031,4305.1216,4097.515
677863.3515834808,4265.4546,4270.6064,4188.6973,4434.4243,4282.4546,4545.697,4371.576,4312.333,4480.788,3756.4849,4445.2427,4273.697,4294.8184,4088.2424
677866.3914203644,4256.697,4267.515,4180.9697,4433.394,4287.0913,4542.0913,4370.0303,4315.425,4475.1216,3755.4546,4445.2427,4267.0,4293.273,4082.0608
677875.7336139679,4258.7573,4272.152,4176.3335,4432.879,4301.0,4532.8184,4371.061,4318.515,4475.6367,3763.1821,4451.94,4267.0,4302.0303,4087.7275
