Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
373645.6024646759,4270.6064,4217.0303,4148.5156,4417.4243,4264.4243,4544.667,4389.091,4317.4854,4481.303,3759.0608,4416.909,4239.182,4257.2124,4114.0
373647.54009246826,4256.697,4204.6665,4141.303,4424.6367,4259.788,4531.788,4375.182,4309.758,4473.061,3752.3638,4409.182,4227.8486,4251.031,4105.2427
373649.54376220703,4249.4854,4200.031,4136.6665,4408.667,4242.788,4520.9697,4360.2427,4293.273,4458.1216,3738.4548,4397.3335,4214.455,4235.5757,4094.9397
373655.55715560913,4254.636,4205.1816,4139.2427,4392.697,4237.1216,4525.606,4364.879,4293.273,4456.576,3737.9397,4397.8486,4218.0605,4238.152,4095.9697
373663.6679172516,4252.5757,4205.6973,4140.7876,4399.909,4239.697,4526.1216,4372.091,4298.4243,4461.2124,3741.5457,4400.9395,4221.1514,4251.031,4097.515
373671.56195640564,4249.4854,4202.606,4138.727,4415.364,4251.546,4530.758,4374.1514,4299.9697,4463.273,3742.0608,4404.546,4218.576,4253.0913,4097.0
373679.5070171356,4250.515,4204.152,4139.2427,4417.9395,4259.273,4541.061,4374.6665,4301.0,4464.303,3749.7883,4407.6367,4220.6367,4248.9697,4095.4546
373687.50739097595,4248.9697,4205.6973,4143.364,4414.8486,4251.031,4534.879,4371.061,4302.0303,4466.364,3754.4243,4407.6367,4219.606,4250.515,4092.364
373695.5020427704,4250.0,4204.6665,4145.4243,4417.9395,4248.4546,4523.5454,4370.0303,4301.0,4467.909,3749.273,4410.7275,4219.606,4253.6064,4097.515
373702.5685310364,4253.6064,4209.3027,4148.0005,4420.515,4252.5757,4526.1216,4376.212,4301.515,4467.394,3752.3638,4418.4546,4226.8184,4256.1816,4105.2427
373711.5695476532,4253.0913,4219.091,4148.5156,4418.4546,4255.667,4529.7275,4378.2725,4302.0303,4467.909,3757.5151,4420.0,4234.0303,4256.1816,4104.212
373719.5472717285,4251.546,4213.9395,4148.5156,4415.879,4251.546,4528.6973,4373.6367,4299.9697,4464.819,3749.7883,4416.394,4235.5757,4254.636,4101.121
373741.58811569214,4252.5757,4201.576,4146.455,4415.364,4236.6064,4526.1216,4368.485,4295.3335,4459.1514,3745.1516,4415.364,4230.4243,4251.031,4104.7275
373743.5314655304,4254.636,4207.758,4148.0005,4417.9395,4246.394,4525.606,4371.061,4296.364,4461.7275,3755.97,4420.515,4230.9395,4253.6064,4110.394
373744.53377723694,4253.6064,4218.576,4150.576,4417.4243,4268.546,4535.909,4376.212,4301.0,4468.4243,3757.5151,4424.6367,4234.5454,4260.303,4110.394
373750.60510635376,4250.0,4213.4243,4146.9697,4415.879,4260.818,4539.0,4377.2427,4301.0,4467.909,3753.394,4418.9697,4225.788,4257.2124,4107.303
373759.3216896057,4251.031,4207.242,4143.364,4418.4546,4248.9697,4530.2427,4374.6665,4299.9697,4469.9697,3760.091,4416.394,4218.0605,4252.0605,4107.303
373766.5431499481,4254.636,4206.2124,4143.879,4413.303,4251.031,4527.152,4371.576,4299.9697,4473.576,3756.4849,4416.909,4222.1816,4253.6064,4107.303
373773.47326278687,4250.0,4202.606,4141.8184,4404.0303,4245.879,4530.2427,4370.5454,4301.515,4466.8794,3747.2122,4411.2427,4220.121,4251.546,4103.1816
373790.48442840576,4249.4854,4206.2124,4142.848,4410.7275,4244.3335,4533.3335,4376.727,4307.6973,4467.909,3753.394,4410.2124,4218.0605,4250.0,4103.697
373791.5024757385,4259.788,4216.0,4149.5454,4424.1216,4260.818,4542.6064,4386.515,4313.364,4480.788,3760.606,4419.485,4231.9697,4259.273,4114.0
373797.47104644775,4261.8486,4211.879,4149.5454,4419.485,4270.0913,4544.667,4385.485,4309.2427,4479.758,3759.5757,4426.6973,4238.152,4262.879,4114.515
373805.53364753723,4253.0913,4200.5454,4142.3335,4408.152,4258.7573,4531.788,4376.212,4294.8184,4466.8794,3752.8792,4423.0913,4224.758,4254.636,4104.7275
373813.5566711426,4252.0605,4204.6665,4143.364,4410.2124,4248.9697,4525.606,4372.091,4282.4546,4460.182,3741.0305,4416.909,4220.121,4247.9395,4102.667
373821.5606212616,4261.8486,4217.5454,4150.576,4417.9395,4252.0605,4534.364,4375.6973,4284.515,4462.2427,3737.9397,4421.031,4230.9395,4250.0,4108.3335
373837.60690689087,4269.0605,4220.6367,4153.6665,4423.0913,4253.6064,4542.6064,4379.303,4295.8486,4467.394,3750.8186,4429.273,4238.152,4258.7573,4113.485
373838.5560512543,4269.0605,4212.909,4151.091,4422.576,4252.0605,4546.2124,4378.7876,4306.1514,4473.061,3759.5757,4431.3335,4238.152,4266.485,4118.6367
373845.5650806427,4262.879,4203.121,4147.485,4415.364,4259.273,4539.0,4375.6973,4307.182,4476.152,3758.0305,4432.879,4236.6064,4265.4546,4117.091
373853.5797595978,4262.879,4205.1816,4148.0005,4415.364,4261.8486,4531.273,4373.1216,4303.061,4477.182,3757.0002,4434.94,4234.5454,4260.818,4111.4243
373860.5742454529,4267.0,4217.5454,4151.091,4423.6064,4251.031,4534.879,4375.6973,4307.182,4480.273,3762.667,4431.8486,4235.0605,4265.4546,4112.9697
373869.15493011475,4261.3335,4219.091,4150.576,4422.061,4251.546,4540.546,4380.333,4313.364,4482.8486,3770.394,4432.364,4236.091,4270.0913,4115.546
373881.50358200073,4251.546,4205.6973,4144.3945,4417.4243,4254.121,4527.667,4373.1216,4305.1216,4476.667,3759.0608,4429.273,4232.485,4260.303,4109.364
373884.44924354553,4251.546,4199.5156,4144.909,4415.879,4245.879,4511.1816,4361.273,4294.8184,4461.7275,3740.5154,4416.909,4230.4243,4249.4854,4106.788
373892.5714492798,4260.818,4210.334,4151.091,4411.758,4250.0,4517.879,4364.364,4299.9697,4461.2124,3748.2424,4417.4243,4236.091,4254.121,4113.485
373900.54297447205,4265.97,4218.0605,4152.1216,4417.9395,4259.788,4527.667,4371.061,4306.1514,4475.1216,3762.667,4430.303,4237.1216,4264.4243,4112.4546
373912.55831718445,4265.4546,4217.0303,4150.576,4432.364,4256.697,4526.1216,4370.5454,4308.7275,4477.182,3758.0305,4433.394,4235.5757,4264.9395,4110.909
373916.5337085724,4265.97,4216.5156,4155.212,4435.455,4250.0,4524.0605,4371.576,4308.7275,4471.0005,3754.9397,4431.3335,4239.697,4265.97,4118.1216
373923.5780239105,4267.515,4218.0605,4154.6973,4430.8184,4245.364,4524.576,4371.576,4303.061,4467.909,3757.5151,4432.364,4240.2124,4267.0,4115.546
373931.5552711487,4267.0,4219.606,4151.091,4427.2124,4244.3335,4526.1216,4372.606,4297.394,4466.364,3751.3335,4428.2427,4235.5757,4259.273,4104.212
373939.53132629395,4263.9097,4214.9697,4151.091,4422.576,4250.0,4526.6367,4375.6973,4296.364,4460.6978,3743.091,4421.031,4234.5454,4251.546,4103.697
373947.5357532501,4264.4243,4210.8486,4152.1216,4432.879,4260.303,4529.2124,4374.6665,4297.394,4463.273,3748.758,4425.667,4236.091,4257.2124,4109.879
373955.60097694397,4266.485,4214.9697,4152.1216,4450.909,4268.031,4530.2427,4374.1514,4298.9395,4473.576,3758.0305,4435.455,4236.6064,4265.97,4110.909
373967.60153770447,4270.0913,4220.6367,4157.273,4444.2124,4264.9395,4532.303,4379.303,4301.0,4472.5454,3757.0002,4435.455,4241.2427,4268.546,4113.485
373972.5923538208,4271.121,4220.121,4157.273,4427.7275,4247.9395,4528.182,4376.727,4298.4243,4463.788,3748.758,4430.8184,4242.273,4265.4546,4115.546
373990.6063079834,4269.0605,4219.606,4155.727,4434.94,4246.909,4526.1216,4372.606,4295.8486,4460.6978,3744.6365,4432.879,4239.697,4263.394,4116.0605
