Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
398609.9054813385,4269.0605,4235.5757,4151.606,4431.8486,4264.9395,4543.1216,4379.8184,4280.9097,4495.2124,3778.1213,4432.879,4237.1216,4284.0,4129.4546
398625.9241104126,4269.0605,4236.091,4153.1514,4428.758,4267.0,4547.7573,4379.303,4282.4546,4494.1816,3775.546,4430.303,4236.6064,4284.0,4132.031
398626.7490386963,4265.4546,4234.5454,4147.485,4423.0913,4266.485,4556.0,4379.303,4277.303,4488.5156,3771.9395,4425.667,4234.0303,4282.97,4131.5156
398633.7308883667,4264.4243,4231.9697,4144.3945,4424.1216,4261.8486,4550.8486,4377.2427,4272.152,4483.364,3771.9395,4426.182,4234.5454,4282.4546,4127.394
398640.7542228699,4264.4243,4230.9395,4143.364,4424.6367,4256.1816,4542.6064,4375.182,4275.242,4481.303,3777.091,4428.758,4235.5757,4282.97,4127.909
398648.6773490906,4264.4243,4234.0303,4141.8184,4423.0913,4257.2124,4544.152,4375.6973,4277.8184,4484.394,3779.1516,4431.3335,4235.5757,4284.0,4135.6367
398657.3631763458,4263.394,4233.515,4143.364,4424.6367,4257.2124,4545.182,4372.091,4274.7275,4482.8486,3774.5151,4431.8486,4235.5757,4283.485,4135.1216
398664.7410392761,4263.9097,4230.9395,4147.485,4424.1216,4251.546,4543.1216,4365.9087,4275.242,4478.2124,3772.4546,4427.7275,4235.0605,4283.485,4129.9697
398672.74808883667,4265.97,4233.0,4151.606,4422.576,4252.0605,4545.182,4370.5454,4280.9097,4484.909,3777.091,4427.7275,4236.091,4280.9097,4134.0913
398680.7551383972,4269.0605,4235.0605,4153.6665,4427.7275,4259.273,4549.303,4377.2427,4287.0913,4494.6973,3781.7275,4432.879,4243.303,4283.485,4140.273
398689.17179107666,4275.758,4235.0605,4155.727,4431.3335,4265.4546,4555.4854,4380.333,4296.879,4496.758,3784.303,4434.94,4250.515,4292.2427,4142.3335
398695.69277763367,4280.9097,4236.6064,4160.364,4430.303,4263.9097,4558.5757,4384.9697,4302.546,4497.788,3786.879,4438.031,4252.5757,4295.8486,4144.909
398703.75204086304,4281.4243,4236.6064,4160.364,4430.8184,4256.697,4559.0913,4383.94,4300.485,4499.849,3787.9092,4439.061,4253.0913,4294.8184,4144.3945
398711.6868495941,4276.273,4232.485,4158.303,4429.788,4254.121,4554.97,4378.2725,4298.4243,4497.788,3787.9092,4434.94,4252.5757,4293.788,4143.364
398720.73340415955,4271.636,4231.9697,4158.819,4425.667,4255.152,4546.2124,4377.2427,4294.303,4492.6367,3785.8486,4433.9097,4249.4854,4293.273,4144.909
398727.7419567108,4273.1816,4235.0605,4159.3335,4428.758,4253.0913,4550.8486,4377.758,4293.788,4494.1816,3786.879,4439.061,4251.546,4295.3335,4146.455
398735.77642440796,4275.242,4235.0605,4157.273,4431.8486,4254.636,4559.0913,4376.727,4293.788,4498.8184,3787.9092,4438.5454,4252.0605,4298.4243,4144.909
398747.5645542145,4269.5757,4230.9395,4155.212,4425.152,4254.636,4550.3335,4375.6973,4284.515,4490.576,3778.1213,4430.303,4240.2124,4291.2124,4141.8184
398760.1647377014,4269.0605,4231.9697,4157.273,4424.6367,4252.5757,4546.7275,4375.182,4280.394,4482.8486,3775.0305,4430.303,4234.5454,4285.5454,4140.7876
398760.54859161377,4277.303,4236.091,4160.364,4432.364,4255.152,4558.5757,4376.727,4287.0913,4490.576,3784.8184,4434.94,4239.182,4290.6973,4142.3335
398766.83735847473,4276.788,4236.091,4159.8486,4434.4243,4257.7275,4561.667,4378.2725,4284.515,4498.3027,3787.3938,4434.94,4241.2427,4296.364,4142.3335
398774.7802734375,4269.5757,4233.515,4157.788,4430.8184,4253.0913,4557.546,4377.758,4281.4243,4496.758,3785.8486,4433.394,4240.2124,4298.4243,4141.8184
398797.0402240753,4268.546,4232.485,4158.303,4427.2124,4250.0,4558.5757,4376.727,4290.182,4496.242,3789.97,4433.9097,4240.7275,4293.273,4141.303
398797.14703559875,4270.0913,4231.9697,4159.3335,4427.2124,4251.031,4559.6064,4376.212,4296.364,4498.3027,3789.97,4432.879,4238.667,4288.636,4138.727
398803.38883399963,4269.5757,4231.9697,4156.758,4428.2427,4252.0605,4559.0913,4376.212,4294.8184,4497.273,3787.3938,4433.394,4237.1216,4292.2427,4138.727
398807.60765075684,4270.6064,4232.485,4156.758,4428.758,4253.6064,4556.0,4376.212,4294.303,4495.7275,3788.4246,4436.485,4242.788,4295.8486,4140.7876
398814.7554397583,4276.273,4233.0,4163.4546,4430.303,4253.0913,4553.9395,4378.2725,4294.8184,4496.758,3787.9092,4440.606,4250.0,4296.879,4141.8184
398822.9718208313,4280.9097,4234.5454,4171.182,4432.879,4253.6064,4556.515,4383.94,4294.8184,4498.8184,3789.4548,4445.758,4252.0605,4299.4546,4143.879
398830.73019981384,4280.9097,4237.1216,4172.2124,4434.4243,4257.7275,4559.6064,4386.515,4295.8486,4497.788,3793.576,4448.334,4252.5757,4299.9697,4146.455
398837.7375602722,4280.9097,4237.636,4170.1514,4434.94,4259.273,4558.5757,4385.485,4297.394,4501.3945,3793.576,4445.758,4252.0605,4299.9697,4149.0303
398845.7725048065,4284.0,4237.636,4172.2124,4435.97,4259.788,4556.515,4386.515,4298.9395,4513.758,3793.576,4448.334,4252.5757,4305.6367,4149.5454
398868.77155303955,4282.4546,4236.091,4173.2427,4433.9097,4257.7275,4557.546,4384.9697,4294.303,4510.6665,3793.576,4448.334,4252.5757,4304.091,4144.909
398869.73786354065,4279.364,4233.515,4171.182,4432.879,4250.515,4555.4854,4378.2725,4285.031,4495.7275,3790.485,4440.606,4252.0605,4298.4243,4142.3335
398871.78683280945,4280.9097,4234.0303,4170.667,4431.8486,4250.0,4551.879,4375.6973,4282.97,4494.1816,3787.9092,4441.6367,4251.031,4298.4243,4144.909
398877.93731689453,4281.9395,4233.515,4171.182,4429.273,4254.636,4553.425,4379.8184,4284.0,4497.273,3786.879,4443.6973,4251.031,4298.9395,4143.364
398885.6580257416,4280.9097,4231.4546,4170.1514,4429.273,4253.6064,4557.546,4385.485,4289.667,4499.3335,3788.4246,4436.485,4251.546,4298.9395,4143.364
398893.7153816223,4282.4546,4233.515,4171.182,4431.8486,4257.2124,4559.0913,4389.606,4297.909,4502.9395,3789.4548,4437.0005,4252.0605,4298.9395,4149.5454
398901.7210006714,4287.606,4236.6064,4174.273,4433.9097,4266.485,4560.121,4393.212,4299.9697,4505.5156,3791.0002,4447.303,4253.0913,4299.9697,4152.6367
398908.704996109,4290.6973,4236.6064,4174.273,4433.9097,4265.97,4559.6064,4394.2427,4296.879,4509.121,3797.182,4448.8486,4258.7573,4304.6064,4152.6367
398917.46711730957,4288.121,4238.667,4174.788,4439.061,4264.4243,4559.0913,4394.2427,4299.4546,4514.788,3802.3337,4447.303,4264.4243,4311.8184,4155.727
398925.7347583771,4286.0605,4238.152,4174.788,4445.2427,4268.546,4559.6064,4393.727,4301.515,4513.758,3802.3337,4450.3945,4262.364,4312.8486,4156.2427
398932.72161483765,4286.5757,4237.636,4173.2427,4443.6973,4268.031,4560.636,4394.2427,4298.4243,4508.0913,3799.7576,4449.8794,4260.303,4311.8184,4154.182
398941.73884391785,4285.5454,4242.788,4173.2427,4443.182,4266.485,4560.636,4393.727,4296.364,4509.6367,3797.182,4450.3945,4263.394,4311.303,4157.788
398949.76925849915,4284.0,4243.303,4173.758,4445.758,4268.031,4560.121,4394.758,4295.8486,4511.6973,3796.1516,4452.9697,4259.273,4309.758,4157.273
398956.8510055542,4284.0,4236.6064,4172.2124,4441.1216,4267.0,4558.0605,4392.697,4297.394,4508.0913,3796.6667,4449.364,4251.031,4306.667,4148.0005
398964.75648880005,4282.97,4234.0303,4169.1216,4433.394,4264.4243,4558.0605,4393.212,4298.4243,4507.0605,3796.1516,4445.758,4249.4854,4305.6367,4143.879
398972.8915691376,4281.4243,4235.5757,4168.606,4433.9097,4264.9395,4559.6064,4397.8486,4298.9395,4508.606,3792.5457,4446.273,4248.9697,4305.1216,4146.455
398980.75127601624,4282.4546,4236.6064,4171.6973,4436.485,4265.97,4559.6064,4397.8486,4300.485,4509.121,3790.485,4445.2427,4248.9697,4304.091,4145.94
398987.7336025238,4284.0,4235.0605,4168.091,4433.394,4265.4546,4559.0913,4393.212,4301.515,4508.606,3793.0608,4442.6665,4251.031,4304.6064,4143.364
398995.7010746002,4279.879,4232.485,4160.364,4432.364,4263.394,4557.546,4390.1216,4299.4546,4508.0913,3795.1213,4442.152,4246.394,4303.576,4142.3335
399004.78076934814,4275.758,4231.9697,4159.3335,4432.364,4255.667,4554.4546,4386.0005,4297.394,4500.879,3789.97,4439.061,4236.091,4298.9395,4141.303
399011.72733306885,4278.849,4234.5454,4160.8794,4432.364,4254.121,4554.4546,4378.7876,4294.8184,4495.7275,3787.9092,4436.485,4237.1216,4297.909,4141.303
399027.711391449,4278.849,4234.5454,4160.364,4432.879,4262.364,4557.546,4375.6973,4287.606,4500.364,3792.5457,4442.152,4245.879,4301.0,4142.848
399029.71386909485,4270.0913,4234.0303,4161.909,4433.9097,4265.97,4559.0913,4377.2427,4282.97,4500.364,3790.485,4444.727,4244.8486,4301.0,4140.7876
399035.7098579407,4269.0605,4233.515,4162.4243,4433.394,4260.303,4558.5757,4380.333,4282.4546,4495.2124,3784.303,4438.5454,4237.636,4296.879,4138.2124
399048.74420166016,4279.364,4234.0303,4158.819,4434.94,4262.364,4559.6064,4386.0005,4283.485,4500.879,3788.4246,4437.5156,4238.152,4298.9395,4138.727
399059.71908569336,4281.9395,4235.5757,4160.364,4437.5156,4269.0605,4561.667,4390.636,4289.667,4511.1816,3797.182,4442.6665,4241.2427,4302.546,4140.7876
399060.6520175934,4277.303,4234.5454,4162.94,4434.94,4268.546,4562.182,4391.6665,4293.788,4512.2124,3798.7273,4444.2124,4237.636,4299.4546,4141.303
399068.37153434753,4278.3335,4233.515,4160.364,4433.9097,4264.9395,4560.121,4390.1216,4288.636,4512.2124,3800.2727,4446.273,4238.152,4299.4546,4142.848
399075.7520198822,4279.364,4234.5454,4157.273,4436.485,4265.4546,4558.0605,4388.061,4283.485,4510.152,3801.303,4447.303,4243.818,4305.1216,4143.879
399082.7338695526,4280.394,4234.5454,4157.273,4436.485,4265.4546,4557.546,4383.4243,4283.485,4505.5156,3795.6365,4442.6665,4242.273,4304.6064,4143.364
399091.71199798584,4281.4243,4233.515,4157.788,4433.9097,4258.7573,4556.515,4376.727,4281.9395,4504.485,3790.485,4439.576,4242.788,4298.4243,4143.879
399098.664522171,4273.697,4231.9697,4157.273,4433.394,4251.031,4553.9395,4375.6973,4279.879,4500.879,3788.4246,4435.97,4241.7573,4298.9395,4142.3335
399106.6937446594,4268.031,4230.4243,4156.2427,4431.8486,4251.031,4553.425,4378.2725,4281.4243,4497.273,3785.3333,4434.4243,4236.091,4298.4243,4138.727
399118.74318122864,4276.788,4233.515,4156.758,4432.364,4254.636,4556.515,4377.2427,4284.0,4506.031,3785.8486,4441.6367,4237.636,4298.4243,4139.2427
399122.9009628296,4285.5454,4235.0605,4158.303,4436.485,4255.667,4556.0,4376.212,4286.5757,4514.788,3792.5457,4449.364,4250.515,4305.1216,4143.879
399130.70130348206,4280.394,4230.4243,4159.8486,4436.485,4255.667,4548.788,4377.758,4286.0605,4508.606,3793.0608,4447.303,4251.031,4307.6973,4144.909
399142.7278518677,4274.2124,4226.8184,4158.819,4431.3335,4254.121,4540.546,4375.6973,4282.4546,4502.9395,3788.9397,4444.2124,4238.667,4302.546,4141.8184
399145.733833313,4276.273,4226.8184,4158.303,4430.8184,4253.6064,4547.7573,4375.182,4280.394,4508.0913,3787.3938,4447.819,4240.7275,4304.091,4140.7876
399162.78290748596,4279.364,4226.303,4159.8486,4431.8486,4257.2124,4557.031,4378.7876,4282.97,4510.152,3790.485,4449.8794,4247.9395,4304.6064,4141.8184
399163.71488571167,4275.758,4225.788,4157.788,4430.8184,4255.152,4549.818,4383.94,4282.97,4503.455,3787.9092,4442.6665,4243.818,4298.4243,4140.7876
399169.67701911926,4267.515,4227.3335,4155.212,4430.8184,4253.0913,4545.697,4384.9697,4273.697,4492.6367,3775.0305,4432.364,4236.6064,4293.273,4137.6973
399177.6831150055,4264.4243,4224.758,4153.6665,4428.758,4257.7275,4555.4854,4386.515,4271.121,4489.031,3767.3032,4428.2427,4233.515,4289.152,4136.6665
399185.71972846985,4271.121,4224.758,4154.182,4426.182,4261.3335,4561.152,4392.182,4286.5757,4496.758,3773.4849,4429.788,4237.636,4288.121,4139.2427
399193.7987804413,4282.97,4233.515,4162.94,4430.303,4262.364,4558.5757,4394.758,4299.9697,4508.606,3783.788,4437.5156,4250.0,4299.4546,4146.9697
399201.78723335266,4289.152,4236.6064,4172.7275,4435.455,4265.97,4558.5757,4392.697,4301.0,4520.455,3795.6365,4448.334,4258.2427,4312.8486,4156.2427
399209.87701416016,4285.5454,4230.9395,4173.2427,4434.4243,4267.0,4557.031,4392.182,4299.4546,4523.5454,3801.303,4450.3945,4253.0913,4313.364,4156.758
399217.7937030792,4284.0,4231.4546,4171.6973,4433.394,4264.9395,4554.4546,4392.697,4294.8184,4517.364,3793.576,4447.819,4251.031,4305.6367,4147.485
399225.7330417633,4286.5757,4235.0605,4167.5757,4433.394,4268.031,4558.0605,4388.5757,4285.031,4509.121,3784.303,4447.819,4251.031,4300.485,4141.8184
399233.6497306824,4279.364,4226.303,4156.758,4429.273,4264.4243,4554.97,4385.485,4280.394,4502.4243,3780.6973,4442.6665,4242.788,4298.9395,4139.758
399241.7049407959,4273.1816,4222.1816,4153.6665,4428.2427,4257.2124,4545.697,4386.0005,4279.364,4495.2124,3776.5762,4437.0005,4240.7275,4298.4243,4138.727
399248.72159957886,4279.879,4225.273,4160.364,4431.8486,4258.7573,4548.273,4386.0005,4279.364,4495.7275,3775.546,4440.606,4247.9395,4299.4546,4139.758
399269.17362213135,4281.9395,4223.7275,4160.8794,4433.394,4265.97,4559.6064,4387.0303,4282.4546,4503.455,3778.6367,4442.6665,4249.4854,4301.515,4140.7876
399277.4729728699,4271.636,4221.6665,4155.727,4428.2427,4263.9097,4557.031,4386.515,4284.515,4500.879,3777.091,4439.576,4239.697,4299.4546,4137.182
399277.8561115265,4265.97,4221.1514,4153.6665,4422.061,4255.667,4548.273,4384.9697,4281.9395,4497.273,3775.0305,4440.0913,4234.5454,4297.394,4131.0005
399281.9833755493,4270.0913,4222.6973,4157.273,4428.2427,4257.7275,4554.4546,4389.091,4282.4546,4508.0913,3778.1213,4447.819,4243.303,4307.182,4133.576
