Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
342907.19747543335,4293.788,4250.515,4200.5454,4448.8486,4285.031,4567.3335,4409.182,4324.697,4510.6665,3777.091,4512.2124,4245.879,4304.6064,4168.091
342915.76385498047,4284.515,4238.667,4189.2124,4444.2124,4274.2124,4559.0913,4400.9395,4313.879,4506.031,3768.3335,4539.515,4234.0303,4298.4243,4154.182
342923.2647418976,4283.485,4237.636,4189.2124,4447.303,4269.0605,4562.697,4400.425,4317.4854,4509.6367,3770.394,4576.0913,4238.152,4298.9395,4152.6367
342931.25677108765,4284.0,4241.2427,4189.7275,4447.303,4270.0913,4566.303,4404.0303,4319.0303,4509.121,3770.394,4576.0913,4238.152,4299.4546,4153.6665
342939.18108940125,4284.0,4244.3335,4189.2124,4445.2427,4273.697,4564.2427,4406.6064,4315.94,4509.6367,3771.4243,4557.031,4234.5454,4300.485,4153.6665
342947.6411342621,4286.5757,4250.0,4192.3027,4445.758,4273.697,4564.2427,4404.546,4322.636,4511.1816,3777.091,4611.6367,4242.788,4302.0303,4157.788
342955.25789260864,4287.0913,4247.4243,4191.273,4446.273,4269.5757,4562.697,4401.9697,4326.7573,4511.6973,3776.0608,4709.515,4246.909,4301.515,4160.364
342962.20684051514,4284.515,4238.152,4186.121,4446.273,4267.0,4557.546,4400.425,4319.546,4510.152,3770.394,4739.3945,4236.091,4300.485,4156.758
342970.2003002167,4285.031,4241.7573,4185.0913,4447.303,4269.5757,4557.031,4402.4854,4318.0005,4507.576,3769.3638,4741.97,4238.667,4301.0,4155.727
342978.2087802887,4288.121,4253.0913,4187.667,4449.364,4271.636,4561.152,4406.6064,4321.6064,4509.121,3772.4546,4764.6367,4252.5757,4301.515,4160.364
342986.2401485443,4286.5757,4251.031,4189.7275,4449.8794,4271.121,4561.667,4405.5757,4319.0303,4507.576,3770.394,4721.879,4247.4243,4300.485,4161.394
342994.2214488983,4284.515,4245.364,4191.273,4448.8486,4268.546,4559.6064,4402.4854,4314.3936,4502.9395,3766.273,4626.5757,4234.5454,4298.9395,4156.758
343002.2785663605,4286.0605,4247.9395,4190.242,4448.8486,4271.121,4561.152,4405.0605,4316.4546,4503.97,3769.3638,4601.8486,4237.1216,4299.4546,4155.212
343010.26248931885,4286.5757,4249.4854,4192.3027,4447.819,4277.303,4561.667,4407.121,4316.9697,4505.0,3770.9092,4627.6064,4239.697,4298.9395,4156.2427
343018.19920539856,4285.031,4249.4854,4197.97,4446.7876,4274.7275,4560.121,4403.0,4314.3936,4498.8184,3765.7578,4623.4854,4237.1216,4297.394,4154.6973
343025.23159980774,4286.0605,4249.4854,4196.424,4448.8486,4268.546,4560.636,4400.425,4312.333,4494.6973,3762.1519,4606.4854,4238.152,4297.394,4154.6973
343033.2443714142,4284.0,4241.7573,4189.7275,4446.7876,4268.031,4559.0913,4400.425,4311.303,4497.788,3761.1213,4588.97,4238.667,4292.2427,4151.606
343041.2929058075,4279.364,4234.0303,4186.121,4441.1216,4268.031,4554.97,4400.425,4311.8184,4497.788,3761.1213,4559.6064,4235.5757,4284.0,4146.9697
343050.33707618713,4279.879,4236.6064,4189.2124,4441.1216,4267.515,4554.4546,4400.425,4311.8184,4495.2124,3758.5454,4530.758,4235.5757,4285.5454,4148.5156
343057.30676651,4281.4243,4239.182,4189.2124,4446.273,4268.031,4556.0,4399.909,4310.2725,4494.6973,3754.4243,4519.4243,4236.091,4292.2427,4151.606
343065.53983688354,4281.9395,4236.6064,4187.152,4447.303,4269.0605,4556.0,4400.9395,4309.758,4494.6973,3757.0002,4510.152,4235.0605,4291.2124,4151.606
343073.32849502563,4282.4546,4238.152,4195.394,4446.273,4269.0605,4556.515,4404.0303,4316.9697,4496.242,3762.667,4507.0605,4237.636,4291.2124,4153.6665
343081.55941963196,4281.9395,4241.2427,4202.0913,4446.7876,4268.546,4557.546,4404.0303,4321.6064,4503.97,3765.7578,4524.0605,4241.7573,4296.879,4155.727
343088.3026123047,4284.515,4238.152,4195.909,4447.303,4268.546,4556.515,4401.4546,4319.0303,4512.2124,3769.3638,4530.758,4240.2124,4295.8486,4154.182
