Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
470690.9079551697,4285.031,4222.6973,4174.788,4418.4546,4254.636,4579.182,4395.788,4302.0303,4494.6973,3773.4849,4402.4854,4239.182,4269.5757,4142.3335
470698.3163356781,4282.4546,4222.6973,4174.788,4418.4546,4255.152,4579.182,4394.2427,4301.0,4495.7275,3774.0,4400.425,4240.2124,4268.546,4142.3335
470706.9442272186,4281.4243,4222.1816,4173.758,4414.8486,4253.0913,4576.0913,4384.4546,4294.303,4482.3335,3771.9395,4402.4854,4239.182,4264.9395,4139.758
470715.22307395935,4278.849,4221.6665,4171.182,4414.8486,4250.515,4574.031,4381.364,4284.515,4477.6973,3764.7275,4402.4854,4236.091,4261.8486,4135.1216
470722.96357154846,4280.394,4221.6665,4177.879,4417.9395,4250.515,4575.5757,4387.0303,4288.121,4488.5156,3767.3032,4406.091,4242.788,4265.4546,4139.2427
470729.9761772156,4284.515,4223.2124,4185.0913,4418.4546,4253.0913,4578.152,4388.5757,4294.303,4491.6064,3772.9697,4411.758,4252.5757,4266.485,4145.4243
470738.1193637848,4281.9395,4221.6665,4178.909,4416.394,4250.0,4576.6064,4386.515,4287.0913,4481.8184,3765.2427,4398.3643,4244.8486,4257.7275,4142.3335
470745.8236217499,4280.394,4218.576,4170.1514,4414.8486,4246.909,4569.9097,4385.485,4284.0,4477.182,3757.0002,4377.758,4233.515,4251.546,4137.182
470757.919549942,4281.9395,4220.121,4174.273,4416.394,4249.4854,4566.303,4388.061,4292.758,4483.364,3761.1213,4375.182,4241.7573,4253.6064,4139.2427
470761.8246078491,4284.0,4224.2427,4177.364,4418.9697,4253.0913,4571.97,4393.212,4297.394,4484.394,3764.2124,4378.7876,4249.4854,4255.152,4143.364
470768.8491344452,4282.97,4224.2427,4172.7275,4419.485,4253.6064,4575.5757,4394.758,4293.788,4480.788,3760.606,4370.5454,4240.7275,4253.0913,4140.7876
470777.39572525024,4275.242,4220.6367,4169.636,4414.8486,4252.5757,4566.303,4389.091,4287.606,4479.758,3757.0002,4360.758,4233.515,4251.031,4132.5454
470784.8722934723,4273.697,4220.121,4170.667,4409.6973,4252.5757,4562.697,4387.0303,4284.515,4480.788,3756.4849,4358.6973,4234.5454,4248.9697,4128.9395
470797.8620529175,4279.879,4221.1514,4171.6973,4412.273,4252.5757,4568.879,4388.5757,4285.031,4480.273,3757.0002,4360.2427,4235.5757,4248.9697,4134.0913
470800.901889801,4281.9395,4220.6367,4171.6973,4416.909,4252.0605,4566.303,4387.0303,4284.515,4478.2124,3758.5454,4360.758,4237.1216,4250.515,4139.758
470813.9443397522,4279.364,4220.121,4171.182,4414.8486,4250.515,4560.636,4383.94,4281.9395,4478.2124,3756.4849,4359.727,4237.1216,4247.9395,4138.2124
470817.85345077515,4276.788,4219.091,4171.182,4413.303,4250.0,4559.6064,4382.909,4280.9097,4477.182,3751.8489,4357.152,4235.5757,4244.8486,4130.485
470824.92327690125,4275.758,4219.091,4170.667,4415.364,4252.0605,4563.2124,4384.4546,4281.9395,4476.152,3754.9397,4358.182,4235.0605,4246.909,4129.4546
