Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1332187,-1097.7286322639889,-1097.7590057905124,-1134.9192204338372,-1110.3937560906104,-1089.7909050615774,-60224.39185901194,-66713.77814919555,-47293.771919466184,-31579.95756454164,-1091.3844096443622,-1083.8817354676792,-63268.252116619,-65969.94026309438,-1101.774248816157,-68071.68587538671,-1090.144013760201
1332188,-1790.9460222664147,-1788.8832712204623,-1817.9387019256956,-1798.945402244871,-1784.700996807347,-45585.67149019927,-50794.61219572356,-50269.8840061628,-27633.384644105987,-1764.5361503273687,-1758.5965325789973,-47484.83895258401,-53714.24574229888,-1777.6246912112867,-58507.649781099695,-1761.499329291217
1332189,-2074.1815675447124,-2070.5922306548873,-2095.718696163397,-2080.2123856676,-2067.0251021491595,-46906.785885956684,-52901.82151469982,-50248.122255761475,-26324.726708324473,-2037.7504273066247,-2029.9179630190356,-50257.930219231814,-58828.762011801766,-2049.9295334389944,-65525.66645408733,-2031.7817297887304
1332190,-2020.27326939609,-2015.9932941355041,-2041.7758279613665,-2026.932945996635,-2010.958270671088,-56042.159342490784,-62403.37748130564,-47439.411128447646,-28036.689581275517,-1985.6798619155218,-1975.287789442103,-60430.72171126401,-69092.0545054253,-1995.6013284253372,-76053.9975434307,-1977.6645533051037
1332191,-2009.2399935877434,-2004.6559386254785,-2032.2983105856654,-2016.6008977012636,-1998.7513716620672,-56867.59220887172,-60841.43963488074,-44659.297175758926,-30562.034428609502,-1981.169501941887,-1971.5907814028926,-58865.59777308105,-66137.1963110354,-1991.4534975727458,-72192.4070057307,-1973.787065830408
1332192,-2161.4260061209643,-2156.2405845002477,-2184.500418194436,-2168.1500142807527,-2149.8357475817593,-52517.33604110919,-54058.07498457544,-43482.54126466465,-31962.095430104808,-2135.122794671619,-2128.005677782627,-51731.63431091857,-58316.50122044941,-2147.7269849754543,-63915.9888549994,-2129.171142543468
1332193,-2259.396612779785,-2253.412234417131,-2282.4498579014717,-2265.433731403798,-2245.196043813935,-56516.446241588535,-58831.581225214824,-42880.15722542371,-32881.106914098156,-2226.5055961483026,-2219.4882850170907,-56380.722777322524,-63558.37216919658,-2240.354806940263,-69605.72841803341,-2220.229351462258
1332194,-2233.692653876959,-2227.216364163196,-2258.5212738546843,-2239.9351416821996,-2217.0337760844623,-65757.77976212814,-69967.81151063165,-42213.91803163373,-34648.98121358451,-2191.429526938514,-2182.9863221273945,-67404.18215924408,-74907.04783615874,-2205.7270937434914,-81094.1282824574,-2184.144229110295
1332195,-2310.6990840337344,-2304.1347536576486,-2336.8218802862702,-2316.8017202214605,-2294.3558850216514,-65844.31605270263,-69381.92724332641,-42887.20701011937,-36640.54360297877,-2266.024643522799,-2257.761080267313,-66347.38977452513,-73243.44617371655,-2282.0810492318415,-78732.39030012945,-2259.311552525248
1332196,-2567.89612277331,-2561.849685909423,-2592.8740392352274,-2573.0220663310893,-2553.855490701898,-58524.6195094323,-60077.52717144104,-45609.24177028751,-37612.483765908255,-2531.125423497605,-2523.552905894776,-56732.22045257532,-63352.005414385196,-2549.095664186997,-68416.08639928374,-2525.3301392984604
1332197,-2758.866022118339,-2754.4735786576684,-2783.0604961639374,-2764.190537219046,-2746.2594658879766,-59260.41904520163,-61020.26866019824,-48621.88903245343,-38257.62740196664,-2733.309528141768,-2724.134199358228,-58310.5111547831,-65507.40200746519,-2750.691839699295,-71070.04099377929,-2726.5094507014164
1332198,-2763.3709383892733,-2761.6047353703248,-2790.0391318801803,-2771.331392442906,-2751.0756966548543,-68785.42158524645,-72066.20011948657,-50522.70844666743,-39978.12482707111,-2744.1535823721692,-2732.8891102921443,-70501.3246018108,-77795.38149627947,-2759.81726355454,-83776.12349809968,-2736.0131085301728
1332199,-2823.899188857379,-2824.505700896628,-2854.1644290945615,-2834.77062639656,-2812.8807630782812,-71670.5957908083,-74440.21538838299,-52582.67724605002,-42147.531632124956,-2805.2026062470813,-2795.1550920582986,-73191.88970020179,-79504.88250298149,-2821.86126771996,-85080.79768267594,-2798.2993232175804
