Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
382198.0435848236,4285.5454,4248.9697,4190.242,4430.8184,4255.152,4546.7275,4392.697,4327.2725,4498.3027,3779.1516,4464.819,4316.9697,4270.0913,4152.6367
382206.03704452515,4284.515,4252.0605,4190.758,4431.3335,4255.152,4546.7275,4391.6665,4329.3335,4496.758,3773.4849,4464.819,4316.4546,4268.031,4152.6367
382214.02287483215,4284.515,4251.546,4192.3027,4430.8184,4254.121,4544.667,4388.061,4328.8184,4497.273,3773.4849,4467.909,4317.4854,4271.121,4147.485
382221.2448120117,4283.485,4248.9697,4189.7275,4431.3335,4252.0605,4542.6064,4386.0005,4320.061,4497.273,3771.4243,4464.819,4316.9697,4270.0913,4146.455
382234.01403427124,4284.0,4251.031,4186.6367,4430.8184,4252.0605,4542.6064,4388.5757,4320.061,4496.758,3768.3335,4462.2427,4316.4546,4266.485,4150.576
382237.0262145996,4286.0605,4251.546,4189.2124,4431.3335,4254.636,4543.636,4393.212,4328.303,4497.788,3769.879,4466.364,4318.515,4272.667,4154.6973
382245.1343536377,4284.0,4251.546,4191.788,4432.879,4255.667,4543.636,4392.697,4329.8486,4498.3027,3772.4546,4468.4243,4324.182,4282.97,4155.727
382253.0529499054,4285.5454,4254.121,4193.8486,4433.394,4257.2124,4544.152,4395.273,4328.8184,4498.3027,3771.4243,4468.94,4328.8184,4282.97,4157.273
382261.1231803894,4290.6973,4255.667,4195.909,4434.94,4264.4243,4546.2124,4400.9395,4329.3335,4498.8184,3771.4243,4473.061,4329.8486,4279.364,4160.8794
382269.1206932068,4289.152,4254.121,4193.3335,4434.4243,4265.4546,4545.182,4397.3335,4329.3335,4498.8184,3775.0305,4478.7275,4329.3335,4284.0,4161.394
382277.1306037903,4284.0,4251.546,4189.2124,4431.3335,4256.1816,4542.0913,4392.182,4326.7573,4496.242,3773.4849,4476.152,4324.697,4282.4546,4156.758
382285.1140499115,4284.0,4252.5757,4190.758,4431.8486,4253.0913,4543.1216,4392.697,4322.636,4495.7275,3764.7275,4466.8794,4318.515,4272.152,4153.6665
382293.1065559387,4283.485,4251.031,4191.273,4432.364,4255.667,4542.6064,4388.5757,4319.0303,4496.242,3760.091,4461.7275,4315.425,4266.485,4148.0005
382301.087141037,4278.849,4247.9395,4185.0913,4428.2427,4251.031,4539.0,4386.0005,4320.061,4492.6367,3764.2124,4461.7275,4316.4546,4266.485,4144.3945
