Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
158244.56000328064,4278.849,4285.5454,4237.636,4410.2124,4299.9697,4607.5156,4494.1816,4354.0605,4463.788,3787.9092,4479.2427,4284.0,4355.0913,4185.6064
158247.39956855774,4276.788,4285.031,4237.636,4409.6973,4300.485,4607.0005,4494.1816,4358.6973,4468.4243,3796.6667,4478.7275,4282.97,4356.6367,4188.1816
158254.00972366333,4273.697,4285.5454,4238.152,4413.8184,4303.061,4609.061,4494.1816,4362.303,4474.0913,3798.2122,4476.667,4276.788,4356.6367,4183.0303
158262.49313354492,4271.636,4284.515,4236.091,4411.2427,4301.0,4610.091,4494.1816,4358.182,4468.4243,3789.4548,4469.9697,4272.152,4350.4546,4175.303
158270.01404762268,4271.121,4283.485,4235.5757,4408.152,4298.9395,4609.061,4494.1816,4353.0303,4463.273,3783.2727,4464.303,4269.5757,4345.8184,4170.1514
158279.50954437256,4272.152,4282.97,4236.6064,4412.273,4299.4546,4609.576,4494.1816,4353.0303,4465.8486,3779.1516,4465.8486,4269.5757,4347.879,4171.6973
158286.28087043762,4273.1816,4282.97,4236.6064,4410.7275,4296.879,4611.1216,4494.6973,4354.0605,4460.6978,3779.667,4466.8794,4273.1816,4347.879,4173.758
158298.03609848022,4279.879,4284.515,4236.6064,4408.667,4294.303,4610.6064,4494.1816,4353.5454,4449.364,3785.8486,4466.364,4279.364,4346.8486,4173.2427
158315.1547908783,4284.0,4285.5454,4239.182,4414.3335,4290.182,4608.0303,4492.6367,4347.879,4442.152,3783.788,4466.8794,4283.485,4346.8486,4175.303
158317.00658798218,4280.9097,4285.031,4239.182,4416.909,4288.121,4608.546,4490.576,4339.121,4434.94,3771.9395,4462.7583,4279.364,4342.2124,4174.273
158325.05559921265,4279.364,4285.031,4238.152,4414.8486,4290.6973,4611.1216,4486.97,4339.121,4429.273,3771.9395,4460.6978,4272.667,4339.121,4169.636
158333.0852985382,4279.879,4286.0605,4237.636,4414.3335,4289.152,4608.546,4481.303,4345.303,4430.303,3779.1516,4462.7583,4270.6064,4342.7275,4169.636
158334.00082588196,4278.849,4285.031,4236.6064,4415.364,4282.97,4607.5156,4479.758,4345.303,4430.8184,3779.667,4461.7275,4270.0913,4342.2124,4170.667
158346.24981880188,4278.849,4284.515,4235.0605,4415.879,4282.97,4611.1216,4486.4546,4342.2124,4428.2427,3780.182,4460.6978,4269.0605,4339.636,4169.1216
158349.054813385,4279.879,4285.031,4235.5757,4415.364,4285.5454,4611.1216,4494.1816,4348.394,4428.758,3784.303,4464.819,4270.0913,4345.303,4171.6973
158358.0391407013,4281.4243,4285.031,4235.5757,4414.8486,4284.0,4606.4854,4494.6973,4356.6367,4430.8184,3787.9092,4467.909,4271.121,4349.4243,4177.879
158365.15426635742,4281.4243,4285.031,4235.5757,4416.394,4285.5454,4605.455,4492.6367,4353.5454,4430.8184,3788.9397,4468.4243,4269.0605,4347.879,4177.364
158373.04306030273,4281.9395,4284.515,4241.2427,4417.9395,4286.5757,4607.0005,4493.152,4345.8184,4429.273,3790.485,4472.0303,4272.667,4351.485,4175.8184
158381.07299804688,4284.0,4285.5454,4244.3335,4418.9697,4285.5454,4605.9697,4491.0913,4348.909,4434.4243,3792.5457,4476.152,4277.8184,4357.6665,4179.4243
158388.9980316162,4281.4243,4286.0605,4239.697,4418.9697,4286.0605,4605.9697,4491.0913,4356.1216,4446.273,3792.5457,4473.576,4276.273,4355.0913,4178.909
158396.19946479797,4273.697,4284.0,4235.0605,4416.394,4286.5757,4607.0005,4494.1816,4353.0303,4451.94,3790.485,4466.364,4267.0,4349.4243,4172.2124
158404.08182144165,4267.0,4279.879,4233.515,4413.8184,4284.515,4605.9697,4485.9395,4342.7275,4447.819,3785.3333,4461.7275,4255.667,4344.788,4169.1216
158412.36329078674,4265.4546,4279.879,4233.515,4415.364,4282.4546,4604.4243,4481.303,4342.7275,4444.727,3783.2727,4462.2427,4254.121,4342.2124,4169.636
158421.08368873596,4268.546,4282.97,4235.5757,4417.9395,4284.515,4608.0303,4492.121,4352.515,4447.819,3786.879,4464.819,4263.9097,4344.273,4170.667
158428.35140228271,4269.0605,4284.0,4238.152,4417.9395,4285.5454,4609.576,4498.8184,4356.6367,4449.8794,3788.9397,4464.819,4267.515,4347.364,4172.7275
158436.70296669006,4267.0,4283.485,4237.1216,4416.909,4283.485,4605.455,4493.152,4354.0605,4447.819,3787.3938,4462.7583,4261.8486,4346.3335,4173.2427
158444.30994987488,4265.97,4282.4546,4236.6064,4416.394,4281.4243,4604.4243,4491.6064,4355.606,4446.7876,3789.4548,4464.303,4264.4243,4345.303,4172.7275
158452.05545425415,4265.97,4281.4243,4235.5757,4415.364,4280.9097,4605.455,4493.667,4357.152,4449.364,3792.0305,4465.8486,4265.4546,4346.8486,4173.2427
158460.0110054016,4264.9395,4280.394,4233.0,4414.8486,4280.394,4602.364,4492.6367,4356.6367,4449.364,3790.485,4463.273,4259.788,4348.394,4172.7275
158468.04904937744,4264.9395,4280.394,4235.0605,4417.4243,4279.879,4603.394,4494.1816,4360.2427,4448.334,3789.97,4465.3335,4264.4243,4347.879,4172.7275
158475.06380081177,4268.546,4280.394,4237.1216,4418.4546,4280.9097,4608.546,4495.2124,4362.303,4448.8486,3792.5457,4467.394,4267.515,4346.8486,4173.2427
