Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1197863,830.1868683676819,829.4921462972507,834.319126727776,834.6622095375761,822.0876068918449,783.4208269338355,-76131.83171715846,829.6382945830343,-10264.575233810132,849.4122403917634,865.9644167584701,-83546.40321562829,-76976.43004470052,863.408849522874,-74436.84114121486,857.1617626496468
1197864,2041.9864966626512,2042.152449166679,2055.6780215227923,2053.0179757212754,2007.9625547131036,1847.7900494779694,-306917.6670040395,8642.841601762088,-26558.232258703003,2097.632826323611,2170.7476000340816,-342212.2991314819,-344000.8669909376,2149.836553898378,-344490.66320568393,2144.9908920682724
1197865,2865.7723212845112,2866.361973743523,2884.628861199393,2879.931332975384,2819.6406628736804,2604.3064990384764,-416071.358108141,14546.389700391112,-38253.292115566655,2942.0989516109576,3040.189699770954,-461599.76282497926,-462732.56314704963,3010.0885726170527,-463040.66838165035,3006.842932486753
1197866,2925.641979135061,2925.6666737321784,2944.2592152949737,2938.85338585329,2881.759653038712,2680.5914854587795,-394030.3815390812,15232.369945926861,-39458.01611987894,3004.2185743827245,3096.2456676666347,-434766.5895172012,-431763.29555896024,3066.531764182466,-430648.6166526759,3065.6812262567596
1197867,2469.797959023739,2468.532834183924,2486.0602152389592,2480.894237943072,2430.693968578703,2254.580220613675,-345175.6284835115,11628.3885043551,-32774.40845764472,2543.397166280859,2625.8768948696807,-382243.8240471995,-380893.35231994255,2598.496012195781,-380388.9839903344,2600.1110127215798
1197868,2249.4714605710346,2247.2413355134117,2264.514037665919,2259.7853405965034,2209.712084473289,2028.8689298608774,-348137.4100279186,9638.837663171791,-29219.611993019418,2321.011563710813,2405.638727811737,-388282.59302010277,-391139.264826169,2378.0728312923047,-392096.3754563348,2379.7850855027937
1197869,2455.3190782408947,2453.020254278311,2469.805193862473,2465.276586729684,2414.211907352399,2222.817053390866,-364689.62531552283,11517.850913088518,-32396.588544856677,2524.8634035893774,2610.2550896316416,-405437.0727968916,-406528.0546582305,2583.8187355400178,-406781.42436147854,2582.7557098536818
1197870,2531.0633983118514,2529.379094700645,2544.5011637316193,2539.9354039838286,2493.351702928955,2315.2196371550313,-340286.1695111793,12821.605436469184,-34166.263490567406,2592.58662802499,2668.1417639094807,-375582.4967756973,-371755.53582128277,2646.553280431965,-370204.6080774375,2643.2209435781706
1197871,2246.037026292047,2245.1793666181493,2259.332740281184,2254.7696010349237,2211.569527393591,2048.3697893695567,-312256.06418348744,10909.971505822512,-30347.08982610486,2299.4254672754914,2369.772848689237,-345479.491598887,-342651.0130675202,2351.2631941240325,-341474.48027203034,2348.7749099550374
1197872,2081.8574279198892,2081.611617654722,2096.9901567330776,2092.8128050935875,2045.1170958091084,1870.670726533279,-332277.1360384356,9561.914083047126,-27894.777325294428,2136.6326620963027,2217.0876421345406,-370717.5318525521,-372968.6125026508,2196.053110209761,-373685.6200211799,2195.168987600103
1197873,2277.203672569819,2277.150291282733,2294.3506510290745,2290.510411877348,2238.264125886714,2050.0470553141404,-359561.1507558742,11554.208500129049,-31059.46985422252,2338.421343647592,2427.4197531828086,-400432.64395911316,-402320.26795028907,2403.9448437180117,-402966.99304793944,2401.978458807728
1197874,2371.058023000164,2370.6692396783,2388.667782455039,2384.1763952756346,2336.693210484251,2163.6607852294946,-334408.5182890907,13439.58087414259,-33199.586527302235,2433.0895031194323,2513.0218007588373,-369398.4194594085,-366071.3741612802,2492.937874195897,-364776.33155779913,2488.233103371808
1197875,2096.745461042721,2095.361756176517,2114.158584894428,2108.4884149951267,2068.213424612386,1916.2210315602517,-294925.43915254343,12249.370215411525,-29593.53467316986,2157.0190694068433,2224.1067842916846,-325655.1279397507,-321997.01639869396,2208.640259543824,-320366.95531093644,2202.997037369936
1197876,1904.9580040083886,1902.0222289305204,1922.657147394842,1916.7934927079996,1874.640058664875,1712.6877052317936,-310268.0125973022,11227.96178998744,-26591.02398293862,1970.725502372402,2040.3588989587854,-345713.2340701106,-347342.0257247044,2023.73511266255,-347438.3053467779,2019.2731615463156
1197877,2105.6867744949004,2101.108119003608,2122.9398386645516,2117.994920919331,2069.462738172607,1886.5279638354855,-349253.21813763306,13649.38207497828,-29504.077533247586,2179.973288761069,2257.926302998514,-389220.7967117981,-392000.4344983715,2237.3079487441764,-392583.0861751874,2233.8414740917597
1197878,2258.75829294273,2253.005795179548,2273.275203577902,2269.1485557359365,2222.012802189075,2049.439840854675,-333566.87740697153,16448.655407407736,-32235.282773160383,2332.0476661721204,2404.745763017181,-368759.123275385,-366351.0026916908,2384.490647484584,-365347.4202626736,2381.3724431706123
1197879,1995.3501538115308,1989.1397658977846,2006.3617563288017,2002.4223918866433,1961.9525520154693,1816.9212905559393,-283274.00519133033,15877.342725027162,-28653.05167988063,2059.701095977264,2121.162767285593,-312265.96442971996,-307732.1388975984,2104.2056265427445,-306235.91451562854,2101.915903862706
1197880,1733.954190547965,1727.9609582572116,1743.803467576036,1740.0206183537916,1699.1884767755835,1552.13654788862,-283490.25672161055,14613.964811732882,-24443.718276780382,1794.3972619752687,1858.993492916405,-315457.0358618037,-315479.9717159355,1841.7211187941161,-315753.62257144623,1840.0509775808107
1197881,1912.3475152535184,1907.1151312542495,1923.2801980186825,1920.2320378941963,1873.0551219392873,1700.4169055924976,-328666.8070615305,16771.278492885496,-26740.86852495647,1975.0941350435728,2051.774809718253,-366684.84679150046,-369297.2577427842,2031.2903817540127,-370508.60807354224,2028.5194910935327
1197882,2150.6800496696706,2146.313905313361,2161.856045070547,2160.0761725531715,2112.9907014086557,1939.9037066123449,-331271.2383793768,20014.648287774202,-30626.290358173614,2210.9136322680743,2286.677398722614,-366808.41327422473,-365357.58878201724,2266.1648459944627,-365048.7212961371,2261.7401841366254
1197883,1935.3263692215182,1931.5254811207597,1945.2819073691737,1944.8727306977248,1904.7235127322065,1759.7461255633602,-281214.40925098944,19712.15153853641,-28038.308819815695,1987.7241770803562,2051.3027304029956,-309768.0625479332,-305444.282282238,2033.5836452415442,-304019.0802301226,2029.4435950622237
1197884,1578.6334088969431,1575.5890932172367,1588.7788796682466,1589.290825854312,1550.2896433814838,1414.9297512840635,-263591.9403863101,17567.96368314899,-22849.22311860186,1630.795980147296,1692.8337125267085,-292601.6039367343,-292102.53221941635,1674.718486367392,-291990.6569220931,1672.2794749869665
1197885,1659.2558140852225,1657.8651310564899,1672.070032141618,1672.2967475578546,1626.3073852676703,1470.7103053304359,-302901.8980278276,18560.643637538014,-23894.53421950545,1722.0287501188443,1794.554871165884,-337770.28542128066,-340684.26632844034,1773.0475824501382,-341796.5092780307,1770.7924344602459
