Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
921023,-13018.584040286418,-13024.088844911448,-13016.267275914706,-13025.420630841036,-13019.531708277513,-13028.214002631896,-13022.253519987156,7292.946584877261,20382.78441386487,-13175.914441902714,-12862.450112371132,64104.73361765219,80610.97672424614,-25696.416714215622,93308.53033317823,-13059.244800218163
921024,-12363.434690712269,-12367.901109392704,-12360.834802607464,-12369.841379909503,-12360.692393468758,-12372.940170971167,-12366.872476046477,7116.036348446046,7012.469948361795,-12558.99242813684,-12237.811560583796,26671.31789602338,50059.17035043302,-21136.816414403154,74196.42903862137,-12436.225482685973
921025,-12306.803255393072,-12310.655046034779,-12303.337287922855,-12313.070899714512,-12301.765852095981,-12316.060061477157,-12310.63268734487,7125.108666840447,641.4875516087698,-12508.348981602681,-12170.439033508193,26463.74306331024,57667.54163921951,-19743.138391189557,90450.38563610471,-12378.199160547741
921026,-12799.25112526207,-12802.841737063605,-12793.892483217482,-12805.091728262276,-12793.196167612867,-12807.916408740246,-12803.527976005102,7269.6115540074825,1985.362766345481,-12987.561330049299,-12636.798920377732,43311.52054114167,76706.37256544331,-21661.45567460151,111339.31693366014,-12852.85249859266
921027,-13309.745622506216,-13312.672993029386,-13301.872041924822,-13314.23273679077,-13302.73070281745,-13317.082308065314,-13313.604599059701,7377.416126417831,5065.820024064349,-13498.431732049225,-13144.061531193442,39433.01113332076,67366.89813777426,-24177.80367720411,98058.82984567907,-13362.680266895575
921028,-13601.025626598484,-13602.533796503434,-13591.292804876364,-13603.914890617805,-13592.591124218186,-13606.583835379019,-13603.916728295417,7427.258820819961,5093.429296306649,-13800.135139558142,-13438.347766265335,24136.655807758158,48080.869286795365,-25434.8754942713,76189.88522781219,-13662.068265253472
921029,-13945.920855119188,-13945.921014510428,-13935.554672925296,-13948.123630497192,-13936.092742278977,-13950.308244955171,-13948.263087827849,7534.168180899047,4119.076789789512,-14141.15496746501,-13756.910256074334,30407.921123584874,57477.817969518204,-26483.41317185287,87702.1973820815,-13995.989947666705
921030,-14490.23996571305,-14489.506764087253,-14479.775940570313,-14492.606251883273,-14479.442064972216,-14494.799593799187,-14492.489851241298,7701.008552877087,5514.441221120518,-14673.553978702359,-14264.087810576337,49821.15306484322,79868.4688412512,-28527.544644818332,111905.11310143469,-14520.657682164692
921031,-14944.63610129578,-14944.153518496149,-14933.995200695743,-14947.219562457296,-14933.380309179638,-14950.53467868918,-14946.661218164347,7801.03462552722,7333.005633373425,-15132.83823313955,-14715.119146418749,47222.324194233035,73723.55818098149,-30455.823291444052,103535.45218590033,-14977.659739007899
921032,-15152.057583450784,-15152.461066521091,-15141.302751766601,-15155.009415272483,-15141.060224477498,-15159.702053414905,-15153.663733679305,7819.66922671394,6399.076707471723,-15356.781977211289,-14943.20175521796,27169.685760264736,49801.02279540239,-31067.32052285646,77393.11573571368,-15202.786443412331
921033,-15422.624978529911,-15424.214599188383,-15412.056463030345,-15426.915640740266,-15412.512581830608,-15431.80758686969,-15424.051760927317,7892.983741654072,4800.881184137177,-15630.042070401565,-15208.928802682412,26714.161545508734,52034.15811147458,-31540.557164303525,81147.24234799636,-15472.927094712284
921034,-15963.310564943797,-15966.238148979828,-15953.2177436543,-15970.030718240625,-15954.006560550506,-15973.83726223645,-15965.160422810743,8058.462873764342,6084.79757818418,-16163.288872231533,-15716.00954290204,46616.4036769867,75754.63381221936,-33280.20363700426,106500.0509492312,-15997.09284136906
921035,-16463.936333958773,-16468.07427971177,-16454.64875805503,-16473.192807966254,-16454.807190932443,-16475.88494792254,-16466.833537588675,8180.70442234666,8272.058595734485,-16674.445661835598,-16203.170682633478,49315.51257581143,75912.80798351162,-35157.61932096511,104511.26240224126,-16500.333843137487
921036,-16651.045790979122,-16655.802256559473,-16642.750189403014,-16661.651313234506,-16641.66958807254,-16664.39873872102,-16655.084622569026,8198.56211596077,7270.243177804994,-16891.48292493849,-16414.214044987195,28434.491438156914,50765.145219255784,-35506.941217650834,76709.15077675399,-16715.413758849892
921037,-16803.620538105894,-16808.13467249389,-16795.837476678636,-16813.864850779784,-16794.305338507693,-16817.83994723027,-16808.122785546646,8239.251382197734,4664.711397980149,-17065.119304652595,-16587.032813694495,20811.25085810585,45218.91962021486,-35290.99588622998,72086.64583159832,-16888.280572714448
921038,-17253.320015252484,-17257.12617846158,-17245.205495825016,-17262.466023780413,-17245.080958312108,-17267.58490288808,-17257.55174636444,8385.053724588775,5102.283467633008,-17518.56575328403,-17025.204536366626,38397.327474748556,67339.45431027625,-36429.83965297426,95828.82642264129,-17335.59127319487
921039,-17771.081973392094,-17774.880075639398,-17762.588579530842,-17780.206803971727,-17765.11290122738,-17785.224025793086,-17775.29306440252,8522.67278363548,7703.324365666254,-18043.63101625105,-17523.98613921469,46441.11493128335,73576.49440170868,-38234.53560038325,100177.26355480372,-17850.658352330094
921040,-17979.139764189487,-17984.535286714156,-17971.27238961713,-17990.033191953036,-17976.045474588118,-17993.93425220958,-17984.619535868056,8554.157378116503,7483.334817352017,-18266.6245851888,-17728.514847942464,28218.895294257156,50137.56906997457,-38586.34307635961,73923.56268398184,-18066.69400807947
921041,-18042.170523466397,-18050.177140339245,-18035.75309025353,-18055.488393167172,-18041.63477911052,-18058.399185219743,-18050.15868459602,8577.954668093347,4488.1585827208655,-18327.36755553029,-17784.487545591553,15752.121912652707,38538.83234141365,-37809.00793464704,63030.0000950787,-18126.11315174601
921042,-18366.429449573996,-18376.578353749428,-18361.232530462,-18381.319143526798,-18367.614458804906,-18384.14537857249,-18377.058942616426,8704.926067906832,3848.401223649262,-18626.799092814945,-18079.952569758265,29957.08476392828,57945.546257705595,-38118.708268626506,84462.8867578631,-18425.373789938367
921043,-18859.19193118302,-18870.21614960389,-18854.569101867946,-18874.315341009016,-18861.311995202035,-18877.70371254487,-18871.422437749585,8851.04136556539,6494.435437811884,-19105.83658920053,-18543.52338783862,42248.0490350916,69728.60470503816,-39608.49433819391,94890.39622808783,-18900.340677920998
921044,-19105.560805537578,-19116.38203068853,-19101.486671988445,-19120.000008254145,-19108.21442983762,-19123.609486111858,-19118.06388644047,8888.477827770725,7523.012318749196,-19371.157347511165,-18784.1020236153,28483.94599243204,50125.22611587113,-40102.99704027276,72275.45668611096,-19158.043674136818
921045,-19124.374401031404,-19134.369689998013,-19121.604980153865,-19137.751220323647,-19127.519968985893,-19140.819488545014,-19136.444890356484,8873.247066452226,5179.390710318721,-19417.298976915165,-18807.64018817175,13688.258762161875,34550.54179479221,-39116.37054923733,56988.419403064065,-19197.480974253805
921046,-19313.663033853092,-19322.61190585152,-19312.76335900098,-19325.829396921778,-19317.115310600188,-19328.296869107362,-19325.19176639119,8933.562657843717,3960.184381152635,-19613.164864265695,-18991.35576840792,24515.331276067387,50874.934205275524,-38646.12320812313,75751.06170883268,-19391.05791853584
921047,-19711.405941861733,-19719.58958392097,-19711.6553261025,-19722.320801224007,-19714.461163580825,-19724.776718513807,-19722.396883437294,9035.63167467311,6315.951252505005,-20004.51180980431,-19378.719163353388,39455.00205502001,67246.3910908082,-39433.50199934106,91542.96987244656,-19783.68623184577
921048,-19944.944695648875,-19953.001410803176,-19944.602391861816,-19954.735704237668,-19946.752352113854,-19957.44467396731,-19955.458720927752,9061.063945877948,8353.035885262241,-20239.49564425536,-19606.18532327119,29893.985495999346,52231.06497193431,-39640.626684894625,73371.51931577724,-20018.612463945414
921049,-19935.069497481953,-19943.441298198,-19932.878417409986,-19944.034665664483,-19935.304278878193,-19946.583805253948,-19945.296949224306,9039.189840386647,7217.240777783858,-20235.088338280846,-19581.73854459749,14134.796485010818,34019.58140142867,-38296.261961251,54682.642976274205,-20008.408151099124
921050,-20029.999677804248,-20038.777204821337,-20026.21126962008,-20038.666408247904,-20029.230378507156,-20040.64115265738,-20040.311057268133,9092.35998986502,6228.871541839607,-20325.136272698575,-19646.075861539248,22719.358317514838,47360.939866024164,-37048.05989899319,70594.96642776193,-20088.54176739491
921051,-20341.42453521215,-20350.757236093203,-20337.28764509771,-20350.554647798675,-20340.99496243043,-20352.23409818427,-20352.540077897946,9200.947632751655,8434.470797389928,-20628.8975736704,-19934.69188618301,40579.07757076526,67932.3235697028,-37066.30102823183,91666.80150990968,-20384.65134452965
921052,-20545.975927273164,-20556.101191119145,-20542.61924060274,-20556.35834077834,-20547.301175541426,-20558.47347983715,-20558.596621980632,9236.172362331605,10926.830901077257,-20839.755766543953,-20142.68547398763,35156.22728112865,57735.728676321276,-36976.886706946934,78762.90967393083,-20592.544777163523
921053,-20513.542860157744,-20524.37326374392,-20511.467366973855,-20525.60331485172,-20517.016868008977,-20528.78791958005,-20527.472285534088,9200.56532051408,10468.389985407335,-20821.087144421614,-20114.03332068009,17827.730101787634,36618.213145421105,-35606.22395909217,56550.44172942371,-20570.081922061945
921054,-20560.53633638186,-20571.578936734848,-20559.38828868897,-20573.781473909672,-20565.00572867629,-20578.60224534481,-20574.47870436991,9222.17820342992,9561.368009075068,-20871.724374975092,-20134.860863574824,22844.203653932727,45360.98028718901,-34260.423895565196,67593.06903788525,-20611.32438716325
921055,-20850.477287474423,-20861.014426847265,-20848.9498296858,-20863.493960752745,-20854.10874312676,-20870.335680798937,-20862.90423737213,9312.624501813574,11502.175611259301,-21159.384282208885,-20390.12522400853,42766.54927095339,69006.83537309946,-34274.89815033031,92460.04601147046,-20888.806499142247
921056,-21086.163972306626,-21095.45320232377,-21082.689306404674,-21097.634564942266,-21087.784475151995,-21106.013277178157,-21096.324314685084,9344.999473092783,13940.42336455201,-21401.721963138152,-20622.174172069514,41791.44282707349,64379.41204952712,-34561.88958594628,85606.47102234726,-21128.18936056897
921057,-21084.96173855917,-21092.792202090466,-21078.662633589076,-21094.48915790258,-21084.590651772203,-21103.031646033447,-21093.10917398388,9296.189929673234,13267.506315371691,-21408.685166162744,-20634.431583736034,22741.511678059534,40876.595521146126,-33813.34172437122,60422.60938286771,-21137.542262716728
921058,-21146.490274353404,-21153.658536391005,-21137.61040674017,-21154.437986365345,-21145.182053811266,-21161.988828323912,-21153.592421587968,9298.080355730886,11549.898429410612,-21461.87814423205,-20677.809075908597,22221.59306459122,43223.22187289766,-33111.37213143411,64335.91830608458,-21188.18507039544
921059,-21497.357943532792,-21504.967423277914,-21487.346907541134,-21504.495281241783,-21496.47186225858,-21510.953281174898,-21504.68198390829,9394.686436599382,12751.912092179913,-21797.302062224044,-20979.2822631709,42373.08643039175,67971.66473972272,-33902.830719574966,90287.54356471953,-21512.48973793502
921060,-21848.724079275155,-21856.920332642898,-21839.67650738181,-21856.076730382832,-21848.806752434393,-21861.80557525336,-21857.0274534185,9457.361085334534,15234.521915623847,-22151.37973197713,-21301.877487061385,46793.83504541075,69890.89048234213,-35151.07537361923,90186.59922582285,-21855.21143212569
921061,-21920.503146879244,-21928.596584249513,-21913.868344870752,-21929.165146872023,-21920.96644373396,-21933.65903885683,-21929.653881397986,9422.47437718614,14774.03274315473,-22236.969813700787,-21380.23400154351,28690.87506951653,46575.002488929604,-35174.25116031432,65226.721079179006,-21936.869942801448
921062,-21970.4368248833,-21978.29639301814,-21966.338441285814,-21981.374847834202,-21970.513282909116,-21983.180900541898,-21980.41882979009,9411.283466316956,12623.473988411735,-22280.185884982944,-21425.128309857726,23959.4114193446,43150.430171468026,-34836.782148603685,63920.40165143993,-21979.692884633754
