Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1386025.2866744995,4145.94,4238.152,4169.636,4415.364,4188.6973,4531.273,4338.6064,4237.636,4480.788,3706.0,4418.4546,4143.879,4266.485,4074.8486
1386027.2471904755,4139.2427,4236.091,4159.3335,4407.121,4185.0913,4526.1216,4330.3643,4231.9697,4475.6367,3697.243,4415.879,4139.2427,4258.7573,4070.7275
1386031.2249660492,4138.727,4234.0303,4156.758,4408.667,4183.546,4527.667,4331.909,4233.515,4475.6367,3696.7275,4409.182,4138.2124,4250.515,4067.1216
1386039.3598079681,4142.848,4236.6064,4160.8794,4417.4243,4186.6367,4537.4546,4339.121,4236.6064,4478.2124,3698.788,4407.6367,4139.758,4252.5757,4067.1216
1386046.2787151337,4143.879,4239.182,4159.8486,4420.515,4189.2124,4541.5757,4340.1514,4236.6064,4478.7275,3696.2126,4409.182,4137.182,4255.667,4066.6064
1386058.2802295685,4140.7876,4235.5757,4155.727,4410.7275,4184.576,4540.546,4336.546,4237.636,4479.2427,3699.3035,4405.0605,4131.0005,4251.031,4061.97
1386062.255859375,4142.3335,4233.0,4155.212,4406.091,4180.9697,4540.031,4341.1816,4240.2124,4480.788,3701.879,4401.4546,4127.394,4248.9697,4060.4243
1386070.2362060547,4145.4243,4235.5757,4155.212,4413.8184,4182.0,4541.061,4346.3335,4240.2124,4480.273,3698.788,4402.4854,4128.4243,4251.031,4063.0
1386078.6232948303,4143.364,4234.0303,4155.212,4412.788,4182.515,4540.031,4341.1816,4236.091,4479.2427,3697.243,4401.9697,4133.061,4250.515,4063.0
1386086.2414836884,4144.909,4230.9395,4157.788,4405.0605,4183.0303,4539.515,4339.636,4235.0605,4478.2124,3698.2732,4403.515,4137.6973,4250.0,4060.4243
1386094.23828125,4155.212,4231.4546,4165.0005,4407.121,4184.576,4540.031,4346.3335,4237.1216,4478.2124,3696.2126,4408.667,4137.6973,4251.546,4065.061
1386102.2489070892,4159.8486,4236.6064,4172.7275,4411.758,4186.121,4540.546,4347.879,4238.152,4479.2427,3696.7275,4408.667,4138.2124,4253.6064,4070.2122
1386110.232591629,4157.788,4236.091,4170.667,4409.6973,4186.6367,4541.061,4342.7275,4235.5757,4479.2427,3695.697,4405.0605,4137.6973,4253.0913,4064.0305
