Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
195773.32067489624,4187.152,4123.273,4127.909,4386.0005,4138.727,4451.4243,4286.5757,4261.8486,4396.8184,3718.879,4357.152,4126.364,4188.6973,4043.9395
195774.07550811768,4186.6367,4122.2427,4129.9697,4386.515,4137.182,4451.94,4290.6973,4265.4546,4395.788,3723.0005,4359.727,4126.879,4189.2124,4046.0
195780.19189834595,4185.0913,4123.273,4130.485,4391.1514,4139.2427,4457.091,4293.788,4262.879,4393.727,3721.9697,4358.6973,4127.394,4189.7275,4046.5151
195788.40470314026,4187.667,4124.303,4128.4243,4392.182,4141.303,4458.1216,4290.6973,4255.152,4388.5757,3714.7578,4349.9395,4124.8184,4187.667,4041.364
195796.11349105835,4186.6367,4125.3335,4126.879,4388.5757,4140.273,4454.5156,4291.2124,4248.9697,4380.848,3709.0913,4345.303,4125.3335,4185.6064,4036.2124
195804.78143692017,4183.546,4125.3335,4127.394,4388.061,4140.273,4458.1216,4297.909,4252.5757,4382.909,3708.576,4345.8184,4124.8184,4185.6064,4039.3035
195812.32929229736,4185.0913,4125.8486,4131.0005,4390.636,4145.94,4463.273,4298.9395,4256.697,4390.1216,3710.6367,4347.364,4124.8184,4185.0913,4043.4246
195819.40698623657,4188.1816,4134.606,4136.6665,4393.727,4152.6367,4461.7275,4295.8486,4253.6064,4390.636,3714.2427,4352.0,4129.9697,4185.6064,4046.0
195827.11458206177,4190.242,4139.758,4140.7876,4396.3037,4155.727,4463.273,4299.9697,4254.636,4387.5454,3714.7578,4355.0913,4133.061,4189.7275,4048.0605
195835.143327713,4189.2124,4132.031,4137.182,4392.182,4154.6973,4466.8794,4303.576,4256.1816,4385.485,3711.1519,4350.4546,4127.394,4186.121,4044.4546
195851.54461860657,4185.0913,4125.8486,4127.394,4384.9697,4149.5454,4463.273,4298.9395,4251.546,4382.909,3704.9697,4338.6064,4120.6973,4171.6973,4037.7573
195860.55445671082,4185.6064,4123.788,4126.364,4384.4546,4145.4243,4461.7275,4298.4243,4256.697,4389.606,3709.0913,4337.5757,4123.273,4173.758,4038.273
195860.65554618835,4189.7275,4125.8486,4135.6367,4389.606,4150.061,4465.3335,4302.0303,4270.0913,4404.0303,3725.061,4355.0913,4128.4243,4191.273,4047.0305
195867.2218322754,4187.152,4131.5156,4136.152,4392.697,4156.758,4464.303,4299.9697,4273.1816,4409.182,3731.7576,4362.8184,4128.9395,4193.3335,4049.091
195875.3001689911,4186.121,4130.485,4126.879,4391.1514,4155.212,4459.6665,4293.788,4264.4243,4400.9395,3723.5154,4349.9395,4125.8486,4186.121,4041.879
195882.11131095886,4184.576,4124.8184,4123.273,4390.636,4152.6367,4459.6665,4291.2124,4260.818,4394.2427,3717.3335,4343.758,4121.7275,4186.121,4037.2424
195896.99792861938,4177.879,4126.879,4126.879,4392.697,4150.576,4461.2124,4292.2427,4262.879,4394.758,3717.3335,4346.8486,4118.6367,4182.515,4036.7273
195903.00726890564,4178.394,4129.4546,4126.364,4392.182,4147.485,4460.182,4293.788,4262.364,4394.758,3716.8184,4345.303,4115.546,4174.788,4035.6968
195907.0599079132,4186.121,4127.394,4124.303,4387.0303,4144.909,4460.6978,4294.303,4260.818,4391.6665,3713.7275,4344.273,4116.0605,4176.8486,4035.6968
195914.15071487427,4186.121,4127.394,4126.879,4388.061,4147.485,4461.2124,4293.788,4260.818,4390.1216,3713.2124,4346.8486,4120.6973,4182.0,4037.2424
195935.18161773682,4183.0303,4127.909,4128.4243,4390.636,4149.5454,4457.091,4291.7275,4263.9097,4393.212,3715.788,4348.909,4124.303,4184.576,4040.3335
