Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1330845.2792167664,4285.5454,4248.4546,4159.3335,4612.1514,4294.8184,4566.303,4432.364,4341.1816,4514.2734,3787.3938,4480.273,4255.667,4281.4243,4143.364
1330853.264093399,4298.4243,4252.5757,4170.667,4620.394,4296.879,4572.4854,4430.303,4333.9697,4513.2427,3786.879,4495.7275,4263.9097,4285.5454,4152.6367
1330865.2970790863,4304.6064,4252.0605,4183.546,4625.0303,4298.4243,4563.7275,4420.515,4328.8184,4510.152,3786.3635,4500.364,4276.273,4285.031,4158.303
1330869.1968917847,4299.4546,4255.152,4188.6973,4624.0005,4297.909,4557.546,4418.4546,4332.425,4512.2124,3785.8486,4497.788,4282.4546,4286.0605,4157.788
1330877.6726722717,4299.9697,4255.667,4188.1816,4625.0303,4291.2124,4563.2124,4420.515,4326.7573,4509.121,3778.6367,4505.0,4282.4546,4292.2427,4158.303
1330885.267496109,4302.0303,4252.0605,4187.667,4623.4854,4283.485,4560.636,4417.4243,4316.9697,4497.273,3771.9395,4503.97,4280.394,4290.182,4158.303
1330892.4000263214,4301.0,4252.5757,4189.2124,4613.6973,4285.5454,4556.515,4413.8184,4317.4854,4492.6367,3780.182,4489.031,4273.697,4283.485,4155.727
1330900.2692699432,4301.515,4253.6064,4189.2124,4608.546,4284.515,4560.121,4412.273,4320.5757,4499.3335,3789.4548,4482.3335,4268.031,4282.4546,4155.727
1330909.2741012573,4299.9697,4251.546,4184.0605,4607.0005,4270.6064,4561.152,4410.2124,4319.0303,4497.788,3783.2727,4484.909,4265.4546,4281.9395,4152.1216
1330916.204214096,4297.394,4248.9697,4183.546,4598.2427,4263.9097,4559.6064,4409.182,4320.5757,4495.7275,3778.6367,4481.303,4265.4546,4280.394,4150.576
1330924.1743087769,4296.364,4247.9395,4186.6367,4591.031,4268.546,4560.636,4412.788,4326.2427,4507.576,3786.879,4478.2124,4265.97,4281.9395,4155.727
1330932.2113990784,4297.394,4247.9395,4184.576,4593.6064,4268.031,4560.636,4413.303,4328.8184,4515.303,3789.97,4480.273,4267.0,4276.788,4153.1514
1330940.2077198029,4294.8184,4246.394,4175.8184,4593.6064,4264.9395,4558.5757,4407.6367,4324.697,4509.121,3782.7578,4479.758,4262.364,4267.515,4143.364
1330947.335243225,4288.121,4242.788,4171.6973,4587.4243,4267.0,4559.6064,4405.5757,4318.515,4507.0605,3778.6367,4474.0913,4254.121,4267.515,4140.7876
1330955.2550315857,4284.515,4239.182,4172.7275,4581.2427,4270.0913,4561.152,4410.7275,4315.425,4507.576,3777.091,4465.3335,4251.031,4269.5757,4142.3335
1330963.3038043976,4283.485,4236.091,4167.5757,4575.0605,4267.515,4558.0605,4408.152,4313.879,4498.3027,3772.4546,4461.7275,4250.0,4263.9097,4138.2124
1330971.1701869965,4282.97,4236.091,4161.909,4574.546,4265.97,4558.0605,4404.0303,4311.303,4492.6367,3768.3335,4464.303,4248.4546,4261.8486,4136.6665
1330979.2187213898,4284.0,4236.6064,4167.061,4577.121,4267.515,4561.667,4411.2427,4313.879,4497.273,3768.8486,4465.8486,4248.9697,4266.485,4138.727
1330987.2851371765,4283.485,4235.0605,4168.606,4574.031,4268.546,4560.636,4413.8184,4318.0005,4498.8184,3772.9697,4463.788,4249.4854,4266.485,4138.727
1330995.3317642212,4280.9097,4233.515,4161.909,4570.9395,4267.515,4559.6064,4409.182,4320.061,4501.9097,3774.5151,4463.273,4247.4243,4264.4243,4137.182
1331003.2978057861,4278.849,4233.0,4160.364,4573.515,4267.0,4562.182,4408.667,4325.7275,4511.1816,3772.9697,4466.364,4248.4546,4265.4546,4138.727
1331011.1844539642,4277.8184,4234.0303,4162.4243,4572.4854,4266.485,4561.667,4411.2427,4330.879,4514.788,3777.6064,4468.94,4250.0,4269.5757,4142.3335
1331018.1634426117,4273.697,4233.0,4157.273,4565.7886,4267.0,4559.6064,4409.182,4331.394,4512.727,3785.3333,4466.8794,4249.4854,4269.0605,4141.303
1331026.4539718628,4268.031,4227.8486,4153.6665,4561.667,4268.031,4561.152,4408.667,4329.3335,4513.2427,3782.7578,4463.273,4248.9697,4267.0,4138.2124
1331035.2408885956,4272.152,4226.303,4155.212,4562.182,4267.515,4561.152,4409.6973,4323.1514,4508.0913,3774.5151,4464.303,4248.4546,4265.97,4137.6973
1331042.3324108124,4278.849,4230.4243,4155.212,4561.152,4265.97,4560.636,4406.091,4316.4546,4498.3027,3769.879,4463.788,4246.909,4262.879,4139.2427
1331050.2407550812,4277.8184,4229.394,4154.6973,4559.0913,4267.0,4558.0605,4404.546,4312.8486,4493.667,3768.8486,4458.1216,4244.8486,4260.818,4138.2124
1331062.2117519379,4276.788,4228.364,4155.727,4559.6064,4267.515,4560.636,4410.2124,4313.879,4495.7275,3769.3638,4458.1216,4244.8486,4257.7275,4139.2427
1331078.2148838043,4278.849,4232.485,4156.2427,4560.121,4267.0,4570.9395,4417.4243,4321.6064,4503.455,3768.8486,4461.7275,4244.3335,4255.152,4141.8184
1331079.2121887207,4278.3335,4234.0303,4155.212,4560.121,4269.5757,4578.667,4424.6367,4331.909,4509.121,3770.9092,4461.2124,4243.818,4259.273,4141.8184
1331082.3051929474,4280.394,4235.0605,4155.727,4561.152,4272.152,4577.121,4433.9097,4343.2427,4517.879,3782.2424,4463.788,4251.031,4268.031,4145.4243
1331090.978384018,4285.031,4236.6064,4158.819,4561.667,4270.6064,4574.031,4434.94,4347.879,4525.606,3791.5154,4469.4546,4255.667,4272.152,4153.1514
1331097.2905158997,4277.8184,4229.394,4154.6973,4558.5757,4268.546,4571.97,4427.2124,4340.667,4520.9697,3784.8184,4469.4546,4245.364,4267.0,4149.0303
1331105.2496433258,4268.031,4220.121,4145.4243,4549.303,4268.546,4569.394,4422.576,4331.909,4510.6665,3775.0305,4462.2427,4235.0605,4257.2124,4133.061
1331113.2736206055,4265.97,4220.6367,4140.273,4542.0913,4267.515,4565.7886,4420.0,4328.303,4504.485,3769.3638,4454.0005,4231.9697,4251.031,4125.8486
1331122.8609085083,4265.97,4222.6973,4139.2427,4543.1216,4267.0,4561.152,4416.394,4320.5757,4497.273,3764.2124,4448.8486,4229.909,4250.0,4126.879
1331129.365682602,4265.97,4221.1514,4139.2427,4545.182,4267.0,4560.121,4415.364,4312.333,4491.6064,3764.2124,4448.8486,4230.4243,4247.9395,4125.8486
1331137.34292984,4261.8486,4220.6367,4137.6973,4544.667,4267.515,4560.636,4415.879,4316.4546,4496.242,3769.879,4447.819,4228.364,4247.9395,4126.879
1331145.2074050903,4254.636,4220.6367,4135.1216,4544.152,4267.0,4559.6064,4416.909,4323.1514,4497.273,3769.3638,4445.2427,4221.1514,4250.0,4125.3335
1331153.239250183,4252.5757,4219.091,4132.5454,4546.2124,4268.031,4561.152,4417.4243,4319.546,4494.1816,3763.1821,4445.758,4217.5454,4241.7573,4119.152
1331161.71336174,4255.667,4219.091,4133.061,4547.7573,4269.5757,4562.697,4417.9395,4316.4546,4494.6973,3761.1213,4445.758,4219.091,4235.5757,4119.152
1331169.3348884583,4254.636,4220.6367,4136.152,4544.152,4268.031,4561.152,4417.9395,4316.9697,4494.1816,3759.5757,4443.182,4218.576,4237.1216,4120.6973
1331181.33187294,4254.636,4222.1816,4138.727,4546.7275,4270.0913,4560.636,4418.4546,4316.9697,4492.6367,3758.5454,4444.2124,4218.0605,4237.1216,4116.0605
1331184.2105388641,4255.152,4221.1514,4138.727,4556.515,4274.2124,4561.667,4419.485,4319.0303,4494.1816,3764.7275,4447.303,4219.091,4240.7275,4115.546
1331193.5992240906,4253.0913,4220.121,4138.2124,4554.4546,4272.667,4562.182,4417.4243,4321.6064,4497.788,3771.4243,4450.3945,4221.6665,4247.9395,4122.2427
1331200.2227306366,4256.1816,4220.6367,4139.758,4544.152,4268.546,4561.667,4411.2427,4318.515,4497.788,3770.9092,4450.3945,4223.2124,4247.9395,4124.303
1331208.2147598267,4263.394,4220.121,4140.273,4547.7573,4268.546,4560.121,4409.182,4312.333,4494.1816,3768.8486,4447.303,4221.1514,4247.4243,4122.2427
1331216.1445617676,4265.97,4221.1514,4140.7876,4560.636,4272.667,4561.152,4413.8184,4318.515,4499.849,3771.4243,4451.94,4226.303,4252.0605,4124.303
1331224.128961563,4265.97,4227.8486,4148.0005,4559.6064,4280.394,4564.2427,4417.4243,4328.8184,4511.1816,3774.0,4463.273,4235.0605,4253.0913,4128.9395
1331231.2173843384,4265.4546,4225.788,4154.182,4547.7573,4280.394,4563.2124,4414.3335,4326.7573,4507.0605,3771.9395,4461.2124,4235.0605,4251.546,4129.9697
