Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
500601.8726825714,4262.364,4311.8184,4155.212,4406.6064,4239.182,4561.152,4387.0303,4305.6367,4489.031,3756.4849,4512.727,4231.9697,4234.0303,4125.8486
500604.84433174133,4256.697,4287.606,4152.1216,4405.5757,4237.1216,4550.3335,4380.848,4301.0,4480.788,3754.4243,4512.727,4234.0303,4228.879,4120.6973
500612.7805709839,4250.515,4264.9395,4142.848,4400.9395,4233.0,4540.546,4367.9697,4285.5454,4476.152,3748.758,4507.576,4230.9395,4221.1514,4114.515
500620.888710022,4251.546,4251.546,4145.94,4400.425,4234.0303,4543.1216,4361.273,4280.394,4476.667,3744.1213,4508.0913,4231.4546,4219.091,4117.6064
500628.81445884705,4255.667,4244.3335,4152.6367,4403.515,4239.182,4546.2124,4363.3335,4282.97,4478.7275,3748.758,4512.2124,4236.091,4221.1514,4122.2427
500636.87777519226,4253.6064,4235.0605,4149.0303,4404.546,4238.152,4544.667,4362.8184,4285.031,4480.273,3755.97,4511.6973,4237.1216,4223.2124,4119.152
500644.8757648468,4251.031,4222.6973,4145.4243,4401.9697,4235.5757,4545.697,4359.2124,4285.031,4480.273,3757.5151,4511.1816,4236.091,4224.2427,4117.091
500652.9040336609,4253.0913,4209.3027,4148.0005,4401.4546,4243.818,4547.7573,4356.1216,4275.758,4478.7275,3756.4849,4512.727,4237.636,4224.2427,4115.546
500660.88104248047,4253.6064,4192.3027,4146.455,4403.515,4251.546,4547.7573,4351.485,4268.031,4473.576,3754.9397,4514.788,4237.636,4222.6973,4110.394
500667.9570674896,4253.6064,4166.5454,4142.3335,4402.4854,4248.9697,4546.2124,4345.303,4265.97,4466.364,3751.8489,4514.2734,4238.152,4221.1514,4109.364
500684.91220474243,4255.152,4132.5454,4142.3335,4395.273,4248.4546,4544.152,4341.1816,4259.788,4464.819,3754.4243,4512.2124,4243.303,4219.606,4111.9395
500686.7814064026,4255.667,4092.364,4140.7876,4389.606,4253.0913,4543.636,4335.0,4246.394,4459.6665,3757.5151,4512.2124,4248.4546,4212.909,4107.303
500691.86758995056,4254.636,4066.091,4137.6973,4393.212,4253.0913,4545.182,4330.3643,4235.0605,4447.303,3750.3032,4513.2427,4247.9395,4204.152,4099.5757
500699.82409477234,4254.121,4074.3333,4137.182,4400.425,4251.546,4546.7275,4333.9697,4237.636,4447.819,3747.7273,4512.2124,4248.9697,4204.152,4100.6064
500707.86118507385,4254.636,4104.7275,4144.3945,4403.0,4255.667,4546.2124,4340.1514,4247.4243,4460.6978,3757.0002,4511.6973,4251.031,4207.758,4104.7275
500719.890832901,4255.152,4143.879,4153.6665,4401.4546,4252.5757,4544.667,4339.121,4251.031,4464.819,3756.4849,4511.6973,4247.4243,4205.6973,4102.1514
500723.85573387146,4252.5757,4200.031,4156.2427,4401.9697,4239.182,4544.667,4339.636,4255.667,4461.2124,3742.0608,4503.455,4237.1216,4203.121,4098.0303
500746.8376159668,4248.9697,4230.4243,4156.758,4402.4854,4240.2124,4545.182,4343.2427,4266.485,4464.303,3736.3943,4492.6367,4226.8184,4204.152,4095.9697
500748.1167316437,4249.4854,4206.2124,4157.273,4396.8184,4251.031,4544.667,4345.303,4273.697,4471.0005,3742.576,4493.152,4222.6973,4203.121,4092.364
500748.86679649353,4250.515,4211.364,4158.819,4392.182,4245.879,4545.182,4352.515,4280.9097,4477.6973,3743.091,4497.273,4225.273,4202.606,4093.394
500756.8554878235,4247.9395,4284.515,4166.5454,4395.788,4235.0605,4546.2124,4367.4546,4297.909,4487.4854,3738.4548,4494.1816,4223.7275,4209.8184,4101.636
500763.8738155365,4245.879,4343.2427,4173.758,4401.4546,4236.091,4546.2124,4376.727,4313.364,4496.242,3740.0002,4490.0605,4217.0303,4218.0605,4107.8184
500772.63379096985,4246.909,4352.0,4172.2124,4402.4854,4237.636,4544.152,4378.7876,4319.546,4498.8184,3745.1516,4492.121,4214.9697,4221.1514,4111.4243
500779.90317344666,4249.4854,4357.6665,4171.6973,4401.9697,4234.0303,4543.1216,4379.8184,4320.061,4495.2124,3743.6062,4490.576,4220.121,4221.1514,4115.0303
500786.90910339355,4251.546,4364.879,4169.1216,4403.0,4233.0,4539.515,4381.364,4318.0005,4487.4854,3737.9397,4481.8184,4220.121,4221.6665,4114.515
