Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1399223,2868.416989299759,2868.890474325377,2897.928809503357,2878.7510501783017,2860.1954866339656,68221.71193691879,70516.0051943315,101050.49100643568,30370.292093534405,2870.965997329525,2862.464509810701,67970.12012454527,73311.94433204047,2868.989293354065,75846.58533283055,2866.7600178367484
1399224,3175.357779404384,3172.14080732747,3194.1047571651843,3181.7263396315448,3169.6231664058596,36945.69500741515,34482.843404647276,101695.54325462476,19296.079194508908,3170.774161492851,3166.3270904559968,30986.5055429786,41982.21298840079,3169.2959306904195,47119.351414942874,3164.2168786118345
1399225,3060.939536195306,3056.168353895496,3073.327229509704,3065.3458638326833,3054.8315915416592,27613.8747566366,24703.13396408417,99724.97069135,11686.472645860837,3052.0945342994983,3047.3222203295627,20792.50979609684,36044.97002370235,3048.986605045624,43096.65742218976,3042.313462866976
1399226,2568.011614002259,2564.24171214217,2579.5465606454436,2572.647225572208,2561.190983345966,31036.423974752317,29742.538325328664,95102.94931753518,8301.779812645773,2557.767624858444,2551.0908602015083,26100.03748299288,41966.393273718306,2552.8289243442837,49185.97047018306,2546.444678443942
1399227,2116.7393090567957,2115.1725388651507,2130.2004279240446,2122.282566627944,2112.4972694606076,26209.195765242883,24389.84839623383,90614.02909682949,6863.164377892818,2104.928429110663,2099.4318254008813,21174.251233210754,34719.32169463277,2100.092953865539,40709.574828928584,2095.03374680595
1399228,1914.7472045855864,1914.7527698858835,1929.7024932580075,1920.6380901164962,1914.5229174546112,15430.366535825575,11966.51711576869,88273.34344842786,5100.636490012311,1899.0869716025873,1896.4465813698262,8820.142340001683,21133.029834867495,1894.4759855192679,26415.199299887183,1890.3275613430626
1399229,1725.4293725314074,1725.444106691499,1740.7496964242641,1731.0240972578715,1726.1333572483895,15223.756183389776,12306.32919540069,86670.36074018755,3132.203883054438,1705.3422639887153,1702.9182313351203,9306.754293940525,22899.841874287635,1699.1513781196816,28709.21812226074,1694.5674736254427
1399230,1245.0737385024802,1244.0145870948666,1259.5679763190092,1249.585747812489,1243.9659073511368,20708.63898192753,18878.601539681513,82289.02838493454,421.9597292165647,1224.0851462347669,1220.0613714058968,17080.856365368934,31352.595841382506,1216.816136891118,37491.55190831942,1210.4383142857832
1399231,363.700121854887,361.71388861992233,374.2682888382747,365.3540076642049,362.5260523804901,9382.24683010933,4916.119895128345,72019.99577219537,-7287.669918783414,348.4599143407461,345.2173362395524,5560.2194236259165,18154.508989089103,343.06732185986425,23576.832462905844,334.5836964223999
1399232,-1002.9336237439867,-1005.2337112283682,-1001.0218585165451,-1006.4447468606058,-1001.2846532347534,-21192.078332150388,-30902.002351096184,54254.17394645631,-23703.08003308558,-1006.1991393953292,-1006.4478569343148,-27439.952533084233,-16217.211650273925,-1009.2659836554038,-11353.937881535578,-1018.769495708705
1399233,-2929.487600218514,-2932.2077823482728,-2939.2974222027046,-2939.293808800974,-2925.20128001748,-49954.86219430371,-62250.92727571394,29711.667657102964,-46011.50435484937,-2918.652569084418,-2917.413044915218,-56477.57146549501,-44408.642939648475,-2922.7059903432273,-39072.08406381838,-2931.48462994694
1399234,-5168.387428549765,-5172.209447002963,-5189.644296628487,-5184.007781817779,-5162.355931817145,-68886.04146291011,-80312.23736827675,2184.952889916994,-67501.47400212561,-5145.380952796336,-5144.023839338526,-73028.65735375868,-60247.71632592483,-5152.702296998158,-54519.31549115454,-5159.248035055299
1399235,-7170.246882694263,-7175.4169508838195,-7201.3024397375175,-7191.079049984489,-7160.581690181001,-92316.69273787452,-103680.50919881131,-23135.82172019947,-85016.22143806552,-7137.38111657515,-7133.740817755294,-95728.30623156224,-84332.99978996559,-7146.720999454504,-79246.27517158081,-7150.488075834641
1399236,-8650.937625436138,-8656.98124501783,-8690.808429669809,-8677.199900248082,-8635.849494824199,-124097.73414812141,-137472.93900471771,-43652.06603683246,-99850.8411436514,-8609.31300223942,-8601.912267481437,-129562.1944624177,-119386.55676176283,-8619.487543048526,-114955.6702632464,-8621.317707579707
1399237,-9872.916036270426,-9879.1487446598,-9920.646175168655,-9904.70633720939,-9854.887263225322,-146551.61534316966,-160522.79526389373,-60974.82037137711,-112672.68320936752,-9824.321316165944,-9816.248259806716,-152722.477760167,-141449.17539248732,-9836.856507402894,-136662.98602020153,-9838.17931827981
1399238,-11132.4959262969,-11138.60122954208,-11186.283263358797,-11168.743193828364,-11115.66385592724,-152541.63530604827,-164673.89304956055,-77432.69875343118,-122189.7919849966,-11080.023875584226,-11074.38149487986,-156348.50551745654,-143874.3075469491,-11096.109120691832,-138663.37969758807,-11097.36671234425
