Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1207505.3176879883,4253.6064,4204.152,4143.879,4412.273,4252.0605,4533.8486,4376.212,4265.4546,4479.2427,3710.1216,4430.303,4235.5757,4277.303,4123.273
1207513.0598545074,4253.0913,4207.758,4143.879,4413.8184,4255.667,4535.909,4375.182,4262.364,4477.6973,3706.5154,4432.364,4236.091,4275.758,4125.8486
1207520.9782123566,4253.6064,4211.879,4143.879,4413.8184,4255.667,4542.6064,4373.6367,4265.4546,4480.273,3709.6064,4436.485,4236.091,4282.4546,4127.394
1207529.0277004242,4253.0913,4209.8184,4143.879,4413.8184,4253.0913,4540.546,4372.091,4264.9395,4479.758,3707.0303,4433.9097,4236.6064,4281.9395,4125.3335
1207537.0404720306,4252.5757,4206.727,4143.364,4414.3335,4255.152,4537.9697,4371.576,4258.2427,4476.667,3699.3035,4428.758,4236.6064,4270.6064,4124.303
1207544.0351963043,4252.5757,4210.334,4142.848,4413.8184,4256.1816,4540.546,4371.576,4258.7573,4477.6973,3700.3337,4430.8184,4236.091,4267.515,4125.3335
1207553.1697273254,4252.5757,4217.0303,4143.879,4412.788,4254.121,4540.546,4374.1514,4265.97,4480.788,3708.0605,4434.94,4236.6064,4277.303,4126.364
1207560.1019859314,4254.121,4216.0,4146.9697,4415.364,4253.0913,4542.6064,4377.758,4270.0913,4483.364,3714.7578,4434.4243,4237.1216,4284.515,4127.909
1207568.0570602417,4254.121,4209.3027,4146.9697,4415.879,4252.5757,4540.546,4377.2427,4269.0605,4483.364,3715.273,4432.879,4237.636,4281.4243,4127.909
1207576.0374069214,4252.0605,4206.727,4144.909,4410.7275,4251.031,4530.2427,4375.6973,4267.515,4480.788,3707.0303,4433.394,4236.6064,4279.364,4125.3335
1207584.100484848,4253.6064,4209.3027,4145.94,4411.2427,4251.031,4530.758,4377.2427,4265.97,4479.2427,3702.9092,4433.9097,4237.1216,4280.9097,4129.9697
1207592.0350551605,4255.667,4214.455,4148.0005,4415.879,4252.0605,4542.0913,4378.7876,4265.97,4479.758,3704.9697,4432.879,4238.667,4278.3335,4134.0913
1207600.2068519592,4254.121,4214.9697,4147.485,4415.364,4252.5757,4543.1216,4377.2427,4261.8486,4478.2124,3704.9697,4431.8486,4237.1216,4275.242,4130.485
1207607.0334911346,4254.636,4214.9697,4147.485,4412.788,4253.0913,4537.9697,4376.727,4262.364,4477.6973,3704.9697,4430.8184,4237.636,4279.364,4133.061
1207615.0267124176,4256.697,4215.485,4143.364,4416.909,4255.152,4539.515,4377.758,4263.394,4480.788,3706.5154,4432.879,4238.667,4282.97,4138.727
1207623.0599880219,4255.152,4215.485,4141.8184,4415.879,4254.636,4541.061,4377.2427,4256.1816,4480.788,3709.6064,4433.9097,4237.636,4279.364,4133.061
1207631.1264038086,4258.2427,4214.9697,4150.576,4409.6973,4253.6064,4540.546,4376.727,4255.667,4479.758,3713.7275,4433.394,4238.667,4280.9097,4131.0005
1207639.0972137451,4263.394,4215.485,4152.1216,4411.758,4254.121,4541.061,4376.727,4265.4546,4487.4854,3718.3638,4439.061,4240.7275,4285.031,4139.2427
1207647.1519470215,4258.2427,4216.5156,4144.909,4415.364,4253.0913,4540.031,4375.6973,4268.546,4493.667,3720.9395,4445.2427,4239.697,4285.5454,4139.2427
1207655.4236412048,4256.697,4217.0303,4148.0005,4415.364,4254.121,4541.061,4377.758,4267.515,4494.6973,3725.061,4447.303,4244.3335,4290.6973,4136.152
