Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
65476.78327560425,4235.0605,4190.758,4123.273,4384.9697,4251.546,4513.758,4387.0303,4283.485,4464.819,3758.0305,4410.7275,4223.7275,4218.576,4134.606
65484.912395477295,4235.0605,4188.6973,4125.3335,4385.485,4250.515,4511.6973,4387.0303,4285.031,4464.303,3755.97,4405.0605,4219.091,4217.5454,4137.6973
65492.98048019409,4237.636,4190.242,4127.909,4384.9697,4253.0913,4511.1816,4392.697,4285.5454,4464.819,3757.0002,4410.7275,4226.8184,4219.091,4141.303
65500.73313713074,4239.697,4192.8184,4127.909,4386.515,4252.5757,4512.2124,4395.273,4286.5757,4467.394,3762.1519,4421.031,4235.0605,4224.2427,4142.848
65508.76069068909,4236.091,4189.7275,4129.4546,4388.5757,4250.0,4511.6973,4390.1216,4286.0605,4466.364,3763.6973,4417.9395,4231.4546,4223.2124,4140.7876
65516.69883728027,4236.091,4189.7275,4137.182,4391.1514,4251.031,4510.6665,4387.0303,4284.0,4462.7583,3759.5757,4413.303,4230.9395,4219.091,4140.273
65523.77939224243,4246.909,4197.455,4142.3335,4396.8184,4254.636,4512.2124,4389.091,4285.031,4463.788,3759.5757,4421.546,4235.5757,4224.2427,4140.7876
65531.694412231445,4247.4243,4203.121,4136.152,4399.394,4254.121,4513.2427,4389.091,4284.515,4465.8486,3763.6973,4423.0913,4234.0303,4228.879,4140.273
65540.76910018921,4238.667,4201.0605,4130.485,4394.758,4253.0913,4511.1816,4383.94,4281.9395,4462.7583,3762.667,4415.879,4229.909,4222.6973,4137.6973
65548.68984222412,4241.2427,4201.576,4133.576,4393.212,4257.7275,4511.6973,4383.4243,4281.9395,4464.303,3762.1519,4416.394,4232.485,4220.121,4137.6973
65556.72526359558,4245.364,4204.6665,4135.6367,4394.2427,4258.2427,4512.727,4388.061,4282.97,4465.3335,3762.1519,4421.546,4234.5454,4223.7275,4138.2124
65563.73953819275,4237.1216,4199.5156,4131.0005,4392.697,4253.0913,4511.1816,4387.5454,4278.849,4457.606,3757.5151,4419.485,4230.9395,4222.1816,4137.6973
65571.96092605591,4235.5757,4197.455,4128.9395,4392.697,4253.0913,4511.6973,4385.485,4278.3335,4456.576,3755.97,4416.909,4229.909,4220.121,4137.6973
65588.14787864685,4240.7275,4202.606,4132.031,4394.758,4255.667,4513.2427,4390.1216,4284.515,4465.3335,3760.091,4419.485,4234.0303,4223.2124,4139.758
65597.00655937195,4237.1216,4203.121,4133.576,4393.212,4254.636,4512.727,4392.697,4287.0913,4466.8794,3761.1213,4418.9697,4235.5757,4222.6973,4142.848
65598.69408607483,4242.273,4201.0605,4137.182,4392.697,4255.152,4513.2427,4390.636,4285.5454,4463.273,3759.5757,4417.9395,4234.0303,4221.1514,4142.848
65602.73170471191,4250.0,4203.6367,4140.7876,4393.727,4256.697,4513.758,4391.6665,4284.515,4463.788,3759.0608,4418.4546,4235.5757,4223.7275,4140.273
65611.78731918335,4240.7275,4201.0605,4133.061,4389.606,4253.0913,4511.6973,4394.2427,4282.97,4464.303,3758.0305,4416.394,4233.515,4222.1816,4138.2124
65619.81272697449,4234.0303,4197.97,4125.8486,4389.091,4251.031,4510.152,4391.1514,4282.97,4465.8486,3758.5454,4415.364,4228.879,4221.1514,4138.727
65627.75611877441,4241.7573,4201.576,4127.909,4393.727,4253.6064,4511.6973,4389.606,4284.515,4467.394,3761.6362,4417.9395,4231.9697,4224.758,4139.2427
65649.80435371399,4243.303,4202.606,4132.031,4392.182,4253.6064,4514.2734,4392.697,4284.515,4464.819,3761.6362,4419.485,4232.485,4224.2427,4138.727
65651.66664123535,4239.182,4199.5156,4134.606,4388.061,4252.0605,4513.758,4395.273,4283.485,4465.8486,3761.1213,4417.9395,4228.879,4224.758,4138.2124
65653.97691726685,4246.909,4201.576,4140.273,4390.636,4258.2427,4513.2427,4398.3643,4288.636,4477.6973,3772.9697,4425.152,4233.0,4234.0303,4139.758
65665.72856903076,4253.6064,4205.6973,4150.061,4397.3335,4265.4546,4520.9697,4403.515,4299.4546,4488.0,3785.3333,4432.879,4238.152,4238.152,4142.848
65666.73994064331,4252.0605,4206.2124,4158.819,4400.425,4268.031,4529.7275,4404.546,4301.515,4486.4546,3783.2727,4433.394,4237.636,4236.6064,4144.3945
65675.79460144043,4251.546,4205.1816,4156.758,4395.788,4265.97,4523.5454,4397.8486,4290.182,4480.788,3773.4849,4431.8486,4236.6064,4234.5454,4142.3335
65688.9636516571,4247.9395,4203.121,4143.364,4390.636,4256.1816,4510.6665,4387.5454,4280.9097,4473.576,3769.3638,4425.667,4235.5757,4226.303,4138.727
65690.71674346924,4244.3335,4201.576,4140.7876,4392.182,4252.0605,4509.6367,4383.4243,4281.4243,4467.909,3771.9395,4422.576,4233.515,4224.758,4137.6973
65697.87526130676,4249.4854,4203.121,4151.606,4393.727,4259.788,4514.2734,4386.515,4283.485,4472.0303,3774.0,4430.303,4235.0605,4234.5454,4139.758
65715.50965309143,4253.0913,4203.121,4156.2427,4392.697,4260.818,4512.727,4388.5757,4280.9097,4479.758,3770.9092,4435.97,4238.667,4237.1216,4143.364
65731.73141479492,4251.031,4201.576,4153.6665,4395.273,4256.1816,4510.152,4384.9697,4276.273,4476.152,3764.2124,4431.8486,4239.697,4233.515,4143.879
65740.90433120728,4250.515,4203.121,4153.6665,4399.394,4260.303,4511.6973,4386.0005,4281.9395,4478.7275,3766.788,4432.364,4239.182,4236.091,4144.909
65741.98651313782,4250.515,4203.6367,4155.212,4399.394,4265.97,4513.758,4393.727,4294.8184,4491.0913,3772.9697,4439.576,4238.152,4238.667,4148.0005
65746.18887901306,4248.9697,4202.606,4155.727,4394.758,4262.879,4516.334,4395.273,4296.364,4489.546,3765.2427,4442.152,4239.182,4238.152,4149.0303
65746.40536308289,4248.9697,4202.0913,4154.6973,4392.697,4262.364,4522.0,4393.212,4290.6973,4479.2427,3754.9397,4439.576,4238.152,4238.152,4146.9697
65756.14738464355,4247.4243,4203.121,4150.576,4395.273,4267.0,4525.091,4396.3037,4293.788,4483.879,3757.5151,4434.4243,4236.6064,4237.1216,4143.879
65775.90227127075,4248.9697,4203.6367,4149.5454,4397.3335,4268.546,4524.0605,4401.9697,4294.303,4491.6064,3759.5757,4432.364,4236.091,4236.6064,4141.303
65777.88662910461,4253.0913,4203.121,4156.758,4397.8486,4265.97,4526.6367,4398.879,4286.5757,4484.394,3754.9397,4434.4243,4237.636,4237.636,4142.3335
65777.93884277344,4250.515,4203.121,4155.727,4400.425,4264.4243,4525.091,4392.697,4283.485,4476.667,3753.9094,4434.94,4236.6064,4236.091,4142.848
65791.78237915039,4246.394,4203.6367,4148.0005,4401.9697,4264.4243,4515.303,4393.727,4284.0,4478.2124,3750.3032,4431.8486,4236.091,4233.515,4140.7876
65792.7725315094,4247.9395,4203.6367,4149.5454,4399.909,4264.9395,4516.334,4398.879,4283.485,4480.788,3745.6667,4430.8184,4236.091,4232.485,4140.7876
65800.69279670715,4251.031,4205.6973,4156.2427,4404.0303,4267.515,4527.667,4405.0605,4283.485,4479.2427,3748.2424,4433.394,4237.1216,4236.091,4142.848
65809.79895591736,4251.546,4208.273,4157.788,4412.273,4270.0913,4527.667,4413.303,4284.0,4479.2427,3753.9094,4432.879,4243.303,4236.091,4145.94
65816.85900688171,4253.6064,4209.3027,4157.788,4412.273,4269.5757,4523.0303,4420.515,4288.636,4487.4854,3758.5454,4439.061,4250.0,4238.152,4152.1216
65824.78880882263,4255.667,4210.334,4159.8486,4408.152,4271.121,4527.152,4421.031,4299.4546,4497.273,3762.667,4448.334,4252.0605,4248.9697,4156.758
65832.75604248047,4253.6064,4208.7876,4158.819,4407.121,4269.5757,4529.2124,4415.879,4299.4546,4492.6367,3757.5151,4446.273,4248.9697,4252.5757,4154.182
65841.77374839783,4252.0605,4204.6665,4157.273,4406.6064,4265.4546,4524.0605,4410.7275,4288.121,4481.303,3748.2424,4438.031,4243.818,4243.303,4145.94
65847.76139259338,4252.0605,4202.0913,4157.273,4403.0,4265.4546,4522.5156,4408.152,4284.0,4480.788,3746.697,4435.97,4239.697,4238.667,4142.848
65855.77702522278,4250.515,4201.0605,4154.182,4398.879,4265.97,4524.576,4408.667,4286.5757,4482.3335,3744.6365,4434.94,4238.667,4238.667,4143.364
65872.78580665588,4248.9697,4201.576,4153.1514,4397.3335,4262.879,4525.091,4408.152,4284.515,4479.758,3743.6062,4432.879,4235.5757,4235.5757,4140.273
65874.72558021545,4251.031,4203.121,4155.727,4401.9697,4262.879,4525.091,4408.152,4281.9395,4480.788,3752.3638,4439.061,4239.182,4242.788,4144.3945
65879.80628013611,4253.0913,4204.6665,4157.273,4407.6367,4267.515,4525.091,4407.6367,4281.9395,4482.8486,3755.97,4445.2427,4246.394,4250.0,4153.1514
65901.89099311829,4251.031,4204.152,4156.2427,4405.0605,4268.031,4524.0605,4405.0605,4280.394,4479.758,3748.2424,4444.2124,4240.2124,4245.879,4147.485
65904.31189537048,4251.546,4205.6973,4156.758,4405.0605,4265.97,4523.0303,4406.091,4280.9097,4479.2427,3749.7883,4444.727,4239.182,4246.394,4143.879
65904.93988990784,4254.121,4205.6973,4157.273,4407.121,4266.485,4523.0303,4408.667,4283.485,4488.0,3760.606,4448.334,4249.4854,4253.0913,4155.212
65922.8413105011,4252.5757,4204.152,4156.2427,4404.546,4267.0,4524.0605,4410.7275,4282.4546,4490.576,3761.6362,4447.303,4247.4243,4251.546,4155.727
65935.75716018677,4253.0913,4204.152,4157.788,4405.0605,4266.485,4526.1216,4413.8184,4282.4546,4485.9395,3761.1213,4445.758,4240.7275,4247.9395,4147.485
65936.86175346375,4257.2124,4204.6665,4161.394,4409.6973,4268.031,4527.152,4417.9395,4286.0605,4489.031,3768.3335,4448.8486,4243.818,4252.5757,4152.1216
65944.80800628662,4259.273,4206.727,4162.4243,4410.7275,4268.546,4528.182,4416.394,4287.0913,4495.7275,3772.9697,4450.3945,4247.9395,4254.636,4158.303
65948.02618026733,4257.7275,4208.7876,4159.8486,4408.152,4268.031,4528.182,4412.273,4284.0,4495.7275,3772.4546,4448.334,4248.4546,4254.121,4154.182
65950.74272155762,4258.2427,4207.758,4158.819,4409.182,4268.546,4527.667,4409.182,4280.9097,4493.152,3771.9395,4446.7876,4250.0,4253.6064,4153.6665
65959.81001853943,4262.879,4206.2124,4159.3335,4409.6973,4271.636,4527.667,4408.152,4282.4546,4494.6973,3772.4546,4447.303,4252.0605,4253.0913,4156.758
65973.78659248352,4261.8486,4205.6973,4156.758,4407.6367,4272.667,4527.667,4411.2427,4283.485,4492.121,3771.9395,4445.758,4250.0,4253.0913,4151.091
65981.76217079163,4254.636,4203.6367,4154.182,4406.6064,4269.5757,4527.152,4414.3335,4277.303,4483.364,3768.8486,4439.061,4240.7275,4249.4854,4142.848
65984.79509353638,4251.031,4204.152,4155.212,4407.121,4269.5757,4528.6973,4415.879,4272.667,4477.6973,3765.2427,4433.394,4233.515,4247.4243,4141.303
66002.87652015686,4254.121,4204.6665,4154.182,4406.091,4272.667,4529.7275,4417.9395,4277.8184,4481.8184,3765.2427,4432.879,4236.091,4248.4546,4139.758
66034.98363494873,4259.788,4202.606,4155.212,4407.121,4270.6064,4529.7275,4421.546,4283.485,4491.6064,3774.0,4440.606,4243.303,4251.031,4143.879
66039.79825973511,4265.97,4207.758,4167.061,4413.8184,4269.0605,4529.7275,4424.1216,4286.0605,4503.455,3788.4246,4457.606,4251.031,4260.303,4156.2427
66040.09938240051,4265.97,4216.5156,4170.667,4415.879,4276.788,4529.7275,4418.4546,4286.5757,4511.6973,3793.576,4455.0303,4252.0605,4269.0605,4152.1216
66040.83633422852,4263.9097,4211.879,4168.606,4415.364,4269.0605,4529.2124,4416.909,4285.031,4505.5156,3793.0608,4449.364,4251.031,4264.9395,4153.1514
66042.78111457825,4264.9395,4213.9395,4171.6973,4415.364,4269.0605,4527.667,4418.9697,4287.606,4500.879,3797.697,4454.5156,4252.5757,4269.0605,4157.788
66050.34303665161,4265.4546,4210.8486,4170.667,4415.364,4270.0913,4525.091,4416.394,4279.364,4495.2124,3788.4246,4451.94,4251.546,4265.97,4152.6367
66054.09932136536,4265.4546,4207.758,4169.636,4414.8486,4267.0,4524.0605,4414.3335,4270.6064,4492.121,3772.9697,4445.2427,4249.4854,4258.7573,4150.061
66066.81275367737,4265.97,4210.334,4167.5757,4413.303,4268.546,4526.6367,4417.4243,4278.849,4495.2124,3774.5151,4448.334,4250.0,4262.364,4154.182
66078.11427116394,4267.0,4214.9697,4166.0303,4416.394,4270.6064,4529.2124,4421.546,4286.5757,4499.849,3782.7578,4454.0005,4253.0913,4268.031,4156.2427
66078.80306243896,4265.4546,4214.9697,4166.0303,4417.4243,4268.031,4527.152,4419.485,4277.303,4498.8184,3773.4849,4452.455,4251.546,4264.4243,4154.182
66085.82091331482,4264.4243,4209.3027,4162.94,4412.788,4267.515,4525.606,4416.909,4271.121,4493.152,3761.1213,4448.8486,4247.4243,4262.879,4153.6665
