Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1627517,-1364.3139042568594,-1365.8435373858217,27817.46732381596,-1373.2169889090194,-1373.5500701985638,46409.71703347993,54201.94722848136,-29858.54178450139,4839.319388060644,-1363.6528200223358,-1370.4859635995106,53632.38630825258,54011.67090697675,-1369.8950778547087,53988.04197165193,-1371.4849704690162
1627518,-1829.5602057773863,-1832.2864646725186,54166.48944762387,-1844.8662971203087,-1850.392859402748,128477.34620129758,152783.1816731584,-31830.822815867,5604.324957237407,-1835.2181639721725,-1860.8026176688952,148843.38118529023,156440.0886057292,-1853.2399972959163,159709.36371013278,-1859.6021783514439
1627519,-2202.293214758066,-2206.353871589492,74149.81391436566,-2222.989156473667,-2230.030827480241,174577.09507183012,207318.54761826043,-33861.930363782514,7714.774986858885,-2212.575113464083,-2247.713094415687,202181.56894308404,212213.78987994682,-2236.059786213832,216503.66713464187,-2245.6408015647685
1627520,-2262.1544216329257,-2267.572877260123,77154.59721145977,-2284.5191731027535,-2289.881925072922,172016.0435913746,203621.54231544706,-34567.11421131666,8873.913318438747,-2274.614709328638,-2308.8513100081855,199095.1412275222,207770.12800846223,-2296.8772563178336,211334.62567959656,-2307.6683826650924
1627521,-2036.918311729064,-2043.3989897821473,66167.73958608713,-2057.6496382251644,-2061.539992980038,149234.1762098262,176875.72162274946,-33584.17283800622,7324.541523272546,-2049.730406215176,-2080.4318329508574,172767.81967463915,180721.58462169443,-2069.9627240150235,183956.87193086089,-2080.3324285873286
1627522,-1896.6157823208107,-1903.4571133046188,59979.603999291714,-1916.925482764261,-1920.825326872476,143836.27566022886,171168.541134856,-32939.008039916785,5670.879558292609,-1909.1798715243165,-1940.377962738407,166664.56807847612,175635.32937100387,-1930.7882144062469,179390.09252039687,-1939.7576959487458
1627523,-2007.5807850832728,-2013.9049291712547,65784.0984677034,-2030.085228323038,-2033.7953079577837,153575.01805734436,182465.185629619,-33919.2659238826,6543.69660399589,-2019.7467900765541,-2052.6567739583597,177919.84699845617,186923.3065503317,-2043.2155448690964,190634.01257765584,-2050.7579908144126
1627524,-2094.5918456982404,-2099.7516465229014,69542.34955515277,-2117.808920830954,-2120.617784272369,151431.67954980402,179142.14923987296,-34951.41261417077,7943.564787340576,-2105.1456692567363,-2135.8121968504192,175261.68444647064,182694.00271761554,-2126.8147889084785,185507.59443967178,-2134.003108883294
1627525,-1968.211266894796,-1972.2501685040388,62907.13403239053,-1988.5874541846981,-1991.633549219281,138318.86185293505,163737.68869999523,-34513.712320927814,7034.136313145861,-1974.8431322621334,-2002.0682030909622,159990.29886792012,167053.82219316412,-1993.0601670942042,169596.14137732016,-2001.3717406369583
1627526,-1855.9415946191496,-1859.9205923816887,57785.931714127524,-1873.8471139642313,-1878.6388703931036,138419.19770169322,164672.12593491812,-33789.1994204917,5395.705174080291,-1857.6456866018682,-1885.816068450079,160121.8715592348,168741.42693655821,-1874.8917231165653,172071.3966490992,-1884.9995749641494
