Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
489245.7103729248,4295.8486,4271.636,4128.9395,4459.6665,4284.515,4576.6064,4355.0913,4318.0005,4465.8486,3832.2124,4436.485,4237.636,4262.879,4132.031
489267.73142814636,4293.273,4270.0913,4124.8184,4450.3945,4284.515,4577.636,4353.5454,4319.546,4464.819,3831.6973,4432.364,4234.0303,4255.152,4129.4546
489286.87167167664,4295.3335,4266.485,4121.2124,4450.3945,4282.97,4577.121,4350.9697,4327.788,4468.94,3833.7578,4438.031,4232.485,4261.8486,4132.5454
489312.65902519226,4299.9697,4271.121,4129.4546,4460.6978,4282.4546,4578.667,4359.2124,4337.0605,4482.3335,3845.6062,4456.576,4246.394,4278.849,4142.848
489315.16194343567,4301.0,4270.6064,4127.394,4460.182,4283.485,4571.97,4355.606,4323.1514,4465.8486,3832.2124,4450.3945,4250.0,4268.546,4141.303
489315.9182071686,4300.485,4271.121,4127.909,4456.576,4282.97,4563.7275,4354.0605,4316.4546,4462.7583,3828.6064,4449.364,4247.9395,4268.546,4141.8184
489316.82896614075,4300.485,4268.031,4126.364,4451.94,4282.4546,4559.6064,4352.0,4315.94,4461.2124,3818.8184,4446.7876,4245.364,4268.031,4140.7876
489324.6669769287,4300.485,4270.0913,4126.879,4448.334,4281.9395,4558.5757,4346.8486,4315.94,4458.1216,3814.6973,4445.758,4246.394,4265.4546,4139.758
489332.9336643219,4300.485,4269.0605,4127.394,4450.3945,4280.9097,4558.5757,4341.6973,4311.8184,4459.1514,3817.273,4446.273,4247.4243,4265.4546,4140.7876
489340.6105041504,4300.485,4268.546,4128.9395,4458.6367,4282.4546,4560.121,4350.4546,4313.364,4464.303,3819.8486,4448.8486,4247.9395,4269.5757,4141.8184
489348.9763736725,4300.485,4274.2124,4131.5156,4463.273,4286.0605,4563.7275,4355.606,4316.9697,4464.819,3820.879,4450.3945,4248.4546,4271.121,4141.8184
489356.6384315491,4300.485,4275.242,4131.0005,4461.7275,4286.5757,4565.7886,4348.394,4319.0303,4464.303,3822.4246,4450.909,4250.515,4270.6064,4141.303
489364.9172782898,4301.0,4271.121,4129.9697,4458.1216,4285.031,4564.7573,4344.788,4323.1514,4469.4546,3822.9395,4451.4243,4252.0605,4271.121,4142.3335
489372.670173645,4299.9697,4269.0605,4127.394,4455.0303,4280.9097,4560.121,4345.8184,4320.061,4472.0303,3818.8184,4449.364,4247.4243,4269.5757,4140.273
489379.74095344543,4298.4243,4269.0605,4124.8184,4456.061,4282.97,4561.667,4345.303,4313.364,4467.909,3811.091,4446.273,4243.303,4266.485,4137.182
489392.6827907562,4297.394,4268.546,4123.273,4457.091,4284.0,4566.303,4345.303,4314.909,4465.3335,3808.5154,4448.334,4243.818,4268.031,4137.6973
489407.6261520386,4297.394,4269.5757,4119.152,4451.94,4273.697,4562.697,4345.8184,4315.94,4465.3335,3809.0305,4449.364,4241.2427,4269.5757,4139.758
489409.69467163086,4297.909,4269.0605,4117.6064,4449.8794,4270.6064,4563.7275,4344.788,4316.4546,4466.364,3805.9395,4444.727,4234.5454,4266.485,4138.2124
489411.5970134735,4296.364,4270.0913,4121.2124,4457.091,4280.394,4573.515,4349.4243,4324.697,4471.515,3805.9395,4443.182,4238.152,4267.0,4136.6665
489419.7175502777,4300.485,4279.879,4126.879,4464.303,4284.0,4575.5757,4355.0913,4331.909,4477.182,3811.6062,4455.0303,4250.0,4275.758,4140.7876
489427.67453193665,4307.6973,4283.485,4131.0005,4465.8486,4280.9097,4571.4546,4353.5454,4330.3643,4479.2427,3811.091,4462.2427,4254.121,4281.9395,4144.3945
489435.6245994568,4305.1216,4274.7275,4129.9697,4461.2124,4280.9097,4572.4854,4347.879,4328.8184,4479.758,3804.3943,4453.485,4252.0605,4280.9097,4143.879
489451.7123699188,4299.4546,4265.4546,4125.3335,4454.5156,4279.879,4572.4854,4343.758,4328.8184,4475.1216,3801.8184,4447.303,4248.4546,4276.273,4140.7876
489452.5876045227,4300.485,4268.546,4123.788,4454.5156,4279.364,4568.364,4341.6973,4322.1216,4466.8794,3800.7878,4450.909,4246.394,4271.121,4138.727
489458.6045742035,4301.515,4276.273,4126.879,4462.2427,4284.0,4570.4243,4343.758,4319.546,4465.3335,3796.6667,4450.909,4248.9697,4270.6064,4139.2427
489466.7489528656,4297.909,4274.7275,4126.364,4461.2124,4285.031,4576.0913,4347.879,4322.636,4467.909,3794.6062,4449.364,4248.9697,4273.697,4140.273
489474.5783805847,4298.4243,4267.515,4124.303,4451.4243,4282.4546,4573.515,4346.8486,4319.0303,4465.8486,3791.5154,4449.8794,4240.7275,4272.152,4138.727
489487.6902103424,4298.9395,4265.4546,4123.273,4447.819,4280.9097,4564.2427,4342.7275,4312.8486,4461.7275,3784.8184,4448.334,4236.091,4268.546,4137.182
489500.0057220459,4298.4243,4268.031,4122.758,4449.8794,4280.9097,4564.2427,4343.2427,4313.879,4462.2427,3782.2424,4447.303,4238.667,4269.0605,4138.727
489507.63297080994,4298.4243,4268.031,4121.7275,4449.364,4280.9097,4569.394,4345.8184,4317.4854,4464.303,3783.2727,4446.7876,4237.636,4268.031,4138.727
489510.02049446106,4298.4243,4268.031,4121.7275,4448.8486,4280.9097,4570.4243,4345.303,4319.546,4465.3335,3780.6973,4444.727,4237.1216,4267.0,4137.6973
489514.7874355316,4298.9395,4268.031,4124.8184,4450.3945,4282.97,4571.4546,4344.273,4324.697,4464.819,3778.6367,4446.7876,4238.667,4269.0605,4139.758
489522.6855278015,4298.9395,4267.0,4124.8184,4451.94,4279.364,4571.97,4345.8184,4323.1514,4464.819,3778.6367,4444.727,4234.0303,4269.0605,4138.727
489530.6692123413,4297.909,4268.546,4124.8184,4452.9697,4270.0913,4568.879,4347.364,4316.9697,4463.788,3777.6064,4441.1216,4233.0,4267.0,4136.6665
489537.6133918762,4299.9697,4269.5757,4127.909,4453.485,4271.121,4569.9097,4347.879,4319.0303,4463.788,3774.5151,4444.2124,4242.273,4267.515,4139.758
489545.658826828,4302.546,4268.546,4128.9395,4452.9697,4279.364,4572.4854,4344.273,4320.061,4465.3335,3772.4546,4448.334,4243.818,4269.0605,4140.7876
489553.6229610443,4301.515,4269.0605,4127.909,4452.455,4280.9097,4569.9097,4339.121,4313.364,4462.7583,3772.4546,4447.303,4236.6064,4269.5757,4137.182
489575.6764411926,4300.485,4270.0913,4128.4243,4452.455,4281.4243,4570.4243,4338.091,4310.2725,4461.2124,3769.879,4446.7876,4235.5757,4267.515,4136.6665
489577.6264667511,4302.0303,4271.121,4132.031,4454.0005,4286.0605,4573.515,4342.2124,4314.909,4473.061,3769.3638,4449.364,4244.8486,4268.546,4140.7876
489578.6621570587,4303.061,4270.0913,4133.576,4455.0303,4286.0605,4573.515,4344.788,4316.9697,4479.758,3772.9697,4451.4243,4249.4854,4273.1816,4143.364
489585.6726169586,4302.0303,4268.546,4128.4243,4450.909,4282.97,4573.0,4344.788,4316.9697,4469.4546,3773.4849,4449.364,4241.2427,4273.1816,4141.303
