Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1148693,3093.088380422792,3095.462614661077,3091.2457605146333,3094.4657037640363,3104.2543411121,7194.159394163385,28427.36289889666,64070.84662286959,13793.456722554454,3076.1002580511067,3068.632354391202,31162.517315095018,41833.9588993711,3085.065987335033,45451.489640089225,3072.4607895544423
1148694,4285.150465013193,4287.1205526419035,4293.820027932083,4300.205579667005,4238.781535807138,-14692.297272859763,-63218.3812154219,63931.238078602844,-706.8335594593207,4297.21832432974,4305.017386215413,-72544.55865488583,-55602.44329106307,4317.68439326021,-50192.797881498,4302.6258639845
1148695,4908.414115018973,4909.482822377724,4919.8447810934795,4928.379278990275,4841.390619489818,-22063.2410450019,-95669.9060368549,64041.77083525385,-8562.458896298214,4933.371671624127,4943.900067641014,-105669.31005894831,-81955.13638757725,4956.400219604399,-74557.73268380993,4940.148834844604
1148696,4867.683869234805,4867.554776597399,4875.156299405278,4885.144732022954,4810.146638270426,-17867.939791071214,-78612.85148469765,64411.76171415211,-7593.663727085411,4891.820044005532,4896.995044767935,-83925.8908983194,-58107.592363205826,4912.126940053424,-50082.99371443933,4896.548353184356
1148697,4640.095595014065,4639.316710690432,4644.342364027945,4655.80007850326,4588.589366626651,-15436.7204956665,-66378.19910260093,64819.45172908943,-3087.404258087854,4663.661602940661,4668.11150825846,-73132.35245700378,-51614.02994062362,4685.072363371712,-44855.444407073286,4670.847161552161
1148698,4667.4620172277355,4667.013209830586,4672.697090401129,4684.979057002973,4609.336468761582,-18201.476042146664,-76423.3691583128,65117.28000576743,-1735.4279111923183,4694.605362378581,4703.758714572611,-88059.53862640922,-70006.86841228016,4720.388782366448,-64234.84033382683,4706.410830851792
1148699,4814.369233854904,4814.650918830359,4821.419258941212,4832.62519204519,4757.605746664465,-18113.362445315077,-77105.25265797353,65394.35531243941,-2987.8172599452537,4840.751010147538,4850.28536563612,-87133.81161543018,-66708.11158470532,4866.323409926533,-60181.81194993573,4851.600141312278
1148700,4765.8902687290565,4766.249831902325,4773.255035694558,4781.756381413536,4723.612184728949,-13227.684222611897,-57704.28220589251,65749.00629679809,-2077.15856171284,4785.9484476983,4790.524793084256,-62099.42297038279,-38890.585101864126,4806.78081227771,-31578.66885305403,4791.865652323146
1148701,4644.524560866266,4643.608312832775,4652.928260894663,4658.787621557407,4607.211048733596,-11872.769224428039,-50851.30228296143,66092.63346463075,665.5492653776241,4663.688227496633,4667.3998988427575,-56099.20023905124,-35216.878391192186,4683.151974638773,-28766.37066198488,4668.972914446498
1148702,4741.67173258874,4738.36313855181,4752.227746437358,4756.669408108172,4692.038769733159,-16399.018795783886,-68526.51885657778,66332.26294172092,983.8019063546734,4768.517093660397,4776.833981423295,-79715.59065979019,-61903.4177925066,4790.768924372096,-56565.28410757638,4777.276511477754
