Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
977707,-2909.5309653456998,-2910.148905155858,-2909.4562298333053,-2910.443965928999,-2910.4609311951194,-2912.1900808219098,-2908.4228111631382,1196.3269864605554,3838.4509892626934,-2891.475629469704,-2804.887058678779,43751.1455359343,120209.61375076028,-5448.922972811957,124076.31349165757,-2825.6015460885246
977708,-2446.1685871210584,-2448.403622805735,-2446.2665202101193,-2445.232042824407,-2447.9728007683593,-2447.2250888638614,-2446.789000449562,1479.3835897144631,-8674.269256456413,-2403.692407400904,-2236.669858491545,95127.66599896316,299275.05423854856,1327.1301306305375,319264.69239069184,-2274.5488397792155
977709,-2521.7186477954365,-2525.2181107524857,-2522.667735953194,-2519.7113239051373,-2524.585084837362,-2522.43800610916,-2523.628168239142,1769.9558705522652,-10183.804547569816,-2461.8086907266124,-2226.9360528364377,135909.2993851492,417695.91844771756,3002.3604671981375,445212.4306852785,-2287.2228037471987
977710,-2739.082007739975,-2743.2079366057096,-2741.708743700848,-2737.2410315456036,-2743.3771873920705,-2741.370196086901,-2742.6862440368395,1931.2929089491167,-5790.6889544976,-2678.593869347891,-2430.349245047202,142423.11329107566,425506.7254198757,1319.5222062837902,451631.4483928434,-2498.901889391457
977711,-2530.3837594996935,-2534.4651887602413,-2534.7306382817787,-2529.9318187093922,-2536.134179209069,-2534.871469887269,-2536.583001723311,1913.614988094955,-6412.008900053038,-2481.0423451451356,-2272.6565980304686,118675.64863540902,363228.951772992,1173.7706268992072,386334.8026971734,-2325.383451832232
977712,-2187.734054520253,-2191.4784693683623,-2192.9337384731216,-2189.5518911199583,-2194.2750424169035,-2193.231909751188,-2196.1866584830864,1896.9263726947015,-10514.766080314705,-2142.9263407701133,-1959.735251193584,104884.49804166603,335551.16941587144,2732.56148755275,359018.608004145,-1997.9562041928073
977713,-2280.401860900137,-2283.941206940951,-2285.495885873882,-2284.5839289688574,-2286.800398097339,-2285.609965448705,-2289.262567403116,2009.6629926315698,-9179.778904880714,-2229.69882966402,-2023.7375745765141,117770.92160438879,365343.0653600731,2431.4308338974556,389803.51273984986,-2070.289203161263
977714,-2563.053800781343,-2566.5127683266146,-2567.6788917985014,-2568.6827721961677,-2568.85593024565,-2567.720335017656,-2570.6525036699195,2118.162986929083,-3987.8695403368874,-2510.7773243463926,-2284.886624609133,126869.33278946334,376052.37676515104,365.21318178066923,398784.3742586875,-2344.3471584286544
977715,-2420.510593743726,-2423.895660981464,-2424.901811141535,-2426.3953645917763,-2426.1882352120856,-2424.866715865143,-2426.604046616817,2082.3122479215735,-4376.447978225261,-2376.992763200238,-2172.1850193809696,112760.06884732537,339667.0725812012,308.1343121919516,360693.44166235125,-2225.49701713166
977716,-2019.5399438888687,-2023.2828449916228,-2024.0406842259636,-2025.1397863480029,-2026.0748511214442,-2023.7880216740189,-2024.9053883629442,2009.3837607272849,-9682.499005471953,-1983.7262681957056,-1799.7080036856614,101183.93100463435,322247.23935448454,2492.7883196657267,344770.9275428771,-1841.0483600418415
