Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
342248.8098144531,4267.0,4237.1216,4142.848,4416.909,4265.97,4562.182,4377.758,4315.94,4498.8184,3760.606,4438.031,4238.152,4280.9097,4142.848
342252.7639865875,4269.5757,4237.1216,4144.3945,4417.9395,4263.9097,4563.2124,4376.727,4315.425,4497.788,3764.7275,4439.576,4239.182,4283.485,4143.364
342260.83040237427,4267.0,4236.091,4142.848,4413.8184,4255.152,4559.6064,4374.1514,4316.4546,4501.9097,3761.6362,4441.1216,4238.667,4280.9097,4144.909
342268.77641677856,4265.97,4237.1216,4141.8184,4413.8184,4253.6064,4559.0913,4377.758,4322.636,4508.606,3762.1519,4446.7876,4237.636,4284.515,4145.94
342275.8331298828,4268.031,4236.091,4141.8184,4415.364,4255.667,4562.182,4379.8184,4325.212,4503.97,3765.7578,4447.303,4237.636,4284.515,4145.4243
342283.83684158325,4266.485,4235.5757,4142.848,4413.8184,4255.152,4562.182,4377.758,4320.5757,4495.2124,3765.2427,4444.2124,4237.636,4281.9395,4144.3945
342296.8759536743,4266.485,4237.636,4144.3945,4416.394,4255.152,4560.121,4376.727,4316.9697,4494.6973,3762.1519,4443.6973,4238.152,4282.4546,4144.909
342299.84283447266,4267.515,4237.1216,4144.3945,4415.879,4254.121,4560.636,4376.212,4316.9697,4496.758,3758.5454,4442.152,4238.667,4279.364,4144.3945
342309.3829154968,4260.818,4232.485,4137.6973,4410.2124,4251.031,4557.546,4371.061,4314.909,4491.6064,3751.3335,4432.364,4233.515,4270.6064,4139.758
342315.90366363525,4252.0605,4231.9697,4126.364,4406.6064,4250.515,4553.9395,4364.364,4311.8184,4484.909,3750.3032,4423.6064,4222.6973,4264.4243,4131.5156
342327.87680625916,4251.031,4233.0,4126.364,4408.152,4253.0913,4556.515,4364.879,4310.788,4484.909,3752.8792,4425.152,4218.0605,4265.97,4126.364
342331.83455467224,4257.7275,4231.9697,4135.6367,4408.667,4254.121,4560.636,4370.0303,4314.3936,4492.6367,3748.2424,4429.273,4225.273,4267.0,4132.5454
342340.04855155945,4263.394,4233.0,4141.303,4409.182,4253.6064,4561.152,4374.6665,4315.94,4496.758,3747.2122,4430.8184,4234.0303,4269.0605,4141.8184
342347.80168533325,4265.97,4236.6064,4139.758,4414.3335,4253.6064,4560.636,4377.758,4315.94,4494.6973,3755.97,4434.94,4236.6064,4275.242,4142.848
342354.83598709106,4265.97,4236.6064,4138.727,4416.909,4254.121,4558.0605,4372.606,4314.3936,4494.6973,3758.0305,4437.5156,4236.091,4275.242,4140.273
342362.87569999695,4265.97,4235.5757,4141.8184,4416.909,4253.6064,4556.0,4365.394,4311.303,4494.6973,3752.8792,4432.879,4235.5757,4268.031,4140.7876
342370.858669281,4267.515,4236.6064,4145.94,4418.9697,4254.121,4558.0605,4366.4243,4310.788,4494.6973,3754.4243,4431.8486,4238.152,4268.546,4144.3945
342378.86333465576,4268.546,4235.0605,4145.94,4417.4243,4253.6064,4558.5757,4366.4243,4311.303,4494.6973,3755.97,4438.031,4244.3335,4276.273,4143.879
342387.7155780792,4269.0605,4232.485,4143.879,4412.273,4252.0605,4553.9395,4361.7876,4309.758,4493.152,3753.9094,4440.0913,4248.9697,4277.8184,4142.848
342398.8687992096,4269.5757,4233.515,4145.4243,4414.8486,4252.5757,4555.4854,4367.4546,4312.8486,4496.758,3756.4849,4442.152,4252.0605,4279.879,4152.6367
342402.809381485,4270.0913,4235.0605,4145.4243,4416.394,4253.0913,4555.4854,4372.606,4317.4854,4498.3027,3758.5454,4447.303,4250.0,4284.0,4158.303
342410.81833839417,4269.0605,4229.394,4141.303,4406.6064,4250.515,4547.2427,4363.3335,4309.758,4490.0605,3754.9397,4441.1216,4241.2427,4275.758,4146.455
342418.84183883667,4265.4546,4225.273,4140.273,4400.9395,4247.9395,4542.6064,4352.515,4302.0303,4482.8486,3750.3032,4428.758,4234.0303,4263.394,4137.182
342425.856590271,4262.364,4228.879,4141.303,4405.5757,4250.0,4544.667,4353.0303,4305.6367,4483.879,3752.8792,4430.8184,4234.0303,4268.546,4140.273
342433.8450431824,4262.879,4234.0303,4140.273,4410.7275,4251.031,4545.182,4356.1216,4309.2427,4490.576,3757.0002,4437.5156,4235.5757,4275.758,4141.303
342441.841840744,4263.9097,4234.0303,4139.758,4412.273,4251.031,4549.303,4354.5757,4309.2427,4492.6367,3753.394,4433.9097,4234.0303,4270.0913,4137.6973
342454.93054389954,4264.4243,4236.091,4142.3335,4415.879,4257.7275,4557.546,4354.0605,4311.8184,4495.7275,3755.97,4437.5156,4236.6064,4273.1816,4140.273
342459.5465660095,4267.515,4239.697,4144.3945,4421.031,4266.485,4560.636,4363.848,4317.4854,4506.5454,3768.8486,4448.8486,4240.2124,4285.031,4145.94
342465.81196784973,4269.5757,4239.697,4144.3945,4420.515,4267.515,4559.0913,4370.0303,4321.6064,4513.2427,3774.5151,4448.8486,4242.788,4285.5454,4145.4243
342474.2343425751,4268.031,4241.2427,4146.9697,4417.9395,4264.9395,4559.6064,4365.9087,4319.0303,4508.0913,3768.3335,4444.727,4246.909,4282.97,4145.4243
342481.8580150604,4273.1816,4248.4546,4150.576,4421.031,4268.031,4560.121,4366.4243,4315.94,4506.5454,3767.3032,4448.334,4249.4854,4285.031,4154.182
342490.43798446655,4276.788,4248.4546,4145.4243,4421.546,4268.546,4559.6064,4371.576,4318.515,4510.6665,3770.394,4448.334,4246.909,4284.515,4155.212
342501.9648075104,4270.6064,4239.697,4140.273,4415.364,4257.7275,4558.0605,4373.1216,4316.9697,4500.364,3764.7275,4445.2427,4244.3335,4282.4546,4149.0303
342504.919052124,4272.667,4239.182,4148.5156,4416.394,4255.667,4556.0,4371.576,4312.8486,4496.242,3763.6973,4448.334,4248.9697,4285.031,4152.1216
342512.89772987366,4282.97,4247.9395,4157.273,4422.576,4264.4243,4555.4854,4365.394,4313.879,4506.031,3769.3638,4450.909,4252.5757,4285.031,4157.273
342520.9264755249,4285.031,4250.515,4156.2427,4424.1216,4268.546,4556.515,4361.7876,4314.909,4509.121,3771.4243,4454.0005,4252.0605,4288.121,4155.727
342528.85913848877,4283.485,4251.546,4157.788,4423.6064,4267.515,4559.6064,4369.5156,4314.3936,4507.576,3769.3638,4458.6367,4255.152,4294.303,4157.788
342536.8232727051,4283.485,4252.0605,4157.788,4422.576,4270.0913,4563.7275,4374.1514,4319.546,4506.5454,3769.879,4456.576,4255.667,4293.273,4157.273
342544.8520183563,4274.7275,4243.818,4150.061,4415.364,4267.515,4563.7275,4364.879,4321.091,4504.485,3763.6973,4441.6367,4242.788,4278.849,4147.485
342557.4953556061,4263.394,4234.0303,4144.909,4403.0,4256.1816,4559.6064,4359.727,4318.0005,4503.455,3753.394,4427.2124,4228.364,4266.485,4137.182
342560.8732700348,4265.4546,4232.485,4151.606,4400.9395,4248.9697,4555.4854,4360.758,4326.7573,4510.6665,3760.606,4436.485,4233.0,4275.242,4140.7876
342568.8991546631,4278.849,4237.636,4163.9697,4412.273,4255.152,4556.0,4362.8184,4338.6064,4520.9697,3776.5762,4455.0303,4248.4546,4292.758,4155.212
342575.90103149414,4282.97,4243.818,4171.182,4419.485,4263.394,4558.0605,4363.848,4333.4546,4519.9395,3777.091,4456.061,4253.6064,4293.273,4159.3335
342583.88590812683,4271.121,4242.273,4163.9697,4417.4243,4259.273,4553.9395,4361.7876,4319.546,4504.485,3765.7578,4446.7876,4245.879,4283.485,4150.576
342591.8617248535,4264.4243,4235.0605,4158.819,4411.758,4252.0605,4547.2427,4360.2427,4312.333,4492.121,3759.0608,4445.758,4239.182,4280.9097,4145.4243
342604.93421554565,4270.0913,4235.5757,4165.0005,4409.6973,4254.121,4544.667,4361.273,4312.8486,4493.152,3760.091,4447.819,4238.667,4281.4243,4146.9697
342608.3025932312,4271.636,4239.182,4163.9697,4411.758,4256.697,4546.2124,4362.303,4314.3936,4494.6973,3761.6362,4446.7876,4239.697,4283.485,4144.3945
342615.8378124237,4267.515,4236.091,4156.2427,4410.2124,4253.0913,4545.182,4360.758,4307.182,4492.6367,3759.0608,4442.152,4237.636,4280.394,4140.7876
342624.1669654846,4268.031,4235.0605,4156.2427,4408.667,4251.546,4544.152,4360.2427,4297.394,4492.6367,3751.3335,4433.9097,4234.0303,4272.667,4141.303
342631.8109035492,4270.0913,4237.636,4157.788,4412.273,4255.152,4546.2124,4362.303,4305.6367,4494.6973,3756.4849,4433.9097,4235.0605,4274.7275,4143.364
342640.14768600464,4269.0605,4236.6064,4156.758,4412.273,4255.152,4546.7275,4363.3335,4316.9697,4496.758,3771.4243,4441.1216,4236.091,4282.97,4143.879
342646.88301086426,4266.485,4235.5757,4154.182,4408.152,4253.0913,4545.182,4359.727,4308.212,4496.242,3768.8486,4441.6367,4234.0303,4280.9097,4141.8184
342659.8708629608,4265.4546,4235.0605,4149.5454,4408.667,4251.031,4544.667,4355.0913,4297.394,4494.1816,3755.4546,4435.455,4234.0303,4273.1816,4139.2427
342664.38126564026,4263.9097,4235.0605,4150.576,4410.2124,4250.0,4543.636,4353.0303,4297.394,4493.152,3753.394,4431.8486,4231.9697,4269.5757,4138.727
