Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1883767.5468921661,4254.636,4234.0303,4151.091,4423.0913,4264.9395,4556.515,4415.364,4310.2725,4496.758,3759.5757,4442.6665,4236.6064,4273.697,4151.606
1883775.4521369934,4254.636,4234.5454,4156.2427,4421.031,4266.485,4554.97,4414.3335,4309.758,4495.7275,3764.7275,4447.819,4239.697,4282.97,4154.6973
1883783.5099697113,4255.152,4233.515,4155.212,4424.6367,4268.031,4556.515,4415.364,4311.8184,4495.2124,3763.1821,4446.273,4239.697,4282.4546,4153.6665
1883791.5179729462,4254.636,4233.515,4149.5454,4424.1216,4265.4546,4557.546,4414.8486,4313.879,4497.788,3761.1213,4445.758,4237.1216,4278.3335,4153.1514
1883799.4964122772,4253.6064,4231.9697,4145.4243,4418.9697,4264.9395,4556.0,4413.303,4313.364,4499.849,3765.2427,4447.819,4235.5757,4279.364,4149.5454
1883807.535648346,4259.788,4232.485,4149.0303,4424.6367,4270.0913,4557.546,4414.8486,4314.3936,4498.8184,3770.9092,4449.364,4238.152,4284.0,4148.5156
1883816.0195350647,4261.3335,4236.091,4155.727,4431.3335,4271.121,4560.636,4416.909,4314.3936,4496.242,3766.273,4447.819,4238.152,4283.485,4149.0303
1883823.5511779785,4254.121,4235.5757,4155.212,4427.2124,4267.515,4559.0913,4415.879,4312.8486,4495.2124,3762.667,4446.273,4235.0605,4279.364,4148.0005
1883835.5638980865,4258.7573,4234.0303,4154.182,4425.667,4271.121,4558.0605,4414.8486,4313.364,4498.3027,3769.3638,4449.8794,4240.7275,4280.9097,4153.1514
1883838.505744934,4267.515,4236.6064,4156.758,4431.8486,4265.4546,4560.636,4415.364,4312.8486,4498.3027,3772.9697,4452.9697,4245.879,4284.0,4157.788
1883846.7497825623,4260.303,4237.636,4155.212,4432.879,4238.667,4561.152,4415.879,4310.788,4494.1816,3767.8184,4449.8794,4240.2124,4281.4243,4150.061
1883854.5317649841,4258.2427,4236.091,4154.182,4430.8184,4218.0605,4562.182,4415.879,4311.8184,4495.2124,3766.788,4448.334,4238.667,4281.9395,4147.485
1883865.2637004852,4265.97,4236.091,4154.6973,4431.3335,4216.5156,4561.667,4414.3335,4315.425,4498.8184,3769.879,4449.8794,4246.909,4285.5454,4154.6973
1883870.5945014954,4264.4243,4236.6064,4155.212,4431.8486,4210.334,4559.6064,4411.2427,4315.425,4497.788,3771.9395,4450.909,4250.0,4284.515,4155.727
1883878.5693645477,4262.879,4236.6064,4155.212,4430.8184,4201.0605,4560.121,4409.6973,4316.9697,4498.3027,3772.9697,4450.909,4246.909,4284.0,4154.6973
1883886.5728378296,4266.485,4236.091,4154.182,4430.303,4204.152,4561.667,4409.182,4317.4854,4500.364,3770.9092,4451.4243,4249.4854,4285.031,4155.212
1883894.5910930634,4263.9097,4236.091,4154.6973,4431.8486,4211.879,4559.6064,4411.758,4313.879,4499.3335,3770.9092,4452.9697,4251.031,4284.515,4154.182
1883902.6834964752,4261.8486,4236.6064,4156.2427,4433.9097,4216.5156,4559.0913,4417.4243,4312.8486,4497.788,3771.4243,4452.455,4245.364,4284.0,4155.212
1883909.6083641052,4261.3335,4236.6064,4153.6665,4431.3335,4216.5156,4560.636,4418.4546,4312.333,4496.758,3768.3335,4448.334,4236.6064,4282.4546,4153.1514
1883917.6132678986,4262.879,4236.091,4152.1216,4429.273,4216.0,4560.636,4414.8486,4312.8486,4496.758,3768.8486,4445.758,4234.5454,4279.364,4148.0005
1883925.622701645,4265.97,4237.636,4155.727,4433.394,4220.121,4562.182,4416.394,4314.909,4496.758,3771.9395,4448.8486,4239.182,4282.97,4148.0005
1883934.5378875732,4258.7573,4237.636,4152.1216,4433.9097,4217.5454,4562.182,4416.394,4307.6973,4494.1816,3765.7578,4447.303,4238.152,4282.4546,4145.4243
1883941.5874481201,4250.0,4235.0605,4146.455,4428.758,4207.758,4560.121,4411.2427,4298.9395,4490.0605,3758.5454,4443.182,4233.515,4271.121,4139.2427
1883949.5413303375,4257.2124,4235.5757,4152.1216,4430.303,4212.909,4560.121,4412.788,4305.1216,4492.121,3760.606,4445.2427,4235.5757,4272.152,4140.7876
1883961.585521698,4262.879,4236.6064,4158.303,4433.394,4218.0605,4560.121,4416.909,4312.333,4495.2124,3763.6973,4447.819,4240.2124,4284.0,4146.455
1883965.4688835144,4261.3335,4234.5454,4155.212,4427.7275,4208.7876,4559.6064,4415.879,4309.2427,4494.1816,3762.667,4447.303,4240.2124,4282.97,4147.485
1883973.4983444214,4262.364,4234.5454,4154.182,4423.0913,4204.6665,4560.121,4414.8486,4307.6973,4494.6973,3766.273,4446.273,4238.667,4278.3335,4148.5156
1883981.5325737,4260.303,4236.6064,4157.273,4424.6367,4211.879,4560.636,4414.3335,4313.879,4496.242,3770.394,4449.364,4240.2124,4282.4546,4148.5156
1883988.5351657867,4252.5757,4233.515,4154.6973,4423.6064,4209.8184,4559.6064,4413.303,4314.909,4495.7275,3770.394,4448.334,4240.2124,4283.485,4145.4243
1883997.0755577087,4251.031,4232.485,4152.1216,4421.546,4204.6665,4560.121,4414.8486,4312.8486,4500.364,3773.4849,4446.7876,4238.152,4280.394,4146.9697
1884004.5263767242,4259.788,4236.6064,4155.727,4428.2427,4212.909,4562.182,4417.9395,4318.515,4511.6973,3780.6973,4455.5454,4243.818,4286.5757,4153.6665
1884012.845993042,4266.485,4238.667,4158.819,4433.9097,4220.121,4562.182,4418.4546,4324.182,4511.6973,3779.667,4463.273,4251.031,4290.182,4157.788
1884020.5051898956,4264.9395,4236.6064,4157.788,4431.3335,4219.091,4563.2124,4418.9697,4319.546,4501.9097,3772.4546,4458.1216,4248.9697,4286.0605,4154.6973
1884028.4852981567,4262.364,4238.152,4157.788,4431.8486,4217.5454,4570.4243,4420.0,4315.94,4502.9395,3772.4546,4454.5156,4246.909,4284.0,4153.6665
1884050.5096912384,4263.394,4239.182,4158.819,4434.94,4218.576,4574.031,4420.515,4318.0005,4506.5454,3776.5762,4457.091,4249.4854,4285.5454,4155.212
1884051.4707565308,4265.4546,4236.6064,4157.788,4433.394,4218.0605,4568.879,4418.9697,4316.9697,4502.9395,3775.546,4453.485,4247.4243,4284.515,4154.6973
1884053.2715320587,4265.97,4237.1216,4159.3335,4430.303,4217.5454,4570.4243,4418.9697,4316.9697,4505.0,3776.0608,4447.819,4246.394,4282.97,4155.212
1884059.5266819,4267.515,4239.182,4160.8794,4430.8184,4218.576,4574.546,4420.0,4321.6064,4509.6367,3777.6064,4449.364,4248.9697,4284.0,4155.727
1884067.5172805786,4268.031,4238.152,4157.788,4431.3335,4218.576,4567.3335,4415.879,4324.697,4505.5156,3773.4849,4450.909,4244.3335,4284.0,4155.212
1884075.5107402802,4264.9395,4236.091,4156.2427,4429.273,4218.576,4559.0913,4406.6064,4322.1216,4500.879,3770.394,4449.364,4237.636,4283.485,4154.182
1884083.5418701172,4257.2124,4236.091,4154.6973,4430.8184,4218.0605,4563.2124,4401.4546,4318.0005,4502.4243,3771.4243,4446.7876,4236.6064,4282.97,4151.606
1884091.5791988373,4249.4854,4235.0605,4149.0303,4430.8184,4217.0303,4573.0,4405.5757,4321.6064,4505.5156,3772.4546,4447.303,4235.5757,4281.4243,4151.091
1884099.7762680054,4252.0605,4234.5454,4149.0303,4426.6973,4217.5454,4575.5757,4410.2124,4329.3335,4510.152,3774.0,4446.273,4233.0,4279.364,4152.6367
1884107.5599193573,4262.879,4234.5454,4155.212,4426.182,4217.0303,4567.849,4408.152,4331.394,4512.2124,3778.1213,4448.334,4239.182,4282.97,4155.727
