Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1111881,-862.2403809088211,-861.6559952813153,-864.1560391357958,-866.3256147728679,-852.1021392468675,-812.3641740993523,76636.49122687335,-732.7678575266135,3964.4259425914415,-883.5490693324122,-905.7024931319095,99986.51375895721,103441.26659990929,-904.4783995489278,104671.39786522297,-899.8916539855642
1111882,-1000.5997313063219,-998.3401666760489,-1007.9893662402319,-1011.9231289079318,-975.9972778220641,-864.4163251859538,190864.93876032787,-439.71574039138835,1651.1383663685683,-1037.8700818916293,-1101.07738482471,259710.00214039357,287890.26078561135,-1087.4093280694801,295718.80648845877,-1083.5468151264395
1111883,-1325.4907354279915,-1322.0892530484489,-1336.0813511273336,-1341.8050882465816,-1292.4725286950465,-1135.8312183928408,265493.54436909914,-174.37785802079617,4233.474937656369,-1372.3538565956105,-1459.0337810022618,358889.2454752482,396802.45169070584,-1438.4617186284845,407279.36802348297,-1433.4146173051427
1111884,-1509.8805998009225,-1505.7796728920416,-1519.9871474539166,-1527.0861454787605,-1477.2385340918113,-1318.7057537832452,269412.4367680996,-65.77404738533238,7080.571406973215,-1555.040460791909,-1640.0789596803902,360618.1205396191,394720.362955932,-1620.169597673102,404233.8260458638,-1613.6711978129895
1111885,-1307.6388237538379,-1303.0037552875756,-1315.4717686542294,-1322.88500758451,-1279.0970327112077,-1143.2425033806294,229791.71817022742,-121.64132671439693,4761.210027576977,-1345.691483254705,-1417.558013629083,309012.15988129645,339279.8263470713,-1401.6092613491069,347790.45223121945,-1395.7803186755996
1111886,-1091.0792340622852,-1086.3066166236508,-1098.1815575528822,-1105.2446938031283,-1062.80342209736,-937.0465032837549,212915.78399779255,-140.43195839145693,1397.9350358274846,-1130.1203279081317,-1197.9090025840865,289910.7589604888,322240.5386912596,-1183.230230887963,331334.91758969636,-1179.3692150752136
1111887,-1230.1024054792633,-1225.912393636523,-1238.0129294666972,-1245.2806067544375,-1198.7889034032783,-1064.8396151631268,231784.70338069607,-15.428382754799166,3108.9358258468737,-1282.05962537788,-1355.4002714865217,313541.20327424305,346748.96492296667,-1339.4244093940465,356132.8009810711,-1336.5479728031469
1111888,-1436.0640038611655,-1432.793620363574,-1443.7823601626496,-1451.76744130202,-1404.8976508736798,-1269.9342643188347,237674.47310685358,103.04214489956608,6563.426988170655,-1502.1449656954733,-1575.72242073712,317246.662472503,346268.23308135965,-1560.195725929,354526.09195563046,-1557.5083365622036
1111889,-1309.4989277116701,-1306.711758483666,-1315.7247444763668,-1323.6165316506604,-1282.103149110728,-1159.2567797597349,214288.8957267363,98.151447340535,5150.143321448435,-1380.7894753834844,-1447.5663412634278,286938.21314282937,313918.9641317645,-1433.9554434796728,321524.86406268505,-1432.567769637315
1111890,-1081.7858143601197,-1078.9632993316154,-1087.3433120838677,-1094.0814365318506,-1055.6406759863994,-935.8776659125691,203883.842438299,96.97935781659191,1320.0959389417148,-1150.0531101897043,-1215.8267496519993,277503.46228847775,308597.44690401433,-1201.334468705128,317190.3109937026,-1201.779048155357
1111891,-1173.9070876326346,-1171.1359352208942,-1180.1190655147648,-1185.8632542820783,-1145.270048318696,-1014.9721444182759,222818.97020495252,218.89584804423535,2020.0796927707388,-1234.1997704953624,-1306.0302416483737,302648.44924221793,336237.6731347593,-1288.3721685619012,345458.83754093945,-1288.438132791876
