Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1550835,-2223.124648160022,-2225.1412564547054,18727.390127506806,-2233.1078613761038,-2229.5333878835113,32006.837462912594,37389.18405634027,-32880.25156324613,782.1151627075693,-2224.6269673418656,-2230.888774660319,38499.318455853645,37449.729690941276,-2229.8400038565396,37354.56938527959,-2227.2708181731027
1550836,-2766.2696136368904,-2770.6004101922786,40248.22093746535,-2783.2190010973045,-2788.577108062767,108953.46961166327,128401.19424385381,-35379.91069172189,2858.304180406476,-2760.3889818419552,-2782.3279062456486,128745.39739690963,132211.980409579,-2777.740376702496,135486.1985387437,-2773.713925410349
1550837,-3153.8057789318264,-3160.3743564507745,55557.59027869022,-3176.421914128039,-3185.076536474627,150155.574916396,176522.7664895669,-37577.76539087223,5471.21454694944,-3140.8475803612146,-3171.297446931885,176682.73357420953,181396.01133525846,-3163.561965057408,185641.99377926457,-3159.5333938794897
1550838,-3178.0433400024976,-3186.111044659495,57158.146013993595,-3202.1521478733403,-3209.23320920041,146263.29784311523,171484.38795094096,-38091.32074153728,6468.355231110596,-3157.8561281591346,-3188.6232173831363,171784.88336397143,175481.97015825074,-3178.7186725894226,178923.2617210472,-3176.3584828775674
1550839,-2923.97031753934,-2932.387743678173,48665.275513916946,-2945.710145892868,-2951.050090351311,126351.13689292781,148397.22009794976,-36877.413568138596,4843.707142267762,-2896.6098024862986,-2925.7232648386644,148630.22593528044,152163.9249265315,-2914.2326578274606,155266.2811723855,-2914.308648848556
1550840,-2774.929764670611,-2783.1863494701593,44285.71534096981,-2795.3997187844325,-2800.3476826728693,123065.76467401945,145045.84265088616,-36101.875302609675,3428.8837491240365,-2742.2806726868102,-2772.8588114670156,145097.13647383114,149603.9632566279,-2759.639293876352,153217.50262851303,-2761.9730939680567
1550841,-2861.6886978301927,-2869.812125104141,48474.478117590304,-2884.4425920042277,-2887.8966671305348,131205.15037263534,154323.24468239583,-36779.308852876115,4406.747019151322,-2825.9104866263797,-2858.3871455375784,154485.3888824167,158923.5996566942,-2843.8972260918936,162462.49950934455,-2847.8517912816114
1550842,-2902.1791624739244,-2909.72491560638,50706.23450234783,-2926.9319106586645,-2927.4451853420073,127471.78021917153,149338.36565533292,-37105.042598184824,5627.8382810907515,-2862.640533934208,-2893.7213815760683,149759.61811326625,152987.95396107045,-2879.0781127977234,155709.6762794039,-2883.9818562073624
1550843,-2745.2395819064436,-2751.486858703668,45719.58603553168,-2768.369357163387,-2768.0139585345237,116031.87997355389,136072.5416739136,-35756.37249854962,4698.2049593232605,-2700.336736026628,-2729.806807429637,136422.50068046123,139551.58590497955,-2715.0395033139534,142220.78102885527,-2720.502037726562
1550844,-2630.6855795290203,-2635.835183266953,42493.12362229543,-2651.209111156927,-2653.637449317701,118010.5646095519,139001.04304289847,-34199.4929776603,3348.338474575475,-2582.303252832216,-2613.994690814531,139040.0048875087,143426.46344420692,-2598.17437680271,147041.5683677877,-2603.8379207208
1550845,-2711.782139915328,-2717.142105016671,46374.94453523125,-2732.114272171307,-2737.765236370673,128518.94050628068,151234.61428808531,-33863.54017171985,4066.9608913952484,-2664.4870308563513,-2699.1781591298713,151253.1075382291,155866.15545897555,-2682.7995478515722,159771.24985959707,-2687.7388570988933
1550846,-2760.898274777248,-2767.7006429918465,48767.56844286939,-2782.080968240911,-2788.4371401223593,124905.5433835073,146365.4353527313,-33552.25059642927,5413.134293927369,-2716.076947731978,-2749.779520239964,146653.0105685299,149892.40390870936,-2734.930293678073,152888.9675065808,-2738.030238210381
1550847,-2610.352011633322,-2618.6562684241694,43675.08018874003,-2631.10678152154,-2636.972568647532,110873.22339360855,129940.53550886891,-31862.613711839178,4773.658770268319,-2564.7877330048595,-2595.8776235680416,130256.02194601254,132961.72954047302,-2583.287923231012,135469.27943960432,-2584.3665042142293
1550848,-2479.155101164281,-2487.8731180572586,39307.97057875034,-2499.4540407128716,-2505.7942263232144,111043.70764388551,130863.39099264641,-29939.569203240764,3299.506383933842,-2431.1066038940785,-2463.0213780494714,130893.99545822931,134891.88084901616,-2450.977886645404,138162.92254115277,-2450.9112692072454
1550849,-2557.5362985097754,-2565.2293060195766,42488.763010943156,-2578.7184288449,-2585.6084151354626,124110.71752766085,146417.95523032884,-29356.244246259914,3715.1686699396682,-2510.0057622141,-2544.1456300486207,146374.15388292036,151129.65549804625,-2531.2688827912584,154933.2494733238,-2531.3041672613545
1550850,-2637.9809810963798,-2643.698265045282,45489.7940194682,-2659.0496381893536,-2665.365892575801,123539.18536412566,145285.31990376278,-29167.00083528856,5156.76557802957,-2594.0105837167725,-2625.894541598466,145520.92447371566,149071.60698753345,-2613.189254561938,152125.50553114928,-2614.514145303845
1550851,-2502.69736280243,-2506.4818585889607,40650.42236174701,-2520.6050751159164,-2526.8856245296074,107015.34736816163,125845.37961565031,-27749.79362222956,4789.990400121975,-2461.3903884656957,-2487.7931935455845,126203.71025524296,128704.5069782716,-2476.8319078840195,131058.31339705609,-2479.810597711007
1550852,-2342.247094237523,-2345.0122937373253,35341.55389165065,-2356.657946085101,-2364.8602430127485,102332.9198188817,120951.79985354528,-25964.087538101332,3170.676123970816,-2300.9692472372053,-2325.6434639270074,121049.88696689169,124437.41670427677,-2316.145330513175,127387.9773010399,-2319.6720852329818
1550853,-2404.3086173501347,-2407.2284034000522,38520.74148824358,-2418.5405227095325,-2428.410915921799,116560.41445220288,137780.03715408547,-25597.251564039143,3228.321272614926,-2361.756691612264,-2389.3431184083684,137698.17726718416,142129.56240357328,-2379.949342302695,145832.32082924235,-2382.3746227167658
1550854,-2520.4039804048825,-2524.222774829138,43668.70520218897,-2536.628902031296,-2545.1013084883616,122140.99212387801,143604.8655021741,-25979.569822664365,4748.2688863418225,-2475.845083200814,-2504.6529671709905,143708.97399330814,147352.43450088106,-2495.068543133416,150553.23792810238,-2495.5468310885335
1550855,-2407.8430278037877,-2412.353694929533,40496.78773548981,-2424.425910356144,-2429.7072221113112,106941.55836197952,125303.11189237378,-25205.057448409498,4748.138793070343,-2359.3093326291464,-2385.5533076874162,125559.39302751698,128049.4580003804,-2376.295519552083,130409.49947781127,-2374.9492279636797
1550856,-2198.265656461953,-2202.4394127676946,34116.97454216883,-2213.144128083221,-2217.064292180919,96567.50552769747,113544.28408448202,-23746.421425644414,3092.9142658342034,-2143.8119526838072,-2168.9868142139094,113606.69977243406,116704.81638594915,-2159.856034580368,119400.73945501147,-2157.382486867591
1550857,-2202.7498467337728,-2205.50939229532,35790.85983543801,-2216.3490883448194,-2221.2153185425086,107580.82497837818,126829.53903079047,-23638.169386744492,2801.2966597562445,-2142.5250895117733,-2170.202576549848,126695.36259419382,130995.82499035358,-2160.9261073307007,134513.70959246694,-2158.223042295013
1550858,-2337.78000923126,-2338.728445177281,42060.40874231643,-2350.7676779258654,-2356.52094112355,117602.83800001218,138209.89388087118,-24653.834409418545,4410.4977366918865,-2273.295068255339,-2301.6309509674875,138189.98345639472,142072.38422012463,-2293.477234298385,145317.39993988763,-2291.1711849787453
1550859,-2277.8451945239285,-2277.4165850506333,41016.674561109845,-2289.1603849185094,-2295.587498227255,106820.73603786883,125250.51739272167,-24612.619405378267,4945.2040028428055,-2210.7693261817567,-2235.1357068090147,125330.93025244818,128052.88612152044,-2229.6849900116767,130388.41758098622,-2228.0064014247564
1550860,-2056.247918496644,-2055.186138427971,34245.05221120003,-2065.7373107181693,-2074.4777760463803,93774.9959622836,110396.43688232439,-23323.677972447556,3466.2123331532543,-1989.0072562190935,-2010.121907123275,110225.9561705171,113302.4353364323,-2006.5227703519245,115665.68711408522,-2005.5423490171734
1550861,-2001.3571027861535,-2000.1719694651167,33809.274991884624,-2011.6986727277947,-2023.2524299774097,100219.66637155329,118344.97380442455,-22880.546217372124,2828.415730420661,-1937.6695362680089,-1960.1810268022411,117900.01750571703,122227.23571932917,-1955.7169420867283,125293.8733134644,-1955.3910759768864
1550862,-2128.918701389684,-2127.854234847545,39948.06882500948,-2142.1696574464804,-2153.5174857339134,111402.90874331488,130970.72561607117,-23752.7180572632,4330.340720537284,-2072.8434575502715,-2097.1850345873663,130647.80461058072,134834.04179220978,-2090.42422737933,137773.60475513438,-2090.6174381171677
1550863,-2117.9911943418974,-2117.2401392862503,40820.932590765326,-2132.266883709654,-2140.5710151568173,104681.42545665018,122493.84787964515,-23912.06285748355,5261.637592903546,-2071.478552666824,-2093.9987917759836,122426.85681720643,125443.11222402823,-2085.3968199242636,127592.70995679904,-2086.1909469312805
1550864,-1908.2226299517356,-1907.9303462676671,34453.395042701406,-1920.595878539305,-1927.1747656959776,91460.49715688496,107300.7931257684,-22593.032080299366,3954.3474039617995,-1869.0064039512752,-1889.4440935048785,107165.34852676946,110254.5001092549,-1879.246244611745,112461.47725568661,-1881.026345709888
1550865,-1805.698052559065,-1805.791383041409,32032.287746383336,-1816.5829207073202,-1824.2150670518074,94565.69373486107,111571.45128104008,-21690.520777834266,2900.6149649398294,-1769.2207389213052,-1791.1907922348685,111229.58764590057,115458.41117350207,-1779.0473859763076,118500.0153512791,-1781.9081462789222
