Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
289580.06143569946,4424.6367,4252.0605,4203.6367,4442.6665,4171.182,4575.0605,4335.0,4333.9697,4313.879,3771.4243,4449.364,4259.788,4316.9697,4160.8794
289587.49175071716,4423.6064,4252.0605,4204.6665,4440.0913,4170.1514,4574.031,4329.8486,4331.394,4308.212,3772.9697,4450.3945,4267.515,4322.1216,4159.3335
289595.6506729126,4417.4243,4246.909,4194.3633,4438.031,4169.1216,4564.2427,4327.788,4321.6064,4297.909,3763.6973,4443.182,4259.273,4311.303,4155.212
289603.4474372864,4414.8486,4238.667,4187.152,4437.5156,4169.636,4559.0913,4327.2725,4310.788,4294.8184,3754.4243,4435.455,4247.9395,4299.9697,4151.091
289611.4778518677,4414.3335,4238.152,4187.152,4437.0005,4170.667,4562.182,4326.7573,4312.8486,4296.364,3750.8186,4431.3335,4247.9395,4299.9697,4144.3945
289619.49038505554,4410.7275,4241.7573,4188.1816,4438.031,4172.2124,4563.7275,4324.697,4313.364,4297.394,3749.273,4431.8486,4249.4854,4299.4546,4140.7876
289626.4729499817,4407.121,4240.2124,4187.667,4438.031,4171.182,4558.5757,4320.5757,4301.515,4295.3335,3745.6667,4431.8486,4241.7573,4293.788,4140.7876
289643.50748062134,4409.6973,4242.788,4187.667,4438.5454,4171.6973,4559.0913,4322.1216,4299.4546,4294.8184,3744.6365,4430.8184,4240.7275,4294.303,4141.303
289644.4549560547,4415.364,4249.4854,4189.2124,4439.576,4175.303,4567.3335,4327.788,4312.333,4303.576,3746.697,4432.879,4248.9697,4298.9395,4142.848
289658.5245132446,4420.0,4251.031,4190.758,4440.0913,4177.879,4568.879,4330.3643,4316.9697,4313.879,3747.2122,4434.4243,4249.4854,4299.4546,4145.94
289659.6028804779,4415.879,4247.9395,4191.788,4439.576,4175.8184,4562.182,4329.8486,4308.7275,4313.879,3746.697,4434.4243,4245.879,4299.9697,4147.485
289666.5654182434,4409.182,4247.4243,4189.7275,4437.5156,4171.182,4558.5757,4326.2427,4304.091,4311.303,3745.1516,4432.879,4248.4546,4298.9395,4142.3335
289674.503326416,4409.6973,4248.9697,4189.2124,4440.606,4175.303,4560.636,4325.212,4309.758,4319.546,3744.1213,4434.94,4250.0,4297.394,4143.879
289682.5306415558,4416.394,4250.0,4192.8184,4446.7876,4184.576,4561.667,4329.8486,4315.425,4330.879,3750.3032,4442.6665,4248.4546,4302.546,4153.6665
289698.5535621643,4417.4243,4252.0605,4199.5156,4449.364,4188.6973,4566.8184,4332.9395,4316.4546,4332.9395,3754.9397,4447.303,4252.5757,4309.2427,4157.273
289699.4569301605,4414.8486,4251.546,4201.0605,4446.273,4185.6064,4569.394,4330.879,4311.303,4326.7573,3751.3335,4441.1216,4251.031,4305.6367,4152.6367
289705.5563926697,4412.788,4250.515,4193.3335,4445.758,4185.6064,4563.2124,4329.8486,4304.091,4323.1514,3745.1516,4434.4243,4247.9395,4300.485,4147.485
289718.5273170471,4405.5757,4248.9697,4187.667,4447.819,4184.0605,4560.121,4328.8184,4297.909,4325.7275,3740.5154,4435.97,4247.9395,4301.515,4143.879
289736.49525642395,4399.909,4246.394,4187.152,4447.819,4177.364,4561.152,4326.2427,4297.394,4328.8184,3736.9094,4433.9097,4241.7573,4300.485,4140.7876
289738.4645938873,4404.546,4245.879,4187.667,4445.758,4177.879,4561.667,4327.788,4302.0303,4335.0,3737.4246,4430.303,4239.697,4296.879,4138.727
289739.44759368896,4410.7275,4248.4546,4192.3027,4447.819,4185.6064,4560.636,4330.3643,4306.1514,4343.2427,3738.97,4438.031,4248.9697,4299.9697,4145.4243
289745.4707622528,4408.667,4250.515,4200.5454,4452.455,4187.152,4559.6064,4327.788,4306.667,4345.303,3738.97,4442.152,4252.5757,4303.061,4155.212
289761.56878471375,4407.6367,4251.031,4202.606,4453.485,4185.0913,4564.2427,4330.3643,4307.6973,4345.303,3739.485,4439.061,4251.546,4301.0,4152.1216
289763.7815475464,4409.6973,4250.0,4201.0605,4453.485,4186.6367,4573.0,4337.0605,4314.3936,4351.485,3742.0608,4442.6665,4254.636,4302.0303,4144.909
289769.4981098175,4408.152,4248.4546,4201.576,4452.455,4187.667,4574.546,4334.4854,4316.9697,4356.1216,3745.1516,4448.8486,4256.1816,4309.2427,4150.061
289777.7371406555,4410.2124,4250.0,4202.606,4452.9697,4186.6367,4573.515,4333.9697,4315.425,4356.6367,3747.7273,4449.364,4259.273,4313.364,4157.273
289784.4738960266,4413.303,4252.0605,4202.0913,4454.5156,4188.1816,4576.6064,4340.667,4316.4546,4354.5757,3747.7273,4448.8486,4265.97,4314.3936,4158.819
289792.4852371216,4414.3335,4251.031,4204.152,4451.94,4189.2124,4577.636,4339.121,4316.9697,4349.9395,3748.758,4451.4243,4269.0605,4316.4546,4160.364
289801.6083240509,4410.7275,4252.5757,4204.6665,4450.3945,4189.2124,4576.6064,4331.909,4316.4546,4345.8184,3746.182,4450.3945,4263.9097,4314.909,4158.819
289811.56945228577,4399.909,4250.0,4197.455,4447.303,4188.1816,4573.515,4330.3643,4310.2725,4338.6064,3737.4246,4442.152,4251.546,4302.0303,4147.485
289831.2439918518,4393.212,4239.182,4187.667,4441.1216,4186.6367,4565.273,4328.8184,4304.091,4330.879,3731.2427,4431.3335,4245.879,4293.788,4137.6973
289832.58748054504,4398.879,4237.1216,4187.152,4440.606,4184.576,4561.152,4329.3335,4304.091,4335.515,3732.273,4428.2427,4248.4546,4296.364,4143.879
289833.4114551544,4404.0303,4245.879,4195.909,4447.819,4184.0605,4562.182,4332.9395,4304.091,4345.8184,3736.3943,4435.97,4253.6064,4299.4546,4156.758
289841.73464775085,4401.4546,4247.9395,4202.606,4447.303,4185.0913,4564.2427,4330.3643,4304.6064,4348.909,3739.485,4443.182,4258.7573,4301.515,4154.6973
289849.2753505707,4398.3643,4247.4243,4202.606,4445.2427,4188.1816,4568.879,4330.3643,4312.8486,4354.0605,3741.0305,4446.273,4263.9097,4306.1514,4149.0303
289865.362405777,4400.425,4251.031,4202.0913,4449.8794,4192.3027,4574.546,4340.1514,4321.6064,4369.0005,3743.6062,4447.303,4262.879,4309.2427,4153.6665
289865.6566143036,4401.9697,4252.0605,4203.6367,4449.8794,4192.8184,4575.5757,4344.273,4323.667,4381.8794,3745.6667,4447.819,4259.788,4310.2725,4157.273
