Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1011262,-136.82990686107794,-136.86979828951317,-703.0906066008845,-700.9457035328243,-136.4649929277764,-139.09104736434375,-317.9376282115052,-2774.8883280743275,-1315.2742665680564,226.5892061346863,243.59723608167337,-55526.27321639619,-65996.14921131049,304.0604619269569,-69785.37797081318,238.68125058327908
1011263,-821.9072549604865,-822.0701558097944,-1316.8644426938488,-1315.0995437350923,-822.7483854730183,-826.1859617457078,-973.9986494169096,-2796.359619372124,6898.116458985957,-427.51614689961974,-402.6090755454783,-62284.11780228368,-91738.94982913294,-4684.083678075486,-100646.16950955479,-408.4369360131925
1011264,-1270.0577003364501,-1269.2832964581362,-1686.3397883903663,-1685.2601384969262,-1270.6752812818581,-1275.3607049082925,-1394.498914817092,-2946.5062438247305,7495.092819281786,-842.2618143561783,-808.2665619570388,-84247.14415200532,-124931.56932890703,-9579.92756127652,-136917.71668769084,-817.7083481210561
1011265,-1555.618968327073,-1553.0817836166102,-1908.2800984124508,-1908.5601523597506,-1554.8365417216921,-1560.1963180445373,-1659.6119444508445,-3160.0387986761484,1665.7993212584138,-1119.006566158917,-1081.4585518518238,-100649.07045261425,-141206.17999604024,-14123.685916549253,-153153.7436062323,-1094.710088328647
1011266,-1798.438511343611,-1794.4444742423257,-2107.528954360086,-2109.550279772027,-1796.488587170827,-1801.0137692696953,-1885.8818459092208,-3285.9402608662076,-2057.6294758862996,-1366.1283510347298,-1334.5426937311208,-91509.52716697837,-126479.7332168261,-16742.49668911473,-136819.92978774878,-1347.6074809781476
1011267,-1587.2790170670066,-1582.6331257651782,-1844.4489230760719,-1847.2008051704888,-1585.0126869419482,-1587.8930997534999,-1649.5027125372,-3321.9062607260175,3667.2675324398206,-1127.4988747478264,-1103.9260892846785,-73562.09706893432,-106798.98921090194,-12402.566547226928,-116644.58899222992,-1113.1129022049772
1011268,-166.25496009926988,-161.18444286371167,-319.62054465071253,-320.9421795572609,-163.81151566811153,-165.43821942504124,-180.2757892397089,-3345.6635334195516,21270.36563702774,375.773390640641,396.9729836378612,-64344.60265815121,-99953.06992077826,6107.452748336298,-110593.44127823057,392.3430998773594
1011269,2769.217829751809,2774.8802498363007,2789.4891905053346,2791.330840133346,2772.328370760875,2771.50332078968,2829.7604892976856,-3329.202321427515,51652.31781486162,3394.998071529291,3415.89881485543,-42929.8138413154,-78221.61869983199,42522.21618951352,-88915.65060960845,3416.7392406086888
1011270,6863.00325024289,6869.113964983817,7066.722315359144,7071.910927544129,6867.107007217865,6867.373396796981,6999.914243418289,-3250.2503445797283,94429.76446750454,7426.6864272309795,7443.03438308845,14261.144941239598,-17384.56160900038,93150.91474690243,-26955.673573277345,7452.714420397646
1011271,11683.069068443567,11689.435423180976,11877.475882550629,11885.1477246964,11688.132658721157,11690.37848352449,11827.342766291784,-3304.6600114197718,143180.93976983172,11829.02684952453,11839.257448870077,85997.9499115584,55227.35126670578,149517.8632491788,46304.44728173395,11860.055733862948
1011272,16923.0052138119,16929.84323073696,16565.44656456297,16575.209357830885,16928.783444104225,16934.10478601695,16891.423282916592,-3665.7031330084164,186619.9211974611,16188.153772688578,16196.078733481016,135942.25404059276,102559.19533391461,203534.7036441155,93446.34120448653,16225.832445712105
1011273,21879.923465447137,21887.535271410143,20170.51965153291,20182.842854961935,21886.158072740505,21895.315248101324,21409.300240048033,-3999.9049532641598,218078.1684505728,20057.471596565563,20064.06018641031,167590.81208300602,134198.59473428727,249533.3608246946,125628.89606660373,20098.711641612175
1011274,25555.028829570147,25563.461757932197,21905.66521056521,21920.643607136513,25561.6206693267,25574.446049399197,24454.01785191301,-3666.171157215591,240429.4843575363,22991.198753632998,22992.120086881834,207363.4199911631,177607.2982357919,284824.3972347066,170577.47998129064,23030.023498602102
1011275,27705.850347289394,27715.426541263714,22142.530271356816,22159.427739332175,27712.898966935518,27728.094375324727,25982.825096768574,-2502.860591120663,259314.08593888447,25087.895724935144,25081.935302963946,251402.33776098807,222684.00036250261,311150.8322010655,216395.8995063003,25123.428765199904
1011276,29101.83647730548,29113.577586647396,22135.649378901762,22153.889906278302,29109.725281533418,29125.39080616547,26922.04582074577,-987.384156511404,275531.69878200244,26959.278276564357,26951.453735867486,274887.4185576513,243068.2236718599,333380.5968199954,236217.8029605556,26995.86656652024
1011277,30432.407983587113,30446.985765659192,22676.2972427359,22695.863379989067,30441.55530157217,30456.40088780619,27994.33967750194,373.13728919819954,287464.0844055099,28893.515179392627,28886.325058368555,282485.86870878766,249978.06060112236,354268.0411613058,243125.37824454965,28932.573621564825
1011278,31631.838829062886,31648.542084428773,23578.5905198802,23599.349218372605,31642.09004339294,31656.304755009238,29095.532492754715,1414.535618471685,296690.5641210098,30527.310181334116,30516.068523682414,302124.7273039302,273783.169782594,372010.56609808444,268309.6066257687,30565.146107026336
1011279,32492.481467115755,32510.016264591013,24438.040343919038,24459.305074883654,32503.086599944203,32517.952155298954,29954.082324395302,2153.997369947389,305883.1002383074,31576.376401105314,31557.606764552165,333185.9014477532,307195.9181439598,384403.3886456746,302679.03035836946,31611.368484652812
1011280,33254.83177287296,33272.5044555766,25297.87204533149,25318.838110944867,33265.0707670446,33281.791096162204,30745.942663545346,2620.581090114364,313897.5362631285,32360.398450449225,32338.047050110003,347733.52412298194,318631.5604224153,393048.4641253374,313534.62023490557,32396.14094311388
1011281,34182.6793584868,34200.37891861731,26309.271585550698,26329.811930235577,34192.429458828876,34211.15946555529,31698.42004291196,2928.532993317534,318336.8332553953,33258.564829206036,33236.82774963524,343796.7442371838,312461.7428751185,401123.55503744254,306952.0198591582,33297.299475746884
1011282,35043.968533515756,35061.58298878226,27227.90029647525,27248.630900784236,35053.60713264745,35073.48594840302,32576.34588479344,3282.6133102116773,320910.7093056366,34113.03706005851,34089.506538388705,350457.5610390367,322588.4595431957,408841.7658874928,318269.63744156715,34151.81139005639
1011283,35505.029086037735,35522.22103792736,27746.317945218176,27767.810528763963,35514.68307744131,35534.732643946096,33054.78510408569,3753.17327570947,324924.0757468516,34605.711139870065,34577.26472307352,374037.5383672804,349664.09011298366,414042.01080283977,346621.1422129387,34642.11362407032
1011284,35711.75730317366,35728.350474913415,28017.979153887336,28040.319929282112,35721.28332584727,35740.85251913141,33281.20145335217,4193.480900953014,329223.0817217458,34858.010020274545,34827.582281157054,386061.74245077185,359374.05351399415,416321.52541738556,355938.1636955286,34894.11652748464
1011285,36006.18849189912,36022.70983074038,28371.418122639334,28394.41688105312,36016.1526708999,36034.79426155091,33592.9017754824,4496.095705080504,330231.9033446482,35183.60221191174,35154.92476432907,376470.45155567257,346374.2812822735,417616.9296143254,342085.0540712748,35220.80646843885
1011286,36332.865019541954,36350.28402645883,28745.96841888328,28769.32969980885,36344.43666204944,36362.283717875594,33933.70477935688,4767.323176225218,328733.18439337425,35524.85630211245,35495.38735596571,372992.3887665166,345029.2024116601,418924.9361282509,341385.2443219358,35559.982538390344
1011287,36408.44137370573,36427.16830572937,28871.58142548885,28895.022153832153,36421.932416384974,36439.86071549619,34025.29805325685,5122.452102203788,328739.41564793803,35619.717631100284,35585.3733834848,389956.2176004903,366169.85203123634,419180.8692631133,363832.3715349714,35650.46496023255
1011288,36273.87939248246,36293.4424172556,28801.14409846185,28824.49970513316,36288.223952142216,36306.95391014799,33911.664874540715,5478.551436860091,330234.55803180207,35521.84713140373,35485.048093470396,401696.61166562117,377120.57560702553,417642.01489247393,374762.4591291547,35551.65507461691
1011289,36191.86335667058,36211.45622131007,28790.581651242257,28813.641651855993,36205.463485888795,36225.0987220559,33851.92011943291,5713.339937795824,329220.84982740646,35478.34937410397,35444.38846691456,390369.7703784189,362310.6706979384,415072.5520388384,359173.60100388166,35510.989623090354
1011290,36145.23491191557,36163.93583807167,28806.53755092424,28828.956725187185,36156.755551691516,36177.256851558006,33823.498299543906,5886.9926592426855,325240.4779494471,35449.4861766192,35417.46744741616,379312.38547686883,352063.2619485479,412156.5536320803,349395.48138317803,35482.55648316543
1011291,35918.648663152875,35935.619390820575,28629.178610188254,28650.84323594781,35927.42090891492,35948.62248219938,33610.54948196803,6123.800366243489,322564.52324024576,35224.36642494002,35189.05855626708,389923.8282195676,366492.0673023943,408734.9594877872,365217.52500347374,35253.426468034784
1011292,35575.15894982396,35590.479624249296,28333.52102382382,28354.859909713545,35581.404901158574,35602.85389596331,33280.644536790096,6385.645166348377,322726.54783438117,34893.96408486931,34854.909564449656,402479.4350577285,379084.4616913005,405039.4474361715,378096.570520715,34919.83207200138
1011293,35368.62050910983,35383.501460583684,28186.036287904688,28207.544480360473,35373.40639667786,35394.95279163995,33091.776282343955,6553.964507878857,321999.37172060634,34724.256157152326,34685.522940612194,393496.53847488755,366927.3940598089,401788.38789568056,365148.0954864564,34750.53693090804
1011294,35233.44400711173,35249.09063085553,28119.568079447025,28141.041752389403,35238.33702706887,35260.5455334444,32978.13188816351,6650.909205430552,318187.7548888546,34627.577392141866,34589.475948692256,379279.89237292274,352961.25447958906,398485.96086417965,351247.72492406366,34653.80186065768
1011295,34825.15130639625,34841.884452776336,27777.70201435012,27798.3868893723,34831.675039849004,34855.095418105426,32591.882570673002,6782.93829026845,313819.48009431054,34234.28021106793,34193.06944706936,384262.25452500215,361650.72651987104,393216.43324830703,361030.27543605486,34257.41961223869
1011296,34043.91448875439,34061.51994567368,27054.50960651013,27073.672490713037,34053.00721769812,34077.059256522436,31831.003281592457,6926.244445172881,309777.7526535835,33453.07072288486,33409.098140859336,393647.21770219627,371644.19464189163,384571.1381492482,371310.45892839384,33473.68705353006
1011297,33073.60942241065,33091.59699525278,26141.44500732606,26158.275837710647,33085.25259515991,33107.98192006074,30880.4871385316,6967.003068645404,301829.2765196982,32497.49762789007,32456.05603674388,379204.01779997384,354083.84532594425,372462.7793919847,352927.7497658861,32518.468298381893
1011298,31922.67028978173,31939.971752809517,25057.970558971516,25071.68219425749,31935.785654040483,31954.880643934834,29750.943174777214,6915.505115115332,287503.80804613186,31382.32100021375,31344.95312063891,350464.4267744467,324980.2858701622,357012.69513723603,323669.2460769373,31402.734764580306
