Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
196194.60535049438,4271.121,4236.6064,4172.2124,4405.5757,4268.546,4574.031,4362.303,4322.636,4511.1816,3774.5151,4444.727,4253.0913,4262.364,4158.303
196202.69012451172,4269.5757,4233.515,4165.515,4403.0,4268.546,4572.4854,4354.5757,4324.182,4510.6665,3773.4849,4444.2124,4253.6064,4261.3335,4150.576
196210.62207221985,4268.031,4232.485,4162.4243,4402.4854,4268.546,4566.303,4352.515,4324.182,4510.152,3774.0,4447.819,4253.6064,4264.4243,4144.909
196217.7131175995,4268.546,4232.485,4167.5757,4404.0303,4266.485,4560.636,4350.4546,4318.0005,4501.3945,3774.0,4448.8486,4254.121,4265.97,4146.9697
196240.63444137573,4267.0,4231.4546,4163.9697,4400.425,4265.4546,4560.636,4344.788,4305.6367,4493.152,3770.9092,4438.5454,4251.546,4255.667,4144.3945
196242.59734153748,4263.9097,4233.0,4155.727,4394.2427,4264.9395,4560.121,4343.758,4300.485,4492.6367,3767.3032,4430.303,4246.909,4249.4854,4139.2427
196243.57676506042,4263.9097,4236.091,4156.2427,4395.273,4263.9097,4561.152,4346.8486,4309.758,4493.667,3769.879,4431.8486,4247.4243,4252.0605,4139.2427
196249.60279464722,4258.7573,4236.091,4157.273,4401.9697,4265.4546,4562.182,4347.879,4313.879,4495.2124,3771.9395,4434.4243,4245.364,4252.5757,4139.2427
196257.5979232788,4252.5757,4235.0605,4156.2427,4404.546,4267.0,4560.121,4346.3335,4304.091,4491.6064,3765.7578,4431.3335,4239.697,4248.9697,4135.1216
196265.59329032898,4257.7275,4235.5757,4156.758,4401.9697,4265.97,4560.121,4345.303,4296.879,4487.4854,3762.1519,4431.3335,4242.788,4248.4546,4135.6367
196277.60672569275,4265.4546,4236.6064,4157.273,4403.0,4266.485,4562.182,4349.4243,4303.061,4493.667,3768.3335,4433.9097,4250.0,4250.515,4141.303
196310.64009666443,4265.97,4237.1216,4162.94,4407.121,4268.546,4562.182,4355.0913,4310.788,4500.364,3776.5762,4434.94,4250.515,4253.0913,4142.3335
196311.74969673157,4264.9395,4237.1216,4169.1216,4409.182,4268.031,4561.152,4355.606,4313.364,4498.3027,3776.5762,4436.485,4247.9395,4253.0913,4140.273
196312.55674362183,4268.031,4236.091,4169.636,4404.0303,4269.0605,4559.0913,4354.0605,4315.94,4495.2124,3770.9092,4433.9097,4250.0,4253.0913,4144.909
196313.9843940735,4267.0,4235.0605,4164.485,4401.9697,4269.0605,4560.636,4355.0913,4308.7275,4491.6064,3770.394,4431.3335,4248.9697,4252.0605,4141.8184
196320.5623626709,4258.2427,4235.0605,4159.3335,4401.4546,4268.546,4560.636,4354.0605,4301.515,4492.121,3768.3335,4431.3335,4247.9395,4249.4854,4138.2124
196343.67895126343,4251.031,4236.091,4158.819,4401.9697,4270.6064,4559.6064,4353.0303,4303.061,4493.152,3766.788,4431.8486,4243.818,4248.4546,4138.727
196344.55180168152,4256.697,4235.5757,4160.8794,4402.4854,4268.546,4560.636,4355.606,4303.061,4490.576,3767.3032,4430.303,4239.182,4248.9697,4139.2427
196346.19975090027,4263.394,4235.5757,4159.8486,4404.546,4271.121,4566.303,4360.758,4303.061,4490.576,3767.8184,4429.273,4237.636,4248.9697,4138.727
196352.61797904968,4263.394,4236.6064,4159.8486,4406.6064,4277.303,4568.879,4362.303,4305.6367,4493.152,3769.3638,4429.273,4239.697,4248.9697,4138.2124
196361.02676391602,4262.879,4235.5757,4160.364,4405.0605,4274.2124,4563.7275,4360.758,4301.0,4492.121,3769.3638,4430.303,4243.818,4250.0,4139.2427
196369.29416656494,4265.4546,4235.5757,4160.364,4403.515,4272.152,4560.636,4363.3335,4299.9697,4491.0913,3771.9395,4432.879,4246.909,4251.031,4140.273
196388.08631896973,4266.485,4238.152,4160.364,4408.152,4279.364,4563.2124,4370.0303,4311.8184,4496.758,3778.1213,4435.455,4247.9395,4252.0605,4141.303
196395.64037322998,4264.9395,4239.182,4159.8486,4412.273,4282.97,4563.2124,4372.091,4318.0005,4499.849,3780.6973,4435.97,4247.4243,4252.5757,4141.303
196396.74496650696,4265.4546,4238.152,4160.8794,4409.182,4278.849,4559.6064,4366.4243,4314.3936,4496.758,3778.1213,4433.9097,4243.818,4252.5757,4140.7876
196399.6126651764,4266.485,4236.6064,4160.8794,4406.6064,4275.758,4561.152,4360.2427,4314.3936,4496.242,3778.1213,4432.879,4240.2124,4252.0605,4139.2427
196407.58728981018,4262.879,4236.091,4157.273,4407.6367,4276.788,4563.2124,4360.2427,4313.879,4495.2124,3779.667,4431.8486,4237.1216,4251.546,4138.2124
196431.13946914673,4260.818,4237.636,4156.2427,4409.182,4279.364,4561.152,4361.273,4312.8486,4492.6367,3778.6367,4431.3335,4238.152,4252.0605,4139.2427
196432.2955608368,4267.0,4239.182,4160.364,4410.7275,4276.788,4559.0913,4360.758,4313.364,4495.2124,3776.0608,4432.879,4244.3335,4251.031,4140.273
196432.51419067383,4266.485,4236.091,4159.8486,4406.6064,4268.546,4558.0605,4358.6973,4305.6367,4493.667,3774.5151,4432.879,4244.8486,4250.515,4139.2427
196439.612865448,4255.667,4233.0,4154.182,4400.425,4266.485,4556.515,4357.152,4297.394,4484.394,3771.9395,4427.2124,4237.1216,4246.909,4138.727
196447.77703285217,4255.667,4233.0,4153.6665,4400.425,4268.546,4556.0,4361.273,4304.091,4485.4243,3769.3638,4424.1216,4235.0605,4240.7275,4139.2427
196455.60932159424,4265.4546,4234.5454,4157.273,4404.546,4269.5757,4560.636,4370.0303,4316.9697,4497.273,3775.0305,4428.758,4237.636,4243.303,4139.758
196463.78684043884,4265.4546,4235.0605,4158.303,4404.0303,4270.6064,4563.7275,4375.182,4317.4854,4498.8184,3782.7578,4431.3335,4239.182,4252.0605,4140.7876
196470.91674804688,4261.8486,4234.0303,4160.8794,4403.515,4269.0605,4561.152,4373.1216,4316.4546,4499.849,3783.2727,4431.8486,4246.394,4253.0913,4141.303
196483.73079299927,4264.9395,4236.091,4168.091,4411.758,4268.031,4559.0913,4371.061,4321.6064,4509.6367,3784.8184,4437.5156,4252.5757,4252.0605,4142.3335
196486.59133911133,4270.6064,4240.2124,4174.788,4420.0,4273.1816,4558.5757,4372.091,4323.667,4509.121,3788.4246,4441.1216,4251.546,4255.152,4144.3945
