Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
244998.76356124878,4265.97,4218.0605,4172.7275,4422.061,4267.515,4513.2427,4399.909,4314.3936,4497.273,3770.394,4464.303,4251.546,4251.031,4153.6665
245006.85811042786,4269.0605,4220.121,4177.364,4427.2124,4269.0605,4514.788,4401.9697,4315.425,4498.3027,3774.0,4471.515,4253.0913,4254.121,4157.788
245015.40541648865,4270.6064,4220.6367,4182.0,4429.788,4269.0605,4514.2734,4404.546,4313.879,4499.849,3776.0608,4475.6367,4254.636,4256.697,4159.3335
245022.69411087036,4268.031,4218.0605,4175.8184,4423.0913,4265.97,4513.2427,4397.8486,4310.788,4496.242,3772.4546,4469.4546,4252.5757,4253.6064,4156.2427
245029.85501289368,4266.485,4216.0,4171.182,4418.9697,4263.394,4513.2427,4390.636,4309.758,4494.1816,3769.879,4464.303,4250.515,4250.515,4155.212
245037.77384757996,4268.031,4217.5454,4177.879,4422.061,4265.4546,4513.758,4395.788,4313.364,4497.273,3774.0,4470.485,4251.031,4254.636,4157.273
245046.84042930603,4270.0913,4220.121,4185.0913,4425.152,4267.0,4513.2427,4401.4546,4316.9697,4498.3027,3777.6064,4478.2124,4254.636,4261.3335,4158.819
245053.77101898193,4270.0913,4219.606,4187.152,4424.6367,4267.0,4514.788,4398.3643,4315.425,4497.273,3777.091,4478.7275,4262.879,4262.879,4159.8486
245061.6762638092,4269.0605,4219.606,4186.121,4424.6367,4269.0605,4515.8184,4395.788,4313.879,4498.8184,3776.0608,4476.152,4265.97,4264.4243,4160.8794
245069.73552703857,4269.0605,4220.6367,4185.0913,4425.152,4269.5757,4513.758,4396.3037,4312.8486,4498.3027,3775.0305,4476.152,4258.2427,4262.364,4158.303
245077.7530670166,4268.031,4219.606,4185.6064,4425.152,4269.0605,4513.758,4391.6665,4308.7275,4495.7275,3771.4243,4477.182,4255.152,4256.1816,4156.2427
245086.73357963562,4271.121,4218.0605,4187.152,4426.6973,4267.515,4514.788,4389.606,4308.212,4495.7275,3769.3638,4477.182,4262.879,4253.0913,4160.364
245094.70534324646,4277.8184,4219.606,4188.1816,4430.303,4269.0605,4512.2124,4396.3037,4312.8486,4496.242,3770.9092,4477.6973,4267.0,4254.121,4162.94
245100.7854938507,4281.4243,4222.1816,4187.667,4431.3335,4274.7275,4515.8184,4402.4854,4312.333,4496.758,3772.9697,4477.182,4265.4546,4259.273,4162.94
245108.71839523315,4282.4546,4223.2124,4186.6367,4431.8486,4278.849,4523.0303,4403.0,4311.303,4500.364,3776.5762,4479.758,4265.4546,4264.9395,4167.5757
245116.69635772705,4278.849,4222.1816,4186.121,4431.3335,4274.2124,4518.3945,4403.0,4313.364,4500.879,3778.1213,4481.303,4264.4243,4263.9097,4167.061
245124.70173835754,4273.697,4220.121,4186.6367,4430.303,4268.546,4511.6973,4399.909,4308.7275,4496.242,3773.4849,4479.2427,4265.4546,4262.364,4159.8486
245132.79604911804,4270.0913,4219.606,4186.121,4429.788,4268.031,4512.2124,4393.727,4299.4546,4493.152,3769.879,4476.152,4264.9395,4264.9395,4157.273
245140.76352119446,4267.515,4220.121,4184.0605,4429.273,4268.546,4512.727,4391.1514,4297.909,4494.1816,3770.9092,4476.667,4255.152,4263.394,4159.3335
245148.7901210785,4271.121,4219.606,4184.0605,4427.2124,4268.031,4510.6665,4394.758,4304.091,4496.758,3775.0305,4479.2427,4256.1816,4258.7573,4158.303
245156.75711631775,4274.2124,4219.606,4186.121,4424.6367,4267.0,4511.6973,4397.8486,4307.6973,4497.273,3775.0305,4478.2124,4265.4546,4261.8486,4157.788
245163.9928817749,4270.6064,4219.606,4185.6064,4424.1216,4267.515,4511.6973,4398.3643,4307.182,4496.758,3774.5151,4477.182,4263.9097,4265.4546,4158.303
245171.68951034546,4272.667,4220.121,4186.6367,4429.273,4269.0605,4511.6973,4398.879,4306.667,4497.273,3776.0608,4477.6973,4260.303,4265.97,4158.819
245180.94992637634,4280.394,4220.6367,4188.1816,4430.8184,4268.546,4513.2427,4399.394,4305.6367,4497.788,3776.5762,4478.2124,4265.4546,4265.4546,4158.819
245210.8826637268,4274.7275,4220.121,4187.152,4425.152,4268.031,4512.727,4399.394,4309.2427,4498.8184,3774.5151,4477.6973,4264.4243,4264.9395,4158.303
245211.7884159088,4267.0,4219.606,4186.121,4423.0913,4268.031,4512.727,4399.909,4312.8486,4498.3027,3774.5151,4476.667,4257.2124,4264.4243,4158.819
