Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
916997.3151683807,4460.6978,4414.8486,4370.5454,4575.5757,4373.6367,4651.303,4554.97,4461.7275,4639.4546,3959.455,4613.182,4494.6973,4456.576,4324.697
916998.2142448425,4463.273,4414.3335,4370.0303,4577.121,4368.485,4654.394,4558.5757,4462.7583,4640.4854,3957.9092,4608.546,4493.152,4454.5156,4323.1514
917004.2314529419,4462.2427,4413.303,4364.879,4576.6064,4367.4546,4654.394,4558.0605,4465.3335,4645.1216,3961.0002,4610.091,4487.4854,4453.485,4321.091
917012.5269889832,4452.9697,4407.6367,4360.2427,4573.515,4367.4546,4644.6064,4547.7573,4457.606,4642.546,3958.9395,4610.091,4481.8184,4450.909,4314.909
917020.2889442444,4447.819,4401.4546,4359.727,4572.4854,4369.0005,4642.0303,4545.182,4451.94,4635.8486,3950.182,4606.4854,4479.758,4447.303,4313.879
917028.5367965698,4455.0303,4401.9697,4361.273,4574.031,4370.0303,4654.394,4553.9395,4462.2427,4637.909,3952.7578,4609.576,4488.0,4450.909,4322.636
917036.2312793732,4456.576,4404.0303,4360.2427,4574.031,4370.0303,4655.9395,4553.425,4467.394,4642.546,3959.455,4613.6973,4491.6064,4452.9697,4322.636
917044.5165634155,4448.8486,4401.4546,4359.2124,4571.97,4370.5454,4643.5757,4548.788,4461.7275,4643.0605,3955.8486,4611.1216,4480.788,4446.7876,4313.879
917052.2818565369,4449.8794,4398.3643,4359.727,4571.4546,4367.9697,4645.1216,4557.031,4462.2427,4646.667,3954.303,4611.1216,4480.273,4450.3945,4316.9697
917060.2443218231,4458.1216,4401.9697,4361.7876,4574.031,4361.273,4653.364,4559.0913,4468.4243,4653.879,3963.0608,4620.909,4493.667,4460.182,4325.212
917067.1982765198,4458.6367,4404.546,4363.3335,4577.121,4359.2124,4648.7275,4549.303,4463.788,4650.273,3962.0305,4623.4854,4496.758,4457.091,4323.1514
917075.6344795227,4448.8486,4394.758,4358.182,4570.9395,4361.273,4644.091,4544.667,4449.364,4635.3335,3944.5151,4607.5156,4482.3335,4445.2427,4313.879
