Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
306196.0537433624,4286.0605,4251.546,4206.2124,4434.94,4292.758,4560.121,4386.515,4313.879,4481.8184,3787.9092,4463.273,4276.788,4280.9097,4157.273
306204.0295600891,4282.4546,4251.031,4202.0913,4435.97,4293.273,4557.031,4384.4546,4314.909,4480.273,3787.3938,4463.273,4277.303,4283.485,4155.727
306216.5141105652,4285.5454,4249.4854,4203.121,4441.6367,4293.273,4558.5757,4385.485,4317.4854,4479.758,3788.9397,4462.7583,4278.3335,4281.4243,4156.2427
306229.37870025635,4291.7275,4252.0605,4207.242,4447.303,4296.879,4560.121,4390.636,4322.1216,4482.8486,3794.6062,4468.4243,4284.515,4284.0,4159.8486
306237.1120452881,4290.182,4252.5757,4207.242,4443.182,4297.394,4560.636,4394.2427,4326.2427,4484.909,3795.1213,4466.8794,4286.0605,4286.5757,4160.8794
306237.9946708679,4284.515,4251.546,4203.6367,4438.031,4295.8486,4560.636,4394.758,4327.788,4483.364,3792.0305,4461.2124,4278.849,4284.0,4158.303
306243.052482605,4284.0,4251.031,4201.0605,4439.061,4295.3335,4559.6064,4393.212,4329.3335,4482.8486,3792.5457,4463.273,4272.667,4282.4546,4156.2427
306251.08098983765,4285.031,4248.4546,4198.485,4437.0005,4290.182,4559.0913,4393.727,4329.3335,4483.879,3791.5154,4462.2427,4269.0605,4282.4546,4155.212
306259.1516971588,4281.9395,4246.909,4198.485,4432.879,4284.0,4559.6064,4398.3643,4330.3643,4482.3335,3791.0002,4456.576,4267.515,4280.9097,4155.212
306277.6463031769,4281.4243,4249.4854,4199.0,4435.455,4283.485,4559.0913,4400.425,4329.3335,4480.788,3793.0608,4458.1216,4270.0913,4281.4243,4152.1216
306284.0766906738,4282.4546,4250.0,4194.3633,4437.5156,4284.515,4559.0913,4395.273,4321.091,4482.3335,3789.97,4463.273,4268.546,4281.4243,4148.5156
306292.1962738037,4283.485,4250.0,4193.3335,4442.6665,4286.0605,4559.6064,4392.182,4319.546,4480.273,3788.9397,4462.7583,4264.9395,4281.4243,4151.606
306294.95096206665,4285.031,4252.0605,4200.5454,4448.334,4287.0913,4558.5757,4390.1216,4324.182,4480.273,3794.091,4462.2427,4275.242,4282.97,4156.758
306299.03078079224,4285.031,4251.546,4205.6973,4445.758,4285.5454,4556.515,4384.4546,4316.9697,4480.273,3792.5457,4466.8794,4285.031,4285.031,4156.2427
306307.0523738861,4283.485,4251.031,4200.5454,4441.6367,4287.0913,4556.515,4386.0005,4307.6973,4474.0913,3783.2727,4464.303,4275.242,4284.0,4155.727
306315.322637558,4285.5454,4250.0,4191.788,4439.576,4290.6973,4559.0913,4399.394,4311.8184,4472.0303,3779.1516,4455.5454,4266.485,4276.788,4155.212
306343.09434890747,4282.97,4242.788,4186.121,4430.303,4288.121,4562.182,4410.7275,4317.4854,4477.6973,3777.6064,4445.758,4265.97,4267.0,4145.94
306344.03252601624,4270.6064,4234.5454,4184.576,4417.4243,4280.394,4559.0913,4409.182,4319.546,4478.7275,3773.4849,4436.485,4256.697,4262.879,4136.6665
306347.3587036133,4267.0,4233.515,4184.0605,4414.8486,4271.121,4554.4546,4407.121,4323.1514,4477.6973,3776.5762,4437.0005,4247.9395,4264.9395,4139.758
306348.1214046478,4270.0913,4235.0605,4184.576,4415.364,4267.0,4557.031,4409.182,4323.1514,4480.273,3780.182,4445.2427,4251.031,4267.0,4144.3945
